#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
668461,107.858,169.532,672,17520,0.75,0.72,2,52014,51342,672
674301,100.376,156.216,657,18980,0.79,0.72,2,52062,51405,657
677221,102.829,144.564,714,20440,0.81,0.84,2,52182,51468,714
680141,113.975,155.743,672,23360,0.81,0.79,2,52374,51702,672
683061,111.728,155.775,612,24286,0.85,0.67,2,52470,51858,612
700581,121.437,22.6651,2276,10220,0.76,0,2,54786,52510,2276
718101,110.757,246.332,500,11680,0.73,1,2,54822,54322,500
718101,107.413,215.541,584,13140,0.78,0,2,54906,54322,584
718101,101.486,188.598,644,13140,0.79,0,2,54966,54322,644
721021,106.8,190.773,582,13140,0.77,0.95,2,55110,54528,582
721021,105.075,166.927,675,14600,0.89,0,2,55203,54528,675
722481,115.941,161.811,741,14600,0.82,0.8,2,55395,54654,741
723941,105.948,149.459,714,16060,0.79,0.76,2,55431,54717,714
725401,95.7047,139.402,669,17520,0.81,0.72,2,55455,54786,669
726861,92.1166,129.852,673,18980,0.87,0.77,2,55522,54849,673
728321,89.602,121.495,682,5840,0.95,0.78,2,55594,54912,682
748761,196.177,114.015,1677,10220,0.83,0,2,58183,56506,1677
751681,188.155,260.888,520,10220,0.77,1,2,58315,57795,520
769201,128.265,137.942,739,24820,0.9,1,2,59382,58643,739
769201,122.731,120.7,823,26280,0.93,0,2,59466,58643,823
769201,119.39,105.612,919,27740,0.95,0,2,59562,58643,919
802781,61.3006,159.686,751,26280,0.96,1,2,61435,60684,751
807161,62.638,146.85,766,27740,0.94,1,2,61507,60741,766
818841,59.3083,135.619,745,29200,0.95,1,2,61543,60798,745
818841,57.8947,118.667,793,30660,0.9,0,2,61591,60798,793
818841,55.1579,103.833,829,30660,0.94,0,2,61627,60798,829
818841,52.7632,90.8542,865,30660,0.9,0,2,61663,60798,865
818841,61.1678,79.4974,985,30660,0.76,0,2,61783,60798,985
818841,65.5218,69.5602,1081,30660,0.69,0,2,61879,60798,1081
818841,67.8316,60.8652,1165,32120,0.69,0,2,61963,60798,1165
818841,62.3526,53.257,1189,33580,0.67,0,2,61987,60798,1189
818841,57.5585,46.5999,1213,29200,0.69,0.67,2,62011,60798,1213
818841,51.8637,40.7749,1225,26280,0.69,0,2,62023,60798,1225
818841,49.8808,35.6781,1261,24820,0.67,0,2,62059,60798,1261
818841,48.1457,31.2183,1297,24820,0.67,0,2,62095,60798,1297
818841,45.1275,27.316,1321,24820,0.63,0,2,62119,60798,1321
818841,42.4865,23.9015,1345,24820,0.63,0,2,62143,60798,1345
818841,38.6757,20.9138,1357,24820,0.65,0,2,62155,60798,1357
818841,38.3412,18.2996,1393,24820,0.65,0,2,62191,60798,1393
818841,38.0486,16.0121,1429,24820,0.63,0,2,62227,60798,1429
818841,37.7925,14.0106,1465,24820,0.63,0,2,62263,60798,1465
818841,34.5685,12.2593,1477,24820,0.61,0,2,62275,60798,1477
818841,33.2474,10.7269,1501,24820,0.61,0,2,62299,60798,1501
818841,32.0915,9.38603,1525,24820,0.61,0,2,62323,60798,1525
818841,40.08,8.21277,1621,24820,0.59,0,2,62419,60798,1621
