#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
1274841,169.586,119.817,1024,41853,0.8,1,2,52677,51653,1024
1274841,152.888,104.84,1060,44773,0.83,0,2,52713,51653,1060
1274841,138.277,91.7351,1096,46233,0.85,0,2,52749,51653,1096
1274841,123.992,80.2682,1120,47693,0.91,0,2,52773,51653,1120
1274841,113.618,70.2347,1161,45260,0.95,0.91,2,52814,51653,1161
1274841,102.416,61.4554,1185,42340,0.99,0,2,52838,51653,1185
1274841,92.6141,53.7734,1209,42340,0.99,0,2,52862,51653,1209
1274841,63.0926,9.47704,1737,40880,0.82,0,2,53390,51653,1737
1274841,56.706,8.29241,1749,42340,0.8,0,2,53402,51653,1749
1274841,52.6177,7.25586,1773,43800,0.8,0,2,53426,51653,1773
1274841,49.0405,6.34887,1797,45260,0.82,0,2,53450,51653,1797
1274841,50.4105,5.55526,1857,46720,0.78,0,2,53510,51653,1857
1274841,45.6091,4.86086,1869,48180,0.76,0,2,53522,51653,1869
1274841,41.408,4.25325,1881,49640,0.76,0,2,53534,51653,1881
1274841,40.732,3.72159,1917,51100,0.74,0,2,53570,51653,1917
1274841,37.1405,3.25639,1929,52560,0.74,0,2,53582,51653,1929
1274841,33.9979,2.84934,1941,54020,0.72,0,2,53594,51653,1941
1274841,34.2482,2.49318,1977,55480,0.72,0,2,53630,51653,1977
1274841,31.4672,2.18153,1989,56940,0.7,0,2,53642,51653,1989
1277761,29.0338,141.909,881,58400,0.7,0.95,2,53654,52773,881
1279221,32.9046,129.295,900,58400,0.66,0.99,2,53714,52814,900
1283601,30.2915,116.133,888,58400,0.66,0.99,2,53726,52838,888
1324481,29.505,104.617,888,58400,0.64,1,2,53750,52862,888
1327401,30.3169,94.5396,900,16546,0.62,1,2,53786,52886,900
1330321,29.5273,88.7221,876,19466,0.59,1,2,53810,52934,876
1331781,28.8364,83.6319,852,22386,0.53,1,2,53834,52982,852
1331781,26.7318,73.1779,864,25306,0.5,0,2,53846,52982,864
1331781,24.8904,64.0306,876,26766,0.49,0,2,53858,52982,876
1331781,23.2791,56.0268,888,40880,0.48,0.49,2,53870,52982,888
1331781,24.8692,49.0235,924,40880,0.47,0,2,53906,52982,924
1331781,24.7605,42.8955,948,40880,0.45,0,2,53930,52982,948
1331781,24.6655,37.5336,972,40880,0.43,0,2,53954,52982,972
1331781,23.0823,32.8419,984,42340,0.41,0,2,53966,52982,984
1331781,21.697,28.7367,996,43800,0.41,0,2,53978,52982,996
1331781,20.4849,25.1446,1008,45260,0.43,0,2,53990,52982,1008
1331781,19.4243,22.0015,1020,46720,0.43,0,2,54002,52982,1020
1331781,18.4962,19.2513,1032,48180,0.43,0,2,54014,52982,1032
1331781,17.6842,16.8449,1044,49640,0.43,0,2,54026,52982,1044
1331781,16.9737,14.7393,1056,51100,0.43,0,2,54038,52982,1056
1331781,16.352,12.8969,1068,52560,0.43,0,2,54050,52982,1068
1331781,15.808,11.2848,1080,54020,0.43,0,2,54062,52982,1080
1331781,15.332,9.87417,1092,55480,0.43,0,2,54074,52982,1092
1331781,14.9155,8.6399,1104,56940,0.43,0,2,54086,52982,1104
1331781,14.551,7.55991,1116,58400,0.43,0,2,54098,52982,1116
1331781,14.2322,6.61492,1128,59860,0.43,0,2,54110,52982,1128
1331781,13.9531,5.78806,1140,61320,0.43,0,2,54122,52982,1140
1331781,13.709,5.06455,1152,62780,0.43,0,2,54134,52982,1152
1331781,13.4954,4.43148,1164,64240,0.43,0,2,54146,52982,1164
1331781,13.3085,3.87755,1176,65700,0.43,0,2,54158,52982,1176
1331781,13.1449,3.39285,1188,65943,0.43,0,2,54170,52982,1188
1331781,13.0018,2.96875,1200,65943,0.43,0,2,54182,52982,1200
1331781,12.8766,2.59765,1212,65943,0.45,0,2,54194,52982,1212
1331781,12.767,2.27295,1224,65943,0.45,0,2,54206,52982,1224
1331781,12.6711,1.98883,1236,65943,0.45,0,2,54218,52982,1236
1331781,12.5872,1.74022,1248,65943,0.45,0,2,54230,52982,1248
