#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
759001,632.156,659.068,52,66519,0.75,0,2,54690,54638,52
761921,554.636,576.684,64,66551,0.75,0,2,54702,54638,64
764841,486.807,504.599,76,66583,0.75,0,2,54714,54638,76
767761,427.456,441.524,88,66615,0.75,0,2,54726,54638,88
770681,375.524,386.333,100,66646,0.75,0,2,54738,54638,100
773601,330.084,338.042,112,66677,0.75,0,2,54750,54638,112
776521,290.323,295.787,124,66708,0.75,0,2,54762,54638,124
779441,255.533,258.813,136,66739,0.75,0,2,54774,54638,136
782361,225.091,226.462,148,66770,0.75,0,2,54786,54638,148
785281,198.455,198.154,160,66801,0.75,0,2,54798,54638,160
788201,175.148,173.385,172,66832,0.75,0,2,54810,54638,172
791121,154.754,151.712,184,66863,0.75,0,2,54822,54638,184
794041,136.91,132.748,196,66894,0.75,0,2,54834,54638,196
796961,121.296,116.154,208,66925,0.75,0,2,54846,54638,208
799881,107.634,101.635,220,66956,0.75,0,2,54858,54638,220
802801,95.68,88.9305,232,66987,0.75,0,2,54870,54638,232
805721,85.22,77.8142,244,67018,0.75,0,2,54882,54638,244
808641,76.0675,68.0874,256,67049,0.75,0,2,54894,54638,256
811561,68.0591,59.5765,268,67080,0.75,0,2,54906,54638,268
814481,61.0517,52.1294,280,67111,0.75,0,2,54918,54638,280
817401,54.9202,45.6133,292,67142,0.75,0,2,54930,54638,292
820321,49.5552,39.9116,304,67173,0.77,0,2,54942,54638,304
823241,44.8608,34.9227,316,67204,0.77,0,2,54954,54638,316
826161,40.7532,37.0573,276,67235,0.77,0,2,54966,54690,276
829081,37.159,33.9252,276,67266,0.77,0,2,54978,54702,276
832001,34.0142,31.1845,276,67297,0.77,0,2,54990,54714,276
834921,31.2624,28.7864,276,67328,0.77,0,2,55002,54726,276
837841,28.8546,26.6881,276,67359,0.77,0,2,55014,54738,276
840761,26.7478,24.8521,276,67390,0.77,0,2,55026,54750,276
843681,24.9043,23.2456,276,67421,0.77,0,2,55038,54762,276
846601,23.2913,21.8399,276,67452,0.77,0,2,55050,54774,276
849521,21.8799,20.6099,276,67483,0.77,0,2,55062,54786,276
852441,20.6449,19.5337,276,67514,0.77,0,2,55074,54798,276
855361,19.5643,18.592,276,67545,0.77,0,2,55086,54810,276
858281,18.6187,17.768,276,67576,0.77,0,2,55098,54822,276
861201,17.7914,17.047,276,67607,0.77,0,2,55110,54834,276
864121,17.0675,16.4161,276,67638,0.77,0,2,55122,54846,276
867041,16.434,15.8641,276,67669,0.77,0,2,55134,54858,276
869961,15.8798,15.3811,276,67700,0.77,0,2,55146,54870,276
872881,15.3948,14.9584,276,67731,0.77,0,2,55158,54882,276
875801,14.9705,14.5886,276,67762,0.77,0,2,55170,54894,276
878721,14.5991,14.2651,276,67793,0.77,0,2,55182,54906,276
881641,14.2743,13.9819,276,67824,0.77,0,2,55194,54918,276
884561,13.99,13.7342,276,67855,0.77,0,2,55206,54930,276
887481,13.7412,13.5174,276,67886,0.77,0,2,55218,54942,276
890401,13.5236,13.3277,276,67917,0.77,0,2,55230,54954,276
893321,13.3331,13.1618,276,67948,0.77,0,2,55242,54966,276
896241,13.1665,13.0165,276,67979,0.77,0,2,55254,54978,276
899161,13.0207,12.8895,276,68010,0.77,0,2,55266,54990,276
902081,12.8931,12.7783,276,68041,0.77,0,2,55278,55002,276
905001,12.7815,12.681,276,68072,0.77,0,2,55290,55014,276
907921,12.6838,12.5959,276,68103,0.77,0,2,55302,55026,276
910841,12.5983,12.5214,276,68134,0.77,0,2,55314,55038,276
913761,12.5235,12.4562,276,68165,0.77,0,2,55326,55050,276
916681,12.4581,12.3992,276,68196,0.77,0,2,55338,55062,276
919601,12.4008,12.3493,276,68227,0.77,0,2,55350,55074,276
922521,12.3507,12.3056,276,68258,0.77,0,2,55362,55086,276
925441,12.3069,12.2674,276,68289,0.77,0,2,55374,55098,276
928361,12.2685,12.234,276,68320,0.77,0,2,55386,55110,276
931281,12.235,12.2048,276,68351,0.77,0,2,55398,55122,276
934201,12.2056,12.1792,276,68382,0.77,0,2,55410,55134,276
937121,12.1799,12.1568,276,68413,0.77,0,2,55422,55146,276
940041,12.1574,12.1372,276,68444,0.77,0,2,55434,55158,276
942961,12.1377,12.12,276,68475,0.77,0,2,55446,55170,276
945881,12.1205,12.105,276,68506,0.77,0,2,55458,55182,276
948801,12.1054,12.0919,276,68537,0.77,0,2,55470,55194,276
951721,12.0923,12.0804,276,68568,0.77,0,2,55482,55206,276
954641,12.0807,12.0704,276,68599,0.77,0,2,55494,55218,276
957561,12.0706,12.0616,276,68630,0.79,0,2,55506,55230,276
960481,12.0618,12.0539,276,68661,0.79,0,2,55518,55242,276
963401,12.0541,12.0471,276,68692,0.79,0,2,55530,55254,276
966321,12.0473,12.0412,276,68723,0.79,0,2,55542,55266,276
969241,12.0414,12.0361,276,68754,0.79,0,2,55554,55278,276
972161,12.0362,12.0316,276,68785,0.79,0,2,55566,55290,276
975081,12.0317,12.0276,276,68815,0.79,0,2,55578,55302,276
978001,12.0277,12.0242,276,68845,0.79,0,2,55590,55314,276
980921,12.0243,12.0212,276,68875,0.79,0,2,55602,55326,276
983841,12.0212,12.0185,276,68905,0.79,0,2,55614,55338,276
986761,12.0186,12.0162,276,68935,0.79,0,2,55626,55350,276
989681,12.0163,12.0142,276,68965,0.79,0,2,55638,55362,276
992601,12.0142,12.0124,276,68995,0.79,0,2,55650,55374,276
995521,12.0124,12.0108,276,69025,0.79,0,2,55662,55386,276
998441,12.0109,12.0095,276,69055,0.79,0,2,55674,55398,276
1001361,12.0095,12.0083,276,69085,0.79,0,2,55686,55410,276
1004281,12.0083,12.0073,276,69115,0.79,0,2,55698,55422,276
1007201,12.0073,12.0064,276,69145,0.79,0,2,55710,55434,276
1010121,12.0064,12.0056,276,69175,0.79,0,2,55722,55446,276
1013041,12.0056,12.0049,276,69205,0.79,0,2,55734,55458,276
1015961,12.0049,12.0043,276,69235,0.79,0,2,55746,55470,276
1018881,12.0043,12.0037,276,69265,0.79,0,2,55758,55482,276
1021801,12.0037,12.0033,276,69295,0.79,0,2,55770,55494,276
1024721,12.0033,10.5029,288,69325,0.79,0,2,55782,55494,288
1027641,12.0029,10.69,288,69355,0.79,0,2,55794,55506,288
1030561,12.0025,10.8537,288,69385,0.79,0,2,55806,55518,288
1033481,12.0022,10.997,288,69415,0.76,0,2,55818,55530,288
1036401,12.0019,11.1224,288,69445,0.72,0,2,55830,55542,288
1039321,12.0017,11.2321,288,69475,0.68,0,2,55842,55554,288
1042241,12.0015,11.3281,288,69505,0.64,0,2,55854,55566,288
1045161,12.0013,11.4121,288,69535,0.6,0,2,55866,55578,288
1048081,12.0011,11.4856,288,69565,0.56,0,2,55878,55590,288
1051001,12.001,11.5499,288,69595,0.52,0,2,55890,55602,288
1053921,12.0009,11.6061,288,69625,0.48,0,2,55902,55614,288
1056841,12.0008,11.6554,288,69655,0.44,0,2,55914,55626,288
1059761,12.0007,11.6984,288,69685,0.4,0,2,55926,55638,288
1062681,12.0006,11.7361,288,69715,0.36,0,2,55938,55650,288
1065601,12.0005,11.7691,288,69745,0.32,0,2,55950,55662,288
1068521,12.0004,11.798,288,69775,0.28,0,1,55962,55674,288
1071441,12.0004,11.8232,288,69805,0.24,0,1,55974,55686,288
1074361,12.0003,11.8453,288,69835,0.2,0,1,55986,55698,288
1077281,12.0003,11.8647,288,69865,0.16,0,1,55998,55710,288
1080201,12.0003,11.8816,288,69895,0.12,0,1,56010,55722,288
1083121,12.0002,11.8964,288,69925,0.08,0,1,56022,55734,288
1086041,12.0002,11.9093,288,69955,0.04,0,1,56034,55746,288
1088961,12.0002,11.9207,288,69985,0,0,1,56046,55758,288
1091881,12.0002,11.9306,288,70015,0,0,1,56058,55770,288
1094801,12.0001,11.9393,288,70045,0,0,1,56070,55782,288
1097201,11.6251,11.9469,285,70075,0,0,1,56079,55794,285
1100121,573.047,602.453,52,70105,0.81,0,2,60582,60530,52
1103041,502.916,527.147,64,70135,0.81,0,2,60594,60530,64
1105961,441.552,461.253,76,70165,0.81,0,2,60606,60530,76
1108881,387.858,403.597,88,70195,0.81,0,2,60618,60530,88
1111801,340.875,353.147,100,70225,0.81,0,2,60630,60530,100
1114721,299.766,309.004,112,70255,0.81,0,2,60642,60530,112
1117641,263.795,270.378,124,70285,0.81,0,2,60654,60530,124
1120561,232.321,236.581,136,70315,0.81,0,2,60666,60530,136
1123481,204.781,207.008,148,70345,0.81,0,2,60678,60530,148
1126401,180.683,181.132,160,70375,0.81,0,2,60690,60530,160
1129321,159.598,158.491,172,70405,0.81,0,2,60702,60530,172
1132241,141.148,138.679,184,70435,0.81,0,2,60714,60530,184
1135161,125.005,121.345,196,70465,0.81,0,2,60726,60530,196
1138081,110.879,106.176,208,70495,0.81,0,2,60738,60530,208
1141001,98.5191,92.9044,220,70525,0.81,0,2,60750,60530,220
1143921,87.7042,81.2913,232,70555,0.81,0,2,60762,60530,232
1146841,78.2412,71.1299,244,70585,0.81,0,2,60774,60530,244
1149761,69.961,62.2387,256,70615,0.81,0,2,60786,60530,256
1152681,62.7159,54.4589,268,70645,0.81,0,2,60798,60530,268
1155601,56.3764,47.6515,280,70675,0.81,0,2,60810,60530,280
1158521,50.8294,41.6951,292,70705,0.81,0,2,60822,60530,292
1161441,45.9757,36.4832,304,70735,0.81,0,2,60834,60530,304
1164361,41.7287,31.9228,316,70765,0.81,0,2,60846,60530,316
1167281,38.0126,27.9324,328,70795,0.81,0,2,60858,60530,328
1170201,34.7611,30.9409,288,70825,0.81,0,2,60870,60582,288
1173121,31.9159,28.5733,288,70855,0.81,0,2,60882,60594,288
1176041,29.4264,26.5016,288,70885,0.81,0,2,60894,60606,288
1178961,27.2481,24.6889,288,70915,0.81,0,2,60906,60618,288
1181881,25.3421,23.1028,288,70945,0.81,0,2,60918,60630,288
1184801,23.6744,21.7149,288,70975,0.81,0,2,60930,60642,288
1187721,22.2151,20.5006,288,71005,0.81,0,2,60942,60654,288
1190641,20.9382,19.438,288,71035,0.81,0,2,60954,60666,288
