#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
1593081,2843.66,2874.62,52,74986,0.87,0,2,55379,55327,52
1596001,2489.7,2515.3,64,75014,0.87,0,2,55391,55327,64
1598921,2179.99,2200.88,76,75042,0.87,0,2,55403,55327,76
1601841,1908.99,1925.77,88,75070,0.87,0,2,55415,55327,88
1604761,1671.86,1685.05,100,75098,0.87,0,2,55427,55327,100
1607681,1464.38,1474.42,112,75126,0.87,0,2,55439,55327,112
1610601,1282.83,1290.12,124,75154,0.87,0,2,55451,55327,124
1613521,1123.98,1128.85,136,75182,0.87,0,2,55463,55327,136
1616441,984.982,987.747,148,75210,0.87,0,2,55475,55327,148
1619361,863.36,864.278,160,75238,0.87,0,2,55487,55327,160
1622281,756.94,756.244,172,75266,0.87,0,2,55499,55327,172
1625201,663.822,661.713,184,75294,0.87,0,2,55511,55327,184
1628121,582.344,578.999,196,75322,0.87,0,2,55523,55327,196
1631041,511.051,506.624,208,75350,0.87,0,2,55535,55327,208
1633961,448.67,443.296,220,75378,0.87,0,2,55547,55327,220
1636881,394.086,387.884,232,75406,0.87,0,2,55559,55327,232
1639801,346.325,339.399,244,75434,0.87,0,2,55571,55327,244
1642721,304.535,296.974,256,75462,0.87,0,2,55583,55327,256
1645641,267.968,259.852,268,75490,0.87,0,2,55595,55327,268
1648561,235.972,227.371,280,75518,0.87,0,2,55607,55327,280
1651481,207.975,198.949,292,75546,0.87,0,2,55619,55327,292
1654401,183.478,174.081,304,75574,0.87,0,2,55631,55327,304
1657321,162.044,152.321,316,75602,0.87,0,2,55643,55327,316
1660241,143.288,133.28,328,75630,0.87,0,2,55655,55327,328
1663161,126.877,116.62,340,75658,0.87,0,2,55667,55327,340
1666081,112.518,102.043,352,75686,0.87,0,2,55679,55327,352
1669001,99.9528,95.7875,312,75714,0.87,0,2,55691,55379,312
1671921,88.9587,85.314,312,75742,0.87,0,2,55703,55391,312
1674841,79.3389,76.1498,312,75770,0.87,0,2,55715,55403,312
1677761,70.9215,68.1311,312,75798,0.87,0,2,55727,55415,312
1680681,63.5563,61.1147,312,75826,0.87,0,2,55739,55427,312
