#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
1755081,213.457,194.69,774,144540,0.953285,0,2,74174,73400,774
1758001,189.775,170.353,798,146000,0.945374,0,2,74198,73400,798
1760921,169.053,149.059,822,147460,0.932203,0,2,74222,73400,822
1763841,150.921,130.427,846,148920,0.918177,0,2,74246,73400,846
1766761,135.056,114.123,870,150380,0.903405,0,2,74270,73400,870
1769681,121.174,99.858,894,151840,0.88798,0,2,74294,73400,894
1772601,109.027,87.3758,918,153300,0.871982,0,2,74318,73400,918
1775521,98.3989,76.4538,942,154760,0.855484,0,2,74342,73400,942
1778441,89.099,66.8971,966,156220,0.838549,0,2,74366,73400,966
1781361,80.9617,58.5349,990,157680,0.82123,0,2,74390,73400,990
1782821,73.8415,51.2181,1014,159140,0.803576,0,2,74414,73400,1014
1782821,66.1113,44.8158,1026,159140,0.786879,0,2,74426,73400,1026
1782821,59.3474,39.2138,1038,159140,0.741019,0,2,74438,73400,1038
1782821,53.4289,34.3121,1050,80640,0.702142,0,2,74450,73400,1050
1782821,48.2503,30.0231,1062,80640,0.664374,0,2,74462,73400,1062
1782821,43.719,26.2702,1074,80640,0.632577,0,2,74474,73400,1074
1782821,39.7542,22.9864,1086,80640,0.606005,0,2,74486,73400,1086
1782821,36.2849,20.1131,1098,80640,0.584005,0,2,74498,73400,1098
1782821,33.2493,17.599,1110,80640,0.566004,0,2,74510,73400,1110
1782821,30.5931,15.3991,1122,80640,0.551504,0,2,74522,73400,1122
1782821,28.269,13.4742,1134,80640,0.540066,0,2,74534,73400,1134
1782821,26.2354,11.7899,1146,80640,0.531307,0,2,74546,73400,1146
1782821,24.4559,10.3162,1158,80640,0.524894,0,2,74558,73400,1158
1782821,22.8989,9.02668,1170,80640,0.520532,0,2,74570,73400,1170
1782821,21.5366,7.89834,1182,79180,0.517966,0,2,74582,73400,1182
1782821,20.3445,6.91105,1194,79180,0.51697,0,2,74594,73400,1194
1782821,19.3014,6.04717,1206,79180,0.517349,0,2,74606,73400,1206
1782821,18.3888,5.29127,1218,79180,0.51893,0,2,74618,73400,1218
1782821,17.5902,4.62986,1230,79180,0.521564,0,2,74630,73400,1230
1782821,16.8914,4.05113,1242,79180,0.525118,0,2,74642,73400,1242
1782821,16.28,3.54474,1254,79180,0.529479,0,2,74654,73400,1254
1782821,15.37,3.10165,1263,79180,0.534544,0,2,74663,73400,1263
1782821,14.9487,2.71394,1275,79180,0.537726,0,2,74675,73400,1275
1782821,14.5801,2.3747,1287,77720,0.54176,0,2,74687,73400,1287
1782821,14.2576,2.07786,1299,76620,0.54654,0,2,74699,73400,1299
1782821,13.9754,1.81813,1311,76620,0.551973,0,2,74711,73400,1311
1782821,13.7285,1.59086,1323,76620,0.556726,0,2,74723,73400,1323
1782821,13.5124,1.392,1335,76620,0.562135,0,2,74735,73400,1335
1782821,13.3234,1.218,1347,76620,0.568118,0,2,74747,73400,1347
1782821,13.158,1.06575,1359,76620,0.570854,0,2,74759,73400,1359
1782821,13.0132,0.932534,1371,76620,0.574497,0,2,74771,73400,1371
1782821,12.8866,0.815967,1383,76620,0.578935,0,2,74783,73400,1383
1782821,12.7757,0.713971,1395,76620,0.582818,0,2,74795,73400,1395
