#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
417341,222.026,273.693,984,16060,0.966518,0,2,52313,51329,984
417341,184.604,107.478,2160,26280,0.975602,0,2,53489,51329,2160
417341,184.029,94.0432,2340,1460,0.969902,0,2,53669,51329,2340
417341,185.025,82.2878,2532,5840,0.967414,0,2,53861,51329,2532
417341,179.897,72.0019,2676,7300,0.952737,0,2,54005,51329,2676
417341,161.91,63.0016,2712,8760,0.937395,0,2,54041,51329,2712
417341,147.671,55.1264,2760,10220,0.928971,0,2,54089,51329,2760
417341,154.712,48.2356,2964,11680,0.916599,0,2,54293,51329,2964
420261,138.373,315.456,802,13140,0.900774,0,2,54317,53515,802
421721,142.077,295.274,816,14600,0.884428,0,2,54485,53669,816
423181,127.317,258.99,835,16060,0.867624,0,2,54509,53674,835
424641,112.902,227.241,842,17520,0.860421,0,2,54521,53679,842
426101,116.79,221.586,804,18980,0.854119,0,2,54665,53861,804
445081,117.191,216.888,740,20440,0.861104,0,2,54785,54045,740
445081,119.042,189.777,872,21900,0.862216,0,2,54917,54045,872
446541,123.662,206.055,708,21900,0.865689,0,2,55073,54365,708
448001,130.704,200.298,728,22093,0.868728,0,2,55253,54525,728
449461,132.366,195.261,712,22093,0.876387,0,2,55397,54685,712
507861,271.304,424.957,1121,13140,0.984227,0,2,64393,63272,1121
509321,267.391,389.962,1216,14600,0.971198,0,2,64633,63417,1216
509321,238.967,341.217,1256,16060,0.959799,0,2,64673,63417,1256
509321,236.096,298.565,1472,17520,0.957324,0,2,64889,63417,1472
509321,217.709,261.244,1561,18387,0.956408,0,2,64978,63417,1561
512241,290.995,423.714,804,2140,0.953107,0,2,65782,64978,804
512241,353.621,370.749,1596,5840,0.957719,0,2,66574,64978,1596
512241,354.418,324.406,1956,5840,0.941754,0,2,66934,64978,1956
512241,338.616,283.855,2184,7300,0.925285,0,2,67162,64978,2184
