#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
27741,32.3531,91.6381,282,39420,0.0549163,0,1,1786,1504,282
30661,31.309,80.1834,306,42340,0.0704247,0,1,1810,1504,306
33581,30.3953,73.1604,306,45260,0.0883822,0,1,1834,1528,306
36501,29.5959,64.0154,330,48180,0.108544,0,1,1858,1528,330
39421,28.8964,59.0135,330,51100,0.13069,0,2,1882,1552,330
42341,30.5344,51.6368,372,54020,0.150621,0,2,1924,1552,372
45261,29.7176,62.4322,258,56940,0.172559,0,2,1948,1690,258
48181,29.0029,54.6282,282,59860,0.196303,0,2,1972,1690,282
51101,28.3775,50.7996,282,62780,0.221672,0,2,1996,1714,282
54021,27.8303,44.4497,306,65700,0.248505,0,2,2020,1714,306
56941,27.3515,41.8935,306,68620,0.276655,0,2,2044,1738,306
59861,26.9326,36.6568,330,71540,0.305989,0,2,2068,1738,330
62781,26.566,35.0747,330,74460,0.33139,0,2,2092,1762,330
65701,26.2453,30.6904,354,77380,0.350251,0,2,2116,1762,354
68621,25.9646,29.8541,354,80300,0.363226,0,2,2140,1786,354
71541,25.719,26.1223,378,83220,0.370904,0,2,2164,1786,378
74461,25.5042,25.857,378,86140,0.373813,0,2,2188,1810,378
77381,25.3161,22.6249,402,89060,0.372432,0,2,2212,1810,402
80301,25.1516,22.7968,402,91980,0.367189,0,2,2236,1834,402
83221,25.0077,19.9472,426,94900,0.35847,0,1,2260,1834,426
86141,24.8817,20.4538,426,97820,0.346623,0,1,2284,1858,426
89061,24.7715,17.8971,450,100740,0.331961,0,1,2308,1858,450
91981,24.6751,18.6599,450,103660,0.314764,0,1,2332,1882,450
94901,24.5907,16.3274,474,106580,0.295288,0,1,2356,1882,474
97821,24.5168,19.5365,456,109500,0.273759,0,1,2380,1924,456
100741,24.4522,17.0944,480,112420,0.250383,0,1,2404,1924,480
103661,24.3957,17.9576,480,115340,0.225345,0,1,2428,1948,480
106581,24.3462,15.7129,504,118260,0.20281,0,1,2452,1948,504
109501,24.303,16.7488,504,121180,0.182529,0,1,2476,1972,504
112421,24.2651,14.6552,528,124100,0.164276,0,1,2500,1972,528
115341,24.232,15.8233,528,127020,0.147849,0,1,2524,1996,528
118261,24.203,13.8454,552,129940,0.133064,0,1,2548,1996,552
121181,24.1776,15.1147,552,132860,0.119758,0,1,2572,2020,552
124101,24.1554,13.2254,576,135780,0.107782,0,1,2596,2020,576
127021,24.136,14.5722,576,138700,0.0970036,0,1,2620,2044,576
129941,24.119,12.7507,600,141620,0.0873033,0,1,2644,2044,600
131041,47.2291,14.1568,785,144540,0.0785729,0,1,2853,2068,785
220101,11.4995,0.162881,1466,117840,0.998693,0,2,32566,31100,1466
220101,11.5621,0.142521,1478,117840,0.987824,0,2,32578,31100,1478
220101,10.2418,0.124706,1479,117840,0.977041,0,2,32579,31100,1479
220101,10.4616,0.109118,1491,117840,0.962337,0,2,32591,31100,1491
220101,9.77888,0.0954779,1496,117840,0.951104,0,2,32596,31100,1496
220101,10.0565,0.0835432,1508,117840,0.938993,0,2,32608,31100,1508
220101,10.2995,0.0731003,1520,117680,0.929094,0,2,32620,31100,1520
220101,9.26203,0.0639628,1522,117060,0.922185,0,2,32622,31100,1522
220101,9.60427,0.0559674,1534,117060,0.913966,0,2,32634,31100,1534
220101,9.90374,0.0489715,1546,117060,0.907569,0,2,32646,31100,1546
220101,8.91577,0.0428501,1548,116860,0.903812,0,2,32648,31100,1548
220101,9.3013,0.0374938,1560,116860,0.898431,0,2,32660,31100,1560
220101,9.63864,0.0328071,1572,116860,0.894588,0,2,32672,31100,1572
220101,8.68381,0.0287062,1574,116660,0.893129,0,2,32674,31100,1574
220101,9.09833,0.0251179,1586,116660,0.889816,0,2,32686,31100,1586
220101,9.46104,0.0219782,1598,116660,0.887835,0,2,32698,31100,1598
220101,8.52841,0.0192309,1600,116460,0.887051,0,2,32700,31100,1600
220101,8.96236,0.016827,1612,116460,0.885346,0,2,32712,31100,1612
220101,8.46706,0.0147237,1617,116460,0.885812,0,2,32717,31100,1617
220101,8.90868,0.0128832,1629,116460,0.88423,0,2,32729,31100,1629
220101,9.2951,0.0112728,1641,116260,0.883807,0,2,32741,31100,1641
220101,8.38321,0.0098637,1643,115640,0.885427,0,2,32743,31100,1643
220101,8.83531,0.00863074,1655,115640,0.883884,0,2,32755,31100,1655
220101,9.23089,0.0075519,1667,115640,0.879496,0,2,32767,31100,1667
220101,8.32703,0.00660791,1669,115440,0.877546,0,2,32769,31100,1669
220101,8.78615,0.00578192,1681,115440,0.872791,0,2,32781,31100,1681
220101,7.93788,0.00505918,1683,115440,0.870512,0,2,32783,31100,1683
220101,8.44565,0.00442678,1695,115240,0.865461,0,2,32795,31100,1695
220101,8.01494,0.00387344,1700,115040,0.848915,0,2,32800,31100,1700
220101,8.51307,0.00338926,1712,113580,0.832023,0,2,32812,31100,1712
220101,8.94894,0.0029656,1724,112960,0.816821,0,2,32824,31100,1724
220101,8.08032,0.0025949,1726,109840,0.804139,0,2,32826,31100,1726
220101,8.57028,0.00227054,1738,105460,0.789725,0,2,32838,31100,1738
220101,8.999,0.00198672,1750,105260,0.775753,0,2,32850,31100,1750
220101,8.12412,0.00173838,1752,105260,0.765177,0,2,32852,31100,1752
220101,8.60861,0.00152108,1764,105260,0.75266,0,2,32864,31100,1764
220101,9.03253,0.00133095,1776,105060,0.739394,0,2,32876,31100,1776
220101,8.15346,0.00116458,1778,103800,0.729454,0,2,32878,31100,1778
220101,8.63428,0.00101901,1790,103800,0.717509,0,2,32890,31100,1790
220101,9.055,0.00089163,1802,103800,0.707758,0,2,32902,31100,1802
220101,8.17312,0.000780177,1804,103600,0.700982,0,2,32904,31100,1804
220101,8.65148,0.000682655,1816,103600,0.692884,0,2,32916,31100,1816
220101,8.19505,0.000597323,1821,103600,0.686596,0,2,32921,31100,1821
220101,8.67067,0.000522657,1833,103600,0.678936,0,2,32933,31100,1833
220101,9.08683,0.000457325,1845,103400,0.672042,0,2,32945,31100,1845
220101,8.20098,0.00040016,1847,102780,0.667838,0,2,32947,31100,1847
220101,8.67586,0.00035014,1859,102780,0.663054,0,2,32959,31100,1859
220101,9.09137,0.000306372,1871,102780,0.658749,0,2,32971,31100,1871
220101,8.20495,0.000268076,1873,102580,0.656874,0,2,32973,31100,1873
220101,8.67933,0.000234566,1885,102580,0.654187,0,2,32985,31100,1885
220101,7.84442,0.000205245,1887,102580,0.653768,0,2,32987,31100,1887
220101,7.86386,0.00017959,1895,102380,0.652391,0,2,32995,31100,1895
220101,8.38088,0.000157141,1907,102180,0.649152,0,2,33007,31100,1907
220101,8.83327,0.000137498,1919,102180,0.645237,0,2,33019,31100,1919
220101,9.22911,0.000120311,1931,102180,0.639713,0,2,33031,31100,1931
220101,9.57547,0.000105272,1943,102180,0.632742,0,2,33043,31100,1943
220101,9.87854,9.21132e-05,1955,102180,0.624468,0,2,33055,31100,1955
220101,10.1437,8.0599e-05,1967,102180,0.615021,0,2,33067,31100,1967
220101,10.3758,7.05242e-05,1979,102180,0.604519,0,2,33079,31100,1979
220101,10.5788,6.17086e-05,1991,102600,0.593067,0,2,33091,31100,1991
220101,10.7564,5.39951e-05,2003,102600,0.58076,0,2,33103,31100,2003
220101,10.9119,4.72457e-05,2015,102600,0.567684,0,2,33115,31100,2015
220101,11.0479,4.134e-05,2027,102600,0.553916,0,2,33127,31100,2027
220101,11.1669,3.61725e-05,2039,102600,0.539524,0,2,33139,31100,2039
220101,11.271,3.16509e-05,2051,102600,0.524572,0,2,33151,31100,2051
220101,11.3622,2.76945e-05,2063,102600,0.509115,0,2,33163,31100,2063
220101,11.4419,2.42327e-05,2075,102600,0.493203,0,2,33175,31100,2075
220101,11.5117,2.12036e-05,2087,102600,0.476883,0,2,33187,31100,2087
220101,11.5727,1.85532e-05,2099,102600,0.460195,0,2,33199,31100,2099
220101,11.6261,1.6234e-05,2111,102600,0.443175,0,1,33211,31100,2111
220101,11.6728,1.42048e-05,2123,102600,0.425858,0,1,33223,31100,2123
220101,11.7137,1.24292e-05,2135,102600,0.408272,0,1,33235,31100,2135
220101,11.7495,1.08755e-05,2147,102600,0.389445,0,1,33247,31100,2147
220101,11.7808,9.51609e-06,2159,102600,0.3705,0,1,33259,31100,2159
220101,11.8082,8.32658e-06,2171,102600,0.35045,0,1,33271,31100,2171
220101,11.8322,7.28576e-06,2183,102600,0.330405,0,1,33283,31100,2183
220101,11.8532,6.37504e-06,2195,102600,0.310365,0,1,33295,31100,2195
220101,11.8715,5.57816e-06,2207,102600,0.290328,0,1,33307,31100,2207
220101,11.8876,4.88089e-06,2219,102600,0.270295,0,1,33319,31100,2219
220101,11.9016,4.27078e-06,2231,102600,0.250266,0,1,33331,31100,2231
220101,11.9139,3.73693e-06,2243,102600,0.230239,0,1,33343,31100,2243
220101,11.9247,3.26981e-06,2255,102600,0.210215,0,1,33355,31100,2255
220101,11.9341,2.86109e-06,2267,102600,0.190194,0,1,33367,31100,2267
220101,11.9423,2.50345e-06,2279,102600,0.171174,0,1,33379,31100,2279
220101,11.9496,2.19052e-06,2291,102600,0.154057,0,1,33391,31100,2291
220101,11.9559,1.91671e-06,2303,102600,0.138651,0,1,33403,31100,2303
220101,11.9614,1.67712e-06,2315,102600,0.124786,0,1,33415,31100,2315
220101,11.9662,1.46748e-06,2327,102600,0.112308,0,1,33427,31100,2327
220101,11.9704,1.28404e-06,2339,102600,0.101077,0,1,33439,31100,2339
220101,11.9741,1.12354e-06,2351,102600,0.0909691,0,1,33451,31100,2351
220101,11.9774,9.83095e-07,2363,102600,0.0818722,0,1,33463,31100,2363
220101,10.7302,8.60208e-07,2365,102600,0.073685,0,1,33465,31100,2365
220101,10.8889,7.52682e-07,2377,101340,0.0663165,0,1,33477,31100,2377
220101,11.0278,6.58597e-07,2389,102600,0.0596848,0,1,33489,31100,2389
220101,9.89933,5.76272e-07,2391,102600,0.0537163,0,1,33491,31100,2391
220101,10.1619,5.04238e-07,2403,101340,0.0483447,0,1,33503,31100,2403
