#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
27741,32.3531,92.5056,271,39420,0.0452524,0,1,1786,1515,271
30661,31.309,82.6924,281,42340,0.0557272,0,1,1810,1529,281
33581,30.3953,74.1058,291,45260,0.0691545,0,1,1834,1543,291
36501,29.5959,66.5926,301,48180,0.085239,0,1,1858,1557,301
39421,28.8964,60.0185,311,51100,0.103715,0,1,1882,1571,311
42341,30.5344,54.2662,339,54020,0.126344,0,1,1924,1585,339
45261,29.7176,61.4829,251,56940,0.150709,0,1,1948,1697,251
48181,29.0029,55.5476,261,56940,0.172638,0,1,1972,1711,261
51101,28.3775,50.3541,271,59860,0.196374,0,1,1996,1725,271
54021,27.8303,45.8099,281,62780,0.221737,0,1,2020,1739,281
56941,27.3515,41.8336,291,65700,0.248563,0,1,2044,1753,291
59861,26.9326,38.3544,301,68620,0.276707,0,1,2068,1767,301
62781,26.566,35.3101,311,71540,0.305036,0,1,2092,1781,311
65701,26.2453,32.6464,321,74460,0.326533,0,1,2116,1795,321
68621,25.9646,30.3156,331,77380,0.341879,0,1,2140,1809,331
71541,25.719,28.2761,341,80300,0.351691,0,1,2164,1823,341
74461,25.5042,26.4916,351,80300,0.356522,0,1,2188,1837,351
77381,25.3161,24.6801,363,80300,0.35687,0,1,2212,1849,363
80301,25.1516,23.0951,375,80300,0.353183,0,1,2236,1861,375
83221,25.0077,21.7082,387,80300,0.345865,0,1,2260,1873,387
86141,24.8817,20.4947,399,80300,0.335278,0,1,2284,1885,399
89061,24.7715,19.4329,411,80300,0.32175,0,1,2308,1897,411
91981,24.6751,18.5038,423,80300,0.305575,0,1,2332,1909,423
94901,24.5907,17.6908,435,83220,0.287018,0,1,2356,1921,435
97821,24.5168,16.9794,447,86140,0.266316,0,1,2380,1933,447
100741,24.4522,16.357,459,86140,0.243684,0,1,2404,1945,459
103661,24.3957,15.8124,471,86140,0.219316,0,1,2428,1957,471
106581,24.3462,16.2108,476,86140,0.197384,0,1,2452,1976,476
109501,24.303,15.1845,492,86140,0.177646,0,1,2476,1984,492
112421,24.2651,15.2864,500,86140,0.159881,0,1,2500,2000,500
115341,24.232,14.3756,516,86140,0.143893,0,1,2524,2008,516
118261,24.203,14.5787,524,86140,0.129504,0,1,2548,2024,524
121181,24.1776,13.7563,540,86140,0.116554,0,1,2572,2032,540
124101,24.1554,14.0368,548,86140,0.104898,0,1,2596,2048,548
127021,24.136,13.2822,564,86140,0.0944084,0,1,2620,2056,564
129941,24.119,13.6219,572,86140,0.0849675,0,1,2644,2072,572
131041,47.2291,12.9192,773,86140,0.0764708,0,1,2853,2080,773
133961,4391.2,4353.43,835,86140,0.168824,0,1,37652,36817,835
136881,3845.3,3810.25,851,5840,0.251941,0,1,37676,36825,851
138341,3391.14,3334.97,1055,5840,0.326747,0,1,37888,36833,1055
141261,2988.75,2918.6,1223,5840,0.394072,0,1,38060,36837,1223
144181,2634.65,2554.77,1371,5840,0.454665,0,1,38216,36845,1371
147101,2315.82,2236.43,1447,5840,0.509199,0,1,38300,36853,1447
150021,2029.34,1957.87,1463,5840,0.558279,0,1,38324,36861,1463
157321,1202.32,1149.98,1571,5840,0.710187,0,2,38456,36885,1571
157321,1053.53,1006.23,1583,5840,0.739168,0,2,38468,36885,1583
157321,923.341,880.453,1595,5840,0.765251,0,2,38480,36885,1595
157321,824.423,770.397,1727,5840,0.788726,0,2,38612,36885,1727
157321,724.37,674.097,1751,5840,0.809853,0,2,38636,36885,1751
157321,635.324,589.835,1763,5840,0.828868,0,2,38648,36885,1763
157321,557.408,516.106,1775,5840,0.845981,0,2,38660,36885,1775
157321,489.232,451.592,1787,5840,0.861383,0,2,38672,36885,1787
157321,429.578,395.143,1799,5840,0.875245,0,2,38684,36885,1799
157321,377.381,345.75,1811,5840,0.88772,0,2,38696,36885,1811
157321,331.708,302.532,1823,5840,0.898948,0,2,38708,36885,1823
157321,291.745,264.715,1835,5840,0.909054,0,2,38720,36885,1835
157321,258.277,231.626,1859,5840,0.918148,0,2,38744,36885,1859
157321,228.992,202.673,1883,5840,0.926333,0,2,38768,36885,1883
157321,201.868,177.338,1895,5840,0.9337,0,2,38780,36885,1895
157321,188.635,155.171,1991,5840,0.94033,0,2,38876,36885,1991
157321,166.555,135.775,2003,5840,0.946297,0,2,38888,36885,2003
177761,176.831,301.828,816,5840,0.945501,0,2,39284,38468,816
186521,312.762,425.337,684,5840,0.930856,0,2,40808,40124,684
186521,365.166,372.17,1416,5840,0.91677,0,2,41540,40124,1416
190901,537.021,613.648,852,1460,0.925093,0,2,43280,42428,852
192361,543.393,643.442,588,5840,0.932584,0,2,43868,43280,588
193821,503.969,564.387,805,87600,0.939325,0,2,44096,43291,805
195281,466.473,495.214,998,89060,0.945393,0,2,44300,43302,998
208421,384.154,409.444,1576,10220,0.91754,0,2,50585,49009,1576
208421,338.759,358.264,1597,11680,0.884786,0,2,50606,49009,1597
208421,302.414,313.481,1645,13140,0.849308,0,2,50654,49009,1645
208421,266.113,274.296,1657,14600,0.816377,0,2,50666,49009,1657
208421,247.474,240.009,1774,16060,0.785739,0,2,50783,49009,1774
208421,266.789,210.008,2176,17520,0.730165,0,2,51185,49009,2176
208421,191.923,140.689,2293,21900,0.58792,0,1,51302,49009,2293
208421,175.433,123.103,2353,23360,0.544128,0,1,51362,49009,2353
208421,177.504,107.715,2545,24820,0.498716,0,1,51554,49009,2545
208421,165.816,94.2504,2629,26280,0.459844,0,1,51638,49009,2629
208421,155.589,82.4691,2713,26651,0.42386,0,1,51722,49009,2713
208421,146.64,72.1605,2797,26651,0.390474,0,1,51806,49009,2797
208421,138.81,63.1404,2881,26651,0.362426,0,1,51890,49009,2881
208421,136.084,55.2479,2998,26651,0.341184,0,1,52007,49009,2998
252221,327.198,553.217,624,1460,0.399065,0,1,53672,53048,624
253681,384.924,562.065,789,5840,0.459159,0,1,54461,53672,789
255141,348.808,501.807,805,7300,0.513243,0,1,54557,53752,805
256601,324.332,449.081,878,8760,0.561919,0,1,54710,53832,878
260981,288.839,331.233,1117,14600,0.712575,0,2,55658,54541,1117
260981,282.734,289.829,1357,16060,0.741317,0,2,55898,54541,1357
260981,272.893,253.6,1561,17520,0.767186,0,2,56102,54541,1561
260981,268.781,221.9,1801,18980,0.790467,0,2,56342,54541,1801
260981,265.183,194.163,2041,20440,0.80342,0,2,56582,54541,2041
