#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
27741,48.4396,97.9399,342,39420,0.112904,0.05,1,1906,1564,342
30661,48.3847,85.6974,390,42340,0.136613,0.09,1,1954,1564,390
33581,48.3366,80.9852,390,45260,0.161952,0.09,1,2002,1612,390
36501,48.2945,70.8621,438,48180,0.188757,0.13,1,2050,1612,438
39421,48.2577,68.0043,438,51100,0.216881,0.13,1,2098,1660,438
42341,48.2255,59.5038,486,54020,0.246193,0.15,1,2146,1660,486
45261,48.1973,58.8158,480,56940,0.276574,0.15,1,2194,1714,480
48181,48.1726,51.4638,528,59860,0.307916,0.19,1,2242,1714,528
51101,48.1511,51.0308,528,62780,0.340125,0.19,1,2290,1762,528
54021,48.1322,44.652,576,65700,0.373112,0.23,1,2338,1762,576
56941,48.1157,45.0705,576,68620,0.406801,0.23,1,2386,1810,576
59861,48.1012,39.4367,624,71540,0.441121,0.27,1,2434,1810,624
62781,48.0886,40.5071,624,74460,0.471009,0.27,1,2482,1858,624
65701,48.0775,35.4437,672,77380,0.493908,0.31,1,2530,1858,672
68621,48.0678,37.0132,672,80300,0.510517,0.31,1,2578,1906,672
71541,48.0593,32.3866,720,83220,0.521465,0.35,1,2626,1906,720
74461,48.0519,34.3383,720,86140,0.527319,0.35,1,2674,1954,720
77381,48.0454,30.046,768,89060,0.528587,0.39,1,2722,1954,768
80301,48.0397,32.2902,768,91980,0.525728,0.39,1,2770,2002,768
83221,48.0348,28.254,816,94900,0.519155,0.43,1,2818,2002,816
86141,48.0304,30.7222,816,97820,0.50924,0.43,1,2866,2050,816
89061,48.0266,26.8819,864,100740,0.496316,0.47,1,2914,2050,864
91981,48.0233,29.5217,864,103660,0.480684,0.47,1,2962,2098,864
94901,48.0204,25.8315,912,106580,0.462616,0.51,1,3010,2098,912
97821,48.0178,28.6025,912,109500,0.442354,0.51,1,3058,2146,912
100741,48.0156,25.0272,960,112420,0.420119,0.55,1,3106,2146,960
103661,48.0137,27.8988,960,115340,0.396107,0.55,1,3154,2194,960
106581,48.0119,24.4115,1008,118260,0.370496,0.59,1,3202,2194,1008
109501,48.0105,27.36,1008,121180,0.343447,0.59,1,3250,2242,1008
112421,48.0091,23.94,1056,124100,0.315102,0.63,1,3298,2242,1056
115341,48.008,26.9475,1056,127020,0.285592,0.63,1,3346,2290,1056
118261,48.007,23.5791,1104,129940,0.257033,0.67,1,3394,2290,1104
121181,48.0061,26.6317,1104,132860,0.231329,0.67,1,3442,2338,1104
124101,48.0054,23.3027,1152,132860,0.208196,0.71,1,3490,2338,1152
127021,48.0047,26.3899,1152,132860,0.187377,0.71,1,3538,2386,1152
129941,48.0041,23.0912,1200,132860,0.168639,0.75,1,3586,2386,1200
131041,69.2536,26.2048,1370,132860,0.151775,0,1,3804,2434,1370
133961,2927.97,3027.8,270,132860,0.236598,0,1,26743,26473,270
136881,2567.98,2649.33,318,134320,0.312938,0,1,26791,26473,318
139801,2252.98,2318.16,366,135780,0.381644,0,1,26839,26473,366
142721,1977.36,2028.39,414,137240,0.44348,0,1,26887,26473,414
145641,1736.19,1774.84,462,138700,0.499132,0,1,26935,26473,462
148561,1525.16,1552.99,510,140160,0.549219,0,1,26983,26473,510
151481,1340.52,1358.86,558,141620,0.594297,0,1,27031,26473,558
160241,913.886,910.333,702,146000,0.704242,0,2,27175,26473,702
163161,805.65,796.541,750,147460,0.733818,0,2,27223,26473,750
166081,710.944,696.974,798,148920,0.760436,0,2,27271,26473,798
169001,628.076,609.852,846,150380,0.784393,0,2,27319,26473,846
171921,555.566,533.62,894,151840,0.805953,0,2,27367,26473,894
174841,492.121,466.918,942,153300,0.825358,0,2,27415,26473,942
177761,436.606,408.553,990,154760,0.842822,0,2,27463,26473,990
180681,388.03,357.484,1038,156220,0.85854,0,2,27511,26473,1038
183601,345.526,312.799,1086,157680,0.872686,0,2,27559,26473,1086
186521,308.335,273.699,1134,159140,0.885417,0,2,27607,26473,1134
189441,275.793,239.486,1182,160600,0.896876,0,2,27655,26473,1182
192361,247.319,209.551,1230,162060,0.907188,0,2,27703,26473,1230
195281,222.404,183.357,1278,163520,0.916469,0,2,27751,26473,1278
198201,200.604,160.437,1326,164980,0.924822,0,2,27799,26473,1326
201121,181.528,140.383,1374,166440,0.93234,0,2,27847,26473,1374
204041,164.837,122.835,1422,167900,0.939106,0,2,27895,26473,1422
206961,150.233,107.48,1470,169360,0.945195,0,2,27943,26473,1470
212801,19.3,0.00110668,3201,97340,0.948471,0,2,29674,26473,3201
212801,19.8875,0.000968344,3225,97340,0.943624,0,2,29698,26473,3225
212801,20.4016,0.000847301,3249,97140,0.938261,0,2,29722,26473,3249
212801,20.8514,0.000741388,3273,95680,0.932435,0,2,29746,26473,3273
212801,21.245,0.000648715,3297,95480,0.927192,0,2,29770,26473,3297
212801,19.0894,0.000567626,3301,94020,0.922472,0,2,29774,26473,3301
212801,17.9532,0.000496672,3311,93820,0.917225,0,2,29784,26473,3311
212801,18.709,0.000434588,3335,92160,0.910503,0,2,29808,26473,3335
224481,19.3704,204.75,1721,90080,0.903452,1,2,29832,28111,1721
224481,19.9491,179.157,1745,100380,0.896107,0,2,29856,28111,1745
224481,20.4555,156.762,1769,100380,0.886496,0,2,29880,28111,1769
228861,20.8985,149.167,1697,100380,0.875847,1,2,29904,28207,1697
228861,21.2862,130.521,1721,98920,0.865262,0,2,29928,28207,1721
233241,21.6254,120.331,1696,98920,0.853736,1,2,29952,28256,1696
233241,21.9223,105.289,1720,97460,0.840362,0,2,29976,28256,1720
237621,22.182,98.1283,1696,97460,0.825326,0.98,2,30000,28304,1696
243461,22.4092,91.8622,1672,97460,0.808793,1,2,30024,28352,1672
243461,22.6081,80.3795,1696,94540,0.790914,0,2,30048,28352,1696
243461,22.7821,70.332,1720,94540,0.772823,0,2,30072,28352,1720
247841,22.9343,70.5405,1672,94540,0.75354,1,2,30096,28424,1672
247841,23.0675,61.723,1696,93080,0.733186,0,2,30120,28424,1696
247841,23.1841,54.0076,1720,93080,0.711868,0,2,30144,28424,1720
247841,23.5815,27.701,1840,75680,0.599203,0,1,30264,28424,1840
247841,23.6338,24.2384,1864,75680,0.575282,0,1,30288,28424,1864
247841,23.6796,21.2086,1888,75680,0.552754,0,1,30312,28424,1888
247841,23.7196,18.5575,1912,75680,0.531479,0,1,30336,28424,1912
247841,23.7547,16.2378,1936,75680,0.509331,0,1,30360,28424,1936
247841,23.7854,14.2081,1960,75680,0.488398,0,1,30384,28424,1960
247841,23.8122,12.4321,1984,75680,0.468558,0,1,30408,28424,1984
247841,23.8357,10.8781,2008,75680,0.448702,0,1,30432,28424,2008
247841,23.8562,9.5183,2032,75680,0.428832,0,1,30456,28424,2032
247841,23.8742,8.32851,2056,75680,0.408949,0,1,30480,28424,2056
247841,23.8899,7.28745,2080,75680,0.389054,0,1,30504,28424,2080
247841,23.9037,6.37652,2104,75680,0.369149,0,1,30528,28424,2104
247841,23.9157,5.57945,2128,75680,0.349234,0,1,30552,28424,2128
247841,23.9262,4.88202,2152,75680,0.33031,0,1,30576,28424,2152
247841,23.9355,4.27177,2176,75680,0.311279,0,1,30600,28424,2176
247841,23.9435,3.7378,2200,75680,0.292151,0,1,30624,28424,2200
247841,23.9506,3.27057,2224,75680,0.272936,0,1,30648,28424,2224
247841,23.9568,2.86175,2248,75680,0.253643,0,1,30672,28424,2248
247841,23.9622,2.50403,2272,75680,0.234278,0,1,30696,28424,2272
247841,23.9669,2.19103,2296,75680,0.214851,0,1,30720,28424,2296
247841,23.971,1.91715,2320,75680,0.195365,0,1,30744,28424,2320
247841,23.9747,1.67751,2344,75680,0.175829,0,1,30768,28424,2344
247841,22.6028,1.46782,2357,75680,0.158246,0,1,30781,28424,2357
247841,22.7775,1.28434,2381,75040,0.142421,0,1,30805,28424,2381
247841,22.9303,1.1238,2405,75040,0.128179,0,1,30829,28424,2405
