#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
27741,48.4396,97.9399,342,39420,0.112904,0.05,1,1906,1564,342
30661,48.3847,85.6974,390,42340,0.136613,0.09,1,1954,1564,390
33581,48.3366,80.9852,390,45260,0.161952,0.09,1,2002,1612,390
36501,48.2945,70.8621,438,48180,0.188757,0.13,1,2050,1612,438
39421,48.2577,68.0043,438,51100,0.216881,0.13,1,2098,1660,438
42341,48.2255,59.5038,486,54020,0.246193,0.15,1,2146,1660,486
45261,48.1973,58.8158,480,56940,0.276574,0.15,1,2194,1714,480
48181,48.1726,51.4638,528,59860,0.307916,0.19,1,2242,1714,528
51101,48.1511,51.0308,528,62780,0.340125,0.19,1,2290,1762,528
54021,48.1322,44.652,576,65700,0.373112,0.23,1,2338,1762,576
56941,48.1157,45.0705,576,68620,0.406801,0.23,1,2386,1810,576
59861,48.1012,39.4367,624,71540,0.441121,0.27,1,2434,1810,624
62781,48.0886,40.5071,624,74460,0.471009,0.27,1,2482,1858,624
65701,48.0775,35.4437,672,77380,0.493908,0.31,1,2530,1858,672
68621,48.0678,37.0132,672,80300,0.510517,0.31,1,2578,1906,672
71541,48.0593,32.3866,720,83220,0.521465,0.35,1,2626,1906,720
74461,48.0519,34.3383,720,86140,0.527319,0.35,1,2674,1954,720
77381,48.0454,30.046,768,89060,0.528587,0.39,1,2722,1954,768
80301,48.0397,32.2902,768,91980,0.525728,0.39,1,2770,2002,768
83221,48.0348,28.254,816,94900,0.519155,0.43,1,2818,2002,816
86141,48.0304,30.7222,816,97820,0.50924,0.43,1,2866,2050,816
89061,48.0266,26.8819,864,100740,0.496316,0.47,1,2914,2050,864
91981,48.0233,29.5217,864,103660,0.480684,0.47,1,2962,2098,864
94901,48.0204,25.8315,912,106580,0.462616,0.51,1,3010,2098,912
97821,48.0178,28.6025,912,109500,0.442354,0.51,1,3058,2146,912
100741,48.0156,25.0272,960,112420,0.420119,0.55,1,3106,2146,960
103661,48.0137,27.8988,960,115340,0.396107,0.55,1,3154,2194,960
106581,48.0119,24.4115,1008,118260,0.370496,0.59,1,3202,2194,1008
109501,48.0105,27.36,1008,121180,0.343447,0.59,1,3250,2242,1008
112421,48.0091,23.94,1056,124100,0.315102,0.63,1,3298,2242,1056
115341,48.008,26.9475,1056,127020,0.285592,0.63,1,3346,2290,1056
118261,48.007,23.5791,1104,129940,0.257033,0.67,1,3394,2290,1104
121181,48.0061,26.6317,1104,132860,0.231329,0.67,1,3442,2338,1104
124101,48.0054,23.3027,1152,132860,0.208196,0.71,1,3490,2338,1152
127021,48.0047,26.3899,1152,132860,0.187377,0.71,1,3538,2386,1152
129941,48.0041,23.0912,1200,132860,0.168639,0.75,1,3586,2386,1200
131041,69.2536,26.2048,1370,132860,0.151775,0,1,3804,2434,1370
133961,190.097,289.929,270,132860,0.236598,0,1,4840,4570,270
136881,172.335,253.688,318,132860,0.312938,0,1,4888,4570,318
139801,156.793,221.977,366,132860,0.381644,0,1,4936,4570,366
142721,143.194,194.23,414,132860,0.44348,0,1,4984,4570,414
145641,131.295,169.951,462,132860,0.499132,0,1,5032,4570,462
148561,120.883,148.707,510,132860,0.549219,0,1,5080,4570,510
151481,111.772,130.119,558,134320,0.594297,0,1,5128,4570,558
160241,90.7225,87.1695,702,134320,0.704242,0,2,5272,4570,702
163161,85.3822,76.2733,750,134320,0.733818,0,2,5320,4570,750
166081,80.7094,66.7391,798,134320,0.760436,0,2,5368,4570,798
169001,76.6208,58.3967,846,134320,0.784393,0,2,5416,4570,846
171921,73.0432,51.0971,894,134320,0.805953,0,2,5464,4570,894
174841,69.9128,44.71,942,134320,0.825358,0,2,5512,4570,942
177761,67.1737,39.1212,990,134320,0.842822,0,2,5560,4570,990
180681,64.777,34.2311,1038,135780,0.85854,0,2,5608,4570,1038
183601,62.6798,29.9522,1086,135780,0.872686,0,2,5656,4570,1086
186521,60.8449,26.2082,1134,135780,0.885417,0,2,5704,4570,1134
189441,59.2393,22.9322,1182,135780,0.896876,0,2,5752,4570,1182
192361,57.8343,20.0656,1230,135780,0.907188,0,2,5800,4570,1230
195281,56.6051,17.5574,1278,135780,0.916469,0,2,5848,4570,1278
198201,55.5294,15.3628,1326,135780,0.924822,0,2,5896,4570,1326
201121,54.5882,13.4424,1374,135780,0.93234,0,2,5944,4570,1374
204041,53.7647,11.7621,1422,137240,0.939106,0,2,5992,4570,1422
206961,53.0441,10.2918,1470,137240,0.945195,0,2,6040,4570,1470
212801,17.9412,0.022124,2489,93680,0.946261,0,2,7059,4570,2489
212801,18.6985,0.0193585,2513,93480,0.942634,0,2,7083,4570,2513
212801,16.8612,0.0169387,2517,93480,0.941371,0,2,7087,4570,2517
212801,17.7536,0.0148214,2541,93480,0.938234,0,2,7111,4570,2541
212801,18.5344,0.0129687,2565,93480,0.936411,0,2,7135,4570,2565
212801,16.7176,0.0113476,2569,93280,0.936769,0,2,7139,4570,2569
212801,17.6279,0.00992915,2593,93280,0.935093,0,2,7163,4570,2593
212801,18.4244,0.008688,2617,93280,0.934583,0,2,7187,4570,2617
212801,16.6213,0.007602,2621,93080,0.936125,0,2,7191,4570,2621
212801,17.5437,0.00665175,2645,93080,0.935512,0,2,7215,4570,2645
212801,16.6007,0.00582028,2655,93080,0.936961,0,2,7225,4570,2655
212801,17.5256,0.00509275,2679,93080,0.936265,0,2,7249,4570,2679
212801,18.3349,0.00445616,2703,92880,0.936639,0,2,7273,4570,2703
212801,16.5431,0.00389914,2707,92260,0.938975,0,2,7277,4570,2707
212801,17.4752,0.00341174,2731,92260,0.939077,0,2,7301,4570,2731
212801,18.2908,0.00298528,2755,92260,0.94017,0,2,7325,4570,2755
212801,16.5044,0.00261212,2759,92060,0.943153,0,2,7329,4570,2759
212801,17.4414,0.0022856,2783,92060,0.943837,0,2,7353,4570,2783
212801,18.2612,0.0019999,2807,92060,0.943454,0,2,7377,4570,2807
212801,16.4786,0.00174991,2811,91860,0.945108,0,2,7381,4570,2811
212801,17.4187,0.00153117,2835,91860,0.944597,0,2,7405,4570,2835
212801,18.2414,0.00133978,2859,91860,0.943138,0,2,7429,4570,2859
212801,16.4612,0.00117231,2863,91660,0.943824,0,2,7433,4570,2863
212801,17.4036,0.00102577,2887,91660,0.941441,0,2,7457,4570,2887
212801,16.4781,0.000897546,2897,91660,0.935297,0,2,7467,4570,2897
212801,17.4184,0.000785353,2921,91660,0.928768,0,2,7491,4570,2921
212801,18.2411,0.000687184,2945,91460,0.921891,0,2,7515,4570,2945
212801,16.4609,0.000601286,2949,90840,0.916702,0,2,7519,4570,2949
212801,17.4033,0.000526125,2973,90840,0.910032,0,2,7543,4570,2973
212801,18.2279,0.00046036,2997,90840,0.905028,0,2,7567,4570,2997
212801,16.4494,0.000402815,3001,90640,0.902526,0,2,7571,4570,3001
212801,17.3932,0.000352463,3025,90640,0.897273,0,2,7595,4570,3025
212801,15.7191,0.000308405,3029,90640,0.893546,0,2,7599,4570,3029
212801,16.7542,0.000269854,3053,89380,0.888191,0,2,7623,4570,3053
212801,15.1599,0.000236123,3057,87520,0.885372,0,2,7627,4570,3057
212801,14.5149,0.000206607,3067,87520,0.880835,0,2,7637,4570,3067
212801,15.7006,0.000180781,3091,87320,0.874751,0,2,7661,4570,3091
212801,16.738,0.000158184,3115,85240,0.869276,0,2,7685,4570,3115
212801,15.1457,0.000138411,3119,83780,0.866349,0,2,7689,4570,3119
212801,16.2525,0.000121109,3143,82320,0.861714,0,2,7713,4570,3143
212801,17.221,0.000105971,3167,80460,0.857542,0,2,7737,4570,3167
212801,15.5683,9.27244e-05,3171,77340,0.854788,0,2,7741,4570,3171
212801,16.6223,8.11338e-05,3195,74620,0.850309,0,2,7765,4570,3195
212801,15.7945,7.09921e-05,3205,74220,0.846278,0,2,7775,4570,3205
212801,16.8202,6.21181e-05,3229,72760,0.840651,0,2,7799,4570,3229
