#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
27741,32.3531,92.5056,271,39420,0.0452524,0,1,1786,1515,271
30661,31.309,82.6924,281,42340,0.0557272,0,1,1810,1529,281
33581,30.3953,74.1058,291,45260,0.0691545,0,1,1834,1543,291
36501,29.5959,66.5926,301,48180,0.085239,0,1,1858,1557,301
39421,28.8964,60.0185,311,51100,0.103715,0,1,1882,1571,311
42341,30.5344,54.2662,339,54020,0.126344,0,1,1924,1585,339
45261,29.7176,61.4829,251,56940,0.150709,0,1,1948,1697,251
48181,29.0029,55.5476,261,56940,0.172638,0,1,1972,1711,261
51101,28.3775,50.3541,271,59860,0.196374,0,1,1996,1725,271
54021,27.8303,45.8099,281,62780,0.221737,0,1,2020,1739,281
56941,27.3515,41.8336,291,65700,0.248563,0,1,2044,1753,291
59861,26.9326,38.3544,301,68620,0.276707,0,1,2068,1767,301
62781,26.566,35.3101,311,71540,0.305036,0,1,2092,1781,311
65701,26.2453,32.6464,321,74460,0.326533,0,1,2116,1795,321
68621,25.9646,30.3156,331,77380,0.341879,0,1,2140,1809,331
71541,25.719,28.2761,341,80300,0.351691,0,1,2164,1823,341
74461,25.5042,26.4916,351,80300,0.356522,0,1,2188,1837,351
77381,25.3161,24.6801,363,80300,0.35687,0,1,2212,1849,363
80301,25.1516,23.0951,375,80300,0.353183,0,1,2236,1861,375
83221,25.0077,21.7082,387,80300,0.345865,0,1,2260,1873,387
86141,24.8817,20.4947,399,80300,0.335278,0,1,2284,1885,399
89061,24.7715,19.4329,411,80300,0.32175,0,1,2308,1897,411
91981,24.6751,18.5038,423,80300,0.305575,0,1,2332,1909,423
94901,24.5907,17.6908,435,83220,0.287018,0,1,2356,1921,435
97821,24.5168,16.9794,447,86140,0.266316,0,1,2380,1933,447
100741,24.4522,16.357,459,86140,0.243684,0,1,2404,1945,459
103661,24.3957,15.8124,471,86140,0.219316,0,1,2428,1957,471
106581,24.3462,16.2108,476,86140,0.197384,0,1,2452,1976,476
109501,24.303,15.1845,492,86140,0.177646,0,1,2476,1984,492
112421,24.2651,15.2864,500,86140,0.159881,0,1,2500,2000,500
115341,24.232,14.3756,516,86140,0.143893,0,1,2524,2008,516
118261,24.203,14.5787,524,86140,0.129504,0,1,2548,2024,524
121181,24.1776,13.7563,540,86140,0.116554,0,1,2572,2032,540
124101,24.1554,14.0368,548,86140,0.104898,0,1,2596,2048,548
127021,24.136,13.2822,564,86140,0.0944084,0,1,2620,2056,564
129941,24.119,13.6219,572,86140,0.0849675,0,1,2644,2072,572
131041,47.2291,12.9192,773,86140,0.0764708,0,1,2853,2080,773
132501,4305.2,4254.8,936,86140,0.168824,0,1,36964,36028,936
132501,3769.05,3722.95,952,5840,0.251941,0,1,36980,36028,952
132501,3323.42,3257.58,1156,5840,0.326747,0,1,37184,36028,1156
132501,2919.99,2850.39,1252,5840,0.394072,0,1,37280,36028,1252
132501,2562.49,2494.09,1312,5840,0.454665,0,1,37340,36028,1312
132501,2249.68,2182.33,1372,5840,0.509199,0,1,37400,36028,1372
132501,1971.47,1909.54,1396,5840,0.558279,0,1,37424,36028,1396
132501,1170.86,1119.34,1552,5840,0.710187,0,2,37580,36028,1552
132501,1026,979.418,1564,5840,0.739168,0,2,37592,36028,1564
132501,899.252,856.991,1576,5840,0.765251,0,2,37604,36028,1576
132501,788.346,749.867,1588,5840,0.788726,0,2,37616,36028,1588
132501,691.302,656.134,1600,5840,0.809853,0,2,37628,36028,1600
132501,606.39,574.117,1612,5840,0.828868,0,2,37640,36028,1612
132501,532.091,502.352,1624,5840,0.845981,0,2,37652,36028,1624
132501,467.08,439.558,1636,5840,0.861383,0,2,37664,36028,1636
132501,410.195,384.614,1648,5840,0.875245,0,2,37676,36028,1648
132501,360.42,336.537,1660,5840,0.88772,0,2,37688,36028,1660
132501,316.868,294.47,1672,5840,0.898948,0,2,37700,36028,1672
132501,278.759,257.661,1684,5840,0.909054,0,2,37712,36028,1684
132501,245.414,225.453,1696,5840,0.918148,0,2,37724,36028,1696
132501,216.238,197.272,1708,5840,0.926333,0,2,37736,36028,1708
132501,199.708,172.613,1792,5840,0.9337,0,2,37820,36028,1792
132501,176.244,151.036,1804,5840,0.94033,0,2,37832,36028,1804
132501,155.714,132.157,1816,5840,0.946297,0,2,37844,36028,1816
282881,244.355,293.384,1464,15822,0.949687,0,2,53132,51668,1464
282881,242.311,256.711,1692,15822,0.932719,0,2,53360,51668,1692
282881,228.522,224.622,1824,15822,0.915447,0,2,53492,51668,1824
282881,216.457,196.544,1956,15822,0.900902,0,2,53624,51668,1956
282881,208.9,171.976,2112,15822,0.888812,0,2,53780,51668,2112
282881,193.912,150.479,2201,15822,0.872931,0,2,53869,51668,2201
282881,180.173,131.669,2285,1460,0.860638,0,2,53953,51668,2285
299621,232.651,393.336,660,5840,0.847574,0,2,54553,53893,660
301081,226.07,364.169,680,7300,0.841816,0,2,54733,54053,680
302541,221.811,338.648,712,8760,0.840635,0,2,54925,54213,712
304001,212.085,316.317,696,10220,0.843571,0,2,55069,54373,696
305461,206.574,299.277,684,11680,0.846214,0,2,55237,54553,684
308381,201.752,281.867,692,13140,0.852593,0,2,55405,54713,692
309841,202.033,266.634,736,14600,0.862334,0,2,55609,54873,736
312761,197.779,253.305,744,15822,0.8761,0,2,55777,55033,744
315681,216.557,241.642,932,15822,0.88849,0,2,56125,55193,932
318601,235.987,251.436,984,15822,0.899641,0,2,56497,55513,984
321521,251.489,260.007,1024,15822,0.909677,0,2,56857,55833,1024
322981,272.053,267.506,1120,18742,0.918709,0,2,57273,56153,1120
324441,266.546,254.068,1188,18742,0.926838,0,2,57501,56313,1188
324441,236.728,222.309,1216,18742,0.934155,0,2,57529,56313,1216
324441,235.637,194.521,1444,18742,0.940739,0,2,57757,56313,1444
324441,234.682,170.206,1672,18742,0.946665,0,2,57985,56313,1672
452921,259.507,277.085,996,17554,0.937757,0,2,79798,78802,996
455841,257.569,273.449,992,17554,0.918981,0,2,80042,79050,992
457301,274.373,301.268,888,17471,0.902083,0,2,80434,79546,888
458761,274.576,294.61,916,17212,0.890875,0,2,80710,79794,916
460221,267.254,288.783,884,17024,0.882787,0,2,80926,80042,884
461681,265.347,283.685,888,16812,0.875508,0,2,81178,80290,888
463141,265.179,279.225,904,16636,0.873958,0,2,81442,80538,904
