#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
1,0,0,22200,0,0,0,1,23200,1000,22200
1,0,0,25200,14600,0,0,1,26200,1000,25200
1,0,0,25200,14600,0,0,1,26200,1000,25200
1,750,0,31200,14600,0,0,1,32200,1000,31200
1,1406.25,0,37200,14600,0,0,1,38200,1000,37200
1,1980.47,0,43200,14600,0,0,1,44200,1000,43200
1461,1885.91,2775,22224,14600,0,0,1,45424,23200,22224
4381,1656.17,2428.12,22272,16060,0,0,1,45472,23200,22272
7301,1455.15,2124.61,22320,17520,0,0,1,45520,23200,22320
10221,1279.26,1859.03,22368,18980,0,0,1,45568,23200,22368
13141,1125.35,1626.65,22416,20440,0,0,1,45616,23200,22416
14601,1012.68,1423.32,22640,21900,0,0,1,45840,23200,22640
17521,3615.1,4023.41,22248,23360,0,0,1,67672,45424,22248
20441,3169.21,3526.48,22248,24820,0,0,1,67720,45472,22248
23361,2779.06,3085.67,22296,26280,0,0,1,67768,45472,22296
26281,2437.68,2705.96,22296,27740,0,0,1,67816,45520,22296
29201,2138.97,2373.72,22296,29200,0,0,1,67864,45568,22296
32121,1877.6,2077,22344,30660,0,0,1,67912,45568,22344
35041,1648.9,1823.38,22344,32120,0,0,1,67960,45616,22344
37961,1458.78,1623.45,22248,33580,0,0,1,68088,45840,22248
40881,4005.44,4149.52,22248,35040,0,0,1,89920,67672,22248
43801,3510.76,3630.83,22296,36500,0,0,1,89968,67672,22296
46721,3077.91,3182.98,22296,37960,0,0,1,90016,67720,22296
49641,2699.17,2791.11,22296,39420,0,0,1,90064,67768,22296
52561,2367.78,2442.22,22344,40880,0,0,1,90112,67768,22344
55481,2077.8,2142.94,22344,42340,0,0,1,90160,67816,22344
58401,1824.08,1881.07,22344,43800,0,0,1,90208,67864,22344
61321,1602.07,1645.94,22392,45260,0,0,1,90256,67864,22392
64241,1407.81,1446.2,22392,46720,0,0,1,90304,67912,22392
67161,1237.83,1271.42,22392,48180,0,0,1,90352,67960,22392
70081,1089.1,1112.49,22440,49640,0,0,1,90400,67960,22440
