#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
1,0,0,222,0,0,0,1,1222,1000,222
1461,0,222,246,14600,0,0,1,1468,1222,246
4381,48,194.25,294,16060,0.001,0,1,1516,1222,294
7301,48,169.969,342,17520,0.0039,0,1,1564,1222,342
10221,48,148.723,390,18980,0.00851,0,1,1612,1222,390
13141,48,130.132,438,20440,0.014659,0,1,1660,1222,438
16061,48.75,113.866,492,21900,0.0201931,0,1,1714,1222,492
18981,48.6562,130.383,294,23360,0.0271738,0.01,1,1762,1468,294
21901,48.5742,120.085,294,24820,0.0354564,0.03,1,1810,1516,294
24821,48.5024,111.074,294,26280,0.0449108,0.03,1,1858,1564,294
27741,48.4396,97.1899,342,27740,0.0554197,0.05,1,1906,1564,342
30661,48.3847,91.0411,342,29200,0.0668777,0.07,1,1954,1612,342
33581,48.3366,85.661,342,30660,0.0791899,0.07,1,2002,1660,342
36501,48.2945,74.9534,390,32120,0.092271,0.07,1,2050,1660,390
39421,48.2577,72.3342,384,24820,0.100044,0.09,1,2098,1714,384
42341,48.2255,69.2924,384,24820,0.103039,0.09,1,2146,1762,384
45261,48.1973,60.6309,432,24820,0.103736,0.11,1,2194,1762,432
48181,48.1726,59.052,432,24820,0.104362,0.13,1,2242,1810,432
51101,48.1511,57.6705,432,24820,0.104926,0.13,1,2290,1858,432
54021,48.1322,50.4617,480,24820,0.105433,0.15,1,2338,1858,480
56941,48.1157,50.154,480,24820,0.10589,0.17,1,2386,1906,480
59861,48.1012,49.8847,480,24820,0.106301,0.17,1,2434,1954,480
62781,48.0886,43.6491,528,24820,0.106671,0.19,1,2482,1954,528
65701,48.0775,44.193,528,24820,0.107004,0.13,1,2530,2002,528
68621,48.0678,56.6689,432,23360,0.105303,0.11,1,2578,2146,432
71541,48.0593,55.5853,432,23360,0.103773,0.11,1,2626,2194,432
74461,48.0519,54.6371,432,23360,0.102396,0.11,1,2674,2242,432
77381,48.0454,53.8075,432,23360,0.101156,0.11,1,2722,2290,432
80301,48.0397,53.0815,432,23360,0.100041,0.11,1,2770,2338,432
83221,48.0348,52.4463,432,23360,0.0990365,0.11,1,2818,2386,432
86141,48.0304,51.8906,432,23360,0.0981328,0.11,1,2866,2434,432
89061,48.0266,51.4042,432,23360,0.0973195,0.09,1,2914,2482,432
91981,48.0233,56.9787,384,21900,0.0945876,0.09,1,2962,2578,384
94901,48.0204,55.8564,384,21900,0.0921288,0.09,1,3010,2626,384
97821,48.0178,54.8743,384,21900,0.089916,0.09,1,3058,2674,384
100741,48.0156,54.015,384,21900,0.0879244,0.09,1,3106,2722,384
103661,48.0137,53.2632,384,21900,0.0861319,0.09,1,3154,2770,384
106581,48.0119,52.6053,384,21900,0.0845187,0.09,1,3202,2818,384
109501,48.0105,52.0296,384,21900,0.0830669,0.09,1,3250,2866,384
112421,48.0091,51.5259,384,20440,0.0797602,0.07,1,3298,2914,384
115341,48.008,51.0852,384,20440,0.0767842,0.07,1,3346,2962,384
118261,48.007,50.6995,384,20440,0.0741057,0.07,1,3394,3010,384
121181,48.0061,50.3621,384,20440,0.0716952,0.07,1,3442,3058,384
124101,48.0054,50.0668,384,20440,0.0695256,0.07,1,3490,3106,384
127021,48.0047,49.8085,384,20440,0.0675731,0.07,1,3538,3154,384
129941,48.0041,49.5824,384,20440,0.0658158,0.05,1,3586,3202,384
132861,48.0036,55.3846,336,18980,0.0622342,0.05,1,3634,3298,336
135781,48.0031,54.4615,336,18980,0.0590108,0.05,1,3682,3346,336
138701,48.0028,53.6538,336,18980,0.0561097,0.05,1,3730,3394,336
141621,48.0024,52.9471,336,18980,0.0534987,0.05,1,3778,3442,336
144541,48.0021,52.3287,336,18980,0.0511489,0.05,1,3826,3490,336
147461,48.0018,51.7876,336,18980,0.049034,0.05,1,3874,3538,336
150381,48.0016,51.3142,336,17520,0.0451306,0.03,1,3922,3586,336
153301,48.0014,50.8999,336,17520,0.0416175,0.03,1,3970,3634,336
156221,48.0012,50.5374,336,17520,0.0384558,0.03,1,4018,3682,336
159141,48.0011,50.2202,336,17520,0.0356102,0.03,1,4066,3730,336
162061,48.0009,49.9427,336,17520,0.0330492,0.03,1,4114,3778,336
164981,48.0008,49.6999,336,17520,0.0307443,0.01,1,4162,3826,336
167901,48.0007,55.4874,288,16060,0.0276698,0.01,1,4210,3922,288
170821,48.0006,54.5515,288,16060,0.0259028,0.01,1,4258,3970,288
173741,48.0006,53.7325,288,16060,0.0243126,0.01,1,4306,4018,288
176661,48.0005,53.016,288,16060,0.0228813,0.01,1,4354,4066,288
179581,48.0004,52.389,288,16060,0.0215932,0.01,1,4402,4114,288
182501,48.7504,51.8403,294,16060,0.0194339,0,1,4456,4162,294
185421,48.6566,51.3603,294,16060,0.0184905,0.01,1,4504,4210,294
188341,48.5745,50.9403,294,16060,0.0176414,0.01,1,4552,4258,294
191261,48.5027,50.5727,294,16060,0.0168773,0.01,1,4600,4306,294
194181,48.4399,50.2511,294,16060,0.0161896,0.01,1,4648,4354,294
197101,49.1349,49.9697,300,16060,0.0145706,0,1,4702,4402,300
200021,48.993,50.4735,294,16060,0.0141135,0.01,1,4750,4456,294
202941,48.8689,50.1643,294,16060,0.0137022,0.01,1,4798,4504,294
205861,48.7603,49.8938,294,16060,0.013332,0.01,1,4846,4552,294
208781,48.6652,49.6571,294,16060,0.0129988,0.01,1,4894,4600,294
211701,49.3321,49.4499,300,16060,0.0116989,0,1,4948,4648,300
214621,49.1656,50.0187,294,16060,0.011529,0.01,1,4996,4702,294
217541,49.0199,49.7664,294,16060,0.0113761,0.01,1,5044,4750,294
220461,48.8924,49.5456,294,16060,0.0112385,0.01,1,5092,4798,294
223381,48.7808,49.3524,294,16060,0.0111146,0.01,1,5140,4846,294
226301,49.4332,49.1833,300,16060,0.0100032,0,1,5194,4894,300
229221,49.2541,49.7854,294,16060,0.0100029,0.01,1,5242,4948,294
232141,49.0973,49.5622,294,16060,0.0100026,0.01,1,5290,4996,294
235061,48.9602,49.367,294,16060,0.0100023,0.01,1,5338,5044,294
237981,48.8401,49.1961,294,16060,0.0100021,0.01,1,5386,5092,294
240901,49.4851,49.0466,300,16060,0.00900188,0,1,5440,5140,300
243821,49.2995,49.6658,294,16060,0.00910169,0.01,1,5488,5194,294
246741,49.137,49.4575,294,16060,0.00919152,0.01,1,5536,5242,294
249661,48.9949,49.2753,294,16060,0.00927237,0.01,1,5584,5290,294
252581,48.8706,49.1159,294,16060,0.00934513,0.01,1,5632,5338,294
255501,49.5117,48.9764,300,16060,0.00841062,0,1,5686,5386,300
258421,49.3228,49.6044,294,16060,0.00856956,0.01,1,5734,5440,294
261341,49.1574,49.4038,294,16060,0.0087126,0.01,1,5782,5488,294
264261,49.0127,49.2284,294,16060,0.00884134,0.01,1,5830,5536,294
267181,48.8861,49.0748,294,16060,0.00895721,0.01,1,5878,5584,294
270101,49.5254,48.9405,300,16060,0.00806149,0,1,5932,5632,300
273021,49.3347,49.5729,294,16060,0.00825534,0.01,1,5980,5686,294
275941,49.1679,49.3763,294,16060,0.0084298,0.01,1,6028,5734,294
278861,49.0219,49.2043,294,16060,0.00858682,0.01,1,6076,5782,294
281781,48.8942,49.0537,294,16060,0.00872814,0.01,1,6124,5830,294
284701,49.5324,48.922,300,16060,0.00785533,0,1,6178,5878,300
287621,49.3408,49.5568,294,16060,0.00806979,0.01,1,6226,5932,294
290541,49.1732,49.3622,294,16060,0.00826281,0.01,1,6274,5980,294
293461,49.0266,49.1919,294,16060,0.00843653,0.01,1,6322,6028,294
296381,48.8983,49.0429,294,16060,0.00859288,0.01,1,6370,6076,294
299301,49.536,48.9125,300,16060,0.00773359,0,1,6424,6124,300
302221,49.344,49.5485,294,16060,0.00796023,0.01,1,6472,6178,294
305141,49.176,49.3549,294,16060,0.00816421,0.01,1,6520,6226,294
308061,49.029,49.1855,294,16060,0.00834779,0.01,1,6568,6274,294
310981,48.9004,49.0374,294,16060,0.00851301,0.01,1,6616,6322,294
313901,49.5378,48.9077,300,16060,0.00766171,0,1,6670,6370,300
316821,49.3456,49.5442,294,16060,0.00789554,0.01,1,6718,6424,294
319741,49.1774,49.3512,294,16060,0.00810598,0.01,1,6766,6472,294
322661,49.0302,49.1823,294,16060,0.00829539,0.01,1,6814,6520,294
325581,48.9014,49.0345,294,16060,0.00846585,0.01,1,6862,6568,294
328501,49.5388,48.9052,300,16060,0.00761926,0,1,6916,6616,300
331421,49.3464,49.542,294,16060,0.00785734,0.01,1,6964,6670,294
334341,49.1781,49.3493,294,16060,0.0080716,0.01,1,7012,6718,294
337261,49.0308,49.1806,294,16060,0.00826444,0.01,1,7060,6766,294
340181,48.902,49.0331,294,16060,0.008438,0.01,1,7108,6814,294
343101,49.5392,48.9039,300,16060,0.0075942,0,1,7162,6862,300
346021,49.3468,49.5409,294,16060,0.00783478,0.01,1,7210,6916,294
348941,49.1785,49.3483,294,16060,0.0080513,0.01,1,7258,6964,294
351861,49.0312,49.1798,294,16060,0.00824617,0.01,1,7306,7012,294
354781,48.9023,49.0323,294,16060,0.00842155,0.01,1,7354,7060,294
357701,49.5395,48.9033,300,16060,0.0075794,0,1,7408,7108,300
360621,49.3471,49.5404,294,16060,0.00782146,0.01,1,7456,7162,294
363541,49.1787,49.3478,294,16060,0.00803931,0.01,1,7504,7210,294
366461,49.0313,49.1793,294,16060,0.00823538,0.01,1,7552,7258,294
369381,48.9024,49.0319,294,16060,0.00841184,0.01,1,7600,7306,294
372301,49.5396,48.9029,300,16060,0.00757066,0,1,7654,7354,300
375221,49.3472,49.5401,294,16060,0.00781359,0.01,1,7702,7408,294
378141,49.1788,49.3476,294,16060,0.00803223,0.01,1,7750,7456,294
381061,49.0314,49.1791,294,16060,0.00822901,0.01,1,7798,7504,294
383981,48.9025,49.0317,294,16060,0.00840611,0.01,1,7846,7552,294
386901,49.5397,48.9028,300,16060,0.0075655,0,1,7900,7600,300
389821,49.3472,49.5399,294,16060,0.00780895,0.01,1,7948,7654,294
392741,49.1788,49.3474,294,16060,0.00802805,0.01,1,7996,7702,294
395661,49.0315,49.179,294,16060,0.00822525,0.01,1,8044,7750,294
398581,48.9025,49.0316,294,16060,0.00840272,0.01,1,8092,7798,294
401501,49.5397,48.9027,300,16060,0.00756245,0,1,8146,7846,300
404421,49.3473,49.5398,294,16060,0.00780621,0.01,1,8194,7900,294
407341,49.1788,49.3474,294,16060,0.00802559,0.01,1,8242,7948,294
410261,49.0315,49.1789,294,16060,0.00822303,0.01,1,8290,7996,294
413181,48.9026,49.0316,294,16060,0.00840072,0.01,1,8338,8044,294
416101,49.5397,48.9026,300,16060,0.00756065,0,1,8392,8092,300
419021,49.3473,49.5398,294,16060,0.00780459,0.01,1,8440,8146,294
421941,49.1789,49.3473,294,16060,0.00802413,0.01,1,8488,8194,294
424861,49.0315,49.1789,294,16060,0.00822171,0.01,1,8536,8242,294
427781,48.9026,49.0315,294,16060,0.00839954,0.01,1,8584,8290,294
430701,49.5397,48.9026,300,16060,0.00755959,0,1,8638,8338,300
433621,49.3473,49.5398,294,16060,0.00780363,0.01,1,8686,8392,294
436541,49.1789,49.3473,294,16060,0.00802327,0.01,1,8734,8440,294
439461,49.0315,49.1789,294,16060,0.00822094,0.01,1,8782,8488,294
442381,48.9026,49.0315,294,16060,0.00839885,0.01,1,8830,8536,294
445301,49.5397,48.9026,300,16060,0.00755896,0,1,8884,8584,300
448221,49.3473,49.5398,294,16060,0.00780307,0.01,1,8932,8638,294
451141,49.1789,49.3473,294,16060,0.00802276,0.01,1,8980,8686,294
454061,49.0315,49.1789,294,16060,0.00822048,0.01,1,9028,8734,294
456981,48.9026,49.0315,294,16060,0.00839844,0.01,1,9076,8782,294
459901,49.5398,48.9026,300,16060,0.00755859,0,1,9130,8830,300
462821,49.3473,49.5398,294,16060,0.00780273,0.01,1,9178,8884,294
465741,49.1789,49.3473,294,16060,0.00802246,0.01,1,9226,8932,294
468661,49.0315,49.1789,294,16060,0.00822021,0.01,1,9274,8980,294
471581,48.9026,49.0315,294,16060,0.00839819,0.01,1,9322,9028,294
474501,49.5398,48.9026,300,16060,0.00755837,0,1,9376,9076,300
477421,49.3473,49.5398,294,16060,0.00780254,0.01,1,9424,9130,294
