#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
56941,48.4626,52.984,480,24820,0.10589,0.17,1,2440,1960,480
59861,48.4048,52.361,480,24820,0.106301,0.17,1,2488,2008,480
62781,48.3542,45.8159,528,24820,0.106671,0.19,1,2536,2008,528
65701,48.3099,46.0889,528,24820,0.107004,0.13,1,2584,2056,528
68621,48.2712,58.3278,432,23360,0.105303,0.11,1,2632,2200,432
71541,48.2373,57.0368,432,23360,0.103773,0.11,1,2680,2248,432
74461,48.2076,55.9072,432,23360,0.102396,0.11,1,2728,2296,432
77381,48.1817,54.9188,432,23360,0.101156,0.11,1,2776,2344,432
80301,48.159,54.054,432,23360,0.100041,0.11,1,2824,2392,432
83221,48.1391,53.2972,432,23360,0.0990365,0.11,1,2872,2440,432
86141,48.1217,52.6351,432,23360,0.0981328,0.11,1,2920,2488,432
89061,48.1065,52.0557,432,23360,0.0973195,0.09,1,2968,2536,432
91981,48.0932,57.5487,384,21900,0.0945876,0.09,1,3016,2632,384
94901,48.0815,56.3551,384,21900,0.0921288,0.09,1,3064,2680,384
97821,48.0713,55.3107,384,21900,0.089916,0.09,1,3112,2728,384
100741,48.0624,54.3969,384,21900,0.0879244,0.09,1,3160,2776,384
103661,48.0546,53.5973,384,21900,0.0861319,0.09,1,3208,2824,384
106581,48.0478,52.8976,384,21900,0.0845187,0.09,1,3256,2872,384
109501,48.0418,52.2854,384,21900,0.0830669,0.09,1,3304,2920,384
112421,48.0366,51.7497,384,20440,0.0797602,0.07,1,3352,2968,384
115341,48.032,51.281,384,20440,0.0767842,0.07,1,3400,3016,384
118261,48.028,50.8709,384,20440,0.0741057,0.07,1,3448,3064,384
121181,48.0245,50.512,384,20440,0.0716952,0.07,1,3496,3112,384
124101,48.0214,50.198,384,20440,0.0695256,0.07,1,3544,3160,384
127021,48.0188,49.9233,384,20440,0.0675731,0.07,1,3592,3208,384
129941,48.0164,49.6829,384,20440,0.0658158,0.05,1,3640,3256,384
132861,48.0144,55.4725,336,18980,0.0622342,0.05,1,3688,3352,336
135781,48.0126,54.5384,336,18980,0.0590108,0.05,1,3736,3400,336
138701,48.011,53.7211,336,18980,0.0561097,0.05,1,3784,3448,336
141621,48.0096,53.006,336,18980,0.0534987,0.05,1,3832,3496,336
144541,48.0084,52.3802,336,18980,0.0511489,0.05,1,3880,3544,336
147461,48.0074,51.8327,336,18980,0.049034,0.05,1,3928,3592,336
150381,48.0064,51.3536,336,17520,0.0451306,0.03,1,3976,3640,336
153301,48.0056,50.9344,336,17520,0.0416175,0.03,1,4024,3688,336
156221,48.0049,50.5676,336,17520,0.0384558,0.03,1,4072,3736,336
159141,48.0043,50.2467,336,17520,0.0356102,0.03,1,4120,3784,336
162061,48.0038,49.9658,336,17520,0.0330492,0.03,1,4168,3832,336
164981,48.0033,49.7201,336,17520,0.0307443,0.01,1,4216,3880,336
167901,48.0029,55.5051,288,17520,0.0286698,0.01,1,4264,3976,288
170821,48.0025,54.567,288,17520,0.0268028,0.01,1,4312,4024,288
173741,48.0022,53.7461,288,17520,0.0251226,0.01,1,4360,4072,288
176661,48.0019,53.0278,288,17520,0.0236103,0.01,1,4408,4120,288
179581,48.0017,52.3993,288,17520,0.0222493,0.01,1,4456,4168,288
182501,48.0015,51.8494,288,17520,0.0210243,0.01,1,4504,4216,288
185421,48.0013,51.3683,288,17520,0.0199219,0.01,1,4552,4264,288
188341,48.0011,50.9472,288,17520,0.0189297,0.01,1,4600,4312,288
191261,48.001,50.5788,288,17520,0.0180367,0.01,1,4648,4360,288
194181,48.0009,50.2565,288,17520,0.0172331,0.01,1,4696,4408,288
197101,48.0008,49.9744,288,17520,0.0165098,0.01,1,4744,4456,288
200021,48.0007,49.7276,288,17520,0.0158588,0.01,1,4792,4504,288
202941,48.0006,49.5117,288,17520,0.0152729,0.01,1,4840,4552,288
205861,48.0005,49.3227,288,17520,0.0147456,0.01,1,4888,4600,288
208781,48.0004,49.1574,288,17520,0.0142711,0.01,1,4936,4648,288
211701,48.0004,49.0127,288,17520,0.013844,0.01,1,4984,4696,288
214621,48.0003,48.8861,288,17520,0.0134596,0.01,1,5032,4744,288
217541,48.0003,48.7753,288,17520,0.0131136,0.01,1,5080,4792,288
220461,48.0003,48.6784,288,17520,0.0128022,0.01,1,5128,4840,288
223381,48.0002,48.5936,288,17520,0.012522,0.01,1,5176,4888,288
226301,48.0002,48.5194,288,17520,0.0122698,0.01,1,5224,4936,288
229221,48.0002,48.4545,288,17520,0.0120428,0.01,1,5272,4984,288
232141,48.0002,48.3977,288,17520,0.0118386,0.01,1,5320,5032,288
235061,48.0001,48.348,288,17520,0.0116547,0.01,1,5368,5080,288
237981,48.0001,48.3045,288,17520,0.0114892,0.01,1,5416,5128,288
240901,48.0001,48.2664,288,17520,0.0113403,0.01,1,5464,5176,288
243821,48.0001,48.2331,288,17520,0.0112063,0.01,1,5512,5224,288
246741,48.0001,48.204,288,17520,0.0110856,0.01,1,5560,5272,288
249661,48.0001,48.1785,288,17520,0.0109771,0.01,1,5608,5320,288
252581,48.0001,48.1562,288,17520,0.0108794,0.01,1,5656,5368,288
255501,48.0001,48.1366,288,17520,0.0107914,0.01,1,5704,5416,288
258421,48,48.1196,288,17520,0.0107123,0.01,1,5752,5464,288
261341,48,48.1046,288,17520,0.0106411,0.01,1,5800,5512,288
264261,48,48.0915,288,17520,0.010577,0.01,1,5848,5560,288
267181,48,48.0801,288,17520,0.0105193,0.01,1,5896,5608,288
270101,48,48.0701,288,17520,0.0104673,0.01,1,5944,5656,288
273021,48,48.0613,288,17520,0.0104206,0.01,1,5992,5704,288
275941,48,48.0537,288,17520,0.0103785,0.01,1,6040,5752,288
278861,48,48.047,288,17520,0.0103407,0.01,1,6088,5800,288
281781,48,48.0411,288,17520,0.0103066,0.01,1,6136,5848,288
284701,48,48.0359,288,17520,0.010276,0.01,1,6184,5896,288
287621,48,48.0315,288,17520,0.0102484,0.01,1,6232,5944,288
290541,48,48.0275,288,17520,0.0102235,0.01,1,6280,5992,288
293461,48,48.0241,288,17520,0.0102012,0.01,1,6328,6040,288
296381,48,48.0211,288,17520,0.0101811,0.01,1,6376,6088,288
299301,48,48.0184,288,17520,0.0101629,0.01,1,6424,6136,288
302221,48,48.0161,288,17520,0.0101467,0.01,1,6472,6184,288
305141,48,48.0141,288,17520,0.010132,0.01,1,6520,6232,288
308061,48,48.0124,288,17520,0.0101188,0.01,1,6568,6280,288
310981,48,48.0108,288,17520,0.0101069,0.01,1,6616,6328,288
313901,48,48.0095,288,17520,0.0100962,0.01,1,6664,6376,288
316821,48,48.0083,288,17520,0.0100866,0.01,1,6712,6424,288
319741,48,48.0072,288,17520,0.0100779,0.01,1,6760,6472,288
322661,48,48.0063,288,17520,0.0100701,0.01,1,6808,6520,288
325581,48,48.0055,288,17520,0.0100631,0.01,1,6856,6568,288
328501,48,48.0049,288,17520,0.0100568,0.01,1,6904,6616,288
331421,48,48.0042,288,17520,0.0100511,0.01,1,6952,6664,288
334341,48,48.0037,288,17520,0.010046,0.01,1,7000,6712,288
337261,48,48.0032,288,17520,0.0100414,0.01,1,7048,6760,288
340181,48,48.0028,288,17520,0.0100373,0.01,1,7096,6808,288
343101,48,48.0025,288,17520,0.0100336,0.01,1,7144,6856,288
346021,48,48.0022,288,17520,0.0100302,0.01,1,7192,6904,288
348941,48,48.0019,288,17520,0.0100272,0.01,1,7240,6952,288
351861,48,48.0017,288,17520,0.0100245,0.01,1,7288,7000,288
354781,48,48.0015,288,17520,0.010022,0.01,1,7336,7048,288
357701,48,48.0013,288,17520,0.0100198,0.01,1,7384,7096,288
360621,48,48.0011,288,17520,0.0100178,0.01,1,7432,7144,288
363541,48,48.001,288,17520,0.010016,0.01,1,7480,7192,288
366461,48,48.0009,288,17520,0.0100144,0.01,1,7528,7240,288
369381,48,48.0007,288,17520,0.010013,0.01,1,7576,7288,288
372301,48,48.0007,288,17520,0.0100117,0.01,1,7624,7336,288
375221,48,48.0006,288,17520,0.0100105,0.01,1,7672,7384,288
378141,48,48.0005,288,17520,0.0100095,0.01,1,7720,7432,288
