#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
56941,48.4626,48.2097,576,68620,0.406801,0.23,1,2440,1864,576
59861,48.4048,42.1835,624,71540,0.441121,0.27,1,2488,1864,624
62781,48.3542,42.9105,624,74460,0.476009,0.27,1,2536,1912,624
65701,48.3099,37.5467,672,77380,0.511408,0.31,1,2584,1912,672
68621,48.2712,38.8534,672,80300,0.547267,0.31,1,2632,1960,672
71541,48.2373,33.9967,720,83220,0.58354,0.35,1,2680,1960,720
83221,48.1391,29.1978,816,94900,0.722306,0.43,2,2872,2056,816
86141,48.1217,31.5481,816,97820,0.750075,0.43,2,2920,2104,816
89061,48.1065,27.6045,864,100740,0.775068,0.47,2,2968,2104,864
91981,48.0932,30.154,864,103660,0.797561,0.47,2,3016,2152,864
94901,48.0815,26.3847,912,106580,0.817805,0.51,2,3064,2152,912
97821,48.0713,29.0866,912,109500,0.836024,0.51,2,3112,2200,912
100741,48.0624,25.4508,960,112420,0.852422,0.55,2,3160,2200,960
103661,48.0546,28.2695,960,115340,0.86718,0.55,2,3208,2248,960
106581,48.0478,24.7358,1008,118260,0.880462,0.59,2,3256,2248,1008
109501,48.0418,27.6438,1008,121180,0.892416,0.59,2,3304,2296,1008
112421,48.0366,24.1883,1056,124100,0.903174,0.63,2,3352,2296,1056
115341,48.032,27.1648,1056,127020,0.912857,0.63,2,3400,2344,1056
118261,48.028,23.7692,1104,129940,0.921571,0.67,2,3448,2344,1104
121181,48.0245,26.798,1104,132860,0.929414,0.67,2,3496,2392,1104
124101,48.0214,23.4483,1152,132860,0.936472,0.71,2,3544,2392,1152
127021,48.0188,26.5172,1152,132860,0.942825,0.71,2,3592,2440,1152
129941,48.0164,23.2026,1200,132860,0.948543,0.75,2,3640,2440,1200
166441,33.49,10.1086,1657,119611,0.946283,0,2,4433,2776,1657
166441,32.3037,8.84499,1681,119210,0.942655,0,2,4457,2776,1681
166441,31.2657,7.73937,1705,117348,0.938389,0,2,4481,2776,1705
166441,30.3575,6.77195,1729,116946,0.93355,0,2,4505,2776,1729
166441,29.5628,5.92545,1753,115084,0.928195,0,2,4529,2776,1753
166441,28.8675,5.18477,1777,114682,0.924376,0,2,4553,2776,1777
166441,28.259,4.53668,1801,112821,0.919938,0,2,4577,2776,1801
166441,27.7267,3.96959,1825,112419,0.915944,0,2,4601,2776,1825
166441,27.2608,3.47339,1849,112017,0.91335,0,2,4625,2776,1849
166441,26.8532,3.03922,1873,108695,0.912015,0,2,4649,2776,1873
166441,26.4966,2.65932,1897,108293,0.909813,0,2,4673,2776,1897
166441,26.1845,2.3269,1921,106432,0.908832,0,2,4697,2776,1921
166441,25.9114,2.03604,1945,106030,0.906949,0,2,4721,2776,1945
166441,25.6725,1.78153,1969,102708,0.906254,0,2,4745,2776,1969
166441,25.4634,1.55884,1993,102306,0.904629,0,2,4769,2776,1993
166441,25.2805,1.36399,2017,100444,0.904166,0,2,4793,2776,2017
166441,25.1205,1.19349,2041,100043,0.904749,0,2,4817,2776,2041
166441,24.9804,1.0443,2065,96721,0.904274,0,2,4841,2776,2065
166441,24.8578,0.913765,2089,96319,0.904847,0,2,4865,2776,2089
166441,24.7506,0.799544,2113,95917,0.906362,0,2,4889,2776,2113
166441,24.6568,0.699601,2137,92420,0.907726,0,2,4913,2776,2137
166441,24.5747,0.612151,2161,92420,0.909953,0,2,4937,2776,2161
166441,24.5029,0.535632,2185,92420,0.911958,0,2,4961,2776,2185
166441,24.44,0.468678,2209,92420,0.914762,0,2,4985,2776,2209
166441,24.385,0.410093,2233,92420,0.917286,0,2,5009,2776,2233
166441,24.3369,0.358832,2257,90960,0.920557,0,2,5033,2776,2257
166441,24.2948,0.313978,2281,90960,0.923502,0,2,5057,2776,2281
166441,24.2579,0.27473,2305,90960,0.927152,0,2,5081,2776,2305
166441,23.2257,0.240389,2321,90960,0.932436,0,2,5097,2776,2321
166441,23.3225,0.21034,2345,90960,0.935193,0,2,5121,2776,2345
166441,21.6572,0.184048,2355,90960,0.937673,0,2,5131,2776,2355
166441,21.95,0.161042,2379,90960,0.939906,0,2,5155,2776,2379
166441,22.2063,0.140912,2403,89960,0.942915,0,2,5179,2776,2403
166441,19.9305,0.123298,2407,89340,0.945624,0,2,5183,2776,2407
166441,20.4392,0.107886,2431,89340,0.948062,0,2,5207,2776,2431
295361,23.9935,0.470735,2319,94900,0.945651,0,2,7256,4937,2319
295361,23.9943,0.411893,2343,94900,0.932086,0,2,7280,4937,2343
295361,23.995,0.360407,2367,94900,0.916877,0,2,7304,4937,2367
295361,23.9957,0.315356,2391,94900,0.902189,0,2,7328,4937,2391
295361,21.4962,0.275936,2395,94900,0.88897,0,2,7332,4937,2395
297441,23.0592,127.741,1409,94900,0.873073,0.98,2,7366,5957,1409
297441,23.1768,111.774,1433,96360,0.864766,0,2,7390,5957,1433
297441,21.5297,97.802,1443,96360,0.857289,0,2,7400,5957,1443
300361,24.8385,90.4518,1452,96360,0.84656,1,2,7448,5996,1452
301601,27.2337,79.1453,1496,97820,0.842904,1,2,7492,5996,1496
301601,26.8295,69.2522,1520,99280,0.841614,0,2,7516,5996,1520
304521,29.4758,65.2206,1531,99280,0.834453,1,2,7564,6033,1531
307441,31.7913,63.0681,1531,100740,0.793007,1,2,7612,6081,1531
310361,33.8174,58.1845,1555,102200,0.759707,1,2,7660,6105,1555
310361,32.5902,50.9115,1579,103660,0.734736,0,2,7684,6105,1579
310361,31.5164,44.5475,1603,103660,0.713262,0,2,7708,6105,1603
310361,25.7631,10.2544,1868,65740,0.599327,0,1,7973,6105,1868
310361,25.5427,8.97264,1892,65740,0.596394,0,1,7997,6105,1892
310361,25.3499,7.85106,1916,64280,0.593755,0,1,8021,6105,1916
310361,25.1811,6.86968,1940,64280,0.591379,0,1,8045,6105,1940
310361,25.0335,6.01097,1964,62780,0.589242,0,1,8069,6105,1964
310361,24.9043,5.2596,1988,62780,0.587317,0,1,8093,6105,1988
310361,24.7913,4.60215,2012,61320,0.585586,0,1,8117,6105,2012
310361,24.6924,4.02688,2036,61320,0.584027,0,1,8141,6105,2036
310361,24.6058,3.52352,2060,59860,0.582624,0,1,8165,6105,2060
310361,24.5301,3.08308,2084,59860,0.581362,0,1,8189,6105,2084
310361,24.4638,2.6977,2108,58400,0.580226,0,1,8213,6105,2108
310361,24.4059,2.36048,2132,58400,0.579203,0,1,8237,6105,2132
310361,24.3551,2.06542,2156,56940,0.578283,0,1,8261,6105,2156
310361,24.3107,1.80724,2180,56940,0.577455,0,1,8285,6105,2180
310361,24.2719,1.58134,2204,56940,0.576709,0,1,8309,6105,2204
310361,24.2379,1.38367,2228,56940,0.576038,0,1,8333,6105,2228
310361,24.2082,1.21071,2252,56940,0.575434,0,1,8357,6105,2252
310361,24.1821,1.05937,2276,56940,0.574891,0,1,8381,6105,2276
310361,24.1594,0.926952,2300,56940,0.573402,0,1,8405,6105,2300
310361,24.1395,0.811083,2324,55520,0.572062,0,1,8429,6105,2324
310361,24.122,0.709698,2348,55520,0.570855,0,1,8453,6105,2348
310361,24.1068,0.620985,2372,55520,0.56977,0,1,8477,6105,2372
310361,24.0934,0.543362,2396,55520,0.568793,0,1,8501,6105,2396
310361,24.0817,0.475442,2420,55520,0.567914,0,1,8525,6105,2420
310361,24.0715,0.416012,2444,55520,0.567122,0,1,8549,6105,2444
310361,24.0626,0.36401,2468,55520,0.56641,0,1,8573,6105,2468
310361,24.0548,0.318509,2492,55520,0.565769,0,1,8597,6105,2492
310361,24.0479,0.278695,2516,55520,0.565192,0,1,8621,6105,2516
310361,24.0419,0.243858,2540,55520,0.564673,0,1,8645,6105,2540
310361,24.0367,0.213376,2564,55520,0.564206,0,1,8669,6105,2564
310361,24.0321,0.186704,2588,55520,0.563785,0,1,8693,6105,2588
310361,24.0281,0.163366,2612,55520,0.563407,0,1,8717,6105,2612
314741,24.0246,203.643,1008,55520,0.563066,0.53,1,8741,7733,1008
319121,24.0215,184.188,984,62780,0.570759,0.53,1,8765,7781,984
320581,24.0188,167.164,960,62820,0.579683,0.54,1,8789,7829,960
326421,24.0165,149.269,960,62780,0.585715,0.54,1,8813,7853,960
327881,24.0144,136.61,936,62820,0.593144,0.55,1,8837,7901,936
329341,24.0126,122.534,936,62780,0.597829,0.56,1,8861,7925,936
430121,34.77,36.2748,936,75920,0.704225,0.56,2,9629,8693,936
433041,36.4237,37.7405,936,75920,0.714802,0.56,2,9677,8741,936
435961,37.8708,33.0229,984,75920,0.724322,0.56,2,9725,8741,984
438881,39.1369,28.8951,1032,75920,0.73289,0.64,2,9773,8741,1032
441801,40.2448,28.2832,1056,75920,0.740601,0.64,2,9821,8765,1056
444721,41.2142,30.7478,1056,75920,0.747541,0.64,2,9869,8813,1056
447641,42.0624,32.9043,1056,77380,0.755787,0.64,2,9917,8861,1056
450561,42.8046,34.7913,1056,77380,0.763208,0.64,2,9965,8909,1056
453481,43.4541,36.4424,1056,77380,0.769887,0.64,2,10013,8957,1056
456401,44.0223,37.8871,1056,77380,0.775898,0.64,2,10061,9005,1056
459321,44.5195,39.1512,1056,77380,0.781309,0.63,2,10109,9053,1056
462241,44.9546,40.2573,1056,78840,0.788178,0.63,2,10157,9101,1056
465161,45.3352,41.2251,1056,78840,0.79436,0.63,2,10205,9149,1056
468081,45.6683,42.072,1056,78840,0.799924,0.63,2,10253,9197,1056
471001,45.9598,42.813,1056,78840,0.804932,0.63,2,10301,9245,1056
473921,46.2148,43.4614,1056,78840,0.809438,0.65,2,10349,9293,1056
476841,46.438,41.1537,1079,78840,0.813495,0.65,2,10397,9318,1079
479761,46.6332,41.8845,1080,80300,0.819145,0.67,2,10445,9365,1080
482681,46.8041,39.6489,1104,80300,0.824231,0.67,2,10493,9389,1104
485601,46.9536,34.6928,1152,80300,0.828808,0.67,2,10541,9389,1152
488521,47.0844,30.3562,1200,80300,0.832927,0.77,2,10589,9389,1200
491441,47.1988,32.5617,1200,80300,0.836634,0.77,2,10637,9437,1200
494361,47.299,28.4915,1248,80300,0.839971,0.79,2,10685,9437,1248
497281,47.3866,30.93,1248,80300,0.842974,0.79,2,10733,9485,1248
500201,47.4633,33.0638,1248,81760,0.847676,0.79,2,10781,9533,1248
503121,47.5304,34.9308,1248,81760,0.851909,0.81,2,10829,9581,1248
506041,47.5891,36.5645,1248,81760,0.855718,0.81,2,10877,9629,1248
508961,47.6404,37.9939,1248,81760,0.859146,0.81,2,10925,9677,1248
511881,47.6854,39.2447,1248,81760,0.862231,0.81,2,10973,9725,1248
514801,47.7247,40.3391,1248,81760,0.865008,0.81,2,11021,9773,1248
517721,47.7591,41.2967,1248,81760,0.867507,0.81,2,11069,9821,1248
520641,47.7892,42.1346,1248,83220,0.871757,0.81,2,11117,9869,1248
523561,47.8156,36.8678,1296,83220,0.875581,0.83,2,11165,9869,1296
526481,47.8386,38.2593,1296,83220,0.879023,0.83,2,11213,9917,1296
529401,47.8588,39.4769,1296,83220,0.882121,0.83,2,11261,9965,1296
532321,47.8765,40.5423,1296,83220,0.884909,0.83,2,11309,10013,1296
535241,47.8919,41.4745,1296,83220,0.887418,0.83,2,11357,10061,1296
538161,47.9054,42.2902,1296,83220,0.889676,0.85,2,11405,10109,1296
541081,47.9172,43.0039,1296,83220,0.891708,0.85,2,11453,10157,1296
544001,47.9276,43.6284,1296,83220,0.893538,0.85,2,11501,10205,1296
546921,47.9366,44.1749,1296,84680,0.897184,0.85,2,11549,10253,1296
549841,47.9446,44.653,1296,84680,0.900465,0.85,2,11597,10301,1296
552761,47.9515,45.0714,1296,84680,0.903419,0.85,2,11645,10349,1296
555681,47.9575,45.4375,1296,84680,0.906077,0.85,2,11693,10397,1296
558601,47.9629,39.7578,1344,84680,0.908469,0.87,2,11741,10397,1344
561521,47.9675,40.7881,1344,84680,0.910622,0.87,2,11789,10445,1344
564441,47.9716,41.6895,1344,84680,0.91256,0.87,2,11837,10493,1344
567361,47.9751,42.4784,1344,84680,0.914304,0.87,2,11885,10541,1344
570281,47.9782,43.1686,1344,84680,0.915874,0.87,2,11933,10589,1344
573201,47.9809,43.7725,1344,84680,0.917286,0.87,2,11981,10637,1344
576121,47.9833,44.3009,1344,84680,0.918558,0.87,2,12029,10685,1344
579041,47.9854,44.7633,1344,84680,0.919702,0.89,2,12077,10733,1344
581961,47.9872,45.1679,1344,84680,0.920732,0.89,2,12125,10781,1344
584881,47.9888,45.5219,1344,84680,0.921659,0.89,2,12173,10829,1344
587801,47.9902,45.8317,1344,84680,0.922493,0.89,2,12221,10877,1344
590721,47.9914,46.1027,1344,86140,0.925243,0.89,2,12269,10925,1344
593641,47.9925,46.3399,1344,86140,0.927719,0.89,2,12317,10973,1344
596561,47.9935,46.5474,1344,86140,0.929947,0.89,2,12365,11021,1344
599481,47.9943,46.729,1344,86140,0.931952,0.89,2,12413,11069,1344
602401,47.995,40.8878,1392,86140,0.933757,0.91,2,12461,11069,1392
605321,47.9956,41.7769,1392,86140,0.935381,0.91,2,12509,11117,1392
608241,47.9962,42.5548,1392,86140,0.936843,0.91,2,12557,11165,1392
611161,47.9966,43.2354,1392,86140,0.938159,0.91,2,12605,11213,1392
614081,47.9971,43.831,1392,86140,0.939343,0.91,2,12653,11261,1392
617001,47.9974,44.3521,1392,86140,0.940409,0.91,2,12701,11309,1392
619921,47.9978,44.8081,1392,86140,0.941368,0.91,2,12749,11357,1392
622841,47.998,45.2071,1392,86140,0.942231,0.91,2,12797,11405,1392
625761,47.9983,45.5562,1392,86140,0.943008,0.91,2,12845,11453,1392
628681,47.9985,45.8617,1392,86140,0.943707,0.93,2,12893,11501,1392
631601,47.9987,46.129,1392,86140,0.944336,0.93,2,12941,11549,1392
634521,47.9988,46.3628,1392,86140,0.944903,0.93,2,12989,11597,1392
637441,47.999,46.5675,1392,86140,0.945413,0.93,2,13037,11645,1392
640361,47.9991,46.7466,1392,86140,0.945871,0.93,2,13085,11693,1392
643281,47.9992,46.9032,1392,86140,0.946284,0.93,2,13133,11741,1392
646201,47.9993,47.0403,1392,86140,0.946656,0.93,2,13181,11789,1392
649121,47.9994,47.1603,1392,86140,0.94699,0.93,2,13229,11837,1392
652041,47.9995,47.2653,1392,86140,0.947291,0.93,2,13277,11885,1392
654961,47.9995,47.3571,1392,86140,0.947562,0.93,2,13325,11933,1392
657881,47.9996,47.4375,1392,86140,0.947806,0.93,2,13373,11981,1392
660801,47.9997,47.5078,1392,86140,0.948025,0.93,2,13421,12029,1392
663721,47.9997,47.5693,1392,86140,0.948223,0.93,2,13469,12077,1392
666641,47.9997,47.6231,1392,86140,0.9484,0.93,2,13517,12125,1392
669561,47.9998,47.6702,1392,86140,0.94856,0.93,2,13565,12173,1392
811181,26.5285,4.81492,1897,90726,0.944391,0,2,16326,14429,1897
811181,26.2124,4.21305,1921,88793,0.935952,0,2,16350,14429,1921
811181,25.9359,3.68642,1945,88320,0.929357,0,2,16374,14429,1945
811181,25.6939,3.22562,1969,87847,0.922421,0,2,16398,14429,1969
811181,25.4822,2.82242,1993,87374,0.915179,0,2,16422,14429,1993
811181,25.2969,2.46961,2017,86901,0.907661,0,2,16446,14429,2017
811181,25.1348,2.16091,2041,86428,0.901895,0,2,16470,14429,2041
811181,24.9929,1.8908,2065,85955,0.892706,0,2,16494,14429,2065
811181,24.8688,1.65445,2089,85482,0.883435,0,2,16518,14429,2089
811181,24.7602,1.44764,2113,83550,0.876092,0,2,16542,14429,2113
811181,24.6652,1.26669,2137,83077,0.866482,0,2,16566,14429,2137
811181,24.582,1.10835,2161,82604,0.858834,0,2,16590,14429,2161
811181,24.5093,0.969808,2185,82131,0.850951,0,2,16614,14429,2185
811181,24.4456,0.848582,2209,80198,0.842856,0,2,16638,14429,2209
811181,24.3899,0.742509,2233,79725,0.83357,0,2,16662,14429,2233
811181,24.3412,0.649695,2257,77792,0.826213,0,2,16686,14429,2257
811181,24.2985,0.568483,2281,77319,0.816592,0,2,16710,14429,2281
811181,24.2612,0.497423,2305,75386,0.808933,0,2,16734,14429,2305
811181,24.2286,0.435245,2329,74913,0.801039,0,2,16758,14429,2329
811181,24.2,0.380839,2353,74440,0.792935,0,2,16782,14429,2353
811181,24.175,0.333235,2377,73967,0.783642,0,2,16806,14429,2377
811181,24.1531,0.29158,2401,73494,0.774278,0,2,16830,14429,2401
811181,24.134,0.255133,2425,73021,0.76585,0,2,16854,14429,2425
811181,24.1172,0.223241,2449,72548,0.756265,0,2,16878,14429,2449
811181,24.1026,0.195336,2473,72075,0.747638,0,2,16902,14429,2473
811181,24.0898,0.170919,2497,69740,0.740875,0,2,16926,14429,2497
811181,24.0785,0.149554,2521,69740,0.735787,0,2,16950,14429,2521
811181,24.0687,0.13086,2545,69740,0.730208,0,2,16974,14429,2545
811181,24.0601,0.114502,2569,68280,0.726188,0,2,16998,14429,2569
811181,24.0526,0.10019,2593,68280,0.721569,0,2,17022,14429,2593
811181,24.046,0.0876659,2617,66820,0.718412,0,2,17046,14429,2617
811181,24.0403,0.0767076,2641,66820,0.713571,0,2,17070,14429,2641
811181,24.0352,0.0671192,2665,66820,0.709214,0,2,17094,14429,2665
811181,24.0308,0.0587293,2689,66820,0.706292,0,2,17118,14429,2689
811181,24.027,0.0513881,2713,66820,0.704663,0,2,17142,14429,2713
811181,24.0236,0.0449646,2737,66820,0.703197,0,2,17166,14429,2737
811181,24.0207,0.039344,2761,66820,0.701877,0,2,17190,14429,2761
811181,24.0181,0.034426,2785,66820,0.700689,0,2,17214,14429,2785
827241,24.0071,168.014,1417,70080,0.701113,0,2,17382,15965,1417
827241,24.0062,147.012,1441,69740,0.706001,0,2,17406,15965,1441
827241,24.0054,128.635,1465,69740,0.710401,0,2,17430,15965,1465
827241,24.0048,112.556,1489,69740,0.714361,0,2,17454,15965,1489
827241,24.0042,98.4864,1513,69740,0.717925,0,2,17478,15965,1513
836001,24.0036,116.301,1296,69740,0.721133,0.86,2,17502,16206,1296
836001,24.0032,101.763,1320,70080,0.724019,0,2,17526,16206,1320
836001,24.0028,89.0427,1344,69740,0.726617,0,2,17550,16206,1344
836001,24.0024,77.9123,1368,69740,0.728956,0,2,17574,16206,1368
849141,24.0021,86.1733,1248,69740,0.73106,0.8,2,17598,16350,1248
849141,24.0019,75.4016,1272,70080,0.732954,0,2,17622,16350,1272
849141,24.0016,65.9764,1296,69740,0.734659,0,2,17646,16350,1296
849141,24.0014,57.7294,1320,69740,0.736193,0,2,17670,16350,1320
849141,24.0013,50.5132,1344,69740,0.736573,0,2,17694,16350,1344
856441,24.0011,65.1991,1200,69740,0.736916,0.77,2,17718,16518,1200
856441,24.001,57.0492,1224,70080,0.738225,0,2,17742,16518,1224
856441,24.0008,49.918,1248,69740,0.739402,0,2,17766,16518,1248
860821,24.0007,58.6783,1152,69740,0.740462,0.75,2,17790,16638,1152
