#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
192721,644,644,644,1460,0.042,0,1,80848,80204,644
194181,721.9,644,726,1460,0.1068,0,1,81574,80848,726
195641,811.295,721.9,816,1460,0.26472,0,1,82390,81574,816
197101,1066.56,811.295,1080,1460,0.705888,0,2,83470,82390,1080
198561,1763.33,1066.56,1800,1460,0.852355,0,2,85270,83470,1800
200021,1731.67,1763.33,1730,1460,0.748942,0,2,87000,85270,1730
201481,1449.83,1731.67,1435,1460,0.899577,0,2,88435,87000,1435
204401,1827.81,1463.29,1847,1460,0.803932,0,2,91746,89899,1847
205861,1485.99,1827.81,1468,1460,0.321573,0,1,93214,91746,1468
207321,686.1,1485.99,644,1460,0.128629,0,1,93858,93214,644
208781,646.105,686.1,644,1460,0.0514517,0,1,94502,93858,644
210241,644.105,646.105,644,1460,0.206581,0,1,95146,94502,644
211701,997.405,644.105,1016,1460,0.352632,0,1,96162,95146,1016
213161,1155.67,997.405,1164,1460,0.471053,0,1,97326,96162,1164
214621,1288.98,1155.67,1296,1460,0.554421,0,2,98622,97326,1296
216081,1364.05,1288.98,1368,1460,0.731768,0,2,99990,98622,1368
217541,1641.4,1364.05,1656,1460,0.892707,0,2,101646,99990,1656
219001,1467.17,1641.4,1458,1460,0.753083,0,2,103104,101646,1458
220461,1391.96,1467.17,1388,1460,0.715233,0,2,104492,103104,1388
221921,1450.9,1391.96,1454,1460,0.820093,0,2,105946,104492,1454
223381,1638.14,1450.9,1648,1460,0.730037,0,2,107594,105946,1648
224841,1419.51,1638.14,1408,1460,0.892015,0,2,109002,107594,1408
227761,1834.44,1766.73,1838,1460,0.724722,0,2,112625,110787,1838
229221,1340.02,1834.44,1314,1460,0.547889,0,2,113939,112625,1314
230681,1163.3,1340.02,1154,1460,0.645156,0,2,115093,113939,1154
232141,1471.77,1163.3,1488,1460,0.732062,0,2,116581,115093,1488
