#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
35041,644,644,644,1460,0,0,1,40296,39652,644
36501,644,644,644,1460,0,0,1,40940,40296,644
37961,644,644,644,1460,0,0,1,41584,40940,644
39421,644,644,644,1460,0,0,1,42228,41584,644
40881,644,644,644,1460,0,0,1,42872,42228,644
42341,644,644,644,1460,0,0,1,43516,42872,644
43801,644,644,644,1460,0,0,1,44160,43516,644
45261,644,644,644,1460,0,0,1,44804,44160,644
46721,644,644,644,1460,0,0,1,45448,44804,644
48181,644,644,644,1460,0,0,1,46092,45448,644
49641,644,644,644,1460,0,0,1,46736,46092,644
51101,644,644,644,1460,0,0,1,47380,46736,644
52561,644,644,644,1460,0,0,1,48024,47380,644
54021,644,644,644,1460,0,0,1,48668,48024,644
55481,644,644,644,1460,0,0,1,49312,48668,644
56941,644,644,644,1460,0,0,1,49956,49312,644
58401,644,644,644,1460,0,0,1,50600,49956,644
59861,644,644,644,1460,0,0,1,51244,50600,644
61321,644,644,644,1460,0,0,1,51888,51244,644
62781,644,644,644,1460,0,0,1,52532,51888,644
64241,644,644,644,1460,0,0,1,53176,52532,644
65701,644,644,644,1460,0,0,1,53820,53176,644
67161,644,644,644,1460,0,0,1,54464,53820,644
68621,644,644,644,1460,0,0,1,55108,54464,644
70081,644,644,644,1460,0,0,1,55752,55108,644
71541,644,644,644,1460,0,0,1,56396,55752,644
73001,644,644,644,1460,0,0,1,57040,56396,644
74461,644,644,644,1460,0,0,1,57684,57040,644
75921,644,644,644,1460,0,0,1,58328,57684,644
77381,644,644,644,1460,0,0,1,58972,58328,644
78841,644,644,644,1460,0,0,1,59616,58972,644
80301,644,644,644,1460,0,0,1,60260,59616,644
81761,644,644,644,1460,0,0,1,60904,60260,644
83221,644,644,644,1460,0,0,1,61548,60904,644
84681,644,644,644,1460,0,0,1,62192,61548,644
86141,644,644,644,1460,0,0,1,62836,62192,644
87601,644,644,644,1460,0,0,1,63480,62836,644
89061,644,644,644,1460,0,0,1,64124,63480,644
90521,644,644,644,1460,0,0,1,64768,64124,644
91981,644,644,644,1460,0,0,1,65412,64768,644
93441,644,644,644,1460,0,0,1,66056,65412,644
94901,644,644,644,1460,0,0,1,66700,66056,644
96361,644,644,644,1460,0,0,1,67344,66700,644
97821,644,644,644,1460,0,0,1,67988,67344,644
99281,644,644,644,1460,0,0,1,68632,67988,644
100741,644,644,644,1460,0,0,1,69276,68632,644
102201,644,644,644,1460,0,0,1,69920,69276,644
103661,644,644,644,1460,0,0,1,70564,69920,644
105121,644,644,644,1460,0,0,1,71208,70564,644
106581,644,644,644,1460,0,0,1,71852,71208,644
108041,644,644,644,1460,0,0,1,72496,71852,644
109501,644,644,644,1460,0,0,1,73140,72496,644
110961,644,644,644,1460,0,0,1,73784,73140,644
112421,644,644,644,1460,0,0,1,74428,73784,644
113881,644,644,644,1460,0,0,1,75072,74428,644
115341,644,644,644,1460,0,0,1,75716,75072,644
116801,644,644,644,1460,0,0,1,76360,75716,644
118261,644,644,644,1460,0,0,1,77004,76360,644
119721,644,644,644,1460,0,0,1,77648,77004,644
121181,644,644,644,1460,0,0,1,78292,77648,644
122641,644,644,644,1460,0,0,1,78936,78292,644
124101,644,644,644,1460,0,0,1,79580,78936,644
125561,644,644,644,1460,0,0,1,80224,79580,644
127021,644,644,644,1460,0,0,1,80868,80224,644
128481,644,644,644,1460,0,0,1,81512,80868,644
129941,644,644,644,1460,0,0,1,82156,81512,644
