#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
559181,201.056,201.462,1176,17217,0.457202,0.43,1,70032,68856,1176
569401,216.88,216.804,1200,17705,0.466706,0.47,1,70968,69768,1200
1131501,388.751,397.524,1801,14600,0.915564,0.87,2,109033,107232,1801
1163621,303.09,333.159,1543,15606,0.742262,0.43,2,109712,108169,1543
1203041,200.016,226.2,1080,17414,0.458315,0.33,1,112344,111264,1080
2093641,353.508,368.043,1800,17520,0.92886,0.97,2,164112,162312,1800
2102401,308.635,362.857,1416,18597,0.786449,0.55,2,164784,163368,1416
2105321,294.056,350.5,1344,18711,0.750804,0.41,2,164976,163632,1344
3277701,351.239,374.878,1703,20440,0.926925,0.94,2,226656,224953,1703
3327341,275.323,309.283,1535,21370,0.788242,0.71,2,227352,225817,1535
3330261,252.908,300.623,1391,21469,0.756418,0.59,2,227448,226057,1391
3336101,237.133,280.04,1343,21666,0.709599,0.55,2,227832,226489,1343
4914361,300.846,320.945,1440,13860,0.74825,0.67,2,303480,302040,1440
4937721,334.203,341.827,1512,15183,0.762398,0.77,2,306456,304944,1512
5080801,222.857,267.888,1416,21657,0.719366,0.65,2,320496,319080,1416
5616621,347.559,372.628,1656,7592,0.946184,0.91,2,353784,352128,1656
5680861,406.537,386.278,1984,13177,0.946973,1,2,366528,364544,1984
5691081,385.854,381.353,1888,13810,0.941609,0.97,2,367896,366008,1888
5714441,308.41,329.087,1520,15138,0.730615,0.57,2,370544,369024,1520
5718821,286.877,301.832,1496,15417,0.700098,0.59,2,370976,369480,1496
5962641,452.74,440.461,1944,1460,0.943351,0.86,2,392088,390144,1944
6807981,175.76,173.857,1680,36825,0.914338,0.87,2,460560,458880,1680
6920401,176.098,179.806,1800,38999,0.947379,0.99,2,466080,464280,1800
6923321,160.086,163.33,1800,39053,0.930641,0.99,2,466128,464328,1800
6926241,146.075,148.914,1800,39107,0.914577,0.91,2,466176,464376,1800
7018221,75.1339,89.6483,1248,40799,0.483061,0.51,1,469272,468024,1248
7021141,71.7421,84.4423,1248,40851,0.475755,0.55,1,469320,468072,1248
7056181,70.5403,78.5544,1152,41466,0.421531,0.41,1,470376,469224,1152
7059101,67.7227,74.7351,1152,41517,0.420378,0.41,1,470424,469272,1152
7062021,65.2574,71.3932,1152,41568,0.41934,0.43,1,470472,469320,1152
7102901,64.9467,65.2036,1128,42273,0.418963,0.43,1,471600,470472,1128
7105821,77.8284,78.0531,1128,42323,0.424067,0.43,1,471768,470640,1128
7111661,79.8374,79.6344,1128,42423,0.432994,0.45,1,471936,470808,1128
7114581,99.8577,99.6801,1128,42473,0.436695,0.41,1,472176,471048,1128
7421181,112.17,111.61,1488,47449,0.713281,0.71,2,481488,480000,1488
7424101,116.149,115.659,1488,47493,0.720953,0.71,2,481632,480144,1488
7470821,119.636,116.137,1536,48197,0.763845,0.75,2,483168,481632,1536
7659161,133.804,130.306,1728,50960,0.924504,0.91,2,489624,487896,1728
8311781,177.764,202.35,1488,22827,0.786484,0.73,2,547920,546432,1488
8314701,173.544,195.056,1488,22920,0.782836,0.73,2,548064,546576,1488
8333681,165.181,176.982,1488,23560,0.776633,0.75,2,549408,547920,1488
8339521,235.216,233.252,1576,23740,0.783172,0.75,2,550296,548720,1576
8530781,398.325,408.006,1776,11680,0.943958,0.84,2,563136,561360,1776
8546841,350.478,389.558,1392,13563,0.794268,0.63,2,565440,564048,1392
8549761,342.669,376.863,1392,13720,0.785841,0.63,2,565728,564336,1392
8735181,206.581,248.202,1392,22244,0.739044,0.65,2,583608,582216,1392
8738101,192.759,232.177,1368,22339,0.72214,0.53,2,583704,582336,1368
9141061,411.863,440.418,1656,14600,0.928091,0.79,2,608352,606696,1656
9155661,331.579,347.897,1592,15453,0.747279,0.55,2,609944,608352,1592
9161501,288.615,322.859,1392,15726,0.709796,0.57,2,610248,608856,1392
10500321,335.016,349.224,1751,21900,0.944742,0.93,2,686088,684337,1751
10541201,314.139,329.571,1727,21900,0.925268,0.89,2,686256,684529,1727
10544121,292.871,309.374,1703,21997,0.905741,0.87,2,686400,684697,1703
10789401,398.874,427.873,1680,11680,0.912243,0.71,2,703704,702024,1680
10796701,359.777,408.751,1392,12917,0.776515,0.41,2,704592,703200,1392
10799621,338.805,399.657,1248,13082,0.743864,0.43,2,704784,703536,1248
12374961,342.255,352.329,1801,23360,0.932717,0.85,2,787609,785808,1801
12420221,284.171,341.29,1295,23451,0.7953,0.53,2,788448,787153,1295
12431901,218.361,252.834,1295,23810,0.702102,0.51,2,788976,787681,1295
13123941,300.01,341.579,1416,17881,0.778966,0.55,2,826224,824808,1416
13129781,264.57,321.146,1200,18118,0.722263,0.51,2,826536,825336,1200
13322501,221.369,217.384,1488,25016,0.714519,0.73,2,839184,837696,1488
13570701,139.824,181.996,1440,31940,0.713696,0.67,2,854448,853008,1440
13573621,134.346,171.247,1440,32006,0.705326,0.65,2,854544,853104,1440
13576541,132.553,170.841,1392,32072,0.701794,0.63,2,854664,853272,1392
14021841,158.876,155.238,1744,40992,0.931521,0.89,2,873240,871496,1744
14392681,284.566,319.889,1584,21666,0.799712,0.73,2,889392,887808,1584
14395601,260.995,306.903,1464,21764,0.774741,0.69,2,889488,888024,1464
14404361,219.717,270.983,1296,22151,0.715513,0.55,2,890136,888840,1296
14407281,210.253,255.11,1296,22247,0.708961,0.57,2,890280,888984,1296
14816081,408.608,416.577,1848,1460,0.942112,0.95,2,914976,913128,1848
14829221,310.412,372.583,1248,7872,0.74949,0.49,2,916080,914832,1248
14851121,288.473,329.417,936,9823,0.44804,0.27,1,919032,918096,936
15824941,373.196,387.621,1752,1460,0.929046,0.87,2,983016,981264,1752
15833701,321.122,371.332,1392,5840,0.783724,0.39,2,983688,982296,1392
15836621,298.981,354.915,1296,7300,0.750352,0.43,2,983832,982536,1296
15839541,267.609,334.551,1152,9003,0.716317,0.43,2,983880,982728,1152
15886261,265.311,272.616,1104,12239,0.462622,0.37,1,989208,988104,1104
15903781,280.177,284.661,1200,13565,0.480582,0.47,1,991488,990288,1200
16004521,311.218,304.305,1536,18829,0.724869,0.77,2,1001112,999576,1536
16022041,316.408,311.787,1560,19495,0.763772,0.77,2,1002672,1001112,1560
16191401,369.181,398.638,1440,11779,0.767579,0.67,2,1017720,1016280,1440
16194321,329.033,354.808,1440,11959,0.763821,0.67,2,1017768,1016328,1440
16370981,178.182,226.926,1008,20807,0.41092,0.33,1,1036512,1035504,1008
16857161,177.257,181.326,1704,34158,0.917711,0.87,2,1060920,1059216,1704
16988561,378.961,393.48,1752,4380,0.910401,0.71,2,1068216,1066464,1752
17232381,157.816,214.064,1032,21860,0.49681,0.33,1,1094592,1093560,1032
17241141,157.63,196.781,1032,22246,0.460078,0.37,1,1095240,1094208,1032
18377021,342.197,356.831,1752,20440,0.936626,0.95,2,1147776,1146024,1752
18391621,293.962,313.103,1608,21666,0.797937,0.61,2,1148952,1147344,1608
18397461,244.564,285.094,1368,21861,0.762429,0.59,2,1149120,1147752,1368
18400381,234.994,270.458,1368,21958,0.749186,0.61,2,1149288,1147920,1368
18406221,230.167,260.319,1344,22151,0.730141,0.61,2,1149720,1148376,1344
18417901,205.437,223.487,1344,22532,0.708162,0.63,2,1150464,1149120,1344
18831081,92.973,103.066,1176,33879,0.496088,0.47,1,1174800,1173624,1176
18834001,102.351,111.183,1176,33941,0.49948,0.45,1,1174968,1173792,1176
19680801,181.024,179.011,1560,27829,0.765838,0.75,2,1214736,1213176,1560
19937761,131.877,153.222,1560,34060,0.742365,0.77,2,1229496,1227936,1560
19949441,129.991,148.673,1464,34308,0.704781,0.61,2,1230024,1228560,1464
20077921,136.291,129.787,1512,36923,0.728727,0.73,2,1235496,1233984,1512
20445841,339.988,358.485,1728,18980,0.945983,0.83,2,1251576,1249848,1728
20448761,318.49,343.675,1656,19818,0.908385,0.77,2,1251744,1250088,1656
20458981,265.582,302.77,1464,20242,0.793292,0.57,2,1252560,1251096,1464
20464821,244.586,279.809,1392,20451,0.754467,0.57,2,1252920,1251528,1392
20467741,235.013,271.832,1344,20555,0.73202,0.59,2,1253088,1251744,1344
20831281,395.209,402.114,1823,1460,0.945206,0.92,2,1277832,1276009,1823
20860481,363.808,384.849,1703,2920,0.907685,0.57,2,1277976,1276273,1703
21212341,223.119,215.449,1584,24653,0.772018,0.79,2,1314696,1313112,1584
21542301,160.17,158.676,1512,33353,0.740638,0.71,2,1333896,1332384,1512
21571501,178.148,173.396,1560,33981,0.782031,0.79,2,1335384,1333824,1560
21851821,130.928,162.333,1536,39720,0.729757,0.73,2,1348704,1347168,1536
21857661,119.742,154.661,1440,39826,0.720403,0.69,2,1348872,1347432,1440
21860581,110.774,141.329,1440,39879,0.717363,0.67,2,1348920,1347480,1440
21866421,107.686,131.455,1440,39985,0.706364,0.67,2,1349112,1347672,1440
21968621,124.143,128.872,1488,41795,0.741943,0.71,2,1353048,1351560,1488
22535101,174.649,164.645,1896,28476,0.934411,1,2,1382352,1380456,1896
22919081,175.059,174.007,1728,24339,0.903637,0.95,2,1414416,1412688,1728
22922001,189.177,188.256,1728,24426,0.910273,0.91,2,1414704,1412976,1728
22926381,255.339,233.633,1896,24599,0.916022,0.93,2,1415600,1413704,1896
23084061,221.987,225.531,1488,15323,0.703081,0.69,2,1428648,1427160,1488
23085521,294.239,273.339,1680,15462,0.705772,0.71,2,1429448,1427768,1680
23119101,305.268,281.969,1752,17162,0.765353,0.77,2,1432952,1431200,1752
27399821,233.935,331.439,720,13930,0.494424,0.07,1,1790664,1789944,720
28871501,329.862,340.254,1751,22630,0.919788,0.93,2,1863912,1862161,1751
28884641,260.929,290.45,1559,23095,0.767826,0.65,2,1864824,1863265,1559
28890481,232.023,273.001,1391,23278,0.722839,0.63,2,1865112,1863721,1391
29243801,387.74,400.831,1776,14600,0.925117,0.91,2,1887576,1885800,1776
29281761,333.786,383.374,1391,15033,0.79143,0.59,2,1888656,1887265,1391
29293441,316.608,363.68,1248,15590,0.721802,0.51,2,1889808,1888560,1248
29527041,433.482,442.44,1776,1460,0.942225,0.78,2,1909680,1907904,1776
29675961,318.414,345.428,1464,16566,0.798414,0.69,2,1933896,1932432,1464
29678881,308.612,332.25,1464,16694,0.781573,0.69,2,1934136,1932672,1464
29686181,292.183,320.831,1392,17072,0.736497,0.67,2,1934880,1933488,1392
29689101,279.661,304.727,1392,17196,0.727847,0.67,2,1935072,1933680,1392
29692021,271.703,293.636,1392,17319,0.722062,0.63,2,1935288,1933896,1392
29694941,267.74,286.932,1392,17442,0.712856,0.63,2,1935528,1934136,1392
29697861,258.273,279.065,1360,17564,0.71057,0.63,2,1935720,1934360,1360
29702241,257.24,277.659,1344,17805,0.702862,0.65,2,1936224,1934880,1344
30359241,356.927,368.49,1752,4380,0.946363,0.85,2,1977120,1975368,1752
30366541,339.348,351.672,1728,8760,0.931289,0.89,2,1978032,1976304,1728
30368001,308.929,325.713,1680,9003,0.92916,0.89,2,1978128,1976448,1680
30436621,367.181,365.081,1800,14030,0.932307,0.95,2,1989528,1987728,1800
30443921,424.639,425.154,1800,14479,0.943222,0.97,2,1991040,1989240,1800
30471661,372.048,392.557,1752,16018,0.904419,0.97,2,1994640,1992888,1752
31495121,320.35,336.142,1728,5840,0.928087,0.81,2,2047920,2046192,1728
31498041,307.306,333.125,1632,7300,0.926278,0.87,2,2048136,2046504,1632
31617761,365.997,346.722,1984,17351,0.948349,0.98,2,2064576,2062592,1984
31620681,347.248,332.382,1968,17473,0.936514,1,2,2064792,2062824,1968
31623601,321.842,308.834,1968,17594,0.927863,0.97,2,2064936,2062968,1968
31627981,278.91,287.826,1824,17835,0.911269,1,2,2065224,2063400,1824
31630901,262.046,269.848,1824,17954,0.905142,0.85,2,2065368,2063544,1824
31936041,221.305,212.972,1728,28253,0.911298,0.91,2,2089752,2088024,1728
32149201,197.748,208.343,1032,16537,0.422413,0.33,1,2103216,2102184,1032
32447041,228.865,226.649,1728,27141,0.924112,0.93,2,2123880,2122152,1728
32558001,197.316,218.446,1752,30033,0.941347,0.92,2,2131104,2129352,1752
32607641,158.678,165.295,1728,31208,0.926358,0.95,2,2133840,2132112,1728
32610561,150.843,162.633,1680,31276,0.924722,0.95,2,2133936,2132256,1680
32629541,177.892,182.966,1704,31747,0.926935,0.91,2,2135280,2133576,1704
32854381,93.6356,110.024,1152,36638,0.496774,0.45,1,2145960,2144808,1152
33174121,119.558,115.823,1560,42512,0.783712,0.77,2,2157600,2156040,1560
33604821,118.537,121.836,1080,25320,0.417962,0.37,1,2175912,2174832,1080
33607741,139.72,136.606,1128,25404,0.421166,0.41,1,2176200,2175072,1128
33610661,149.255,143.531,1152,25487,0.424049,0.41,1,2176416,2175264,1152
33953761,179.997,171.096,1728,34094,0.904387,0.89,2,2193768,2192040,1728
34139181,115.079,131.143,1704,37968,0.76365,0.83,2,2202936,2201232,1704
34387381,120.244,120.413,1560,42485,0.775465,0.77,2,2212416,2210856,1560
