#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
35041,1249.84,1231.64,1656,1460,0.613434,0,-1,51230,49574,1656
37961,1351.41,1328.1,1728,1460,0.671781,0,-1,54590,52862,1728
39421,1401.48,1378.09,1752,1460,0.703603,0,2,56342,54590,1752
40881,1454.29,1424.83,1824,1460,0.728243,0,2,58166,56342,1824
42341,1500.51,1474.72,1824,1460,0.755419,0,2,59990,58166,1824
51101,1375.26,1426.61,1080,1460,0.610457,0,-1,67982,66902,1080
52561,1332.36,1383.29,1032,1460,0.592411,0,-1,69014,67982,1032
68621,1413.12,1383.69,1632,1460,0.665733,0,-1,84182,82550,1632
70081,1446.48,1414.73,1680,1460,0.68816,0,-1,85862,84182,1680
71541,1478.67,1447.89,1704,1460,0.710344,0,2,87566,85862,1704
73001,1509.83,1479.9,1728,1460,0.739309,0,2,89294,87566,1728
74461,1549.1,1510.92,1824,1460,0.760378,0,2,91118,89294,1824
86141,1630.1,1602.78,1824,1460,0.818643,0,-1,104366,102542,1824
93441,1517.02,1572.79,1128,1460,0.706098,0,2,111614,110486,1128
94901,1462.39,1517.19,1080,1460,0.678488,0,-1,112694,111614,1080
118261,1581.52,1550.33,1800,1460,0.784126,0,2,136286,134486,1800
125561,1668.71,1646.54,1824,1460,0.848935,0,-1,145070,143246,1824
140161,1702.23,1684.83,1824,1460,0.878144,0,32575,162062,160238,1824
144541,1582.9,1647.89,1128,1460,0.759757,0,2,166166,165038,1128
189801,1665.41,1663.33,1680,1460,0.841858,0,-1,214502,212822,1680
197101,1690.98,1675.41,1800,1460,0.881862,0,-1,223022,221222,1800
198561,1704.61,1690.98,1800,1460,0.889676,0,-1,224822,223022,1800
202941,1606.35,1660.97,1224,1460,0.794604,0,2,229118,227894,1224
242361,1677.56,1680.64,1656,1460,0.838722,0,21976,272462,270806,1656
243821,1650.87,1677.56,1464,1460,0.83785,0,21976,273926,272462,1464
246741,1616.45,1648.51,1392,1460,0.794359,0,2,276950,275558,1392
248201,1582.39,1616.45,1344,1460,0.777923,0,2,278294,276950,1344
261341,1635.19,1618.51,1752,1460,0.842615,0,-1,292838,291086,1752
262801,1655.79,1635.19,1800,1460,0.849353,0,32575,294638,292838,1800
268641,1639.08,1626.38,1728,1460,0.81105,0,-1,301094,299366,1728
271561,1587.55,1605.2,1464,1460,0.78805,0,2,303926,302462,1464
273021,1572.1,1587.55,1464,1460,0.786245,0,2,305390,303926,1464
280321,1612.85,1592.97,1752,1460,0.826087,0,21976,313598,311846,1752
281781,1633.24,1612.85,1776,1460,0.843478,0,-1,315374,313598,1776
283241,1654.09,1633.24,1800,1460,0.85513,0,21976,317174,315374,1800
289081,1563.63,1591.58,1368,1460,0.769104,0,2,323006,321638,1368
303681,1631.29,1603.76,1824,1460,0.836667,0,-1,339014,337190,1824
313901,1713.4,1694.17,1848,1460,0.87935,0,21976,351302,349454,1848
319741,1676.05,1692.62,1560,1460,0.855951,0,-1,357830,356270,1560
328501,1706.62,1693.27,1800,1460,0.877396,0,21976,368126,366326,1800
331421,1644.88,1691.29,1320,1460,0.81499,0,21976,371030,369710,1320
332881,1598.27,1644.88,1272,1460,0.796491,0,2,372302,371030,1272
350401,1673.93,1655.91,1800,1460,0.833088,0,21976,391886,390086,1800
353321,1614.22,1635.68,1464,1460,0.781901,0,2,394718,393254,1464
354781,1559.45,1614.22,1176,1460,0.746711,0,2,395894,394718,1176
356241,1508.52,1559.45,1152,1460,0.72704,0,2,397046,395894,1152
375221,1601.39,1569.59,1824,1460,0.813703,0,-1,417038,415214,1824
376681,1632.22,1601.39,1848,1460,0.824333,0,-1,418886,417038,1848
395661,1724.74,1707.13,1848,1460,0.905289,0,2,441542,439694,1848
401501,1628.28,1679.18,1272,1460,0.805661,0,-1,447638,446366,1272
423401,1530.41,1587.9,1128,1460,0.722908,0,2,470654,469526,1128
424861,1480.11,1530.41,1128,1460,0.695617,0,21976,471782,470654,1128
446761,1591.18,1557.92,1824,1460,0.801063,0,32575,494222,492398,1824
452601,1504.86,1544.98,1224,1460,0.707267,0,2,499886,498662,1224
467201,1579.26,1554.58,1752,1460,0.796971,0,2,515366,513614,1752
468661,1606.85,1579.26,1800,1460,0.813274,0,21976,517166,515366,1800
474501,1512.73,1553.98,1224,1460,0.708306,0,2,522806,521582,1224
475961,1470.64,1512.73,1176,1460,0.688476,0,-1,523982,522806,1176
493481,1565.91,1532.47,1800,1460,0.785263,0,2,542150,540350,1800
494941,1598.18,1565.91,1824,1460,0.805737,0,21976,543974,542150,1824
509541,1664.87,1642.13,1824,1460,0.856428,0,21976,560606,558782,1824
515381,1605.81,1632.93,1416,1460,0.800186,0,-1,566774,565358,1416
528521,1662.5,1649.72,1752,1460,0.859275,0,21976,581630,579878,1752
532901,1579.5,1626.85,1248,1460,0.775481,0,2,585926,584678,1248
551881,1662.59,1636.11,1848,1460,0.843387,0,21976,606782,604934,1848
