#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,rtt_ratio,ack_ewma_norm,send_ewma_norm,rtt_ratio_norm,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
37961,1723.24,1632.9,1728,2.6832298136646,0.931949574651041,0.873456113229953,0.935064935064937,1460,0.907447,0,2,54590,52862,1728
48181,1270.64,1244.82,1272,1.97515527950311,0.687177878609247,0.665867866293655,0.688311688311689,1460,0.404845,0,1,65918,64646,1272
67161,1534.57,1507.36,1536,2.38509316770186,0.829914497558232,0.806303390800601,0.831168831168832,1460,0.789974,0,2,82550,81014,1536
84681,1703.7,1697.99,1704,2.64596273291925,0.921382100190907,0.908273467881271,0.922077922077923,1460,0.943474,0,2,102542,100838,1704
93441,1126.71,1102.26,1128,1.75155279503106,0.609338748668249,0.589610959255832,0.610389610389611,1460,0.408829,0,1,111614,110486,1128
109501,1510.67,1485.48,1512,2.34782608695652,0.816989080997475,0.794599538906749,0.81818181818182,1460,0.770649,0,2,125990,124478,1512
115341,1705.01,1724.27,1704,2.64596273291925,0.922090564445911,0.922330928017032,0.922077922077923,1460,0.935329,0,2,132686,130982,1704
118261,1799.76,1795.25,1800,2.79503105590062,0.973332540141801,0.960298908246722,0.974025974025976,1460,0.947653,0,2,136286,134486,1800
121181,1730.46,1777.19,1728,2.6832298136646,0.935854240239688,0.950638416235618,0.935064935064937,1460,0.904024,0,2,139790,138062,1728
127021,1801.01,1820.28,1800,2.79503105590062,0.974008555652301,0.973687729677395,0.974025974025976,1460,0.931255,0,2,146870,145070,1800
129941,1636.98,1731.65,1632,2.53416149068323,0.885299096302466,0.926278570931868,0.883116883116884,1460,0.798201,0,2,150230,148598,1632
140161,1822.56,1795.19,1824,2.83229813664596,0.985663063053319,0.960266813588878,0.987012987012989,1460,0.936687,0,2,162062,160238,1824
157681,1511.81,1508.28,1512,2.34782608695652,0.81760560714305,0.806795508887546,0.81818181818182,1460,0.7846,0,2,178310,176798,1512
163521,1679.88,1677.58,1680,2.60869565217391,0.908499948622821,0.897355935104602,0.90909090909091,1460,0.914278,0,2,184934,183254,1680
178121,1532.39,1463.84,1536,2.38509316770186,0.82873552650792,0.783024065644273,0.831168831168832,1460,0.75211,0,2,200774,199238,1536
182501,1678.56,1651.13,1680,2.60869565217391,0.907786076243733,0.88320754010495,0.90909090909091,1460,0.908535,0,2,205670,203990,1680
183961,1771.13,1678.56,1776,2.75776397515528,0.957849080889312,0.89788014784939,0.961038961038962,1460,0.921414,0,2,207446,205670,1776
194181,1679.77,1675.46,1680,2.60869565217391,0.908440459257897,0.896221923860773,0.90909090909091,1460,0.916069,0,2,219446,217766,1680
195641,1771.19,1679.77,1776,2.75776397515528,0.957881529633816,0.898527390115915,0.961038961038962,1460,0.948428,0,2,221222,219446,1776
211701,1535.76,1531.13,1536,2.38509316770186,0.830558064324228,0.819018224416546,0.831168831168832,1460,0.791731,0,2,237734,236198,1536
217541,1725.48,1677.59,1728,2.6832298136646,0.933160994445857,0.897361284214242,0.935064935064937,1460,0.94806,0,2,244406,242678,1728
230681,1556.39,1487.82,1560,2.42236024844721,0.841715024309518,0.795851230562673,0.844155844155845,1460,0.795323,0,2,258614,257054,1560
236521,1725.59,1679.87,1728,2.6832298136646,0.933220483810781,0.898580881212322,0.935064935064937,1460,0.949688,0,2,265334,263606,1728
254041,1557.53,1510.55,1560,2.42236024844721,0.842331550455094,0.808009756775985,0.844155844155845,1460,0.784317,0,2,284246,282686,1560
258421,1726.55,1699.07,1728,2.6832298136646,0.933739663722844,0.908851171722467,0.935064935064937,1460,0.936036,0,2,289286,287558,1728
274481,1555.19,1463.8,1560,2.42236024844721,0.841066049419438,0.783002669205711,0.844155844155845,1460,0.757602,0,2,306950,305390,1560
280321,1749.41,1700.22,1752,2.72049689440994,0.946102635378866,0.909466319331147,0.94805194805195,1460,0.929907,0,2,313598,311846,1752
296381,1558.61,1532.28,1560,2.42236024844721,0.842915627856166,0.819633372025226,0.844155844155845,1460,0.785668,0,2,330374,328814,1560
300761,1725.41,1676.28,1728,2.6832298136646,0.933123137577269,0.896660550851311,0.935064935064937,1460,0.934203,0,2,335390,333662,1728
338721,1488.96,1507.13,1488,2.31055900621118,0.805248043611113,0.806180361278865,0.805194805194806,1460,0.77919,0,2,378110,376622,1488
344561,1679.77,1675.3,1680,2.60869565217391,0.908440459257897,0.896136338106522,0.90909090909091,1460,0.924603,0,2,384686,383006,1680
366461,1579.13,1486.5,1584,2.45962732919255,0.854013098476532,0.7951451480901,0.857142857142858,1460,0.761175,0,2,406838,405254,1584
372301,1748.33,1678.56,1752,2.72049689440994,0.945518557977794,0.89788014784939,0.94805194805195,1460,0.904846,0,2,413486,411734,1752
376681,1846.56,1819.25,1848,2.8695652173913,0.998642560854916,0.973136771384403,1,1460,0.94591,0,2,418886,417038,1848
379601,1797.84,1756.73,1800,2.79503105590062,0.972294180317673,0.939694137910745,0.974025974025976,1460,0.930146,0,2,422438,420638,1800
392741,1727.76,1723.15,1728,2.6832298136646,0.934394046737008,0.921731827737273,0.935064935064937,1460,0.92932,0,2,437918,436190,1728
408801,1556.21,1484.27,1560,2.42236024844721,0.841617678076006,0.793952296640224,0.844155844155845,1460,0.767264,0,2,454790,453230,1560
414641,1748.27,1677.48,1752,2.72049689440994,0.94548610923329,0.897302444008195,0.94805194805195,1460,0.916234,0,2,461438,459686,1752
423401,1136.75,1302.96,1128,1.75155279503106,0.614768505248584,0.696967589744687,0.610389610389611,1460,0.446741,0,1,470654,469526,1128
438001,1532.39,1463.82,1536,2.38509316770186,0.82873552650792,0.783013367424992,0.831168831168832,1460,0.762324,0,2,483950,482414,1536
439461,1581.42,1532.39,1584,2.45962732919255,0.855251558891767,0.819692212231274,0.857142857142858,1460,0.79093,0,2,485534,483950,1584
442381,1676.33,1606.67,1680,2.60869565217391,0.906580064573002,0.859425398642396,0.90909090909091,1460,0.905349,0,2,488822,487142,1680
443841,1771.02,1676.33,1776,2.75776397515528,0.957789591524388,0.896687296399514,0.961038961038962,1460,0.944139,0,2,490598,488822,1776
459901,1580.2,1508.09,1584,2.45962732919255,0.854591767753519,0.806693875804372,0.857142857142858,1460,0.761463,0,2,506990,505406,1584
464281,1654.62,1628.45,1656,2.57142857142857,0.89483902718664,0.871075759439841,0.896103896103898,1460,0.902414,0,2,511838,510182,1656
465741,1769.93,1654.62,1776,2.75776397515528,0.957200105999232,0.885074379369554,0.961038961038962,1460,0.918965,0,2,513614,511838,1776
486181,1487.87,1485.47,1488,2.31055900621118,0.804658558085957,0.794594189797108,0.805194805194806,1460,0.77776,0,2,533678,532190,1488
487641,1624.79,1487.87,1632,2.53416149068323,0.878706593044071,0.795877976110876,0.883116883116884,1460,0.797104,0,2,535310,533678,1632
492021,1726.56,1699.24,1728,2.6832298136646,0.933745071846929,0.908942106586359,0.935064935064937,1460,0.936855,0,2,540350,538622,1728
499321,1535.58,1527.6,1536,2.38509316770186,0.830460718090716,0.817129988713379,0.831168831168832,1460,0.762089,0,2,548846,547310,1536
500781,1535.98,1535.58,1536,2.38509316770186,0.830677043054076,0.821398578206657,0.831168831168832,1460,0.778836,0,2,550382,548846,1536
502241,1581.6,1535.98,1584,2.45962732919255,0.855348905125279,0.821612542592286,0.857142857142858,1460,0.797534,0,2,551966,550382,1584
506621,1749.36,1699.13,1752,2.72049689440994,0.946075594758446,0.908883266380311,0.94805194805195,1460,0.917682,0,2,557030,555278,1752
519761,1557.53,1510.62,1560,2.42236024844721,0.842331550455094,0.80804720054347,0.844155844155845,1460,0.773617,0,2,571334,569774,1560
524141,1701.42,1652.33,1704,2.64596273291925,0.920149047899755,0.883849433261834,0.922077922077923,1460,0.914712,0,2,576278,574574,1704
528521,1755.47,1821.41,1752,2.72049689440994,0.94937995857377,0.974292179066794,0.94805194805195,1460,0.939582,0,2,581630,579878,1752
540201,1489.01,1508.27,1488,2.31055900621118,0.805275084231533,0.806790159777905,0.805194805194806,1460,0.755816,0,2,593078,591590,1488
547501,1747.25,1656.96,1752,2.72049689440994,0.944934480576722,0.886326071025478,0.94805194805195,1460,0.928082,0,2,601334,599582,1752
563561,1555.19,1463.76,1560,2.42236024844721,0.841066049419438,0.782981272767148,0.844155844155845,1460,0.767291,0,2,618350,616790,1560
569401,1746.05,1633.02,1752,2.72049689440994,0.944285505686643,0.873520302545641,0.94805194805195,1460,0.925163,0,2,624974,623222,1752
585461,1801.2,1823.93,1800,2.79503105590062,0.974111310009897,0.975640154696251,0.974025974025976,1460,0.934335,0,2,644318,642518,1800
586921,1731.66,1801.2,1728,2.6832298136646,0.936503215129768,0.963481628482939,0.935064935064937,1460,0.931734,0,2,646046,644318,1728
594221,1549.26,1801.13,1536,2.38509316770186,0.837859031837627,0.963444184715454,0.831168831168832,1460,0.77684,0,2,654758,653222,1536
600061,1510.69,1485.78,1512,2.34782608695652,0.816999897245643,0.79476001219597,0.81818181818182,1460,0.774975,0,2,660710,659198,1512
601521,1603.13,1510.69,1608,2.49689440993789,0.866992596278129,0.808084644310955,0.870129870129871,1460,0.79599,0,2,662318,660710,1608
605901,1700.34,1630.79,1704,2.64596273291925,0.919564970498683,0.872327451095765,0.922077922077923,1460,0.914223,0,2,667262,665558,1704
607361,1772.22,1700.34,1776,2.75776397515528,0.958438566414468,0.909530508646836,0.961038961038962,1460,0.947689,0,2,669038,667262,1776
616121,1701.5,1653.91,1704,2.64596273291925,0.920192312892427,0.884694592585064,0.922077922077923,1460,0.920307,0,2,679358,677654,1704
617581,1772.27,1701.5,1776,2.75776397515528,0.958465607034888,0.910151005365157,0.961038961038962,1460,0.938123,0,2,681134,679358,1776
629261,1747.13,1654.56,1752,2.72049689440994,0.944869583087714,0.88504228471171,0.94805194805195,1460,0.91432,0,2,694478,692726,1752
635101,1801.19,1823.82,1800,2.79503105590062,0.974105901885813,0.975581314490203,0.974025974025976,1460,0.917503,0,2,701678,699878,1800
651161,1555.24,1464.9,1560,2.42236024844721,0.841093090039858,0.783591071266188,0.844155844155845,1460,0.755473,0,2,716606,715046,1560
652621,1559.76,1555.24,1560,2.42236024844721,0.843537562125825,0.831914927760274,0.844155844155845,1460,0.788189,0,2,718166,716606,1560
661381,1823.76,1819.24,1824,2.83229813664596,0.986312037943399,0.973131422274762,0.987012987012989,1460,0.913397,0,2,728534,726710,1824
