#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),rtt_ratio_real,ack_ewma,send_ack_ewma_norm,rtt_ratio_norm,Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
37961,1723.24,1632.9,1728,1460,2.6832298136646,0.931949574651041,0.873456113229953,0.935064935064935,0.907447,0,2,54590,52862,1728
48181,1270.64,1244.82,1272,1460,1.97515527950311,0.687177878609247,0.665867866293655,0.688311688311688,0.404845,0,1,65918,64646,1272
65701,1507.36,1419.3,1512,1460,2.34782608695652,0.815198991925671,0.759199131304594,0.818181818181818,0.729934,0,2,81014,79502,1512
67161,1534.57,1507.36,1536,1460,2.38509316770186,0.829914497558232,0.806303390800601,0.831168831168831,0.789974,0,2,82550,81014,1536
84681,1703.7,1697.99,1704,1460,2.64596273291925,0.921382100190907,0.908273467881271,0.922077922077922,0.943474,0,2,102542,100838,1704
91981,1102.26,1525.15,1080,1460,1.67701863354037,0.596115885282872,0.815819456851407,0.584415584415585,0.467072,0,1,110486,109406,1080
94901,1082.34,1126.71,1080,1460,1.67701863354037,0.585342902107546,0.602689532327344,0.584415584415585,0.421532,0,1,112694,111614,1080
97821,1151.83,1148.52,1152,1460,1.7888198757764,0.622923956367255,0.614355940453711,0.623376623376624,0.476645,0,1,114998,113846,1152
108041,1485.48,1437.53,1488,1460,2.31055900621118,0.803366016429881,0.768950558179591,0.805194805194805,0.711621,0,2,124478,122990,1488
109501,1510.67,1485.48,1512,1460,2.34782608695652,0.816989080997475,0.794599538906749,0.818181818181818,0.770649,0,2,125990,124478,1512
115341,1705.01,1724.27,1704,1460,2.64596273291925,0.922090564445911,0.922330928017032,0.922077922077922,0.935329,0,2,132686,130982,1704
118261,1799.76,1795.25,1800,1460,2.79503105590062,0.973332540141801,0.960298908246722,0.974025974025974,0.947653,0,2,136286,134486,1800
121181,1730.46,1777.19,1728,1460,2.6832298136646,0.935854240239688,0.950638416235618,0.935064935064935,0.904024,0,2,139790,138062,1728
127021,1801.01,1820.28,1800,1460,2.79503105590062,0.974008555652301,0.973687729677395,0.974025974025974,0.931255,0,2,146870,145070,1800
129941,1636.98,1731.65,1632,1460,2.53416149068323,0.885299096302466,0.926278570931868,0.883116883116883,0.798201,0,2,150230,148598,1632
140161,1822.56,1795.19,1824,1460,2.83229813664596,0.985663063053319,0.960266813588878,0.987012987012987,0.936687,0,2,162062,160238,1824
144541,1134.13,1250.58,1128,1460,1.75155279503106,0.613351576738577,0.668948953446699,0.61038961038961,0.463388,0,1,166166,165038,1128
156221,1508.28,1437.53,1512,1460,2.34782608695652,0.815696539341399,0.768950558179591,0.818181818181818,0.7165,0,2,176798,175286,1512
157681,1511.81,1508.28,1512,1460,2.34782608695652,0.81760560714305,0.806795508887546,0.818181818181818,0.7846,0,2,178310,176798,1512
163521,1679.88,1677.58,1680,1460,2.60869565217391,0.908499948622821,0.897355935104602,0.909090909090909,0.914278,0,2,184934,183254,1680
176661,1463.84,1460.75,1464,1460,2.27329192546584,0.791662835912107,0.781371190765297,0.792207792207792,0.725275,0,2,199238,197774,1464
178121,1532.39,1463.84,1536,1460,2.38509316770186,0.82873552650792,0.783024065644273,0.831168831168831,0.75211,0,2,200774,199238,1536
182501,1678.56,1651.13,1680,1460,2.60869565217391,0.907786076243733,0.88320754010495,0.909090909090909,0.908535,0,2,205670,203990,1680
183961,1771.13,1678.56,1776,1460,2.75776397515528,0.957849080889312,0.89788014784939,0.961038961038961,0.921414,0,2,207446,205670,1776
194181,1679.77,1675.46,1680,1460,2.60869565217391,0.908440459257897,0.896221923860773,0.909090909090909,0.916069,0,2,219446,217766,1680
195641,1771.19,1679.77,1776,1460,2.75776397515528,0.957881529633816,0.898527390115915,0.961038961038961,0.948428,0,2,221222,219446,1776
208781,1438.62,1412.39,1440,1460,2.2360248447205,0.778023546972262,0.755502896542871,0.779220779220779,0.710817,0,2,234662,233222,1440
210241,1531.13,1438.62,1536,1460,2.38509316770186,0.828054102873336,0.769533611130427,0.831168831168831,0.734327,0,2,236198,234662,1536
211701,1535.76,1531.13,1536,1460,2.38509316770186,0.830558064324228,0.819018224416546,0.831168831168831,0.791731,0,2,237734,236198,1536
217541,1725.48,1677.59,1728,1460,2.6832298136646,0.933160994445857,0.897361284214242,0.935064935064935,0.94806,0,2,244406,242678,1728
227761,1484.35,1415.02,1488,1460,2.31055900621118,0.802754898408389,0.756909712378375,0.805194805194805,0.703266,0,2,255566,254078,1488
229221,1487.82,1484.35,1488,1460,2.31055900621118,0.804631517465537,0.79399508951735,0.805194805194805,0.743306,0,2,257054,255566,1488
230681,1556.39,1487.82,1560,1460,2.42236024844721,0.841715024309518,0.795851230562673,0.844155844155844,0.795323,0,2,258614,257054,1560
236521,1725.59,1679.87,1728,1460,2.6832298136646,0.933220483810781,0.898580881212322,0.935064935064935,0.949688,0,2,265334,263606,1728
245281,1624.1,1474.02,1632,1460,2.53416149068323,0.878333432482275,0.788469459258506,0.883116883116883,0.701013,0,2,275558,273926,1632
258421,1726.55,1699.07,1728,1460,2.6832298136646,0.933739663722844,0.908851171722467,0.935064935064935,0.936036,0,2,289286,287558,1728
268641,1717.17,1511.41,1728,1460,2.6832298136646,0.928666843332054,0.808469780205085,0.935064935064935,0.705685,0,2,301094,299366,1728
280321,1749.41,1700.22,1752,1460,2.72049689440994,0.946102635378866,0.909466319331147,0.948051948051948,0.929907,0,2,313598,311846,1752
293461,1461.54,1414.73,1464,1460,2.27329192546584,0.790418967372787,0.756754588198794,0.792207792207792,0.717922,0,2,327278,325814,1464
294921,1532.28,1461.54,1536,1460,2.38509316770186,0.828676037142996,0.781793770426912,0.831168831168831,0.749169,0,2,328814,327278,1536
296381,1558.61,1532.28,1560,1460,2.42236024844721,0.842915627856166,0.819633372025226,0.844155844155844,0.785668,0,2,330374,328814,1560
300761,1725.41,1676.28,1728,1460,2.6832298136646,0.933123137577269,0.896660550851311,0.935064935064935,0.934203,0,2,335390,333662,1728
337261,1507.13,1414.51,1512,1460,2.34782608695652,0.815074605071739,0.756636907786699,0.818181818181818,0.702976,0,2,376622,375110,1512
340181,1624.85,1488.96,1632,1460,2.53416149068323,0.878739041788575,0.796461029061713,0.883116883116883,0.785676,0,2,379742,378110,1632
344561,1679.77,1675.3,1680,1460,2.60869565217391,0.908440459257897,0.896136338106522,0.909090909090909,0.924603,0,2,384686,383006,1680
354781,1190.21,1460.28,1176,1460,1.82608695652174,0.643680336601643,0.781119782612184,0.636363636363636,0.480606,0,1,395894,394718,1176
366461,1579.13,1486.5,1584,1460,2.45962732919255,0.854013098476532,0.7951451480901,0.857142857142857,0.761175,0,2,406838,405254,1584
372301,1748.33,1678.56,1752,1460,2.72049689440994,0.945518557977794,0.89788014784939,0.948051948051948,0.904846,0,2,413486,411734,1752
376681,1846.56,1819.25,1848,1460,2.8695652173913,0.998642560854916,0.973136771384403,1,0.94591,0,2,418886,417038,1848
379601,1797.84,1756.73,1800,1460,2.79503105590062,0.972294180317673,0.939694137910745,0.974025974025974,0.930146,0,2,422438,420638,1800
392741,1727.76,1723.15,1728,1460,2.6832298136646,0.934394046737008,0.921731827737273,0.935064935064935,0.92932,0,2,437918,436190,1728
407341,1484.27,1413.47,1488,1460,2.31055900621118,0.802711633415717,0.756080600384066,0.805194805194805,0.733159,0,2,453230,451742,1488
408801,1556.21,1484.27,1560,1460,2.42236024844721,0.841617678076006,0.793952296640224,0.844155844155844,0.767264,0,2,454790,453230,1560
414641,1748.27,1677.48,1752,1460,2.72049689440994,0.94548610923329,0.897302444008195,0.948051948051948,0.916234,0,2,461438,459686,1752
423401,1136.75,1302.96,1128,1460,1.75155279503106,0.614768505248584,0.696967589744687,0.61038961038961,0.446741,0,1,470654,469526,1128
436541,1463.82,1460.33,1464,1460,2.27329192546584,0.791652019663939,0.781146528160388,0.792207792207792,0.72081,0,2,482414,480950,1464
438001,1532.39,1463.82,1536,1460,2.38509316770186,0.82873552650792,0.783013367424992,0.831168831168831,0.762324,0,2,483950,482414,1536
439461,1581.42,1532.39,1584,1460,2.45962732919255,0.855251558891767,0.819692212231274,0.857142857142857,0.79093,0,2,485534,483950,1584
442381,1676.33,1606.67,1680,1460,2.60869565217391,0.906580064573002,0.859425398642396,0.909090909090909,0.905349,0,2,488822,487142,1680
443841,1771.02,1676.33,1776,1460,2.75776397515528,0.957789591524388,0.896687296399514,0.961038961038961,0.944139,0,2,490598,488822,1776
458441,1508.09,1433.82,1512,1460,2.34782608695652,0.815593784983803,0.766966038502891,0.818181818181818,0.748656,0,2,505406,503894,1512
459901,1580.2,1508.09,1584,1460,2.45962732919255,0.854591767753519,0.806693875804372,0.857142857142857,0.761463,0,2,506990,505406,1584
464281,1654.62,1628.45,1656,1460,2.57142857142857,0.89483902718664,0.871075759439841,0.896103896103896,0.902414,0,2,511838,510182,1656
465741,1769.93,1654.62,1776,1460,2.75776397515528,0.957200105999232,0.885074379369554,0.961038961038961,0.918965,0,2,513614,511838,1776
474501,1224.47,1233.42,1224,1460,1.90062111801242,0.662208569713424,0.659769881303257,0.662337662337662,0.483486,0,1,522806,521582,1224
486181,1487.87,1485.47,1488,1460,2.31055900621118,0.804658558085957,0.794594189797108,0.805194805194805,0.77776,0,2,533678,532190,1488
487641,1624.79,1487.87,1632,1460,2.53416149068323,0.878706593044071,0.795877976110876,0.883116883116883,0.797104,0,2,535310,533678,1632
492021,1726.56,1699.24,1728,1460,2.6832298136646,0.933745071846929,0.908942106586359,0.935064935064935,0.936855,0,2,540350,538622,1728
499321,1535.58,1527.6,1536,1460,2.38509316770186,0.830460718090716,0.817129988713379,0.831168831168831,0.762089,0,2,548846,547310,1536
500781,1535.98,1535.58,1536,1460,2.38509316770186,0.830677043054076,0.821398578206657,0.831168831168831,0.778836,0,2,550382,548846,1536
502241,1581.6,1535.98,1584,1460,2.45962732919255,0.855348905125279,0.821612542592286,0.857142857142857,0.797534,0,2,551966,550382,1584
506621,1749.36,1699.13,1752,1460,2.72049689440994,0.946075594758446,0.908883266380311,0.948051948051948,0.917682,0,2,557030,555278,1752
516841,1484.42,1416.39,1488,1460,2.31055900621118,0.802792755276977,0.757642540399151,0.805194805194805,0.717606,0,2,568262,566774,1488
518301,1510.62,1484.42,1512,1460,2.34782608695652,0.816962040377054,0.794032533284835,0.818181818181818,0.749043,0,2,569774,568262,1512
519761,1557.53,1510.62,1560,1460,2.42236024844721,0.842331550455094,0.80804720054347,0.844155844155844,0.773617,0,2,571334,569774,1560
524141,1701.42,1652.33,1704,1460,2.64596273291925,0.920149047899755,0.883849433261834,0.922077922077922,0.914712,0,2,576278,574574,1704
528521,1755.47,1821.41,1752,1460,2.72049689440994,0.94937995857377,0.974292179066794,0.948051948051948,0.939582,0,2,581630,579878,1752
529981,1729.37,1755.47,1728,1460,2.6832298136646,0.935264754714532,0.939020150096017,0.935064935064935,0.717833,0,2,583358,581630,1728
538741,1508.27,1437.41,1512,1460,2.34782608695652,0.815691131217315,0.768886368863903,0.818181818181818,0.704541,0,2,591590,590078,1512
541661,1579.25,1489.01,1584,1460,2.45962732919255,0.85407799596554,0.796487774609916,0.857142857142857,0.776327,0,2,594662,593078,1584
547501,1747.25,1656.96,1752,1460,2.72049689440994,0.944934480576722,0.886326071025478,0.948051948051948,0.928082,0,2,601334,599582,1752
562101,1463.76,1459.25,1464,1460,2.27329192546584,0.791619570919435,0.780568824319192,0.792207792207792,0.733229,0,2,616790,615326,1464
563561,1555.19,1463.76,1560,1460,2.42236024844721,0.841066049419438,0.782981272767148,0.844155844155844,0.767291,0,2,618350,616790,1560
