#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
35041,801.238,805.75,801,1460,0.000366182,0,1,42641,41840,801
36501,801.012,801.238,801,1460,0.000146473,0,1,43442,42641,801
37961,801.951,801.012,802,1460,5.85892e-05,0,1,44244,43442,802
39421,803.898,801.951,804,1460,2.34357e-05,0,1,45048,44244,804
40881,801.145,803.898,801,1460,9.37427e-06,0,1,45849,45048,801
42341,801.007,801.145,801,1460,0.0480037,0,1,46650,45849,801
43801,801,801.007,801,1460,0.0432015,0,1,47451,46650,801
45261,801,801,801,1460,0.0172806,0,1,48252,47451,801
46721,801,801,801,1460,0.0309122,0,1,49053,48252,801
49641,801,801,801,1460,0.040946,0,1,50655,49854,801
51101,801,801,801,1460,0.0163784,0,1,51456,50655,801
52561,806.7,801,807,1460,0.00655135,0,1,52263,51456,807
54021,801.285,806.7,801,1460,0.00262054,0,1,53064,52263,801
55481,809.564,801.285,810,1460,0.00104822,0,1,53874,53064,810
56941,801.428,809.564,801,1460,0.000419286,0,1,54675,53874,801
58401,801.021,801.428,801,1460,0.000167715,0,1,55476,54675,801
59861,801.001,801.021,801,1460,6.70858e-05,0,1,56277,55476,801
62781,801,801,801,1460,0.0408107,0,1,57879,57078,801
65701,801,801,801,1460,0.0569297,0,1,59481,58680,801
67161,801,801,801,1460,0.0227719,0,1,60282,59481,801
68621,801,801,801,1460,0.0931088,0,1,61083,60282,801
70081,802.9,801,803,1460,0.0492435,0,1,61886,61083,803
71541,801.095,802.9,801,1460,0.0196974,0,1,62687,61886,801
73001,801.005,801.095,801,1460,0.00787896,0,1,63488,62687,801
74461,806.7,801.005,807,1460,0.00315158,0,1,64295,63488,807
75921,809.835,806.7,810,1460,0.0252606,0,1,65105,64295,810
77381,808.092,809.835,808,1460,0.0581043,0,1,65913,65105,808
78841,801.355,808.092,801,1460,0.0232417,0,1,66714,65913,801
81761,801.048,801.968,801,1460,0.0421187,0,1,68317,67516,801
83221,801.952,801.048,802,1460,0.0168475,0,1,69119,68317,802
89061,801.01,801.193,801,1460,0.0944153,0,1,72328,71527,801
90521,803.85,801.01,804,1460,0.0797661,0,1,73132,72328,804
91981,814.443,803.85,815,1460,0.0679064,0,1,73947,73132,815
94901,803.124,805.472,803,1460,0.066065,0,1,75555,74752,803
96361,807.756,803.124,808,1460,0.026426,0,1,76363,75555,808
97821,804.188,807.756,804,1460,0.0105704,0,1,77167,76363,804
99281,801.159,804.188,801,1460,0.00422816,0,1,77968,77167,801
102201,803.945,802.908,804,1460,0.0606765,0,1,79575,78771,804
103661,805.897,803.945,806,1460,0.0242706,0,1,80381,79575,806
105121,801.245,805.897,801,1460,0.00970824,0,1,81182,80381,801
106581,801.012,801.245,801,1460,0.207883,0,1,81983,81182,801
108041,801.001,801.012,801,1460,0.0831533,0,1,82784,81983,801
109501,802.9,801.001,803,1460,0.0692613,0,1,83587,82784,803
115341,808.803,805.057,809,1460,0.0438211,0,1,86816,86007,809
116801,812.79,808.803,813,1460,0.0955284,0,1,87629,86816,813
119721,804.877,802.539,805,1460,0.221685,0,1,89236,88431,805
125561,807.46,816.2,807,1460,0.0733551,0,1,92462,91655,807
128481,807.761,841.223,806,1460,0.260137,0,1,94111,93305,806
129941,803.238,807.761,803,1460,0.242055,0,1,94914,94111,803
137241,802.217,806.342,802,1460,0.202927,0,1,98955,98153,802
138701,810.561,802.217,811,1460,0.225171,0,1,99766,98955,811
140161,810.028,810.561,810,1460,0.216068,0,1,100576,99766,810
144541,822.782,818.645,823,1460,0.788548,0,2,103030,102207,823
146001,844.839,822.782,846,1460,0.915419,0,2,103876,103030,846
157681,848.752,844.045,849,1460,0.945945,0,2,110629,109780,849
164981,808.123,848.468,806,1460,0.759447,0,2,114851,114045,806
183961,810.55,859.001,808,1460,0.79456,0,2,125831,125023,808
186881,803.589,833.778,802,1460,0.78953,0,2,127468,126666,802
197101,842.526,852.511,842,1460,0.75475,0,2,133383,132541,842
208781,855.679,849.588,856,1460,0.926947,0,2,140076,139220,856
210241,814.184,855.679,812,1460,0.760779,0,2,140888,140076,812
219001,829.911,809.229,831,1460,0.940456,0,2,145888,145057,831
221921,804.492,870.846,801,1460,0.752873,0,2,147562,146761,801
226301,825.869,804.381,827,1460,0.770344,0,2,150024,149197,827
227761,848.793,825.869,850,1460,0.908138,0,2,150874,150024,850
240901,853.876,832.515,855,1460,0.920124,0,2,158462,157607,855
243821,809.445,836.894,808,1460,0.75922,0,2,160106,159298,808
249661,819.255,824.103,819,1460,0.949484,0,2,163403,162584,819
252581,812.398,857.963,810,1460,0.759117,0,2,165073,164263,810
254041,849.07,812.398,851,1460,0.903647,0,2,165924,165073,851
258421,822.091,804.825,823,1460,0.239033,0,1,168408,167585,823
262801,836.697,849.93,836,1460,0.948898,0,2,170906,170070,836
264261,832.235,836.697,832,1460,0.787559,0,2,171738,170906,832
271561,806.339,850.783,804,1460,0.790637,0,2,175846,175042,804
