#Ack,Last Router Ocupation Router Arrival(Packets),Last Router Ocupation Router Arrival_ewma(Packets),Network Situation Router Arrival,Measure Time
0,0,0,1,30100
1,0,0,1,30700
1,0,0,1,30700
1461,0,0,1,30700
2921,0,0,1,30700
4381,0,0,1,30700
5841,0,0,1,30700
7301,0,0,1,30700
8761,0,0,1,30700
10221,0,0,1,30700
11681,0,0,1,30700
13141,0,0,1,30700
14601,0,0,1,31520
16061,0,0,1,32322
17521,0,0,1,33123
18981,0,0,1,33925
20441,0,0,1,34726
21901,0,0,1,35527
23361,0,0,1,36328
24821,0,0,1,37129
26281,0,0,1,37930
27741,0,0,1,38731
29201,0,0,1,39532
30661,0,0,1,40333
32121,0.12,0.072,1,41134
33581,0,0.0288,1,41940
35041,0,0.01152,1,42741
36501,0,0.004608,1,43542
37961,0.09,0.0558432,1,44344
39421,0,0.0223373,1,45148
40881,0,0.00893491,1,45949
42341,0,0.00357396,1,46750
43801,0,0.00142959,1,47551
45261,0,0.000571834,1,48352
46721,0,0.000228734,1,49153
48181,0,9.14935e-05,1,49954
49641,0,3.65974e-05,1,50755
51101,0.13,0.0780146,1,51556
52561,0,0.0312059,1,52363
55481,0,0.0529929,1,53974
56941,0,0.0211972,1,54775
58401,0,0.00847887,1,55576
59861,0,0.00339155,1,56377
61321,0.02,0.0133566,1,57178
62781,0,0.00534265,1,57979
64241,0,0.00213706,1,58780
65701,0,0.000854823,1,59581
67161,0,0.000341929,1,60382
68621,0.06,0.0361368,1,61183
70081,0,0.0144547,1,61986
71541,0.02,0.0177819,1,62787
73001,0.13,0.0851128,1,63588
77381,0.02,0.0712072,1,66013
78841,0.02,0.0404829,1,66814
80301,0,0.0161932,1,67616
81761,0,0.00647726,1,68417
83221,0,0.0025909,1,69219
84681,0.1,0.0610364,1,70021
86141,0,0.0244145,1,70826
87601,0,0.00976582,1,71627
89061,0.08,0.0519063,1,72428
93441,0.06,0.090202,1,74852
96361,0.06,0.0888323,1,76463
97821,0,0.0355329,1,77267
99281,0.06,0.0502132,1,78068
100741,0.08,0.0680853,1,78871
102201,0.08,0.0752341,1,79675
103661,0,0.0300936,1,80481
105121,0,0.0120375,1,81282
106581,0,0.00481498,1,82083
108041,0.06,0.037926,1,82884
115341,0.25,0.213038,1,86916
116801,0,0.0852152,1,87729
119721,0,0.0400344,1,89336
121181,0,0.0160138,1,90137
131401,0.22,0.210008,1,95824
132861,0.28,0.252003,1,96634
135781,0.04,0.0883205,1,98253
140161,0.26,0.233173,1,100676
144541,1,0.759403,2,103130
146001,1,0.903761,2,103976
148921,0.9,0.924602,2,105658
164981,1,0.783935,2,114951
181041,1,0.946774,2,124263
183961,1,0.782684,2,125931
194181,1,0.933352,2,131790
198561,0.1,0.446134,1,134355
201481,0.37,0.446982,1,136008
202941,1,0.778793,2,136828
210241,0.68,0.790836,2,140988
211701,1,0.916334,2,141821
223381,0.05,0.245324,1,148494
224841,0.53,0.41613,1,149297
226301,1,0.766452,2,150124
227761,1,0.906581,2,150974
240901,1,0.942145,2,158562
243821,1,0.786743,2,160206
246741,0.49,0.441479,1,161859
248201,1,0.776592,2,162684
249661,1,0.910637,2,163503
252581,1,0.791302,2,165173
254041,1,0.916521,2,166024
256961,0.45,0.419043,1,167685
258421,0.17,0.269617,1,168508
