#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
55481,2.45231,0.168281,434,67160,0.213363,0.08,1,61710,61276,434
186881,3.9,1.90476,454,198560,0.228565,0.49,1,62191,61737,454
230681,2.02256,0.118395,433,242360,0.067753,0,1,62557,62124,433
241721,2.00463,0.0216133,431,252580,0.0648065,0.27,1,62566,62135,431
374221,2.00012,0.0213752,429,385440,0.0175144,0,1,63000,62571,429
457421,4.00023,0.0261252,434,468660,0.0881927,0.14,1,63078,62644,434
492581,2.00107,0.0227407,429,503700,0.0823739,0.13,1,63421,62992,429
510881,2.00023,0.000951782,429,521220,0.025098,0.12,1,63435,63006,429
518341,9.60475,0.5225,434,529980,0.0990463,0.04,1,63451,63017,434
527101,2.00095,0.0309403,427,538740,0.069699,0.04,1,63457,63030,427
565581,1.99988,0.0261251,427,576700,0.0380486,0.21,1,63483,63056,427
583861,13.4071,0.522542,437,595680,0.0811631,0.04,1,63511,63074,437
598461,2,9.51634e-05,431,608820,0.0599479,0.04,1,63521,63090,431
843861,6.75003,0.00154376,434,855560,0.0755866,0,1,64368,63934,434
871941,167.016,15.2137,600,883300,0.0942679,0.12,1,64705,64105,600
891921,2.33249,0.571071,424,902280,0.0642947,0.13,1,64725,64301,424
991541,98.6625,19.9517,524,1003020,0.0791948,0.1,1,64936,64412,524
997381,2.24166,4.94238,425,1008860,0.0246712,0.1,1,64940,64515,425
1029821,4.23251,14.2513,426,1040980,0.221421,0.08,1,65169,64743,426
1115521,2.14096,0.394333,426,1127120,0.069276,0.16,1,65246,64820,426
1152121,4.8025,9.50006,426,1163620,0.0728812,0.25,1,65589,65163,426
1235541,2.00475,0.570002,425,1246840,0.0199429,0.17,1,65658,65233,425
1258421,2.25983,5.35088,425,1268740,0.219744,0.14,1,65805,65380,425
1432721,2.04512,0.475002,425,1443940,0.024045,0.23,1,66469,66044,425
1519461,2.25318,5.08963,428,1530080,0.0654686,0.02,1,66671,66243,428
1541301,2.0095,0.570058,425,1551980,0.0342495,0.12,1,66888,66463,425
1589341,2.095,10.45,429,1600160,0.0665919,0.29,1,66931,66502,429
1600361,1.9525,8.55007,427,1611840,0.0497048,0.17,1,66938,66511,427
1636761,6.70369,10.4517,427,1648340,0.0787858,0.23,1,66981,66554,427
1695001,1.95286,7.61188,425,1705280,0.00261281,0.12,1,67339,66914,425
1776541,7.08309,107.351,426,1787040,0.0488438,0.13,1,67527,67101,426
1837281,2.28266,0.427583,426,1848360,0.0440581,0,1,67788,67362,426
1932321,1.04763,0.427503,425,1943260,0.0304037,0.1,1,68180,67755,425
1990361,1.9525,2.85,428,2001660,0.257239,0.04,1,68238,67810,428
2145941,7.69988,7.6119,429,2157880,0.25932,0.16,1,68693,68264,429
2148861,2.28499,3.23059,428,2159340,0.253728,0.16,1,68695,68267,428
2190881,2.05213,0.256557,424,2201680,0.0152524,0.12,1,69042,68618,424
2242461,2.095,8.55,429,2252780,0.0843517,0.11,1,69100,68671,429
2321301,2.00713,0.570057,428,2331620,0.0693563,0.21,1,69475,69047,428
2329201,1.99763,0.332571,426,2340380,0.0682788,0.06,1,69480,69054,426
2527221,2.095,0.4275,430,2537480,0.0729796,0,1,69987,69557,430
2629141,2.02139,0.380715,430,2639680,0.049957,0,1,70396,69966,430
2642461,1.99988,0.0261251,428,2652820,0.0125116,0.25,1,70405,69977,428
2661781,7.7,0.285003,433,2673260,0.219387,0.14,1,70426,69993,433
2690901,11.7259,4.84643,435,2702460,0.224914,0.1,1,70562,70127,435
2712341,2.02141,0.571597,428,2722900,0.0422573,0.18,1,70773,70345,428
2728981,1.99762,0.5225,428,2740420,0.0406928,0.29,1,70784,70356,428
2756841,13.6375,7.17428,428,2768160,0.0619625,0,1,70829,70401,428
2890801,2.62926,0.596161,426,2902480,0.0342294,0,1,71260,70834,426
2922401,8.6215,7.885,433,2934600,0.239575,0.18,1,71301,70868,433
2964861,2.02105,0.429947,430,2975480,0.0164928,0.18,1,71618,71188,430
3041601,4.375,0.617504,433,3052860,0.269431,0.14,1,71721,71288,433
3054281,8.64988,10.4809,444,3064540,0.779937,0.53,2,71756,71312,444
3102341,2.04275,1.28255,425,3112720,0.0449102,0.08,1,72073,71648,425
3136241,2,0.6175,424,3147760,0.010129,0.2,1,72098,71674,424
3147041,6.75,10.45,426,3159440,0.0749473,0.16,1,72111,71685,426
3187401,8.65239,11.4571,452,3198860,0.247258,0.67,1,72222,71770,452
3211321,8.96113,15.675,461,3222220,0.264357,0.96,1,72346,71885,461
3224861,2.01473,0.394255,429,3235360,0.0731134,0.06,1,72480,72051,429
3283281,2.04513,0.586625,436,3295220,0.0956258,0.35,1,72563,72127,436
3303461,11.5596,1.47321,448,3315660,0.0964313,0.44,1,72622,72174,448
3316981,2.14309,0.239012,436,3328800,0.0752212,0.38,1,72654,72218,436
3426621,2.00108,0.0213836,432,3438300,0.0251985,0,1,73015,72583,432
3481521,7.84051,5.70134,434,3492320,0.296006,0.35,1,73348,72914,434
3491921,3.47016,1.04504,431,3502540,0.238458,0.3,1,73367,72936,431
3551201,2.61856,0.764038,424,3562400,0.0504651,0.16,1,73448,73024,424
3579481,14.3518,18.0999,427,3590140,0.207381,0.04,1,73539,73112,427
3863201,6.29863,4.77375,427,3874840,0.0614839,0.08,1,74529,74102,427
3870681,114.053,116.851,427,3882140,0.224735,0.36,1,74652,74225,427
3980721,1.99917,0.523931,426,3991640,0.079398,0.25,1,74855,74429,426
3988401,10.55,6.65007,434,4000400,0.0926815,0.18,1,74870,74436,434
4048741,2.00238,0.76,425,4060260,0.086894,0.18,1,75144,74719,425
4065161,20.9525,21.85,433,4076320,0.227039,0.2,1,75175,74742,433
4077841,5.75286,10.4738,428,4089460,0.212373,0.02,1,75191,74763,428
4105101,2.19202,6.71419,425,4115740,0.211891,0.09,1,75279,74854,425
4115501,4.1375,10.4572,426,4125960,0.283488,0.11,1,75294,74868,426
4119441,3.00284,8.57614,423,4131800,0.219358,0.34,1,75300,74877,423
4526301,7.22503,112.101,428,4537680,0.223487,0.14,1,76825,76397,428
4545021,2.33259,12.3533,423,4556660,0.202227,0.06,1,76861,76438,423
4665241,15.3528,20.9196,426,4676380,0.210101,0.27,1,77283,76857,426
