#Ack,Last Router Ocupation Router Arrival(Packets),Last Router Ocupation Router Arrival_ewma(Packets),Network Situation Router Arrival,Measure Time
0,0.07,0.07,1,200010
1,0.1,0.088,1,200433
14601,0.41,0.289999,1,200860
17521,0.45,0.4172,1,200862
18981,0.46,0.44288,1,200862
61321,0.76,0.754017,2,201314
62781,0.76,0.757607,2,201314
64241,0.77,0.765043,2,201316
65701,0.78,0.774017,2,201316
67161,0.78,0.777607,2,201316
71541,0.92,0.909927,2,201519
192721,0.89,0.922672,2,203090
281781,0.21,0.283077,1,203248
284701,0.05,0.0920923,1,203273
286161,0.03,0.0548369,1,203275
287621,0.01,0.0279348,1,203277
289081,0,0.0111739,1,203280
290541,0,0.00446956,1,203293
292001,0,0.00178782,1,203299
293461,0,0.00071513,1,203301
294921,0,0.000286052,1,203303
296381,0,0.000114421,1,203335
297441,0.01,0.00604577,1,203342
243821,0,0.00241831,1,203356
254041,0.01,0.00696732,1,203363
256961,0,0.00278693,1,203365
261341,0,0.00111477,1,203368
262801,0.01,0.00644591,1,203369
264261,0.01,0.00857836,1,203370
265721,0.01,0.00943135,1,203371
267181,0.01,0.00977254,1,203374
268641,0.01,0.00990902,1,203375
270101,0.03,0.0219636,1,203383
271561,0.03,0.0267854,1,203384
273021,0,0.0107142,1,203396
298481,0,0.00428567,1,203418
299941,0,0.00171427,1,203444
301401,0.01,0.00668571,1,203482
302861,0.01,0.00867428,1,203507
304321,0.03,0.0214697,1,203530
305781,0.11,0.0745879,1,203555
307241,0.07,0.0718352,1,203579
308701,0.05,0.0587341,1,203604
310161,0.07,0.0654936,1,203640
311621,0.11,0.0921975,1,203664
313081,0.03,0.054879,1,203679
314541,0.05,0.0519516,1,203688
316001,0.03,0.0387806,1,203696
317461,0.03,0.0335123,1,203697
318921,0.03,0.0314049,1,203698
320381,0,0.012562,1,203701
321841,0.01,0.0110248,1,203714
323301,0.01,0.0104099,1,203720
324761,0,0.00416397,1,203722
326221,0,0.00166559,1,203724
327681,0.01,0.00666623,1,203777
329141,0.02,0.0146665,1,203777
330601,0.02,0.0178666,1,203777
332061,0.02,0.0191466,1,203777
333521,0.02,0.0196587,1,203777
334981,0.02,0.0198635,1,203777
336441,0.02,0.0199454,1,203777
337901,0.02,0.0199782,1,203777
339361,0.02,0.0199913,1,203777
340821,0.02,0.0199965,1,203777
342281,0.02,0.0199986,1,203777
343741,0.02,0.0199994,1,203777
345201,0.02,0.0199998,1,203777
346661,0.01,0.0139999,1,203865
348121,0.02,0.0176,1,203865
349581,0.07,0.04904,1,203928
351041,0.08,0.067616,1,203928
352501,0.05,0.0570464,1,203981
353961,0.06,0.0588186,1,203981
355421,0.11,0.0895274,1,204027
370021,0.07,0.0981517,1,204141
371481,0.08,0.0872607,1,204141
372941,0.03,0.0529043,1,204145
374401,0.04,0.0451617,1,204145
375861,0.01,0.0240647,1,204199
377321,0.02,0.0216259,1,204199
378781,0.01,0.0146503,1,204201
380241,0.02,0.0178601,1,204201
381701,0.01,0.0131441,1,204203
383161,0.02,0.0172576,1,204203
384621,0.01,0.012903,1,204205
386081,0.02,0.0171612,1,204205
387541,0.01,0.0128645,1,204207
389001,0.02,0.0171458,1,204207
390461,0.01,0.0128583,1,204209
391921,0.02,0.0171433,1,204209
393381,0.02,0.0188573,1,204209
394841,0.03,0.0255429,1,204286
396301,0.04,0.0342172,1,204286
397761,0.07,0.0556869,1,204352
399221,0.08,0.0702747,1,204352
400681,0.03,0.0461099,1,204404
402141,0.04,0.042444,1,204404
