#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
70081,81.649,4.10428,643,49640,0.753462,1,2,122127,121484,643
75921,158.744,194.937,472,52560,0.286154,1,1,122380,121908,472
96361,8.38314,4.29878,488,62780,0.228665,1,1,122436,121948,488
99281,4.55326,9.51951,477,64240,0.241466,0.99,1,122438,121961,477
102201,7.8213,10.4078,476,65700,0.258586,0.99,1,122448,121972,476
105121,6.72852,4.16312,482,67160,0.253435,0.99,1,122454,121972,482
108041,6.89141,7.66525,479,68620,0.293374,1,1,122461,121982,479
119721,63.6324,80.745,449,74460,0.201478,0.59,1,122576,122127,449
125561,14.9812,23.1192,449,77380,0.0958365,0.06,1,122593,122144,449
137241,15.9835,16.7343,430,83220,0.0983094,0.12,1,122826,122396,430
146001,7.88694,9.11099,429,87600,0.210772,0.19,1,122842,122413,429
148921,7.95478,3.6444,437,89060,0.234309,0.2,1,122850,122413,437
151841,4.38191,5.05776,433,90520,0.213723,0.18,1,122852,122419,433
154761,7.15276,7.4231,433,91980,0.295489,0.18,1,122861,122428,433
169361,4.28956,6.57521,437,99280,0.402827,0.25,1,122885,122448,437
172281,4.11583,6.23008,435,100740,0.401131,0.25,1,122889,122454,435
175201,5.84633,2.49203,442,102200,0.412452,0.32,1,122896,122454,442
181041,3.81541,5.07873,436,105120,0.433192,0.32,1,122902,122466,436
331421,11.3886,24.0141,452,181040,0.758522,0.49,2,123689,123237,452
339461,2.00087,4.1289,451,185420,0.761585,0.6,2,123694,123243,451
342381,4.40035,7.65156,447,186880,0.790634,0.6,2,123700,123253,447
345301,2.96014,3.06062,449,188340,0.778254,0.6,2,123702,123253,449
353621,2.63745,3.02788,448,192720,0.778448,0.55,2,123714,123266,448
369841,6.15845,5.3596,452,201480,0.799397,0.65,2,123747,123295,452
413321,2.59277,1.28671,450,224840,0.79142,0.62,2,123800,123350,450
416241,2.23711,0.514684,452,226300,0.778568,0.62,2,123802,123350,452
418501,1.49484,0.205873,453,227760,0.761427,0.64,2,123803,123350,453
421421,1.79794,7.28235,443,229220,0.766571,0.64,2,123805,123362,443
430181,1.98707,0.46607,449,233600,0.788741,0.64,2,123811,123362,449
433061,57.1948,0.186428,543,235060,0.783496,0.71,2,123905,123362,543
443041,4.77139,10.176,455,240900,0.788585,0.71,2,123921,123466,455
445961,3.10855,6.47039,453,242360,0.777434,0.71,2,123923,123470,453
448881,2.44342,2.58816,455,243820,0.772974,0.71,2,123925,123470,455
450741,2.77737,1.03526,458,245280,0.753189,0.72,2,123928,123470,458
463021,5.0389,9.5789,456,254040,0.905756,0.77,2,124152,123696,456
491921,4.17468,3.0992,459,270100,0.787124,0.89,2,124187,123728,459
496501,11.7079,2.17587,474,273020,0.75834,0.93,2,124209,123735,474
510021,2.81077,2.17268,464,280320,0.791778,0.84,2,124222,123758,464
515861,2.36972,2.02763,462,283240,0.773484,0.84,2,124227,123765,462
518781,2.14789,0.811052,464,284700,0.759394,0.84,2,124229,123765,464
520421,9.25916,0.324421,478,286160,0.789758,0.91,2,124243,123765,478
526241,3.16146,4.37191,464,289080,0.907561,0.81,2,124247,123783,464
543521,2.03548,1.07007,462,297840,0.787229,0.77,2,124264,123802,462
545381,1.41419,0.428027,463,299300,0.758892,0.84,2,124265,123802,463
548301,1.76568,4.37121,458,300760,0.789557,0.84,2,124267,123809,458
551221,1.90627,1.74848,460,302220,0.777823,0.84,2,124269,123809,460
556821,5.585,0.279757,470,305140,0.773652,0.73,2,124279,123809,470
559741,3.434,5.5119,463,306600,0.759461,0.73,2,124281,123818,463
562021,58.3736,2.20476,558,308060,0.789784,0.83,2,124376,123818,558
575761,3.69663,4.67858,460,315360,0.767908,0.85,2,124391,123931,460
602161,2.73026,5.57565,461,329960,0.789788,0.82,2,124628,124167,461
610921,2.52674,1.60484,459,334340,0.795986,0.82,2,124639,124180,459
621521,2.87748,2.68108,459,340180,0.769273,0.85,2,124650,124191,459
626501,10.4204,7.02897,473,343100,0.780684,0.77,2,124675,124202,473
640021,5.68622,0.348457,471,350400,0.776205,0.87,2,124691,124220,471
650421,4.49437,0.54652,469,356240,0.786911,0.93,2,124703,124234,469
681221,2.0014,1.46456,460,372300,0.774275,0.73,2,124731,124271,460
685781,4.40022,5.03433,463,375220,0.798284,0.86,2,124742,124279,463
688701,3.56009,5.61373,460,376680,0.799314,0.86,2,124745,124285,460
690561,2.02404,2.24549,461,378140,0.787725,0.83,2,124746,124285,461
714481,54.1861,124.061,464,391280,0.788695,0.81,2,125069,124605,464
717401,24.0744,53.8246,461,392740,0.771478,0.81,2,125073,124612,461
724261,6.29276,4.88477,467,397120,0.767455,0.91,2,125085,124618,467
751101,2.60771,5.34998,461,411720,0.914552,0.92,2,125115,124654,461
753381,11.8431,2.13999,479,413180,0.935821,0.72,2,125133,124654,479
756301,5.93723,14.656,458,414640,0.920328,0.72,2,125135,124677,458
767341,2.40799,1.62319,461,420480,0.766408,0.76,2,125151,124690,461
772941,2.30528,5.05971,458,423400,0.914625,0.74,2,125156,124698,458
775861,2.12211,2.02388,460,424860,0.90585,0.74,2,125158,124698,460
786241,2.96313,3.65181,463,430700,0.90471,0.86,2,125176,124713,463
789161,2.98525,6.26072,458,432160,0.931884,0.86,2,125179,124721,458
792081,2.3941,2.50429,460,433620,0.918754,0.86,2,125181,124721,460
794561,1.55764,1.00172,461,435080,0.901501,0.86,2,125182,124721,461
805801,4.18708,6.21764,458,440920,0.790454,0.9,2,125194,124736,458
816621,3.25599,6.75917,460,446760,0.931132,0.93,2,125207,124747,460
819541,2.5024,2.70367,462,448220,0.930453,0.93,2,125209,124747,462
821601,1.60096,1.08147,463,449680,0.942181,0.91,2,125210,124747,463
829721,13.0625,16.0772,456,454060,0.94206,0.85,2,125312,124856,456
838481,2.708,1.02894,462,458440,0.928372,0.85,2,125318,124856,462
840321,1.6832,0.411577,463,459900,0.929349,0.73,2,125319,124856,463
874441,11.4213,12.1839,460,478880,0.935197,0.9,2,125582,125122,460
957021,24.6343,63.1588,461,524140,0.94484,0.91,2,125779,125318,461
959941,11.0537,25.2635,463,525600,0.935936,0.91,2,125781,125318,463
967621,7.37944,1.61686,477,529980,0.9479,0.96,2,125795,125318,477
970541,4.15177,7.24675,468,531440,0.91916,0.96,2,125797,125329,468
1128401,2.1712,3.70258,476,620500,0.948803,1,2,126516,126040,476
1131321,8.06848,11.081,472,621960,0.937521,1,2,126528,126056,472
1593701,301.108,199.917,636,62634,0.28576,0.16,1,128793,128157,636
1596621,216.443,300.767,428,62668,0.204304,0.16,1,128953,128525,428
1656481,161.36,160.8,587,63362,0.2492,0.15,1,129380,128793,587
1659401,65.744,160.32,429,63395,0.26768,0.15,1,129382,128953,429
1662321,28.0976,65.328,430,63428,0.287072,0.18,1,129385,128955,430
1679841,2.1069,2.25939,430,63626,0.290224,0.16,1,129397,128967,430
1682761,2.04276,2.10376,430,63659,0.28409,0.18,1,129399,128969,430
1685681,2.0171,2.0415,430,63692,0.293636,0.18,1,129401,128971,430
1688601,2.00684,2.0166,430,63725,0.297454,0.17,1,129403,128973,430
1691521,2.00274,2.00664,430,63758,0.298982,0.17,1,129405,128975,430
1694441,2.00109,2.00266,430,63791,0.299593,0.17,1,129407,128977,430
1697361,2.00044,2.00106,430,63824,0.299837,0.17,1,129409,128979,430
1700281,2.00018,2.00042,430,63857,0.299935,0.17,1,129411,128981,430
1703201,2.00007,2.00017,430,63890,0.299974,0.17,1,129413,128983,430
1706121,2.00003,2.00007,430,63923,0.29999,0.17,1,129415,128985,430
1709041,2.00001,2.00003,430,63956,0.293996,0.17,1,129417,128987,430
1711961,2,2.00001,430,63989,0.291598,0.17,1,129419,128989,430
1714881,2,2,430,64022,0.290639,0.15,1,129421,128991,430
1717801,237.2,121.4,623,64055,0.284256,0.31,1,129815,129192,623
1795181,3.67485,5.00845,436,64936,0.295977,0.35,1,130262,129826,436
1798101,2.66994,2.00338,438,64968,0.286391,0.35,1,130264,129826,438
1906141,170.96,121.4,641,66184,0.780568,0.63,2,131135,130494,641
1909061,69.584,163.76,451,66216,0.786227,0.59,2,131137,130686,451
1911981,30.8336,66.704,454,66248,0.788491,0.61,2,131142,130688,454
1914901,13.5334,29.6816,451,66280,0.789396,0.61,2,131144,130693,451
1935341,2.02504,2.04535,452,66504,0.796463,0.58,2,131159,130707,452
1938261,2.01002,2.01814,452,66536,0.786585,0.61,2,131161,130709,452
1941181,2.00401,2.00726,452,66568,0.782634,0.66,2,131163,130711,452
1968921,244.592,121.4,658,66880,0.936034,0.83,2,131589,130931,658
2179161,22.7177,20.4225,486,69101,0.438736,1,1,133045,132559,486
2182081,13.2871,10.569,489,69131,0.421494,1,1,133052,132563,489
2185001,8.91484,6.6276,491,69161,0.426598,1,1,133058,132567,491
2187921,6.56593,5.05104,492,69191,0.428639,1,1,133063,132571,492
2190841,6.22637,5.02042,493,69221,0.429456,1,1,133069,132576,493
2193761,6.09055,4.40817,495,69251,0.441782,1,1,133075,132580,495
2196681,6.03622,4.16327,497,69281,0.440713,1,1,133081,132584,497
2199601,12.0145,4.06531,509,69311,0.776285,1,2,133097,132588,509
2202521,13.8058,1.62612,524,69341,0.910514,1,2,133112,132588,524
2214201,5.04783,9.09923,530,69461,0.928109,1,2,133151,132621,530
2225881,2.55802,2.18174,541,69581,0.905472,1,2,133170,132629,541
2227341,9.42321,5.0727,548,69611,0.908189,1,2,133184,132636,548
2304721,114.363,131.893,451,32978,0.0794841,0.45,1,133931,133480,451
2307641,51.7452,64.1571,442,33042,0.0497936,0.31,1,133941,133499,442
2310561,24.2981,32.8628,436,33106,0.0379175,0.25,1,133947,133511,436
2313481,34.3192,17.9451,469,33170,0.033167,0.11,1,133988,133519,469
2316401,35.9277,46.1781,441,33234,0.0192668,0.13,1,134025,133584,441
2319321,27.5711,37.0712,432,33298,0.0497067,0.13,1,134047,133615,432
2322241,18.2284,19.6285,436,33362,0.0378827,0.09,1,134059,133623,436
2325161,9.09137,16.8514,424,33425,0.0211531,0.01,1,134062,133638,424
2328081,12.6365,16.3406,423,33488,0.00846123,0.03,1,134077,133654,423
2331001,7.45462,7.73622,425,33551,0.0333845,0.01,1,134081,133656,425
2333921,161.982,163.295,423,33614,0.0553538,0.03,1,134346,133923,423
2336841,69.5927,70.1178,423,33677,0.0401415,0.03,1,134354,133931,423
2339761,33.8371,34.0471,423,33740,0.0340566,0.03,1,134364,133941,423
2342681,17.7348,17.2188,424,33803,0.0436226,0.03,1,134371,133947,424
2345601,31.0939,31.4875,423,33866,0.0354491,0.01,1,134411,133988,423
2348521,34.6376,34.795,423,33928,0.0561796,0.07,1,134448,134025,423
2351441,27.055,27.118,423,33990,0.0404718,0.03,1,134470,134047,423
2354361,18.022,18.0472,423,34052,0.0581887,0.01,1,134482,134059,423
2357281,8.4088,9.01888,422,34114,0.0412755,0,1,134484,134062,422
2360201,12.3635,12.6076,422,34176,0.0465102,0.05,1,134499,134077,422
2363121,7.94541,7.44302,423,34238,0.0366041,0.05,1,134504,134081,423
2364581,123.778,2.97721,624,34300,0.0326416,0.07,1,134705,134081,624
2367501,87.9113,160.191,423,34362,0.0550567,0.03,1,134769,134346,423
2370421,39.9645,68.8763,423,34424,0.0880227,0.03,1,134777,134354,423
2373341,21.9858,33.5505,423,34485,0.0772091,0.05,1,134787,134364,423
2376261,12.3943,17.6202,422,34546,0.0968836,0.03,1,134793,134371,422
2379181,29.5577,31.0481,423,34607,0.0927534,0.07,1,134834,134411,423
2420061,18.2776,26.8092,439,35453,0.204944,0.17,1,135332,134893,439
2422981,8.51103,17.9237,429,35513,0.207977,0.17,1,135334,134905,429
2425901,11.8044,8.36948,441,35573,0.209191,0.17,1,135348,134907,441
2428821,7.12176,11.7478,431,35632,0.209676,0.15,1,135352,134921,431
2430281,123.449,7.69912,627,35691,0.245871,0.13,1,135553,134926,627
2433201,90.1795,163.28,428,35750,0.284348,0.13,1,135621,135193,428
2436121,40.8718,65.3119,436,35809,0.275739,0.13,1,135629,135193,436
2439041,22.3487,30.9247,438,35868,0.272296,0.15,1,135639,135201,438
2441961,12.5395,18.3699,434,35927,0.270918,0.15,1,135645,135211,434
2444881,30.8158,10.948,471,35986,0.258367,0.17,1,135688,135217,471
2447801,36.9263,29.5792,470,36045,0.265347,0.19,1,135729,135259,470
2450721,27.9705,35.2317,453,36104,0.244139,0.21,1,135751,135298,453
2453641,18.3882,27.2927,443,36163,0.235656,0.21,1,135763,135320,443
2456561,8.55528,18.1171,433,36221,0.232262,0.21,1,135765,135332,433
2459481,11.8221,8.44683,445,36279,0.242905,0.21,1,135779,135334,445
2462401,7.12885,11.7787,435,36337,0.247162,0.21,1,135783,135348,435
2463861,123.452,7.11149,632,36395,0.284865,0.27,1,135984,135352,632
2466781,91.9806,123.445,502,36453,0.275946,0.31,1,136055,135553,502
2469701,41.5922,90.1778,442,36511,0.284378,0.27,1,136063,135621,442
2472621,22.6369,40.8711,444,36569,0.299751,0.27,1,136073,135629,444
2512041,9.23035,12.6548,437,37371,0.413269,0.33,1,136516,136079,437
2514961,29.4921,30.2619,438,37428,0.411308,0.33,1,136559,136121,438
2517881,35.7969,36.1048,438,37484,0.410523,0.33,1,136599,136161,438
2520801,28.1187,27.6419,439,37540,0.422209,0.37,1,136622,136183,439
2532481,7.13264,7.15883,438,37764,0.444777,0.31,1,136654,136216,438
2640521,7.15084,12.4829,459,39834,0.761938,0.69,2,138002,137543,459
2641981,123.46,7.39314,656,39887,0.766775,0.69,2,138203,137547,656
2644901,102.784,123.557,544,39940,0.76871,0.75,2,138292,137748,544
2647821,42.3137,102.223,458,39993,0.769484,0.75,2,138294,137836,458
2650741,21.7255,42.0892,464,40046,0.769794,0.71,2,138302,137838,464
2653661,14.6902,21.6357,466,40099,0.769917,0.71,2,138312,137846,466
2656581,7.07607,14.6543,458,40152,0.769967,0.71,2,138314,137856,458
2659501,6.43043,9.46171,458,40205,0.769987,0.75,2,138320,137862,458
2662421,29.5722,30.1847,459,40258,0.793995,0.75,2,138365,137906,459
2685781,71.7421,102.784,461,40674,0.917603,0.77,2,138753,138292,461
2688701,33.4969,42.3137,467,40726,0.925041,0.77,2,138761,138294,467
2691621,19.3987,21.7255,469,40778,0.928016,0.77,2,138771,138302,469
2694541,8.9595,14.6902,461,40830,0.929207,0.77,2,138773,138312,461
2697461,7.1838,7.07607,465,40882,0.929683,0.77,2,138779,138314,465
2885801,104.879,109.776,578,44111,0.946,1,2,141124,140546,578
2891641,29.9807,47.9241,502,44207,0.94216,1,2,141155,140653,502
2894561,18.5923,25.1696,503,44255,0.946864,1,2,141166,140663,503
2897481,11.6369,16.6679,499,44303,0.912746,1,2,141173,140674,499
2915001,17.4112,21.3954,485,44588,0.412919,1,1,141281,140796,485
2923761,15.0823,15.7453,483,44729,0.295467,1,1,141329,140846,483
2929601,100.333,104.879,469,44823,0.216475,0.97,1,141593,141124,469
2935441,29.0133,29.9807,468,44917,0.0526359,0.95,1,141623,141155,468
2938361,17.0053,18.5923,466,44964,0.0390544,0.89,1,141632,141166,466
2941281,9.80213,11.6369,464,45011,0.0336218,0.85,1,141637,141173,464
2944201,8.72085,10.6548,462,45058,0.0554487,0.79,1,141645,141183,462
2947121,7.08834,9.06191,460,45105,0.0401795,0.51,1,141651,141191,460
2950041,22.0353,32.4248,444,45152,0.250072,0.49,1,141683,141239,444
2958801,14.3943,17.4112,436,45293,0.413685,0.39,1,141717,141281,436
2961721,15.3577,17.7645,434,45340,0.447474,0.29,1,141733,141299,434
2964641,15.7431,16.7058,434,45387,0.44899,0.27,1,141749,141315,434
2967561,15.8972,15.0823,436,45433,0.449596,0.33,1,141765,141329,436
2982161,16.4415,17.0053,422,45663,0.407564,0.03,1,142054,141632,422
3023041,24.4519,44.9962,454,46307,0.75503,0.43,2,142483,142029,454
3025961,13.3808,27.5985,444,46353,0.764012,0.37,2,142489,142045,444
3028881,8.9523,16.4394,441,46398,0.767605,0.33,2,142495,142054,441
3031801,15.5809,10.1758,455,46443,0.769042,0.31,2,142515,142060,455
3034721,12.2324,16.6703,444,46488,0.769617,0.3,2,142525,142081,444
3148601,17.1968,18.7856,507,48224,0.946,1,2,143623,143116,507
3154441,102.951,101.766,492,48312,0.20656,1,1,143889,143397,492
3157361,54.3806,50.9063,497,48356,0.088624,1,1,143911,143414,497
3160281,32.5522,28.7625,501,48400,0.0414496,1,1,143929,143428,501
3163201,22.6209,19.905,503,48444,0.0345798,1,1,143945,143442,503
3166121,14.4484,13.962,502,48488,0.0138319,1,1,143954,143452,502
3169041,8.17934,10.9848,497,48531,0.0115328,1,1,143958,143461,497
3171961,11.0717,12.1939,497,48574,0.00461311,1,1,143971,143474,497
3174881,8.62869,15.0776,487,48617,0.00784524,1,1,143978,143491,487
3177801,16.0515,15.631,492,48660,0.0211381,1,1,143999,143507,492
3180721,19.0206,14.6524,499,48703,0.00845524,1,1,144020,143521,499
3183641,18.4082,25.061,485,48746,0.0033821,1,1,144038,143553,485
3186561,16.3633,20.8244,482,48789,0.0553528,1,1,144053,143571,482
3189481,17.3453,19.7298,481,48832,0.0281411,1,1,144071,143590,481
3192401,15.3381,7.8919,495,48875,0.0292565,0.95,1,144085,143590,495
3195321,16.9353,12.7568,497,48918,0.0177026,0.93,1,144103,143606,497
3198241,70.9741,15.3027,587,48961,0.025081,0.13,1,144210,143623,587
3209921,21.6889,32.5037,437,49133,0.0713461,0.03,1,144366,143929,437
3212841,14.0756,22.6015,430,49176,0.0285384,0,1,144375,143945,430
3215761,8.03023,14.4406,425,49219,0.0534154,0.01,1,144379,143954,425
3218681,11.0121,8.17624,434,49262,0.0213661,0,1,144392,143958,434
3221601,8.60484,11.0705,428,49305,0.0505465,0.01,1,144399,143971,428
3224521,16.6419,8.6282,443,49348,0.0382186,0.03,1,144421,143978,443
3227441,19.2568,16.0513,443,49391,0.0152874,0,1,144442,143999,443
3230361,19.7027,19.0205,442,49434,0.00611497,0,1,144462,144020,442
3233281,15.6811,18.4082,437,49477,0.00844599,0.09,1,144475,144038,437
3236201,16.4724,16.3633,439,49520,0.0093784,0.01,1,144492,144053,439
3239121,15.589,17.3453,436,49563,0.0217514,0.03,1,144507,144071,436
3242041,16.4356,15.3381,439,49606,0.0267005,0.01,1,144524,144085,439
3244961,70.7742,16.9352,528,49648,0.0286802,0.03,1,144631,144103,528
3247881,94.9097,70.9741,532,49690,0.0294721,0.31,1,144742,144210,532
3250801,46.3639,88.3896,446,49732,0.0297888,0.15,1,144756,144310,446
3253721,27.5456,48.5559,439,49774,0.0539155,0.11,1,144771,144332,439
3256641,21.2182,30.2223,438,49816,0.0395662,0.03,1,144788,144350,438
3259561,13.2873,21.6889,430,49858,0.0218265,0,1,144796,144366,430
3262481,7.71491,14.0756,425,49900,0.0267306,0.07,1,144800,144375,425
3265401,10.886,8.03023,434,49942,0.0106922,0,1,144813,144379,434
3268321,8.55439,11.0121,428,49984,0.0462769,0.07,1,144820,144392,428
3271241,17.2218,8.60484,444,50026,0.0365108,0.03,1,144843,144399,444
3274161,19.4887,16.6419,443,50068,0.0146043,0,1,144864,144421,443
3277081,19.7955,19.2568,442,50110,0.00584172,0,1,144884,144442,442
3280001,15.7182,19.7027,435,50152,0.0443367,0.01,1,144897,144462,435
3282921,15.8873,15.6811,438,50194,0.0357347,0.01,1,144913,144475,438
3285841,15.3549,16.4724,436,50236,0.0202939,0.03,1,144928,144492,436
3288761,17.542,15.589,440,50278,0.00811755,0.03,1,144947,144507,440
3291681,8.21679,16.4356,425,50320,0.00924702,0.03,1,144949,144524,425
3294601,66.2867,70.7742,423,50362,0.00969881,0.03,1,145054,144631,423
3297521,93.1147,94.9097,423,50404,0.00987952,0.03,1,145165,144742,423
3300441,46.2459,46.3639,424,50446,0.0219518,0.07,1,145180,144756,424
3303361,26.8983,27.5456,423,50488,0.0507807,0.03,1,145194,144771,423
3306281,20.9593,21.2182,423,50530,0.0263123,0.01,1,145211,144788,423
3309201,12.5837,13.2873,422,50572,0.0165249,0.03,1,145218,144796,422
3312121,7.43349,7.71491,422,50614,0.02461,0,1,145222,144800,422
3315041,11.9734,10.886,424,50656,0.027844,0.07,1,145237,144813,424
3317961,8.38936,8.55439,423,50698,0.0411376,0.03,1,145243,144820,423
3320881,17.1557,17.2218,423,50740,0.016455,0,1,145266,144843,423
3323801,19.4623,19.4887,423,50782,0.00658201,0,1,145287,144864,423
3326721,20.3849,19.7955,424,50823,0.00263281,0.07,1,145308,144884,424
3329641,15.354,15.7182,423,50864,0.00705312,0.03,1,145320,144897,423
3332561,15.7416,15.8873,423,50905,0.00882125,0.01,1,145336,144913,423
3335481,15.2966,15.3549,423,50946,0.0215285,0,1,145351,144928,423
3338401,17.5187,17.542,423,50987,0.0146114,0.01,1,145370,144947,423
3341321,8.20746,8.21679,423,51028,0.0238446,0.01,1,145372,144949,423
3344241,65.683,66.2867,422,51069,0.0155378,0.01,1,145476,145054,422
3347161,92.8732,93.1147,422,51110,0.0362151,0.03,1,145587,145165,422
3350081,46.7493,46.2459,423,51151,0.0564861,0.07,1,145603,145180,423
3353001,27.0997,26.8983,423,51192,0.0405944,0.01,1,145617,145194,423
3355921,20.4399,20.9593,422,51233,0.0462378,0.01,1,145633,145211,422
3358841,12.376,12.5837,422,51274,0.0604951,0.03,1,145640,145218,422
3361761,7.35038,7.43349,422,51315,0.042198,0.03,1,145644,145222,422
3364681,11.9402,11.9734,422,51356,0.0228792,0.05,1,145659,145237,422
3367601,8.37606,8.38936,422,51397,0.0151517,0,1,145665,145243,422
3370521,17.1504,17.1557,422,51438,0.0240607,0,1,145688,145266,422
3373441,19.4602,19.4623,422,51479,0.00962427,0,1,145709,145287,422
3376361,20.3841,20.3849,422,51520,0.00384971,0.01,1,145730,145308,422
3379281,15.3536,15.354,422,51561,0.00753988,0.01,1,145742,145320,422
3382201,15.7415,15.7416,422,51602,0.033016,0.03,1,145758,145336,422
3385121,15.2966,15.2966,422,51643,0.0312064,0.01,1,145773,145351,422
