#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,,cwnd_(Bytes),Last_Router_Ocupation_Ack_Arriaval(Packets),Last_Router_Ocupation_Packet_Sent(Packets),Network_Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Last_Router_Ocupation_Router_Arrival(Packets),Last_Router_Ocupation_Router_Arrival_ewma(Packets),Network_Situation_Router_Arrival,Measure_Time
154194121,0.0402946199910147,0.0375086463458325,0.701378254211332,0.127262054833212,0.00387614995278164,0.908706,0.81,2,2190423,2189965,458,0.77,0.756842,2,2190046
77340001,0.0721081574971518,0.0634918467175811,0.704441041347626,0.122505045918747,0.00415447301125813,0.925958,0.79,2,991637,991177,460,0.79,0.780768,2,991219
277500201,0.240579155190161,0.236384887429011,0.725880551301685,0.776416539050536,0.00247869868319132,0.24424,0.87,1,3633731,3633257,474,0.88,0.92318,2,3633296
99050241,0.0660222130810366,0.0656141477274743,0.705972434915773,,0.00442823339664484,0.929419,0.79,2,1167878,1167417,461,0.79,0.794141,2,1167455
213708421,0.0366455176701856,0.0344981217476438,0.647779479326187,,0.00415521577199368,0.0960232,0,1,2774823,2774400,423,0.03,0.0330056,1,2774437
156877921,0.0958747135217723,0.118252923795098,0.650842266462481,,0.00286832974332311,0.096403,0.05,1,1997199,1996774,425,0.05,0.0572085,1,1996838
80699501,0.0945701357466063,0.0862178134233854,0.650842266462481,,0.00382203452776334,0.0241304,0.03,1,915469,915044,425,0.03,0.0444229,1,915081
123358501,0.147262225440594,0.148711118047895,0.758039816232772,,0.00251700391541016,0.788022,0.75,2,1511459,1510964,495,0.75,0.796252,2,1511027
2600641,0.00610831293943248,0.00460038806573706,0.649310872894334,,0.147947327652982,0.0448441,0.1,1,40758,40334,424,0,3.35694E-12,1,40344
220986521,0.0713461111943085,0.0532148444012472,0.793261868300153,,0.00428965546512738,0.289213,0.97,1,2868189,2867671,518,0.94,0.941439,2,2867732
270546901,0.0559379899038343,0.0514261593197853,0.705972434915773,,0.00293761870908184,0.901504,0.83,2,3491669,3491208,461,0.79,0.792442,2,3491240
8267881,0.0206408392366647,0.019046081919471,0.705972434915773,,0.0072743864265781,0.911507,0.81,2,138666,138205,461,0.77,0.780147,2,138238
204229081,0.103214053498683,0.233195937725027,0.724349157733538,,0.0022392114003162,0.0894726,0.95,1,2803613,2803140,473,0.9,0.932128,2,2803213
192412541,0.0977868431378868,0.090468445715137,0.705972434915773,,0.00319800940122874,0.938204,0.77,2,2716269,2715808,461,0.77,0.779618,2,2715841
273584481,0.0893495498808592,0.085349276899447,0.647779479326187,,0.00350731619324512,0.0589987,0.03,1,3584029,3583606,423,0.03,0.0336589,1,3583640
235067481,0.130067655304847,0.118478172189095,0.701378254211332,,0.00263807391530405,0.90018,0.81,2,3028173,3027715,458,0.77,0.754553,2,3027809
210592781,0.0429248171183655,0.0419199676493645,0.647779479326187,,0.00453519094256337,0.0497008,0.11,1,2737682,2737259,423,0.05,0.0464336,1,2737304
121409121,0.0817078557116508,0.106815980930152,0.74885145482389,,0.00402671816474433,0.937749,0.77,2,1664688,1664199,489,0.78,0.775363,2,1664239
306509661,0.0733463879573937,0.0686422310587384,0.701378254211332,,0.00326878388845856,0.931842,0.81,2,4044572,4044114,458,0.77,0.757694,2,4044199
258785921,0.0486913466040601,0.0460148770356602,0.652373660030628,,0.00390225268720223,0.276655,0.11,1,3386656,3386230,426,0.07,0.0817899,1,3386306
49630661,0.0579174146536575,0.0668363419660815,0.759571209800919,,0.00461233195038358,0.0279464,0.93,1,591229,590733,496,0.9,0.907515,2,590772
288899881,0.0392541045292468,0.0463860934834043,0.673813169984686,,0.00532251732224144,0.0440203,0.09,1,3790759,3790319,440,0.06,0.0571265,1,3790346
183384181,0.0473232649703238,0.0489505553171036,0.704441041347626,,0.00288870260921236,0.769326,0.75,2,2486147,2485687,460,0.75,0.759714,2,2485775
131101581,0.0640805115188417,0.0743080262919858,0.72281776416539,,0.0038329637214435,0.0354193,0.81,1,1722361,1721889,472,0.71,0.78472,2,1721999
327035521,0.0955835435911337,0.09847682424595,0.785604900459418,,0.00304202964676422,0.92709,0.95,2,4510582,4510069,513,0.92,0.920167,2,4510126
120983821,0.0451683041815869,0.0424605637949566,0.649310872894334,,0.00446303704253897,0.015174,0.07,1,1506858,1506434,424,0.07,0.0650169,1,1506476
195660221,0.0574078672750399,0.0587454905980966,0.741194486983155,,0.00439300531604469,0.92393,0.69,2,2662884,2662400,484,0.78,0.767321,2,2662435
