#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
55481,2.14261,1.91313,441,42340,0.266018,0.33,1,81738,81297,441
84681,11.5264,2.40215,444,56940,0.776426,0.38,2,82173,81729,444
119721,176.8,175.845,453,74460,0.939402,0.61,2,82384,81931,453
541861,12.5741,19.62,427,62492,0.020224,0,1,85009,84582,427
785681,167.3,170.15,434,65250,0.219375,0.19,1,86514,86080,434
858681,2.52476,4.41704,426,66050,0.0542963,0.19,1,87157,86731,426
864521,2.00131,2.00604,426,66114,0.0350874,0.14,1,87161,86735,426
873281,2.01663,3.9,431,66210,0.278726,0.26,1,87174,86743,431
953581,2.1425,4.85261,433,67091,0.290983,0.26,1,87623,87190,433
1061621,2.0967,2.33655,426,68238,0.255379,0.18,1,88459,88033,426
1064541,2.00484,2.01683,426,68269,0.228151,0.19,1,88461,88035,426
1090821,2.2375,2.1425,432,68548,0.24957,0.2,1,88495,88063,432
1096661,2.00059,2.00036,432,68610,0.234331,0.2,1,88499,88067,432
1203241,6.84559,2.95036,433,69725,0.25665,0.12,1,89329,88896,433
1314201,2,2.1425,433,70865,0.252907,0.31,1,89805,89372,433
1317121,2,2.00713,433,70895,0.251163,0.22,1,89807,89374,433
1320041,142.6,141.65,434,70925,0.286465,0.02,1,89957,89523,434
1328801,2.5187,2.52571,431,71015,0.0821738,0.25,1,90174,89743,431
1340481,9.60737,10.5525,433,71133,0.208024,0.25,1,90195,89762,433
1343401,3.33037,3.37762,433,71162,0.203209,0.21,1,90198,89765,433
1390121,145.45,142.6,437,71626,0.286671,0.04,1,90394,89957,437
1395961,20.2186,12.374,431,71684,0.251067,0.06,1,90603,90172,431
1606201,193.52,186.87,451,73763,0.76845,0.53,2,91907,91456,451
1966821,40.1806,40.328,428,36732,0.0365403,0,1,94236,93808,428
1969741,16.259,17.2164,427,36790,0.0146161,0,1,94251,93824,427
1972661,14.113,14.1608,427,36847,0.00584645,0,1,94265,93838,427
1996021,24.4797,20.1538,477,37303,0.0102485,0.05,1,94403,93926,477
1997481,192.174,54.2077,622,37360,0.0340994,0,1,94604,93982,622
2003321,31.0229,40.178,422,37473,0.0054559,0,1,94658,94236,422
2006241,15.8011,16.2589,422,37529,0.00218236,0,1,94673,94251,422
2009161,14.0901,14.1129,422,37585,0.000872944,0.03,1,94687,94265,422
2020841,14.8475,14.8475,422,37809,0.00645435,0,1,94736,94314,422
2023761,4.54238,4.54238,422,37865,0.00258174,0.03,1,94740,94318,422
