ack_ewma(ms),classes,freq,,,
3.77679,1,0,,527.527,0.0178002032259155
2.71071,1.02,0,,1.12159,
2.28429,1.04,0,,29573,
2.11371,1.06,0,,,
2.04549,1.08,0,,,
114.818,1.1,0,,,
47.1273,1.12,0,,,
146.051,1.14,1,,,
59.6204,1.16,0,,,
25.0481,1.18,7,,,
11.2193,1.2,3,,,
5.6877,1.22,2,,,
3.47508,1.24,0,,,
2.59003,1.26,0,,,
2.23601,1.28,2,,,
2.09441,1.3,5,,,
2.03776,1.32,14,,,
2.0151,1.34,5,,,
108.8,1.36,6,,,
44.7201,1.38,29,,,
19.088,1.4,38,,,
133.635,1.42,60,,,
54.6541,1.44,35,,,
23.0616,1.46,19,,,
10.4247,1.48,17,,,
5.36986,1.5,14,,,
3.34794,1.52,7,,,
2.53918,1.54,11,,,
2.21567,1.56,5,,,
2.08627,1.58,8,,,
2.03451,1.6,8,,,
2.0138,1.62,1,,,
2.00006,1.64,1,,,
2.00002,1.66,6,,,
2.00001,1.68,10,,,
2,1.7,6,,,
2,1.72,5,,,
41.12,1.74,11,,,
17.648,1.76,38,,,
8.2592,1.78,69,,,
4.50368,1.8,22,,,
126.001,1.82,11,,,
51.6006,1.84,8,,,
21.8402,1.86,7,,,
9.93609,1.88,11,,,
5.17444,1.9,24,,,
3.26977,1.92,89,,,
2.50791,1.94,12,,,
2.20316,1.96,16,,,
2.08127,1.98,62,,,
2.03251,2,134,,,
2.013,2.02,229,,,
2.00005,2.04,86,,,
2,2.06,78,,,
2,2.08,53,,,
2,2.1,36,,,
2,2.12,48,,,
86.6,2.14,39,,,
35.84,2.16,45,,,
15.536,2.18,34,,,
7.4144,2.2,44,,,
4.16576,2.22,23,,,
2.8663,2.24,34,,,
2.34652,2.26,43,,,
121.539,2.28,19,,,
49.8154,2.3,35,,,
21.1262,2.32,29,,,
9.65047,2.34,20,,,
5.06019,2.36,25,,,
4.42408,2.38,33,,,
2.96963,2.4,23,,,
2.38785,2.42,18,,,
2.15514,2.44,19,,,
1.76397,2.46,20,,,
1.90559,2.48,27,,,
1.96224,2.5,26,,,
1.98489,2.52,16,,,
1.99396,2.54,9,,,
1.99758,2.56,12,,,
1.99903,2.58,13,,,
1.99961,2.6,17,,,
1.99985,2.62,27,,,
1.99998,2.64,28,,,
1.76,2.66,15,,,
1.904,2.68,16,,,
2.5616,2.7,14,,,
2.22464,2.72,21,,,
1.4023,2.74,26,,,
1.76092,2.76,10,,,
1.90437,2.78,20,,,
1.96175,2.8,9,,,
1.99388,2.82,9,,,
1.99755,2.84,12,,,
85.399,2.86,18,,,
35.3596,2.88,13,,,
15.3438,2.9,8,,,
7.33754,2.92,11,,,
4.13501,2.94,16,,,
2.85401,2.96,16,,,
1.7416,2.98,11,,,
1.29664,3,7,,,
120.519,3.02,7,,,
49.4075,3.04,9,,,
20.963,3.06,11,,,
9.58519,3.08,7,,,
4.43408,3.1,2,,,
4.17363,3.12,18,,,
2.86945,3.14,8,,,
2.34778,3.16,14,,,
1.53911,3.18,14,,,
1.81564,3.2,11,,,
1.92626,3.22,24,,,
1.90211,3.24,7,,,
1.36084,3.26,13,,,
1.74434,3.28,7,,,
1.29774,3.3,10,,,
1.42784,3.32,10,,,
4.77114,3.34,10,,,
3.10845,3.36,6,,,
2.44338,3.38,6,,,
2.00454,3.4,5,,,
2.00182,3.42,7,,,
2.00073,3.44,3,,,
2.00029,3.46,7,,,
1.72161,3.48,11,,,
1.88864,3.5,4,,,
83.3422,3.52,11,,,
34.5369,3.54,9,,,
15.0147,3.56,12,,,
7.2059,3.58,10,,,
4.08236,3.6,16,,,
2.23294,3.62,8,,,
