#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
195641,354.573,356.48,547,50260,0.406,0.19,1,153461,152914,547
286161,132.229,145.815,421,50260,0.082384,0.05,1,153864,153443,421
314521,142.891,147.126,423,47269,0.0749536,0.01,1,154014,153591,423
317441,105.157,94.8503,443,46311,0.0599814,0,1,154094,153651,443
320361,65.4626,64.9401,437,44396,0.0539926,0.01,1,154133,153696,437
323281,44.7851,45.1761,436,42480,0.027597,0.01,1,154164,153728,436
326201,40.114,39.6704,437,40880,0.0170388,0.09,1,154201,153764,437
329121,17.2456,25.4682,423,39420,0.0128155,0.09,1,154203,153780,423
332041,8.09824,10.1873,425,37960,0.0111262,0.09,1,154205,153780,425
334961,4.4393,4.07491,427,36500,0.0104505,0.09,1,154207,153780,427
337881,2.97572,1.62996,429,35040,0.0101802,0.09,1,154209,153780,429
340801,2.39029,0.651985,431,33580,0.00407208,0.09,1,154211,153780,431
343721,2.15611,0.260794,433,32120,0.00162883,0.09,1,154213,153780,433
346641,2.06245,0.104318,435,30660,0.000651532,0.05,1,154215,153780,435
349561,7.42498,1.24173,444,29200,0.00626061,0.05,1,154226,153782,444
352481,39.57,49.6967,423,27740,0.0205042,0.05,1,154287,153864,423
355401,17.028,19.8787,425,26280,0.0082017,0.05,1,154289,153864,425
358321,26.0112,22.9515,432,24820,0.00328068,0.01,1,154321,153889,432
361241,79.4045,18.1806,532,24905,0.0553123,0.05,1,154436,153904,532
364161,102.562,121.272,460,24990,0.0281249,0.01,1,154554,154094,460
367081,81.8247,90.5089,458,25075,0.01725,0.01,1,154622,154164,458
370001,35.1299,59.6036,423,25160,0.0249,0.01,1,154626,154203,423
372921,16.452,26.2414,423,25244,0.03996,0,1,154630,154207,423
375841,8.98078,12.8966,423,25328,0.021984,0,1,154634,154211,423
378761,11.9923,7.55863,433,25412,0.0087936,0.03,1,154648,154215,433
381681,41.9969,46.2235,423,25495,0.00351744,0,1,154710,154287,423
384601,107.399,38.8894,540,25578,0.055407,0.09,1,154861,154321,540
387521,111.96,84.5558,540,25661,0.0401628,0.01,1,154976,154436,540
390441,84.9838,104.622,489,25744,0.0220651,0.01,1,155043,154554,489
393361,36.3935,82.6489,425,25826,0.014826,0.03,1,155047,154622,425
396281,16.9574,35.4596,425,25908,0.0359304,0.05,1,155051,154626,425
399201,9.18296,16.5838,425,25990,0.0443722,0.01,1,155055,154630,425
402121,12.6732,9.03353,436,26072,0.0177489,0,1,155070,154634,436
405041,41.6693,12.0134,483,26153,0.0250995,0,1,155131,154648,483
407961,109.668,42.0054,576,26234,0.0400398,0.09,1,155286,154710,576
410881,111.067,107.402,537,26315,0.0340159,0.03,1,155398,154861,537
413801,85.2268,111.961,490,26396,0.0136064,0.01,1,155466,154976,490
416721,35.2907,84.9843,425,26476,0.0114425,0.01,1,155468,155043,425
419641,16.5163,36.3937,425,26556,0.022577,0.05,1,155472,155047,425
422561,9.00652,16.9575,425,26636,0.0270308,0.05,1,155476,155051,425
425481,13.2026,9.183,437,26716,0.0108123,0,1,155492,155055,437
428401,41.281,12.6732,482,26795,0.0103249,0.03,1,155552,155070,482
431321,110.712,41.6693,578,26874,0.04613,0.05,1,155709,155131,578
434241,45.485,109.668,425,26953,0.060452,0.03,1,155711,155286,425
437161,83.594,111.067,422,27032,0.0421808,0,1,155820,155398,422
440081,74.8376,85.2268,423,27110,0.0228723,0.01,1,155889,155466,423
443001,31.135,35.2907,423,27188,0.0151489,0.03,1,155891,155468,423
445921,14.254,16.5163,422,27266,0.0240596,0.03,1,155894,155472,422
448841,8.10161,9.00652,422,27344,0.0276238,0,1,155898,155476,422
451761,13.4406,13.2026,423,27421,0.0110495,0.01,1,155915,155492,423
454681,40.7763,41.281,422,27498,0.0104198,0.07,1,155974,155552,422
457601,112.911,110.712,426,27575,0.0341679,0.07,1,156135,155709,426
460521,46.3642,45.485,426,27652,0.0436672,0.03,1,156137,155711,426
463441,81.5457,83.594,422,27729,0.0234669,0.01,1,156242,155820,422
466361,74.0183,74.8376,422,27805,0.0153867,0.01,1,156311,155889,422
469281,30.8073,31.135,422,27881,0.0121547,0.03,1,156313,155891,422
472201,14.1229,14.254,422,27957,0.0108619,0.03,1,156316,155894,422
475121,8.04917,8.10161,422,28033,0.0223448,0,1,156320,155898,422
478041,13.4197,13.4406,422,28109,0.0269379,0.01,1,156337,155915,422
480961,40.7679,40.7763,422,28184,0.0287752,0.05,1,156396,155974,422
483881,114.107,112.911,424,28259,0.0655101,0.05,1,156559,156135,424
486801,46.8429,46.3642,424,28334,0.056204,0.01,1,156561,156137,424
489721,80.5371,81.5457,422,28409,0.0224816,0.01,1,156664,156242,422
492641,73.0149,32.6183,490,28484,0.0389926,0.01,1,156732,156242,490
495561,30.4059,54.4473,423,28558,0.0455971,0.01,1,156734,156311,423
498481,13.9624,22.9789,424,28632,0.0362388,0.01,1,156737,156313,424
501401,7.98495,10.9916,425,28706,0.0144955,0.03,1,156741,156316,425
504321,13.394,6.79663,438,28780,0.0237982,0.03,1,156758,156320,438
