#Ack,Last Router Ocupation Router Arrival(Packets),Last Router Ocupation Router Arrival_ewma(Packets),Network Situation Router Arrival,Measure Time
42341,0.01,0.0591321,1,171452
43801,0.02,0.0356529,1,171452
45261,0.02,0.0262611,1,171452
46721,0.01,0.0165045,1,171475
48181,0.02,0.0186018,1,171475
49641,0.02,0.0194407,1,171475
51101,0.03,0.0257763,1,171477
52561,0.04,0.0343105,1,171477
54021,0.04,0.0377242,1,171477
55481,0,0.0150897,1,171494
56941,0,0.00603587,1,171494
58401,0,0.00241435,1,171494
59861,0.03,0.0189657,1,171504
61321,0.04,0.0315863,1,171504
62781,0.04,0.0366345,1,171504
64241,0.11,0.0806538,1,171523
68621,0.05,0.0754818,1,171687
70081,0.06,0.0661927,1,171687
71541,0.06,0.0624771,1,171687
73001,0.03,0.0429908,1,171846
74461,0.04,0.0411963,1,171846
75921,0.04,0.0404785,1,171846
77381,0.05,0.0461914,1,171873
78841,0.06,0.0544766,1,171873
80301,0.06,0.0577906,1,171873
81761,0.07,0.0651163,1,171875
83221,0.08,0.0740465,1,171875
84681,0.08,0.0776186,1,171875
86141,0,0.0310474,1,171897
87601,0,0.012419,1,171897
89061,0,0.00496759,1,171897
90521,0.03,0.019987,1,171899
91981,0.04,0.0319948,1,171899
93441,0.04,0.0367979,1,171899
94901,0.05,0.0447192,1,171901
96361,0.06,0.0538877,1,171901
97821,0.06,0.0575551,1,171901
99281,0.03,0.041022,1,171916
100741,0.04,0.0404088,1,171916
102201,0.04,0.0401635,1,171916
103661,0.09,0.0700654,1,171926
105121,0.1,0.0880262,1,171926
106581,0.1,0.0952105,1,171926
116801,0.07,0.0970388,1,172110
118261,0.08,0.0868155,1,172110
119721,0.08,0.0827262,1,172110
121181,0.09,0.0870905,1,172112
122641,0.1,0.0948362,1,172112
124101,0.1,0.0979345,1,172112
151841,0.21,0.205108,1,172322
153301,0.22,0.214043,1,172322
154761,0.22,0.217617,1,172322
156221,0.23,0.225047,1,172324
157681,0.24,0.234019,1,172324
159141,0.24,0.237608,1,172324
160601,0.25,0.245043,1,172326
162061,0.26,0.254017,1,172326
163521,0.26,0.257607,1,172326
164981,0.29,0.277043,1,172339
166441,0.3,0.290817,1,172339
167901,0.3,0.296327,1,172339
186881,0.41,0.404531,1,172379
188341,0.42,0.413812,1,172379
189801,0.42,0.417525,1,172379
200021,0.41,0.405141,1,172539
201481,0.42,0.414056,1,172539
202941,0.42,0.417623,1,172539
249661,0.76,0.754017,2,172756
251121,0.76,0.757607,2,172756
252581,0.77,0.765043,2,172758
254041,0.78,0.774017,2,172758
255501,0.78,0.777607,2,172758
256961,0.79,0.785043,2,172760
258421,0.8,0.794017,2,172760
259881,0.8,0.797607,2,172760
278861,0.91,0.905043,2,172792
280321,0.92,0.914017,2,172792
281781,0.92,0.917607,2,172792
283241,0.93,0.925043,2,172794
284701,0.94,0.934017,2,172794
286161,0.94,0.937607,2,172794
555361,0.53,0.438,1,174364
596241,0.42,0.4368,1,174783
597701,0.41,0.42072,1,174785
599161,0.42,0.420288,1,174785
600621,0.41,0.414115,1,174787
602081,0.42,0.417646,1,174787
603541,0.41,0.413058,1,174789
605001,0.42,0.417223,1,174789
606461,0.41,0.412889,1,174791
607921,0.42,0.417156,1,174791
609381,0.41,0.412862,1,174793
610841,0.42,0.417145,1,174793
612301,0.41,0.412858,1,174795
613761,0.42,0.417143,1,174795
615221,0.41,0.412857,1,174797
616681,0.42,0.417143,1,174797
618141,0.39,0.400857,1,174814
619601,0.4,0.400343,1,174814
656101,0.45,0.428857,1,175039
783121,0.81,0.777543,2,176128
848821,0.92,0.910551,2,176590
850281,0.91,0.91022,2,176592
851741,0.92,0.916088,2,176592
853201,0.91,0.912435,2,176594
854661,0.92,0.916974,2,176594
856121,0.91,0.91279,2,176596
857581,0.92,0.917116,2,176596
859041,0.91,0.912846,2,176598
860501,0.92,0.917139,2,176598
861961,0.91,0.912855,2,176600
863421,0.92,0.917142,2,176600
864881,0.91,0.912857,2,176602
866341,0.92,0.917143,2,176602
867801,0.91,0.912857,2,176604
869261,0.92,0.917143,2,176604
870721,0.91,0.912857,2,176620
872181,0.92,0.917143,2,176620
873641,0.92,0.918857,2,176620
875101,0.93,0.925543,2,176622
876561,0.94,0.934217,2,176622
878021,0.93,0.931687,2,176624
879481,0.94,0.936675,2,176624
880941,0.93,0.93267,2,176626
882401,0.94,0.937068,2,176626
883861,0.93,0.932827,2,176628
885321,0.94,0.937131,2,176628
886781,0.93,0.932852,2,176630
888241,0.94,0.937141,2,176630
889701,0.93,0.932856,2,176632
891161,0.94,0.937143,2,176632
892621,0.93,0.932857,2,176634
894081,0.94,0.937143,2,176634
895541,0.93,0.932857,2,176636
897001,0.94,0.937143,2,176636
898461,0.93,0.932857,2,176638
899921,0.94,0.937143,2,176638
901381,0.93,0.932857,2,176640
902841,0.94,0.937143,2,176640
904301,0.93,0.932857,2,176642
905761,0.94,0.937143,2,176642
907221,0.93,0.932857,2,176644
908681,0.94,0.937143,2,176644
1113081,0.9,0.9256,2,178505
1114541,0.91,0.91624,2,178505
1158341,0.89,0.919414,2,178619
1159801,0.9,0.907766,2,178619
1161261,0.92,0.915106,2,178622
1164181,0.73,0.789847,2,178700
1172941,0.23,0.265025,1,178996
1174401,0.19,0.22001,1,178999
1181701,0.07,0.0847841,1,179021
1183161,0.07,0.0759136,1,179031
1184621,0.05,0.0603655,1,179035
1186081,0.01,0.0301462,1,179038
1187541,0.01,0.0180585,1,179051
1189001,0.05,0.0372234,1,179084
1190461,0.05,0.0448894,1,179085
1191921,0.05,0.0479557,1,179089
1193381,0.05,0.0491823,1,179098
1194841,0.03,0.0376729,1,179110
1196301,0.01,0.0210692,1,179182
1197761,0.02,0.0204277,1,179182
1199221,0.11,0.0741711,1,179393
1221121,0.08,0.0924673,1,179507
1222581,0.05,0.0669869,1,179512
1224041,0.06,0.0627948,1,179512
1225501,0.05,0.0551179,1,179532
