#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
109501,192.932,225.599,442,20647,0.082,0.07,1,152811,152369,442
112421,130.159,150.959,439,20750,0.0868,0.03,1,152847,152408,439
115341,86.8955,104.976,425,20852,0.03472,0.01,1,152869,152444,425
118261,54.1373,65.3853,424,20954,0.031888,0.03,1,152874,152450,424
121181,38.8824,46.0312,423,21055,0.0127552,0,1,152890,152467,423
124101,30.1294,31.2187,431,21156,0.0231021,0,1,152907,152476,431
127021,53.6777,57.9312,422,21256,0.00924083,0.03,1,152996,152574,422
129941,127.407,129.559,423,21356,0.0216963,0.09,1,153234,152811,423
132861,90.844,92.1352,423,21455,0.0266785,0,1,153270,152847,423
135781,62.9064,64.0812,422,21554,0.0106714,0.03,1,153291,152869,422
138701,39.7438,40.4487,422,21652,0.0222686,0,1,153296,152874,422
141621,30.2463,30.6692,422,21750,0.00890743,0.03,1,153312,152890,422
144541,25.7478,25.2015,424,21848,0.00356297,0,1,153331,152907,424
147461,50.2487,50.7209,422,21945,0.0194252,0.03,1,153418,152996,422
150381,125.349,125.633,422,22042,0.0257701,0.03,1,153656,153234,422
153301,90.4095,89.7795,424,22138,0.028308,0,1,153694,153270,424
156221,61.8457,62.2677,422,22234,0.0533232,0.03,1,153713,153291,422
159141,39.1074,39.3606,422,22329,0.0513293,0,1,153718,153296,422
162061,29.8645,30.0164,422,22424,0.0205317,0,1,153734,153312,422
164981,25.5187,25.6098,422,22519,0.0142127,0,1,153753,153331,422
167901,49.7112,15.3659,508,22613,0.0356851,0.03,1,153839,153331,508
169361,110.227,44.0195,622,22707,0.032274,0.03,1,154040,153418,622
172281,81.336,121.612,422,22800,0.0429096,0.03,1,154078,153656,422
175201,64.4016,88.167,423,22893,0.0471638,0.07,1,154117,153694,423
178121,45.841,60.5002,422,22986,0.0248655,0.05,1,154135,153713,422
181041,29.5046,38.3001,422,23078,0.0279462,0,1,154140,153718,422
183961,24.1028,29.3801,422,23170,0.0111785,0.01,1,154156,153734,422
186881,22.0617,25.2281,422,23261,0.0344714,0.05,1,154175,153753,422
189801,47.637,49.5368,422,23352,0.0197886,0.03,1,154261,153839,422
192721,123.782,110.122,459,23443,0.0379154,0.05,1,154499,154040,459
195641,89.8693,81.2733,460,23533,0.0331662,0.05,1,154538,154078,460
198561,61.1216,64.364,439,23623,0.0312665,0.01,1,154556,154117,439
201481,38.673,45.8184,426,23713,0.0305066,0.03,1,154561,154135,426
204401,29.6038,29.491,437,23802,0.0122026,0,1,154577,154140,437
207321,25.3623,24.0946,440,23891,0.0348811,0.05,1,154596,154156,440
210241,49.6174,22.0568,507,23980,0.0319524,0.01,1,154682,154175,507
213161,30.5704,47.6341,423,24068,0.030781,0.05,1,154684,154261,423
216081,113.142,123.78,422,24156,0.0543124,0.03,1,154921,154499,422
219001,83.4854,89.8683,422,24244,0.027725,0.03,1,154960,154538,422
221921,57.6912,61.121,423,24331,0.01709,0.03,1,154979,154556,423
224841,36.2147,38.6726,422,24418,0.012836,0,1,154983,154561,422
227761,28.1288,29.6035,422,24505,0.0051344,0.05,1,154999,154577,422
230681,24.4773,25.3621,422,24591,0.0200538,0.03,1,155018,154596,422
233601,49.0864,49.6173,422,24677,0.0260215,0.03,1,155104,154682,422
236521,30.2518,30.5704,422,24763,0.0284086,0.07,1,155106,154684,422
239441,113.351,113.142,423,24849,0.0413634,0.01,1,155344,154921,423
242361,83.2107,83.4853,422,24934,0.0225454,0.01,1,155382,154960,422
245281,57.5264,57.6912,422,25019,0.0390182,0.01,1,155401,154979,422
248201,36.1158,36.2147,422,25104,0.0216073,0,1,155405,154983,422
251121,28.0695,28.1288,422,25188,0.0086429,0.03,1,155421,154999,422
254041,24.8417,24.4773,423,25272,0.0334572,0.03,1,155441,155018,423
256961,48.905,49.0864,422,25356,0.0193829,0.03,1,155526,155104,422
259881,30.143,30.2518,422,25440,0.0137531,0.03,1,155528,155106,422
261341,98.4858,18.1511,623,25523,0.0115013,0.05,1,155729,155106,623
264261,73.8915,106.091,422,25606,0.0106005,0.01,1,155766,155344,422
267181,59.9349,78.8544,423,25689,0.0042402,0.05,1,155805,155382,423
270101,43.1609,54.9126,422,25771,0.0316961,0.01,1,155823,155401,422
273021,27.4966,34.5476,422,25853,0.0186784,0,1,155827,155405,422
275941,22.8979,27.1286,422,25935,0.0254714,0.05,1,155843,155421,422
278861,21.7388,24.2771,422,26017,0.0401885,0.01,1,155863,155441,422
281781,47.0433,48.5663,422,26098,0.0340754,0.01,1,155948,155526,422
284701,29.026,29.9398,422,26179,0.0136302,0.01,1,155950,155528,422
287621,112.216,98.3639,458,26260,0.0234521,0.01,1,156187,155729,458
290541,82.9293,73.8183,460,26341,0.00938083,0,1,156226,155766,460
293461,57.3576,59.891,440,26421,0.00975233,0.05,1,156245,155805,440
296381,35.6146,43.1346,425,26501,0.0219009,0.01,1,156248,155823,425
299301,27.7687,27.4808,437,26581,0.00876037,0.03,1,156264,155827,437
302221,24.6612,22.8885,441,26661,0.00950415,0.05,1,156284,155843,441
305141,48.7967,21.7331,506,26740,0.00980166,0.03,1,156369,155863,506
308061,30.0781,47.0398,423,26819,0.00992066,0,1,156371,155948,423
309521,98.4468,29.0239,622,26898,0.0459683,0.03,1,156572,155950,622
312441,74.2681,112.214,423,26977,0.0723873,0.03,1,156610,156187,423
315361,59.7609,67.3286,461,27056,0.0469549,0,1,156648,156187,461
318281,43.0565,55.9972,440,27134,0.036782,0.01,1,156666,156226,440
321201,27.0339,41.1983,424,27212,0.0447128,0.03,1,156669,156245,424
324121,22.6203,25.919,437,27290,0.0178851,0,1,156685,156248,437
327041,21.9722,21.9514,442,27368,0.013154,0.01,1,156706,156264,442
329961,46.7833,21.1708,506,27445,0.0232616,0.01,1,156790,156284,506
332881,28.87,46.7025,423,27522,0.0273046,0.01,1,156792,156369,423
334341,97.722,28.8215,622,27599,0.0529219,0.07,1,156993,156371,622
337261,74.6332,97.6929,461,27676,0.0631687,0.09,1,157033,156572,461
340181,59.5799,73.8157,460,27753,0.0432675,0.03,1,157070,156610,460
343101,42.948,59.4894,440,27829,0.047307,0.03,1,157088,156648,440
346021,26.5688,42.8937,424,27905,0.0489228,0.05,1,157090,156666,424
348941,22.7413,26.9362,438,27981,0.0195691,0,1,157107,156669,438
351861,22.0448,22.5617,443,28057,0.0138276,0.01,1,157128,156685,443
354781,46.4269,21.937,505,28132,0.0235311,0.03,1,157211,156706,505
357701,28.6561,46.7622,423,28207,0.0274124,0.03,1,157213,156790,423
359161,97.5937,28.8573,622,28282,0.016965,0.07,1,157414,156792,622
362081,75.7562,97.7144,464,28357,0.036786,0.07,1,157457,156993,464
365001,46.2537,74.6286,426,28432,0.0447144,0.03,1,157459,157033,426
367921,40.9522,59.5772,422,28506,0.0598858,0.05,1,157492,157070,422
370841,32.5713,42.9463,424,28580,0.0419543,0.05,1,157512,157088,424
373761,20.3428,26.5678,424,28654,0.0167817,0,1,157514,157090,424
376681,18.6057,22.7407,423,28728,0.0127127,0.01,1,157530,157107,423
379601,19.5634,22.0444,423,28802,0.0230851,0.03,1,157551,157128,423
382521,44.538,46.4266,422,28876,0.015234,0.03,1,157633,157211,422
385441,27.5228,28.656,422,28949,0.0120936,0.01,1,157635,157213,422
388361,114.514,97.5936,466,29022,0.0828374,0.05,1,157880,157414,466
405881,21.268,18.6057,442,29457,0.074626,0.03,1,157972,157530,442
408801,45.5608,19.5634,503,29529,0.0478504,0.01,1,158054,157551,503
411721,28.1365,44.538,423,29601,0.0371402,0.01,1,158056,157633,423
413181,97.2819,27.5228,622,29673,0.0568561,0.13,1,158257,157635,622
416101,78.7691,114.514,428,29744,0.0887424,0.13,1,158308,157880,428
424861,31.9421,32.463,446,29957,0.0846395,0.11,1,158359,157913,446
427781,19.9653,27.4778,428,30028,0.0758558,0.11,1,158361,157933,428
430701,17.5792,17.2867,440,30098,0.0723423,0.11,1,158375,157935,440
433621,18.5475,16.772,444,30168,0.0709369,0.05,1,158395,157951,444
436541,43.1285,18.4632,503,30238,0.0283748,0.03,1,158475,157972,503
439461,26.6771,43.8779,423,30308,0.0173499,0.03,1,158477,158054,423
440921,96.4063,27.1268,622,30378,0.01294,0.07,1,158678,158056,622
443841,79.4438,96.6761,475,30448,0.035176,0.11,1,158732,158257,475
446761,48.4663,78.4056,426,30518,0.0440704,0.11,1,158734,158308,426
449681,41.4798,47.8434,455,30587,0.0596282,0.11,1,158765,158310,455
452601,32.0879,41.106,442,30656,0.0778513,0.07,1,158783,158341,442
455521,20.0527,31.8636,426,30725,0.0851405,0.07,1,158785,158359,426
464281,41.9474,18.5305,501,30932,0.042409,0,1,158896,158395,501
467201,25.9684,43.1183,423,31000,0.0229636,0.01,1,158898,158475,423
468661,95.9811,26.671,622,31068,0.0391854,0.01,1,159099,158477,622
471581,80.3886,96.4026,478,31136,0.0696742,0.05,1,159156,158678,478
474501,49.0332,79.4416,426,31204,0.0818697,0.05,1,159158,158732,426
477421,41.8199,48.4649,455,31272,0.0747479,0.07,1,159189,158734,455
480341,32.6919,41.479,443,31340,0.0838991,0.09,1,159208,158765,443
483261,20.4152,32.0874,427,31408,0.0875597,0.09,1,159210,158783,427
486181,13.0491,20.0524,427,31475,0.0890239,0.11,1,159212,158785,427
528521,94.5207,23.8608,623,32469,0.0748521,0.11,1,159943,159320,623
531441,82.7124,118.716,427,32534,0.0959409,0.11,1,160008,159581,427
537281,43.0565,55.2179,429,32664,0.0981505,0.15,1,160042,159613,429
548961,13.7625,9.97225,444,32922,0.0856967,0.19,1,160081,159637,444
551881,16.2575,11.5833,450,32986,0.0762787,0.19,1,160101,159651,450
554801,36.9545,14.95,498,33050,0.0845115,0.17,1,160169,159671,498
557721,22.9727,36.57,431,33114,0.0878046,0.17,1,160171,159740,431
560641,91.7836,22.742,624,33178,0.0891218,0.11,1,160366,159742,624
563561,81.8702,120.045,425,33242,0.0776487,0.12,1,160433,160008,425
566481,49.9221,72.8271,425,33306,0.0490595,0.09,1,160435,160010,425
572321,33.892,42.2978,425,33433,0.24185,0.11,1,160488,160063,425
575241,21.1352,26.1787,425,33496,0.27074,0.11,1,160490,160065,425
578161,13.4811,16.5072,425,33559,0.282296,0.07,1,160492,160067,425
581081,13.6887,15.5043,425,33622,0.298918,0.07,1,160506,160081,425
592761,91.1181,92.0094,424,33874,0.422804,0.07,1,160790,160366,424
633641,46.344,51.6917,482,34737,0.785651,0.55,2,161350,160868,482
636561,35.8064,44.615,468,34798,0.812261,0.59,2,161370,160902,468
639481,22.2838,34.769,450,34859,0.822904,0.59,2,161372,160922,450
642401,14.1703,21.6614,450,34920,0.827162,0.59,2,161374,160924,450
645321,14.1022,13.7968,462,34981,0.828865,0.55,2,161388,160926,462
648241,16.8613,13.8781,469,35041,0.853546,0.53,2,161409,160940,469
651161,39.3168,16.7269,521,35101,0.863418,0.59,2,161482,160961,521
654081,24.3901,38.4361,452,35161,0.867367,0.59,2,161484,161032,452
776721,28.6621,39.0044,483,37604,0.0596589,1,1,163270,162787,483
