#Ack,Last Router Ocupation Router Arrival(Packets),Last Router Ocupation Router Arrival_ewma(Packets),Network Situation Router Arrival,Measure Time
99281,0.43,0.443648,1,192026
100741,0.44,0.441459,1,192026
102201,0.44,0.440584,1,192026
113881,0.42,0.407698,1,192072
115341,0.42,0.415079,1,192072
118261,0.28,0.299213,1,192196
119721,0.28,0.287685,1,192196
121181,0.27,0.277074,1,192199
122641,0.28,0.27883,1,192199
124101,0.28,0.279532,1,192199
125561,0.27,0.273813,1,192348
127021,0.28,0.277525,1,192348
128481,0.28,0.27901,1,192348
129941,0.27,0.273604,1,192393
131401,0.28,0.277442,1,192393
132861,0.28,0.278977,1,192393
134321,0.29,0.285591,1,192395
135781,0.3,0.294236,1,192395
137241,0.3,0.297694,1,192395
164981,0.45,0.429108,1,192469
166441,0.46,0.447643,1,192469
208781,0.77,0.755506,2,192827
210241,0.78,0.770202,2,192827
211701,0.78,0.776081,2,192827
213161,0.79,0.784432,2,192829
214621,0.8,0.793773,2,192829
216081,0.8,0.797509,2,192829
230681,0.93,0.901043,2,192864
232141,0.94,0.924417,2,192864
233601,0.94,0.933767,2,192864
235061,0.95,0.943507,2,192866
340921,0.71,0.752359,2,193833
399161,0.01,0.0828094,1,193963
400821,0.01,0.0391237,1,193964
402281,0.03,0.0336495,1,193967
403941,0.03,0.0314598,1,193968
405401,0.05,0.0425839,1,193973
408321,0.03,0.0350336,1,193998
409781,0.05,0.0440134,1,194013
412261,0.05,0.0476054,1,194039
415181,0.03,0.0370421,1,194052
416641,0.01,0.0208169,1,194066
418501,0.03,0.0263267,1,194078
420581,0.05,0.0405307,1,194082
422041,0.05,0.0462123,1,194083
425161,0.05,0.0484849,1,194120
425361,0.05,0.049394,1,194148
426821,0.06,0.0557576,1,194148
428281,0.06,0.058303,1,194148
429741,0.06,0.0593212,1,194148
431201,0.06,0.0597285,1,194148
432661,0.06,0.0598914,1,194148
434121,0.06,0.0599566,1,194148
435581,0.06,0.0599826,1,194148
437041,0.06,0.059993,1,194148
438501,0.06,0.0599972,1,194148
439961,0.06,0.0599989,1,194148
442881,0,0.0551998,1,194383
444341,0.03,0.0400799,1,194396
445801,0.01,0.022032,1,194462
447261,0.03,0.0268128,1,194506
448721,0.04,0.0347251,1,194506
450181,0.04,0.03789,1,194506
451641,0.04,0.039156,1,194506
453101,0.04,0.0396624,1,194506
454561,0.04,0.039865,1,194506
456021,0.04,0.039946,1,194506
457481,0.04,0.0399784,1,194506
458941,0.04,0.0399914,1,194506
460401,0.04,0.0399965,1,194506
461861,0.04,0.0399986,1,194506
463321,0.04,0.0399994,1,194506
464781,0.04,0.0399998,1,194506
466241,0.04,0.0399999,1,194506
467701,0.04,0.04,1,194506
469161,0.04,0.04,1,194506
470621,0.04,0.04,1,194506
472081,0.04,0.04,1,194506
473541,0.04,0.04,1,194506
475001,0.04,0.04,1,194506
476461,0.04,0.04,1,194506
477921,0.04,0.04,1,194506
479381,0.04,0.04,1,194506
480841,0.04,0.04,1,194506
482301,0.04,0.04,1,194506
483761,0.04,0.04,1,194506
485221,0.04,0.04,1,194506
486681,0.31,0.202,1,194572
488141,0.32,0.2728,1,194572
489601,0.31,0.29512,1,194574
505661,0.02,0.0732061,1,194818
507121,0.01,0.0352824,1,194928
508581,0.02,0.026113,1,194928
510041,0.01,0.0164452,1,194930
511501,0.02,0.0185781,1,194930
512961,0.01,0.0134312,1,194932
514421,0.02,0.0173725,1,194932
515881,0.01,0.012949,1,194934
517341,0.02,0.0171796,1,194934
518801,0.01,0.0128718,1,194936
520261,0.02,0.0171487,1,194936
521721,0.01,0.0128595,1,194938
523181,0.02,0.0171438,1,194938
524641,0.01,0.0128575,1,194940
526101,0.02,0.017143,1,194940
527561,0.02,0.0188572,1,194940
529021,0.03,0.0255429,1,194942
530481,0.04,0.0342172,1,194942
531941,0.03,0.0316869,1,194944
533401,0.04,0.0366747,1,194944
534861,0.03,0.0326699,1,194946
536321,0.04,0.037068,1,194946
537781,0.03,0.0328272,1,194948
539241,0.04,0.0371309,1,194948
540701,0.03,0.0328523,1,194950
542161,0.04,0.0371409,1,194950
543621,0.03,0.0328564,1,194952
545081,0.04,0.0371426,1,194952
546541,0.03,0.032857,1,194954
548001,0.04,0.0371428,1,194954
549461,0.07,0.0568571,1,195009
550921,0.08,0.0707429,1,195009
552381,0.07,0.0702971,1,195011
553841,0.08,0.0761189,1,195011
555301,0.07,0.0724475,1,195013
556761,0.08,0.076979,1,195013
558221,0.07,0.0727916,1,195015
559681,0.08,0.0771166,1,195015
561141,0.07,0.0728467,1,195017
562601,0.08,0.0771387,1,195017
564061,0.05,0.0608555,1,195046
565521,0.06,0.0603422,1,195046
569901,0,0.0566619,1,195350
571361,0,0.0226648,1,195350
572821,0.01,0.0150659,1,195352
574281,0.02,0.0180264,1,195352
575741,0.01,0.0132105,1,195354
577201,0.02,0.0172842,1,195354
578661,0.01,0.0129137,1,195356
580121,0.02,0.0171655,1,195356
581581,0.01,0.0128662,1,195358
583041,0.02,0.0171465,1,195358
584501,0.01,0.0128586,1,195360
585961,0.02,0.0171434,1,195360
587421,0.01,0.0128574,1,195362
588881,0.02,0.0171429,1,195362
590341,0.01,0.0128572,1,195364
591801,0.02,0.0171429,1,195364
593261,0.01,0.0128571,1,195366
594721,0.02,0.0171429,1,195366
596181,0.01,0.0128571,1,195368
597641,0.02,0.0171429,1,195368
599101,0.01,0.0128571,1,195370
600561,0.02,0.0171429,1,195370
602021,0.01,0.0128571,1,195372
603481,0.02,0.0171429,1,195372
604941,0.01,0.0128571,1,195374
606401,0.02,0.0171429,1,195374
607861,0.01,0.0128571,1,195376
609321,0.02,0.0171429,1,195376
610781,0.05,0.0368571,1,195433
612241,0.06,0.0507429,1,195433
613701,0.05,0.0502971,1,195435
615161,0.06,0.0561189,1,195435
616621,0.05,0.0524475,1,195437
618081,0.06,0.056979,1,195437
619541,0.05,0.0527916,1,195439
621001,0.06,0.0571166,1,195439
622461,0.05,0.0528467,1,195441
623921,0.06,0.0571387,1,195441
625381,0.05,0.0528555,1,195469
626841,0.06,0.0571422,1,195469
631221,0.01,0.0624571,1,195771
632681,0.02,0.0369828,1,195771
634141,0.01,0.0207931,1,195773
635601,0.02,0.0203173,1,195773
637061,0.01,0.0141269,1,195775
638521,0.02,0.0176508,1,195775
