#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd_(Bytes),Last_Router_Ocupation_Ack_Arriaval(Packets),Last_Router_Ocupation_Packet_Sent(Packets),Network_Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Last_Router_Ocupation_Router_Arrival(Packets),Last_Router_Ocupation_Router_Arrival_ewma(Packets),Network_Situation_Router_Arrival,Measure_Time
101465161,0.16511297043639112,0.15674671888791886,0.9017681728880157,0.006130999921894881,0.896344,0.75,2,1436162,1435703,459,0.75,0.751666,2,1435755
131026921,0.6598504509467481,0.7127887402748369,0.9626719056974461,0.005197895696911824,0.33243,0.83,1,1762168,1761678,490,0.82,0.819997,2,1761717
149689901,0.6323994309150593,0.5799718313935261,0.8388998035363457,0.005982222267013689,0.183613,0.09,1,1961184,1960757,427,0.09,0.0953408,1,1960799
68470941,0.7770309029295744,0.8847450596412362,0.8958742632612967,0.0044751713903467116,0.313047,0.09,1,994717,994261,456,0.16,0.1575,1,994299
52181061,0.9566312799609827,0.9974315440158594,0.9155206286836937,0.004948463218787557,0.0804741,0.91,1,726511,726045,466,0.82,0.829904,2,726088
51143341,0.7461102842139578,0.8552669023697322,0.8939096267190569,0.004744256124323194,0.271597,0.17,1,530473,530018,455,0.18,0.176732,1,530054
4266521,0.6822373225715967,0.7424091875961664,0.8408644400785855,0.006714520749506804,0.177744,0.17,1,167576,167148,428,0.17,0.163516,1,167201
126456641,0.7610677165593105,0.9494629153543024,0.9096267190569746,0.004652293645014752,0.0825321,0.89,1,1731013,1730550,463,0.83,0.8316,2,1730591
27512721,0.8843761924376395,0.9711295900599548,0.93713163064833,0.0031099694886130296,0.0086112,0.81,1,276941,276464,477,0.84,0.84,2,276538
114962061,0.7442731405553885,0.8005841127130131,0.8487229862475442,0.0052445068165613085,0.212109,0.25,1,1554800,1554368,432,0.19,0.195205,1,1554405
131269001,0.8392916257078815,0.7731390149669839,0.8683693516699411,0.006144101425796357,0.56456,0.45,1,1957053,1956611,442,0.41,0.411494,1,1956623
115451961,0.19252962299386187,0.18682442372529823,0.8310412573673871,0.0038542356910161476,0.0306196,0.03,1,1632504,1632081,423,0.01,0.0156728,1,1632197
19061761,0.48117749031519524,0.9108275492830029,0.8408644400785855,0.010392138089851122,0.125149,0.15,1,127225,126797,428,0.11,0.115351,1,126818
