#Ack,Last Router Ocupation Router Arrival(Packets),Last Router Ocupation Router Arrival_ewma(Packets),Network Situation Router Arrival,Measure Time
0,0.41,0.41,1,100010
1,0.46,0.45,1,100451
1,0.47,0.466,1,100451
1461,0.47,0.4692,1,100451
2921,0.47,0.46984,1,100451
4381,0.47,0.469968,1,100451
5841,0.47,0.469994,1,100451
7301,0.47,0.469999,1,100451
8761,0.47,0.47,1,100451
10221,0.47,0.47,1,100451
11681,0.47,0.47,1,100451
13141,0.47,0.47,1,100451
14601,0.74,0.686,1,100895
16061,0.75,0.7372,1,100895
17521,0.74,0.73944,1,100897
18981,0.75,0.747888,1,100897
20441,0.75,0.749578,1,100897
21901,0.76,0.757916,2,100899
23361,0.77,0.767583,2,100899
24821,0.77,0.769517,2,100899
26281,0.78,0.777903,2,100901
27741,0.79,0.787581,2,100901
29201,0.79,0.789516,2,100901
30661,0.8,0.797903,2,100903
32121,0.81,0.807581,2,100903
33581,0.81,0.809516,2,100903
35041,0.87,0.857903,2,101104
36501,0.88,0.875581,2,101104
37961,0.86,0.863116,2,101354
39421,0.87,0.868623,2,101354
40881,0.87,0.869725,2,101354
42341,0.88,0.877945,2,101356
43801,0.89,0.887589,2,101356
45261,0.89,0.889518,2,101356
46721,0.91,0.905904,2,101358
48181,0.92,0.917181,2,101358
49641,0.92,0.919436,2,101358
51101,0.93,0.927887,2,101360
52561,0.94,0.937577,2,101360
54021,0.94,0.939516,2,101360
55481,0.95,0.947903,2,101362
303681,0.88,0.88,2,103204
305141,0.86,0.864,2,103211
306601,0.91,0.9008,2,103233
308061,0.87,0.87616,2,103241
309521,0.81,0.823232,2,103249
310981,0.77,0.780646,2,103257
312441,0.71,0.724129,1,103266
313901,0.64,0.656826,1,103281
315361,0.59,0.603365,1,103292
316821,0.6,0.600673,1,103292
230681,0.51,0.528135,1,103300
317201,0.5,0.505627,1,103308
318661,0.48,0.485125,1,103312
237981,0.47,0.473025,1,103320
242361,0.38,0.398605,1,103334
