#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
4381,2,0,423,16060,0.03,0.01,1,110843,110420,423
7301,2,0,425,17520,0.006,0.01,1,110845,110420,425
10221,2,0,427,18980,0.0012,0.01,1,110847,110420,427
13141,2,0,429,20440,0.02424,0.01,1,110849,110420,429
14601,161.2,0,630,21900,0.060848,0.03,1,111050,110420,630
17521,202.64,336.8,422,23360,0.0361696,0.03,1,111263,110841,422
20441,42.128,68.96,422,24820,0.0312339,0.03,1,111265,110843,422
23361,10.0256,13.792,424,26280,0.00624678,0,1,111267,110843,424
26281,3.60512,4.3584,424,27740,0.00124936,0,1,111269,110845,424
29201,2.32102,2.47168,424,29200,0.0242499,0,1,111271,110847,424
32121,2.0642,0.494336,426,30660,0.00484997,0.03,1,111273,110847,426
35041,2.01284,1.69887,426,32120,0.02497,0.07,1,111275,110849,426
37961,160.403,161.14,425,33580,0.012994,0.03,1,111475,111050,425
40881,200.081,202.628,422,35040,0.0105988,0.03,1,111685,111263,422
43801,41.6161,40.5256,424,36500,0.0101198,0.03,1,111687,111263,424
46721,9.92322,9.70512,424,37960,0.00202395,0,1,111689,111265,424
49641,3.58464,3.54102,424,39420,0.00040479,0,1,111691,111267,424
52561,2.31693,0.708205,426,40880,0.00808096,0,1,111693,111267,426
55481,2.06339,1.74164,426,42340,0.00161619,0.03,1,111695,111269,426
58401,2.01268,1.94833,426,43800,0.0243232,0.03,1,111697,111271,426
61321,2.00254,0.389666,428,45260,0.0448647,0,1,111699,111271,428
64241,2.00051,1.67793,428,46720,0.0649729,0.03,1,111701,111273,428
67161,2.0001,1.93559,428,48180,0.0849946,0.03,1,111703,111275,428
70081,154.8,0.387117,621,49640,0.0569989,0.01,1,111896,111275,621
73001,32.56,160.077,423,51100,0.0513998,0.01,1,111898,111475,423
75921,173.712,200.015,422,52560,0.05028,0.01,1,112107,111685,422
78841,36.3424,40.0031,424,54020,0.018056,0.01,1,112109,111685,424
81761,8.86848,9.60062,424,55480,0.0036112,0,1,112111,111687,424
84681,3.3737,3.52012,424,56940,0.0247222,0,1,112113,111689,424
87601,2.27474,0.704025,426,58400,0.00494445,0,1,112115,111689,426
90521,2.05495,1.7408,426,59860,0.000988889,0.01,1,112117,111691,426
93441,2.01099,1.94816,426,61320,0.0241978,0.01,1,112119,111693,426
96361,2.0022,0.389632,428,62780,0.0448396,0,1,112121,111693,428
99281,2.00044,1.67793,428,64240,0.0649679,0.03,1,112123,111695,428
102201,2.00009,1.93559,428,65700,0.0849936,0.03,1,112125,111697,428
105121,2.00002,0.387117,430,67160,0.104999,0.05,1,112127,111697,430
108041,2,1.67742,430,68620,0.125,0.07,1,112129,111699,430
110961,2,1.93548,430,70080,0.145,0.07,1,112131,111701,430
113881,2,0.387097,432,71540,0.165,0.09,1,112133,111701,432
116801,2,1.67742,432,73000,0.185,0.05,1,112135,111703,432
119721,148.4,154.735,424,74460,0.093,0.05,1,112320,111896,424
122641,31.28,30.9471,426,75920,0.0746,0.05,1,112322,111896,426
125561,7.856,7.78942,426,77380,0.07092,0.05,1,112324,111898,426
128481,165.571,168.758,422,78840,0.102184,0.05,1,112529,112107,422
131401,34.7142,33.7516,424,80300,0.108437,0.01,1,112531,112107,424
134321,8.54285,8.35031,424,81760,0.0776874,0,1,112533,112109,424
137241,3.30857,3.27006,424,83220,0.0715375,0,1,112535,112111,424
140161,2.26171,0.654013,426,84680,0.0383075,0.03,1,112537,112111,426
143081,2.05234,1.7308,426,86140,0.0076615,0,1,112539,112113,426
146001,2.01047,1.94616,426,87600,0.0255323,0,1,112541,112115,426
148921,2.00209,0.389232,428,89060,0.0451065,0,1,112543,112115,428
