#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd_(Bytes),Last_Router_Ocupation_Ack_Arriaval(Packets),Last_Router_Ocupation_Packet_Sent(Packets),Network_Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Last_Router_Ocupation_Router_Arrival(Packets),Last_Router_Ocupation_Router_Arrival_ewma(Packets),Network_Situation_Router_Arrival,Measure_Time
127094701,0.825540858201522,0.9802701793183021,0.9644970414201185,0.005461374312919391,0.914358,0.77,2,1755232,1754743,489,0.78,0.777527,2,1754783
53242061,0.6725417347304673,0.8421205711263883,0.9132149901380672,0.006579033864793661,0.543432,0.37,1,767162,766699,463,0.36,0.358333,1,766734
43708481,0.6975377505079884,0.9132325368972646,0.9783037475345169,0.0047826372770622535,0.46734,0.89,1,564478,563982,496,0.92,0.918,2,564022
17460541,0.13645986891908043,0.13119056776116533,0.9072978303747536,0.008469738112936583,0.909712,0.75,2,117065,116605,460,0.74,0.741669,2,116617
78802441,0.7140996653253118,0.8674919475025239,0.9802761341222881,0.004840536618172808,0.473701,0.93,1,1190483,1189986,497,0.94,0.938,2,1190025
46107201,0.35513616080321925,0.6097014566607375,0.9349112426035503,0.006451984000566352,0.538979,0.86,1,749068,748594,474,0.9,0.8956,2,748607
6873361,0.049005936491493686,0.030897553002259513,0.9072978303747536,0.4765596160944998,0.719838,0.86,1,75192,74732,460,0.76,0.758001,2,74746
118263161,0.5778268058488386,0.5346065093024375,0.8579881656804735,0.005727483730032313,0.446021,0.31,1,1633049,1632614,435,0.27,0.2715,1,1632662
30052801,0.7406320968962906,0.7590067785202635,0.8323471400394478,0.005323705355562635,0.0665904,0.05,1,478682,478260,422,0.03,0.0279934,1,478312
25512001,0.9524283836009402,0.7653358011634057,0.9171597633136096,0.00510904797301739,0.140183,0.11,1,167101,166636,465,0.08,0.079164,1,166687
84215681,0.5104287023387386,0.6058170280274987,0.873767258382643,0.006187391596757637,0.108393,0.11,1,975542,975099,443,0.08,0.0791027,1,975128
155629101,0.7962169807562054,0.6849911061968175,0.8974358974358975,0.0055656689775836,0.0771575,0.03,1,2244152,2243697,455,0.06,0.057564,1,2243739
168351201,0.653001613610104,0.7825441084563243,0.8796844181459567,0.006191057712242803,0.0927147,0.01,1,2313285,2312839,446,0.02,0.0184013,1,2312874
32854621,0.9065475716163991,0.852358059708668,0.873767258382643,0.005279585551965291,0.755056,0.45,2,491916,491473,443,0.49,0.4795,1,491526
122600641,0.9388845173114466,0.9855439642324889,0.9329388560157792,0.004671389634753763,0.270029,0.88,1,1716387,1715914,473,0.83,0.8476,2,1715954
130543041,0.6750766962827204,0.17746646795827126,0.9329388560157792,0.0041003605434953,0.609804,0.41,1,1832206,1831733,473,0.42,0.418332,1,1831775
8893321,0.42398352524004934,0.3719196192490746,0.8540433925049309,0.009240001618147524,0.225877,0.23,1,121839,121406,433,0.23,0.231603,1,121424
41308181,0.9005463365074304,0.8498269313975291,0.9053254437869822,0.005298801053818575,0.796678,0.77,2,427948,427489,459,0.77,0.767507,2,427552
82551781,0.18641678951352644,0.6902408538051056,0.8500986193293886,0.004777959819374283,0.187827,0.17,1,1114393,1113962,431,0.18,0.178328,1,1113974
153326441,0.5881534124865532,0.7191505216095381,0.9132149901380672,0.0051439392790141435,0.545174,0.39,1,2176027,2175564,463,0.4,0.399132,1,2175597
10335541,0.6413029403561894,0.6067136195375223,0.8362919132149902,0.00972734214212392,0.0530341,0.05,1,156066,155642,424,0.03,0.0355192,1,155685
17152321,0.6970920156181521,0.6312124417095332,0.8658777120315583,0.004639658773140774,0.537497,0.39,1,277249,276810,439,0.37,0.367341,1,276858
702861,0.06797133351926372,0.09768977453007069,0.8422090729783037,0.04835732742709487,0.121917,0.11,1,64506,64079,427,0.0,2.048e-07,1,64089
78145501,0.6557656679548985,0.6135642517186675,0.8639053254437871,0.005773879053585966,0.645605,0.35,1,1051131,1050693,438,0.33,0.331507,1,1050705
141608721,0.9367828399537831,0.9373659920196145,0.9053254437869822,0.006025703262084275,0.757837,0.75,2,2059705,2059246,459,0.75,0.75198,2,2059290
64231401,0.7561705645643252,0.6906831402336426,0.8698224852071007,0.006174117730345829,0.577903,0.39,1,945312,944871,441,0.4,0.399346,1,944881
30293501,0.7076427347703096,0.6644968991875392,0.834319526627219,0.0035500639673943274,0.0354642,0.05,1,219671,219248,423,0.03,0.0313603,1,219324
96415881,0.9255996254830869,0.8634825248786118,0.903353057199211,0.004624615057874057,0.903433,0.75,2,1416107,1415649,458,0.71,0.71536,2,1415696
71842421,0.6911928762102076,0.7919066391038893,0.8382642998027614,0.004203138194855302,0.122283,0.19,1,965498,965073,425,0.05,0.0563778,1,965115
164959621,0.973644368301526,0.8759843276765541,0.8994082840236686,0.004283413482202906,0.815245,0.75,2,2310262,2309806,456,0.71,0.707174,2,2309838
4052801,0.04980278098729033,0.04801307629440893,0.8362919132149902,0.008968203401143827,0.00999936,0.01,1,89773,89349,424,0.04,0.0383333,1,89361
78729441,0.7128570859396788,0.7871015816547281,0.9802761341222881,0.005621798469839247,0.726628,0.95,1,970637,970140,497,0.92,0.91712,2,970180
178473721,0.46737668831427553,0.40742752752271527,0.9467455621301775,0.005595756408117033,0.913069,0.81,2,2561015,2560535,480,0.84,0.837501,2,2560563
3549861,0.17054763137973625,0.14941012451324456,0.9250493096646943,0.010832107080912434,0.355274,0.91,1,125318,124849,469,0.87,0.871829,2,124866
65986321,0.10534334037212637,0.10042233546464112,0.8382642998027614,0.006540350025536391,0.110686,0.13,1,966325,965900,425,0.11,0.103666,1,965930
166708881,0.3495283676640504,0.3341642228739003,0.9013806706114398,0.004580242418726012,0.92989,0.73,2,2299069,2298612,457,0.73,0.727661,2,2298653
112456701,0.7658372843539583,0.5964448824575742,0.9191321499013808,0.004855201080113472,0.42453,0.29,1,1527104,1526638,466,0.32,0.3167,1,1526678
183851601,0.9104795011753457,0.9832484015191577,0.9230769230769231,0.004581000925378115,0.797592,0.87,2,2446579,2446111,468,0.87,0.8796,2,2446159
21399281,0.7098265867166023,0.587740973991635,0.9013806706114398,0.00517023417628706,0.114219,0.11,1,342559,342102,457,0.04,0.0423988,1,342147
2075061,0.22360253396549665,0.23531585019950965,0.8619329388560159,0.004930798909773105,0.169724,0.33,1,145281,144844,437,0.29,0.295827,1,144857
152259181,0.8995552611657834,0.8490986010287968,0.8678500986193295,0.0060363223552137215,0.563502,0.39,1,2161382,2160942,440,0.39,0.387507,1,2160982
145637561,0.686987031355831,0.677702995048315,0.8481262327416174,0.004939521736272294,0.289074,0.17,1,1906801,1906371,430,0.17,0.17182,1,1906451
2471281,0.05044797601498068,0.0023223691168693813,0.873767258382643,0.16925064599483206,0.545278,0.49,1,100407,99964,443,0.31,0.31,1,99974
86191161,0.719600382485358,0.6729315898274122,0.9053254437869822,0.0046534383106539845,0.848543,0.77,2,1188016,1187557,459,0.73,0.735506,2,1187607
97697521,0.7141345272720029,0.6793471467717899,0.8382642998027614,0.004632705795496493,0.0905746,0.03,1,1391299,1390874,425,0.0,0.015648,1,1390973
189645441,0.8406261205625722,0.7929041872986877,0.9053254437869822,0.004824481560703287,0.0623531,0.07,1,2590315,2589856,459,0.16,0.15596,1,2589897
41980901,0.7160768357305072,0.6631988846690063,0.9585798816568049,0.004371779507172944,0.735273,0.75,1,572747,572261,486,0.74,0.738332,2,572300
26590581,0.6120612374995019,0.05353372434017596,0.8915187376725838,0.004333601339017077,0.049739,0.09,1,269344,268892,452,0.06,0.0583872,1,268931
135691101,0.8016205824933265,0.7430724484399789,0.9763313609467457,0.006304075203406201,0.495924,0.79,1,1922682,1922187,495,0.84,0.8384,2,1922230
104343741,0.6027082752300889,0.627546752559973,0.9053254437869822,0.004329682387981209,0.552953,0.73,1,1432137,1431678,459,0.76,0.759859,2,1431688
9652221,0.3938578230208375,0.5506201624921879,0.8619329388560159,0.007763568419828375,0.0480026,0.03,1,204012,203575,437,0.04,0.039132,1,203600
149377381,0.16995199011912826,0.17414595452141726,0.8441814595660749,0.00349835909727595,0.215238,0.11,1,1974681,1974253,428,0.17,0.16368,1,1974333
19283641,0.1599266903063867,0.1543709437046296,0.834319526627219,0.006816446446902006,0.028801,0.01,1,108630,108207,423,0.03,0.0316667,1,108219
109939921,0.7973051715207778,0.7926830440844191,0.8639053254437871,0.004596676729521585,0.357904,0.33,1,1506684,1506246,438,0.33,0.331833,1,1506258
155263861,0.746755348818678,0.8122854670448537,0.9546351084812623,0.004714118842822252,0.84021,0.75,2,2206279,2205795,484,0.74,0.738271,2,2205832
4000561,0.36947936172755885,0.32259987500600934,0.8619329388560159,0.005558083911062567,0.0322374,0.05,1,148369,147932,437,0.04,0.0382732,1,147957
124093161,0.8996100442248695,0.8626989087063123,0.9072978303747536,0.005367698741384629,0.91726,0.77,2,1704179,1703719,460,0.73,0.73966,2,1703765
47080781,0.9250069723893382,0.9854862746983318,0.9092702169625247,0.004535743361802617,0.364243,0.75,1,717989,717528,461,0.73,0.743904,2,717572
