rtt_ratio,Classes,Frequency,,,,
423,420,0,,,,421
425,430,8940,,,,674
427,440,4109,,,,
429,450,3977,,,,
630,460,4224,,,,
422,470,2842,,,,
422,480,2176,,,,
424,490,2124,,,,
424,500,1611,,,,
424,510,1230,,,,
426,520,947,,,,
426,530,544,,,,
422,540,335,,,,
422,550,204,,,,
424,560,145,,,,
424,570,88,,,,
424,580,73,,,,
426,590,46,,,,
426,600,31,,,,
426,610,35,,,,
428,620,37,,,,
428,630,31,,,,
428,640,24,,,,
618,650,12,,,,
423,660,7,,,,
422,670,1,,,,
424,680,1,,,,
424,,0,,,,
424,,#N/A,,,,
426,,#N/A,,,,
426,,#N/A,,,,
426,,#N/A,,,,
428,,#N/A,,,,
428,,#N/A,,,,
428,,#N/A,,,,
430,,#N/A,,,,
430,,#N/A,,,,
430,,#N/A,,,,
432,,#N/A,,,,
432,,#N/A,,,,
422,,#N/A,,,,
424,,#N/A,,,,
424,,#N/A,,,,
422,,#N/A,,,,
424,,#N/A,,,,
424,,#N/A,,,,
424,,#N/A,,,,
426,,#N/A,,,,
426,,#N/A,,,,
426,,#N/A,,,,
428,,#N/A,,,,
428,,#N/A,,,,
428,,#N/A,,,,
430,,#N/A,,,,
430,,#N/A,,,,
430,,#N/A,,,,
432,,#N/A,,,,
432,,#N/A,,,,
432,,#N/A,,,,
434,,#N/A,,,,
434,,#N/A,,,,
434,,#N/A,,,,
436,,#N/A,,,,
436,,#N/A,,,,
436,,#N/A,,,,
601,,#N/A,,,,
423,,#N/A,,,,
423,,,,,,
425,,,,,,
425,,,,,,
422,,,,,,
424,,,,,,
424,,,,,,
424,,,,,,
426,,,,,,
426,,,,,,
426,,,,,,
428,,,,,,
428,,,,,,
428,,,,,,
430,,,,,,
430,,,,,,
430,,,,,,
432,,,,,,
432,,,,,,
432,,,,,,
434,,,,,,
434,,,,,,
434,,,,,,
436,,,,,,
436,,,,,,
436,,,,,,
438,,,,,,
438,,,,,,
438,,,,,,
440,,,,,,
440,,,,,,
440,,,,,,
442,,,,,,
442,,,,,,
442,,,,,,
444,,,,,,
444,,,,,,
422,,,,,,
424,,,,,,
424,,,,,,
424,,,,,,
426,,,,,,
426,,,,,,
426,,,,,,
621,,,,,,
422,,,,,,
424,,,,,,
424,,,,,,
424,,,,,,
427,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
431,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
431,,,,,,
432,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
431,,,,,,
433,,,,,,
428,,,,,,
430,,,,,,
432,,,,,,
426,,,,,,
428,,,,,,
430,,,,,,
432,,,,,,
434,,,,,,
429,,,,,,
431,,,,,,
433,,,,,,
435,,,,,,
430,,,,,,
432,,,,,,
434,,,,,,
427,,,,,,
429,,,,,,
431,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
430,,,,,,
432,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
431,,,,,,
429,,,,,,
430,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
430,,,,,,
432,,,,,,
431,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
430,,,,,,
432,,,,,,
433,,,,,,
426,,,,,,
428,,,,,,
430,,,,,,
432,,,,,,
433,,,,,,
428,,,,,,
430,,,,,,
432,,,,,,
426,,,,,,
428,,,,,,
430,,,,,,
432,,,,,,
426,,,,,,
428,,,,,,
557,,,,,,
423,,,,,,
429,,,,,,
423,,,,,,
425,,,,,,
434,,,,,,
423,,,,,,
424,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
430,,,,,,
432,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
430,,,,,,
432,,,,,,
434,,,,,,
431,,,,,,
430,,,,,,
432,,,,,,
433,,,,,,
431,,,,,,
426,,,,,,
428,,,,,,
430,,,,,,
433,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
431,,,,,,
433,,,,,,
427,,,,,,
429,,,,,,
431,,,,,,
433,,,,,,
434,,,,,,
426,,,,,,
428,,,,,,
430,,,,,,
432,,,,,,
434,,,,,,
428,,,,,,
430,,,,,,
432,,,,,,
561,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
428,,,,,,
426,,,,,,
422,,,,,,
422,,,,,,
424,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
429,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
433,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
431,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
430,,,,,,
432,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
430,,,,,,
432,,,,,,
434,,,,,,
426,,,,,,
428,,,,,,
430,,,,,,
432,,,,,,
433,,,,,,
427,,,,,,
429,,,,,,
431,,,,,,
433,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
422,,,,,,
424,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
427,,,,,,
423,,,,,,
425,,,,,,
431,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
432,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
431,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
432,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
431,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
431,,,,,,
427,,,,,,
429,,,,,,
431,,,,,,
556,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
432,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
422,,,,,,
424,,,,,,
433,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
433,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
426,,,,,,
431,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
433,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
433,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
431,,,,,,
432,,,,,,
426,,,,,,
428,,,,,,
430,,,,,,
432,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
429,,,,,,
425,,,,,,
422,,,,,,
424,,,,,,
422,,,,,,
426,,,,,,
423,,,,,,
425,,,,,,
434,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
431,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
429,,,,,,
425,,,,,,
427,,,,,,
423,,,,,,
425,,,,,,
430,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
431,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
433,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
431,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
430,,,,,,
432,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
422,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
429,,,,,,
422,,,,,,
424,,,,,,
427,,,,,,
423,,,,,,
425,,,,,,
432,,,,,,
423,,,,,,
431,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
435,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
431,,,,,,
433,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
430,,,,,,
428,,,,,,
429,,,,,,
424,,,,,,
426,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
423,,,,,,
425,,,,,,
426,,,,,,
424,,,,,,
429,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
427,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
429,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
430,,,,,,
422,,,,,,
424,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
422,,,,,,
424,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
424,,,,,,
426,,,,,,
430,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
430,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
428,,,,,,
430,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
430,,,,,,
427,,,,,,
430,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
546,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
428,,,,,,
429,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
628,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
430,,,,,,
426,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
422,,,,,,
424,,,,,,
437,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
431,,,,,,
433,,,,,,
435,,,,,,
427,,,,,,
429,,,,,,
431,,,,,,
433,,,,,,
435,,,,,,
426,,,,,,
428,,,,,,
430,,,,,,
432,,,,,,
427,,,,,,
429,,,,,,
431,,,,,,
433,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
430,,,,,,
545,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
428,,,,,,
430,,,,,,
423,,,,,,
425,,,,,,
430,,,,,,
622,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
430,,,,,,
432,,,,,,
434,,,,,,
434,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
433,,,,,,
423,,,,,,
424,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
429,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
430,,,,,,
432,,,,,,
434,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
428,,,,,,
430,,,,,,
432,,,,,,
434,,,,,,
543,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
422,,,,,,
424,,,,,,
426,,,,,,
422,,,,,,
431,,,,,,
423,,,,,,
425,,,,,,
427,,,,,,
429,,,,,,
436,,,,,,
