{Epoch: 0} loss: 0.692621, binary_accuracy: 0.519498, val_loss: 0.692557, val_binary_accuracy: 0.509247
{Epoch: 1} loss: 0.692547, binary_accuracy: 0.520654, val_loss: 0.692514, val_binary_accuracy: 0.501321
{Epoch: 2} loss: 0.692664, binary_accuracy: 0.518341, val_loss: 0.692464, val_binary_accuracy: 0.505944
{Epoch: 3} loss: 0.692512, binary_accuracy: 0.521315, val_loss: 0.692412, val_binary_accuracy: 0.509247
{Epoch: 4} loss: 0.692107, binary_accuracy: 0.534699, val_loss: 0.692351, val_binary_accuracy: 0.509908
{Epoch: 5} loss: 0.692291, binary_accuracy: 0.522637, val_loss: 0.692287, val_binary_accuracy: 0.510568
{Epoch: 6} loss: 0.692154, binary_accuracy: 0.538830, val_loss: 0.692220, val_binary_accuracy: 0.510568
{Epoch: 7} loss: 0.692286, binary_accuracy: 0.527098, val_loss: 0.692157, val_binary_accuracy: 0.511229
{Epoch: 8} loss: 0.692307, binary_accuracy: 0.530403, val_loss: 0.692103, val_binary_accuracy: 0.509908
{Epoch: 9} loss: 0.692071, binary_accuracy: 0.524455, val_loss: 0.692035, val_binary_accuracy: 0.509247
{Epoch: 10} loss: 0.692279, binary_accuracy: 0.524455, val_loss: 0.691981, val_binary_accuracy: 0.509247
{Epoch: 11} loss: 0.692068, binary_accuracy: 0.526933, val_loss: 0.691920, val_binary_accuracy: 0.510568
{Epoch: 12} loss: 0.691975, binary_accuracy: 0.529412, val_loss: 0.691827, val_binary_accuracy: 0.515192
{Epoch: 13} loss: 0.691964, binary_accuracy: 0.531560, val_loss: 0.691745, val_binary_accuracy: 0.515192
{Epoch: 14} loss: 0.691456, binary_accuracy: 0.532221, val_loss: 0.691645, val_binary_accuracy: 0.515192
{Epoch: 15} loss: 0.691748, binary_accuracy: 0.530073, val_loss: 0.691515, val_binary_accuracy: 0.523118
{Epoch: 16} loss: 0.691561, binary_accuracy: 0.536021, val_loss: 0.691398, val_binary_accuracy: 0.525099
{Epoch: 17} loss: 0.691900, binary_accuracy: 0.527264, val_loss: 0.691300, val_binary_accuracy: 0.525760
{Epoch: 18} loss: 0.691491, binary_accuracy: 0.534534, val_loss: 0.691192, val_binary_accuracy: 0.529723
{Epoch: 19} loss: 0.691470, binary_accuracy: 0.532221, val_loss: 0.691084, val_binary_accuracy: 0.529062
{Epoch: 20} loss: 0.691342, binary_accuracy: 0.531890, val_loss: 0.690971, val_binary_accuracy: 0.529723
{Epoch: 21} loss: 0.690461, binary_accuracy: 0.548249, val_loss: 0.690810, val_binary_accuracy: 0.531044
{Epoch: 22} loss: 0.691042, binary_accuracy: 0.535856, val_loss: 0.690650, val_binary_accuracy: 0.544254
{Epoch: 23} loss: 0.690759, binary_accuracy: 0.544944, val_loss: 0.690495, val_binary_accuracy: 0.542933
{Epoch: 24} loss: 0.690669, binary_accuracy: 0.537673, val_loss: 0.690330, val_binary_accuracy: 0.544914
{Epoch: 25} loss: 0.690402, binary_accuracy: 0.542135, val_loss: 0.690139, val_binary_accuracy: 0.546896
{Epoch: 26} loss: 0.689902, binary_accuracy: 0.546596, val_loss: 0.689925, val_binary_accuracy: 0.544914
{Epoch: 27} loss: 0.690456, binary_accuracy: 0.538500, val_loss: 0.689740, val_binary_accuracy: 0.543593
{Epoch: 28} loss: 0.690178, binary_accuracy: 0.541970, val_loss: 0.689535, val_binary_accuracy: 0.544254
{Epoch: 29} loss: 0.690391, binary_accuracy: 0.534369, val_loss: 0.689350, val_binary_accuracy: 0.545575
{Epoch: 30} loss: 0.689887, binary_accuracy: 0.536352, val_loss: 0.689155, val_binary_accuracy: 0.545575
{Epoch: 31} loss: 0.689199, binary_accuracy: 0.550066, val_loss: 0.688874, val_binary_accuracy: 0.552180
{Epoch: 32} loss: 0.689379, binary_accuracy: 0.545935, val_loss: 0.688568, val_binary_accuracy: 0.554822
{Epoch: 33} loss: 0.689413, binary_accuracy: 0.546431, val_loss: 0.688324, val_binary_accuracy: 0.556803
{Epoch: 34} loss: 0.689368, binary_accuracy: 0.536352, val_loss: 0.688088, val_binary_accuracy: 0.558785
{Epoch: 35} loss: 0.688393, binary_accuracy: 0.544944, val_loss: 0.687787, val_binary_accuracy: 0.560766
{Epoch: 36} loss: 0.688292, binary_accuracy: 0.550562, val_loss: 0.687485, val_binary_accuracy: 0.560106
{Epoch: 37} loss: 0.688852, binary_accuracy: 0.544283, val_loss: 0.687175, val_binary_accuracy: 0.573976
{Epoch: 38} loss: 0.687789, binary_accuracy: 0.545770, val_loss: 0.686869, val_binary_accuracy: 0.568032
{Epoch: 39} loss: 0.687776, binary_accuracy: 0.551884, val_loss: 0.686537, val_binary_accuracy: 0.575958
{Epoch: 40} loss: 0.687529, binary_accuracy: 0.543291, val_loss: 0.686169, val_binary_accuracy: 0.579260
{Epoch: 41} loss: 0.687371, binary_accuracy: 0.556510, val_loss: 0.685797, val_binary_accuracy: 0.580581
{Epoch: 42} loss: 0.686153, binary_accuracy: 0.558658, val_loss: 0.685345, val_binary_accuracy: 0.581902
{Epoch: 43} loss: 0.686642, binary_accuracy: 0.545605, val_loss: 0.684947, val_binary_accuracy: 0.584544
{Epoch: 44} loss: 0.686827, binary_accuracy: 0.551884, val_loss: 0.684538, val_binary_accuracy: 0.590489
{Epoch: 45} loss: 0.686020, binary_accuracy: 0.547753, val_loss: 0.684089, val_binary_accuracy: 0.599736
{Epoch: 46} loss: 0.685191, binary_accuracy: 0.558328, val_loss: 0.683589, val_binary_accuracy: 0.604359
{Epoch: 47} loss: 0.685758, binary_accuracy: 0.544613, val_loss: 0.683223, val_binary_accuracy: 0.597094
{Epoch: 48} loss: 0.684196, binary_accuracy: 0.554527, val_loss: 0.682724, val_binary_accuracy: 0.596433
{Epoch: 49} loss: 0.685091, binary_accuracy: 0.543622, val_loss: 0.682210, val_binary_accuracy: 0.601057
{Epoch: 50} loss: 0.683303, binary_accuracy: 0.560145, val_loss: 0.681685, val_binary_accuracy: 0.603699
{Epoch: 51} loss: 0.684962, binary_accuracy: 0.551718, val_loss: 0.681198, val_binary_accuracy: 0.608322
{Epoch: 52} loss: 0.683156, binary_accuracy: 0.551884, val_loss: 0.680666, val_binary_accuracy: 0.612285
{Epoch: 53} loss: 0.683766, binary_accuracy: 0.561798, val_loss: 0.680097, val_binary_accuracy: 0.617569
{Epoch: 54} loss: 0.681438, binary_accuracy: 0.565929, val_loss: 0.679448, val_binary_accuracy: 0.618890
{Epoch: 55} loss: 0.682668, binary_accuracy: 0.548249, val_loss: 0.678934, val_binary_accuracy: 0.620872
{Epoch: 56} loss: 0.682148, binary_accuracy: 0.563615, val_loss: 0.678317, val_binary_accuracy: 0.622193
{Epoch: 57} loss: 0.681434, binary_accuracy: 0.552379, val_loss: 0.677736, val_binary_accuracy: 0.623514
{Epoch: 58} loss: 0.679301, binary_accuracy: 0.561467, val_loss: 0.676951, val_binary_accuracy: 0.622853
{Epoch: 59} loss: 0.680418, binary_accuracy: 0.569894, val_loss: 0.676254, val_binary_accuracy: 0.629458
{Epoch: 60} loss: 0.680043, binary_accuracy: 0.562954, val_loss: 0.675581, val_binary_accuracy: 0.631440
{Epoch: 61} loss: 0.680737, binary_accuracy: 0.558824, val_loss: 0.675004, val_binary_accuracy: 0.636724
{Epoch: 62} loss: 0.678305, binary_accuracy: 0.564607, val_loss: 0.674295, val_binary_accuracy: 0.637384
{Epoch: 63} loss: 0.679133, binary_accuracy: 0.564607, val_loss: 0.673576, val_binary_accuracy: 0.641347
{Epoch: 64} loss: 0.676762, binary_accuracy: 0.571216, val_loss: 0.672832, val_binary_accuracy: 0.643989
{Epoch: 65} loss: 0.678815, binary_accuracy: 0.561467, val_loss: 0.672246, val_binary_accuracy: 0.645971
