#Ack,Last Router Ocupation Router Arrival(Packets),Last Router Ocupation Router Arrival_ewma(Packets),Network Situation Router Arrival,Measure Time
0,0.93,0.93,2,190010
74461,0,0.00423821,1,192046
75921,0.01,0.00884764,1,192047
90521,0.01,0.00862603,1,192471
116801,0.02,0.0184307,1,193284
122641,0.02,0.0183335,1,193315
128481,0,0.00706933,1,193658
141621,0.1,0.0951064,1,193857
176661,0.13,0.130701,1,194709
181041,0.04,0.0423256,1,194924
185421,0.06,0.0576186,1,194973
189801,0.01,0.00846095,1,195002
192721,0.07,0.0595384,1,195135
249661,0.28,0.277501,1,196273
255501,0.28,0.278332,1,196410
316821,0.77,0.755517,2,197748
318281,0.78,0.775103,2,197748
319741,0.77,0.771021,2,197750
321201,0.78,0.778204,2,197750
322661,0.83,0.819641,2,197979
324121,0.84,0.835928,2,197979
325581,0.87,0.863186,2,198032
327041,0.88,0.876637,2,198032
328501,0.87,0.871327,2,198034
329961,0.88,0.878265,2,198034
331421,0.87,0.871653,2,198056
332881,0.88,0.878331,2,198056
334341,0.87,0.871666,2,198058
335801,0.88,0.878333,2,198058
337261,0.87,0.871667,2,198064
338721,0.88,0.878333,2,198064
340181,0.95,0.935667,2,198208
343101,0.95,0.95,2,198210
398581,0.95,0.95,2,199453
404421,0.95,0.95,2,199504
407341,0.95,0.95,2,199522
410261,0.87,0.87,2,199539
411721,0.88,0.878,2,199539
413181,0.88,0.8796,2,199539
414641,0.91,0.90392,2,199626
416101,0.92,0.916784,2,199626
417561,0.89,0.895357,2,199655
419021,0.9,0.899071,2,199655
445301,0.4,0.398317,1,200121
464281,0.84,0.7995,2,200450
465741,0.85,0.8399,2,200450
467201,0.85,0.84798,2,200450
468661,0.87,0.865596,2,200534
470121,0.88,0.877119,2,200534
471581,0.87,0.871424,2,200562
473041,0.88,0.878285,2,200562
480341,0.95,0.95,2,200839
489101,0.94,0.94,2,200902
490561,0.95,0.948,2,200902
570861,0.87,0.87,2,202323
572321,0.88,0.878,2,202323
573781,0.93,0.9196,2,202344
575241,0.94,0.93592,2,202344
576701,0.92,0.923184,2,202371
578161,0.93,0.928637,2,202371
579621,0.79,0.817727,2,202435
581081,0.8,0.803545,2,202435
582541,0.83,0.824709,2,202475
584001,0.84,0.836942,2,202475
585461,0.77,0.783388,2,202503
586921,0.78,0.780678,2,202503
588381,0.78,0.780136,2,202503
617581,0.02,0.0176,1,202963
626341,0.02,0.0184562,1,203174
629261,0.08,0.0759382,1,203197
673061,0,0.00751358,1,203780
674521,0,0.00150272,1,203780
684741,0.05,0.0516598,1,203992
693501,0.05,0.0518203,1,204064
697881,0.08,0.0775346,1,204081
