#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd_(Bytes),Last_Router_Ocupation_Ack_Arriaval(Packets),Last_Router_Ocupation_Packet_Sent(Packets),Network_Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Last_Router_Ocupation_Router_Arrival(Packets),Last_Router_Ocupation_Router_Arrival_ewma(Packets),Network_Situation_Router_Arrival,Measure_Time
601204281,0.070166275,0.05591577,0.8704453,0.014245007762051407,0.171152,0.14,1,2249314,2248884,430,0.16,0.161647,1,2248896
10627761,0.14953323,0.08790787,0.9453441,0.7345884090070136,0.618827,0.77,1,77823,77356,467,0.7,0.721949,2,77421
14503861,0.05562292,0.026846793,0.9392713,1.8349944629014396,0.796651,0.84,2,91119,90655,464,0.77,0.769998,2,90665
7916921,0.061049547,0.010134539,0.9352227,0.5485418973791066,0.838704,0.8,2,78929,78467,462,0.71,0.71,2,78477
705282241,0.06513477,0.020268634,0.8906882,0.052034314840941155,0.322705,0.26,1,2625299,2624859,440,0.29,0.27,1,2624886
9557421,0.05707002,0.0071259546,0.8805668,1.209671465485419,0.142081,0.14,1,63220,62785,435,0.2,0.2,1,62795
17335761,0.034648445,0.00179528,0.9412955,1.1956441491325212,0.695727,0.66,1,90914,90449,465,0.73,0.73,2,90468
592314341,0.11211918,0.107712865,0.8765182,0.009966777408637873,0.180037,0.16,1,2199478,2199045,433,0.18,0.177536,1,2199059
8503261,0.071000904,0.18492985,0.9352227,1.0764119601328903,0.852557,0.81,2,91246,90784,462,0.74,0.739984,2,90794
10189921,0.05775739,0.0071148425,0.9493927,0.7056109265411591,0.878048,0.72,2,86941,86472,469,0.82,0.812,2,86537
347550121,0.08963006,0.1939731,0.8643725,24.503875968992247,0.0868057,0.11,1,1322146,1321719,427,0.12,0.120442,1,1321729
4069521,0.056638718,0.00036753615,0.9372469,0.5158730158730159,0.748198,0.77,1,75368,74905,463,0.76,0.73,2,74917
509641,0.056527354,0.000499811,0.8704453,0.03506829088224437,0.00919944,0.18,1,43863,43433,430,0.01,0.01,1,43443
930369261,0.056527637,0.008004361,0.8643725,0.018272425249169437,0.234768,0.0,1,3420184,3419757,427,0.01,0.00999987,1,3419767
700244481,0.056085877,0.031194543,0.8724696,0.051520426584141146,0.203135,0.15,1,2617933,2617502,431,0.26,0.241949,1,2617526
1049898401,0.056527354,0.055589072,0.8643725,0.015134736064968624,0.124812,0.09,1,3895731,3895304,427,0.11,0.111517,1,3895316
10734281,0.060302816,0.006478762,0.8704453,0.7414174972314507,0.0864804,0.09,1,67573,67143,430,0.08,0.0799988,1,67153
1920701,0.056961488,0.012803927,0.93319833,0.13215208564045774,0.885023,0.9,2,79062,78601,461,0.71,0.71,2,78611
602030641,0.06828504,0.06636997,0.8704453,0.012388057059927082,0.0600448,0.06,1,2239816,2239386,430,0.17,0.171666,1,2239398
605629441,0.07670876,0.038524043,0.8663967,42.676448874123295,0.131164,0.14,1,2233340,2232912,428,0.12,0.111984,1,2232941
12331501,0.064689055,0.18140677,0.9352227,1.5603543743078627,0.637145,0.77,1,83470,83008,462,0.73,0.730063,2,83018
1205161,0.05201958,0.06675056,0.8704453,0.0828719084533038,0.0879132,0.19,1,56088,55658,430,0.19,0.18864,1,55668
8560241,0.08014081,0.13377392,0.94331986,1.0836101882613511,0.71758,0.87,1,80680,80214,466,0.7,0.709993,2,80262
7193681,0.08565025,0.05671889,0.9412955,0.4985234403839055,0.832563,0.86,2,76211,75746,465,0.68,0.702016,2,75840
10311601,0.056520008,0.00032053783,0.9392713,1.3049095607235142,0.747166,0.84,1,76153,75689,464,0.82,0.792,2,75701
7539821,0.057250906,0.007115398,0.9392713,0.5225175341454411,0.780244,0.71,2,77543,77079,464,0.76,0.76,2,77089
8025921,0.081966646,0.026285134,0.9392713,0.5559246954595792,0.779641,0.6,2,79377,78913,464,0.73,0.73,2,78923
597864621,0.11086597,0.056271352,0.8744939,0.011258008566068458,0.126732,0.18,1,2234749,2234317,432,0.2,0.201187,1,2234329
11646981,0.057570852,0.037336443,0.9352227,0.8045404208194906,0.649908,0.69,1,81303,80841,462,0.7,0.700001,2,80851
15066481,0.06308905,0.067845374,0.9473683,1.0391288298265042,0.775052,0.89,2,82921,82453,468,0.87,0.869999,2,82469
354676401,0.09432437,0.078115396,0.8765182,24.992248062015506,0.277544,0.23,1,1335988,1335555,433,0.3,0.276016,1,1335572
