#Ack,Last Router Ocupation Router Arrival(Packets),Last Router Ocupation Router Arrival_ewma(Packets),Network Situation Router Arrival,Measure Time
1,0.18,0.1712,1,60430
30661,0.4,0.396789,1,60866
45261,0.09,0.0888958,1,61292
56941,0.32,0.310795,1,61296
122641,0.19,0.189678,1,61728
147461,0.37,0.369872,1,61740
195641,0.74,0.731974,2,61763
197101,0.75,0.746395,2,61763
198561,0.75,0.749279,2,61763
200021,0.75,0.749856,2,61763
201481,0.83,0.813971,2,61765
202941,0.84,0.834794,2,61765
204401,0.84,0.838959,2,61765
205861,0.84,0.839792,2,61765
221921,0,0.00167886,1,62141
238801,0.12,0.120041,1,62155
244401,0.17,0.16,1,62166
264601,0.31,0.309998,1,62172
281021,0.19,0.19008,1,62195
292701,0.19,0.19,1,62195
300981,0.38,0.377986,1,62204
305561,0.27,0.270557,1,62215
342381,0.35,0.349888,1,62361
352361,0.19,0.19096,1,62577
374861,0.03,0.03,1,62592
375441,0.06,0.054,1,62601
391261,0.08,0.079952,1,62619
400021,0.08,0.08,1,62619
417881,0.11,0.10976,1,62639
447861,0.08,0.08,1,62659
461981,0.08,0.079984,1,62684
479261,0.08,0.0799999,1,62811
486321,0,2.56e-05,1,63018
508181,0.05,0.05,1,63034
517321,0.09,0.089999,1,63045
530641,0.1,0.1,1,63054
538321,0.03,0.0300096,1,63068
559941,0.15,0.148797,1,63082
581161,0.14,0.140238,1,63100
589061,0.16,0.1576,1,63114
594901,0.16,0.159996,1,63114
620261,0,0.00199997,1,63458
624641,0,1.59997e-05,1,63458
641481,0.07,0.06952,1,63477
650421,0.03,0.03,1,63490
684961,0.09,0.0899616,1,63510
695361,0.05,0.05,1,63520
756101,0,4.09598e-10,1,63885
761501,0.07,0.069824,1,63897
773561,0,0.00024,1,63912
777941,0,1.92e-06,1,63912
778961,0.04,0.0320004,1,63923
796861,0,8e-05,1,63937
812661,0.15,0.1424,1,63943
831821,0.03,0.0300002,1,63957
861541,0.05,0.0504032,1,64123
867381,0.05,0.0500006,1,64123
874441,0,0.0004,1,64310
894821,0.09,0.0851999,1,64327
899821,0.04,0.0400083,1,64332
908981,0,2.56011e-06,1,64343
929801,0,8.38895e-17,1,64365
953681,0.06,0.07,1,64390
983641,0.2,0.19888,1,64421
988841,0.14,0.140158,1,64437
995501,0.16,0.159904,1,64550
1011321,0,6.40286e-07,1,64740
1020461,0,8.19566e-12,1,64757
1026481,0,2.62261e-15,1,64770
1027941,0,5.24522e-16,1,64770
1029401,0,1.04904e-16,1,64770
1035241,0,1.67847e-19,1,64770
1068501,0.05,0.0464,1,64811
1069961,0.05,0.04928,1,64811
1094081,0.08,0.078,1,64831
1103441,0.11,0.106,1,64839
1116961,0.14,0.147962,1,64868
1130921,0.04,0.0400001,1,64992
1138401,0.05,0.049984,1,65166
1155861,0.14,0.1328,1,65187
1179581,0,0.000143693,1,65218
1193921,0,2.94283e-12,1,65244
1216401,0.01,0.009984,1,65256
1239901,0.14,0.139824,1,65279
1262561,0.02,0.018,1,65600
1291481,0,7.67934e-08,1,65630
1308121,0,0.00039424,1,65646
1330381,0,0.0001664,1,65679
1336221,0,2.6624e-07,1,65679
1358261,0.06,0.0600019,1,65696
1365521,0.17,0.161824,1,65711
1370721,0.13,0.139971,1,65720
1398401,0.11,0.11,1,66032
1419601,0.06,0.0640001,1,66060
1433121,0.1,0.094,1,66068
1440401,0,0.010031,1,66087
1443321,0,0.000401239,1,66087
1455821,0,2.05434e-10,1,66097
1475161,0,6.73166e-21,1,66116
1498021,0.01,0.009472,1,66148
1506961,0.03,0.0519456,1,66168
1532361,0,8.95997e-07,1,66470
1558961,0.1,0.107998,1,66498
1578101,0,8.95999e-07,1,66529
1579561,0,1.792e-07,1,66529
1582481,0,7.16799e-09,1,66529
1585401,0,2.8672e-10,1,66529
1610341,0.15,0.1424,1,66548
1613881,0,0.0011392,1,66559
1663401,0.04,0.039999,1,66900
1696261,0.09,0.0899987,1,66931
1707681,0,0.00600001,1,66958
1720161,0,0.02464,1,66969
1743461,0,3.22961e-14,1,66996
1756601,0,1.65356e-20,1,66996
1760101,0.11,0.104,1,67008
1784461,0,1.792e-07,1,67164
1785681,0,3.584e-08,1,67338
1818561,0.09,0.0900061,1,67357
1834581,0.09,0.0899994,1,67377
1839141,0.03,0.0308,1,67388
1863681,0,3.19959e-06,1,67413
1874921,0,8.19095e-12,1,67420
1883041,0,5.2422e-16,1,67429
1898221,0.01,0.00996782,1,67470
1913001,0.13,0.129998,1,67592
1914461,0.13,0.13,1,67592
1921941,0.03,0.0300038,1,67769
1932121,0.09,0.0892,1,67776
1933581,0.09,0.08984,1,67776
1968541,0.08,0.0799999,1,67811
1975181,0.07,0.069952,1,67820
1985161,0.13,0.1292,1,67825
1995761,0,0.0140796,1,67852
2004521,0,9.01095e-07,1,67852
2008901,0,7.20876e-09,1,67852
2015121,0,2.3068e-12,1,67862
2034241,0,0.00999997,1,68030
2035701,0,0.00199999,1,68030
2044641,0.06,0.048,1,68197
2057341,0.03,0.03,1,68207
2102501,0,3.07213e-09,1,68250
2118901,0.11,0.111599,1,68265
2130341,0,0.001264,1,68291
2139101,0,8.0896e-08,1,68291
2147861,0,5.17734e-12,1,68291
2150101,0.05,0.0464,1,68307
2162161,0.17,0.173998,1,68337
2183401,0,5.8589e-12,1,68632
2211041,0.04,0.0459986,1,68670
2233961,0,1.02397e-09,1,68683
2237461,0.11,0.104,1,68690
2255561,0.07,0.0705586,1,68704
2286341,0.05,0.0476064,1,68774
2290721,0.05,0.0499809,1,68774
2319201,0.04,0.0559488,1,69070
2367281,0,4.59981e-08,1,69120
2378081,0.17,0.169933,1,69124
2399101,0,7.68006e-08,1,69147
2435681,0,0.0159999,1,69484
2446081,0,4.09598e-08,1,69503
2478121,0.07,0.0697984,1,69537
2489361,0,2.23995e-05,1,69550
2518501,0.01,0.01,1,69565
2523261,0.05,0.049872,1,69573
2533041,0,1.59984e-05,1,69582
2539061,0.03,0.027584,1,69600
