#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd_(Bytes),Last_Router_Ocupation_Ack_Arriaval(Packets),Last_Router_Ocupation_Packet_Sent(Packets),Network_Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Last_Router_Ocupation_Router_Arrival(Packets),Last_Router_Ocupation_Router_Arrival_ewma(Packets),Network_Situation_Router_Arrival,Measure_Time
7067841,0.032253433991616946,0.005553794039102762,0.8724696118365739,0.48781838316722037,0.0832413,0.1,1,65508,65077,431,0.1,0.0979997,1,65103
9234181,0.06645683719658593,0.1920099617858249,0.9311740636770858,1.1686969361387967,0.590597,0.7,1,72409,71949,460,0.72,0.719996,2,71959
5987501,0.05226778676925032,0.13370608170930645,0.9433198123337433,0.4119601328903654,0.827591,0.8,2,82780,82314,466,0.82,0.819889,2,82324
915374361,0.031961798217493516,0.00045587390113752493,0.8785424861649027,0.7668881506090809,0.285508,0.01,1,3399055,3398621,434,0.0,7.9734e-13,1,3398631
10899201,0.02256462797060347,0.004433532577777956,0.9433198123337433,0.7535991140642303,0.76514,0.85,2,78804,78338,466,0.73,0.734,2,78382
10567881,0.031545243279981365,0.005543088597779217,0.9392712294481907,0.730343300110742,0.818781,0.89,2,77495,77031,464,0.71,0.71,2,77041
10597201,0.07947382410985383,0.05340173254809833,0.9372469380054147,0.7323735695828719,0.82464,0.82,2,77558,77095,463,0.81,0.809978,2,77105
713118641,0.02235958388928359,0.0037372065928655625,0.8765181947221264,0.091324200913242,0.194775,0.33,1,2621094,2620661,433,0.2,0.186,1,2620692
12735841,0.02033185565124639,0.0020707787044871554,0.941295520890967,0.8794758213362864,0.695689,0.89,1,85373,84908,465,0.75,0.75,2,84928
392921,0.08200044037036394,0.0636140938389184,0.9271254807915332,0.027131782945736434,0.709911,0.72,1,73507,73049,458,0.74,0.73896,2,73059
9217321,0.10726612979681582,0.1034599038781163,0.9372469380054147,1.1666666666666667,0.637987,0.75,1,72308,71845,463,0.75,0.749519,2,71855
358284161,0.04199444739025879,0.0206104934751958,0.888663943378784,25.238095238095237,0.372354,0.34,1,1337857,1337418,439,0.19,0.211974,1,1337463
603323561,0.09908881410756265,0.10933136614519921,0.8623481546226925,42.51365817644887,0.170278,0.13,1,2225674,2225248,426,0.09,0.0895991,1,2225258
590983961,0.036099114599879474,0.08818434114014101,0.8643724460654688,0.017718715393133997,0.149247,0.24,1,2201400,2200973,427,0.12,0.120413,1,2200983
605924421,0.0694009547519066,0.03870205958014554,0.8987854005926653,0.015571635896580146,0.365197,0.29,1,2255234,2254790,444,0.3,0.30064,1,2254807
358583081,0.043174712667579294,0.03604695269894556,0.8987854005926653,0.011983773014356002,0.344001,0.46,1,1336969,1336525,444,0.34,0.365646,1,1336543
713128841,0.03688064800214101,0.08323134276543406,0.8663967375082451,0.09132521225544481,0.290488,0.23,1,2621127,2620699,428,0.12,0.12,1,2620709
5014881,0.054127063408172416,0.045737423725242775,0.9271254807915332,0.34551495016611294,0.677853,0.72,1,90039,89581,458,0.77,0.754006,2,89702
9883761,0.03660005306316558,0.027736696438582537,0.9352226465626384,0.683093392395718,0.737903,0.92,1,75133,74671,462,0.76,0.759981,2,74681
12917841,0.01892635733690682,4.8415043519814336e-05,0.9433198123337433,0.8918420081210778,0.7755,0.74,2,85884,85418,466,0.8,0.776,2,85434
9849641,0.17136007054551475,0.19447693627905963,0.9352226465626384,1.2465854558877816,0.783592,0.81,2,85339,84877,462,0.75,0.74992,2,84887
1060067161,0.031545243279981365,0.0,0.9271254807915332,0.01568844592100406,0.315806,0.02,1,3896411,3895953,458,0.0,1.34137e-29,1,3895963
13492961,0.038227787616412615,0.01983308951555361,0.9372469380054147,1.7072720561092654,0.636362,0.7,1,87658,87195,463,0.78,0.768,2,87209
5705461,0.031545243279981365,0.02075643382970943,0.8603238631799162,0.3920265780730897,2.59687e-05,0.14,1,51048,50623,425,0.0,6.9632e-06,1,50633
697803601,0.07474960847624385,0.22419083327032466,0.8765181947221264,0.050923734684486514,0.123145,0.18,1,2609777,2609344,433,0.16,0.161903,1,2609363
1094081,0.031545243279981365,0.0009071365908578932,0.8744939032793502,0.13971945367294206,0.00993293,0.21,1,65242,64810,432,0.08,0.078,1,64831
920860121,0.031545401006197765,0.0076777850842863656,0.8623481546226925,0.025101513473606497,0.188397,0.19,1,3421802,3421376,426,0.01,0.0100024,1,3421386
7115901,0.03442106538360086,0.10183818695055975,0.9493926866620721,0.4929863418235511,0.79831,0.82,2,76116,75647,469,0.87,0.869984,2,75657
8273201,0.044197882633365486,0.018688709324658697,0.941295520890967,0.5730897009966778,0.638677,0.72,1,80160,79695,465,0.76,0.760001,2,79722
13142481,0.03156070044918856,5.756662152183954e-05,0.9493926866620721,0.9067921742340347,0.774314,0.9,2,75950,75481,469,0.81,0.796,2,75504
9145561,0.12043311434188005,0.1388481570697425,0.9372469380054147,0.6330749354005168,0.786354,0.81,2,83213,82750,463,0.83,0.829439,2,82760
6808881,0.01941310044071693,0.0015016632747610061,0.925101189348757,0.4702842377260982,0.71555,0.61,1,85669,85212,457,0.81,0.77,2,85231
13939761,0.03161022648113812,0.02065945512595496,0.9392712294481907,0.9617940199335548,0.833803,0.85,2,78771,78307,464,0.77,0.770003,2,78317
16010801,0.015772621639990683,0.0,0.941295520890967,1.1040974529346623,0.92,0.81,2,86208,85743,465,0.72,0.729994,2,85773
654589141,0.031545243279981365,0.001108328042908265,0.8785424861649027,0.024178663713547436,0.718176,0.31,1,2415917,2415483,434,0.11,0.11,1,2415493
600514721,0.019068468657883135,0.03866443310255249,0.8927125262643365,0.016054425380643923,0.554283,0.52,1,2257334,2256893,441,0.35,0.359674,1,2256915
594839901,0.05224822871841673,0.05546835502242457,0.8562752802943636,0.0112786146634506,0.139539,0.13,1,2234526,2234103,423,0.18,0.151591,1,2234115
5841701,0.03227677747164413,0.02358361493688935,0.9372469380054147,0.40162421557770395,0.848145,0.77,2,82281,81818,463,0.72,0.720001,2,81828
4836001,0.024987933559371636,0.03548712109090837,0.9352226465626384,0.3318567737172388,0.853921,0.85,2,78604,78142,462,0.81,0.797995,2,78204
14134861,0.06705856271215158,0.277486613435912,0.9331983551198622,0.9750830564784053,0.758313,0.79,2,79328,78867,461,0.74,0.740032,2,78877
697847301,0.08377833028162371,0.029261749528305882,0.8785424861649027,0.05093448019539131,0.134626,0.09,1,2610026,2609592,434,0.0,3.1918e-06,1,2609602
844481,0.05380656373644781,0.03533409625316592,0.9392712294481907,0.05813953488372093,0.765695,0.79,2,75110,74646,464,0.72,0.733971,2,74838
1044249261,0.03144461395391822,0.007559316781404481,0.8866396519360077,0.22554448135843486,0.583162,0.44,1,3882355,3881917,438,0.25,0.25,1,3881927
9831561,0.058189933016417617,0.029135015994990375,0.9372469380054147,0.6794019933554817,0.760709,0.65,2,74949,74486,463,0.71,0.71,2,74496
612669201,0.019961041316490204,0.0023587078462023437,0.8987854005926653,43.17681801402732,0.494624,0.45,1,2256854,2256410,444,0.41,0.398,1,2256432
649506341,0.031545401006197765,0.03148659212807571,0.8846153604932314,0.012366186784791436,0.299276,0.3,1,2420098,2419661,437,0.31,0.311587,1,2419673
