#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
4381,2,0,423,16060,0.14,0.11,1,40843,40420,423
7301,2,0,425,18980,0.108,0.11,1,40845,40420,425
10221,2,0,427,21900,0.0696,0.11,1,40847,40420,427
13141,2,0,429,24820,0.02992,0.11,1,40849,40420,429
14601,161.2,0,630,27740,0.005984,0.18,1,41050,40420,630
17521,202.64,336.8,422,29200,0.113197,0.14,1,41263,40841,422
20441,47.728,68.96,429,32120,0.118639,0.14,1,41272,40843,429
23361,11.1456,13.792,431,35040,0.151728,0.1,1,41274,40843,431
26281,3.82912,4.3584,431,37960,0.126346,0.1,1,41276,40845,431
29201,2.36582,0.87168,433,40880,0.0812691,0.06,1,41278,40845,433
32121,2.07316,1.77434,433,43800,0.144254,0.06,1,41280,40847,433
35041,2.01463,0.354867,435,46720,0.124851,0.02,1,41282,40847,435
37961,2.00293,1.67097,435,49640,0.20897,0.02,1,41284,40849,435
40881,2.00059,0.334195,437,52560,0.257794,0,1,41286,40849,437
43801,149.2,160.867,422,55480,0.0515588,0.14,1,41472,41050,422
46721,203.44,202.573,426,58400,0.0103118,0.14,1,41689,41263,426
49641,42.288,40.5147,428,61320,0.00206235,0.12,1,41691,41263,428
52561,17.2576,15.3029,430,64240,0.104412,0.12,1,41702,41272,430
55481,6.65152,3.06059,434,67160,0.180882,0.16,1,41706,41272,434
58401,2.9303,2.21212,434,70080,0.164177,0.16,1,41708,41274,434
61321,2.18606,0.442423,436,73000,0.128835,0.12,1,41710,41274,436
64241,2.03721,1.68848,436,75920,0.177767,0.12,1,41712,41276,436
67161,2.00744,0.337697,438,78840,0.219553,0.07,1,41714,41276,438
70081,2.00149,1.66754,438,81760,0.187911,0.07,1,41716,41278,438
73001,2.0003,0.333508,440,84680,0.213582,0.16,1,41718,41278,440
75921,2.00006,1.6667,440,87600,0.250716,0.16,1,41720,41280,440
78841,2.00001,0.33334,442,90520,0.354143,0.12,1,41722,41280,442
81761,2,1.66667,442,93440,0.406829,0.12,1,41724,41282,442
84681,2,0.333334,444,96360,0.449366,0.23,1,41726,41282,444
87601,2,1.66667,444,99280,0.489873,0.23,1,41728,41284,444
90521,2,0.333333,446,102200,0.529975,0.27,1,41730,41284,446
93441,2,1.66667,446,105120,0.569995,0.27,1,41732,41286,446
96361,2,0.333333,448,108040,0.609999,0,1,41734,41286,448
99281,128.4,148.867,422,110960,0.122,0,1,41894,41472,422
102201,27.28,29.7733,424,113880,0.0244,0,1,41896,41472,424
105121,178.256,179.555,423,116800,0.05288,0,1,42112,41689,423
108041,37.2512,35.9109,425,119720,0.082576,0,1,42114,41689,425
110961,9.05024,8.78219,425,122640,0.0485152,0,1,42116,41691,425
113881,3.41005,1.75644,427,125560,0.00970304,0.13,1,42118,41691,427
116801,12.682,9.15129,431,128480,0.177941,0.13,1,42133,41702,431
119721,4.1364,1.83026,433,131400,0.179588,0.2,1,42135,41702,433
122641,2.42728,3.56605,431,134320,0.283918,0.2,1,42137,41706,431
125561,2.08546,0.71321,433,137240,0.264784,0.16,1,42139,41706,433
128481,2.01709,1.74264,433,140160,0.236957,0.16,1,42141,41708,433
131401,2.00342,0.348528,435,143080,0.319391,0.12,1,42143,41708,435
134321,3.60068,1.66971,437,146000,0.295878,0.12,1,42147,41710,437
137241,3.92014,0.333941,441,148920,0.211176,0.19,1,42151,41710,441
140161,2.38403,1.66679,441,151840,0.162235,0.19,1,42153,41712,441
143081,2.07681,0.333358,443,154760,0.320447,0.23,1,42155,41712,443
146001,2.01536,1.66667,443,157680,0.320089,0.23,1,42157,41714,443
148921,2.00307,0.333334,445,160600,0.280018,0.18,1,42159,41714,445
151841,2.00061,1.66667,445,163520,0.304004,0.18,1,42161,41716,445
154761,2.00012,0.333333,447,166440,0.276801,0.22,1,42163,41716,447
157681,2.00002,1.66667,447,169360,0.32736,0.22,1,42165,41718,447
160601,2,0.333333,449,172280,0.305472,0.26,1,42167,41718,449
163521,2,1.66667,449,175200,0.269094,0.26,1,42169,41720,449
166441,2,0.333333,451,178120,0.229819,0.38,1,42171,41720,451
169361,2,1.66667,451,181040,0.181964,0.38,1,42173,41722,451
172281,2,0.333333,453,183960,0.140393,0.42,1,42175,41722,453
175201,2,1.66667,453,186880,0.260079,0.42,1,42177,41724,453
178121,2,0.333333,455,189800,0.252016,0.46,1,42179,41724,455
181041,2,1.66667,455,192720,0.218403,0.46,1,42181,41726,455
183961,2,0.333333,457,195640,0.187681,0.5,1,42183,41726,457
186881,2,1.66667,457,198560,0.149536,0.5,1,42185,41728,457
189801,2,0.333333,459,201480,0.309907,0.54,1,42187,41728,459
192721,2,1.66667,459,204400,0.309981,0.54,1,42189,41730,459
195641,2,0.333333,461,207320,0.349996,0.58,1,42191,41730,461
198561,2,1.66667,461,210240,0.333999,0.58,1,42193,41732,461
201481,2,0.333333,463,213160,0.2988,0.62,1,42195,41732,463
204401,2,1.66667,463,216080,0.25976,0.62,1,42197,41734,463
207321,2,0.333333,465,219000,0.219952,0,1,42199,41734,465
210241,94,128.067,422,221920,0.0439904,0,1,42316,41894,422
213161,20.4,25.6133,424,224840,0.00879808,0,1,42318,41894,424
216081,5.68,6.72267,424,227760,0.00175962,0,1,42320,41896,424
219001,2.736,1.34453,426,230680,0.000351923,0.06,1,42322,41896,426
221921,170.147,173.069,422,233600,0.0640704,0.06,1,42534,42112,422
224841,35.6294,34.6138,424,236520,0.0448141,0.09,1,42536,42112,424
227761,8.72589,8.52276,424,239440,0.00896281,0.09,1,42538,42114,424
230681,3.34518,1.70455,426,242360,0.113793,0.04,1,42540,42114,426
232961,7.86904,1.94091,433,245280,0.0227585,0.26,1,42549,42116,433
235881,7.97381,7.58818,432,246740,0.0205517,0.26,1,42557,42125,432
238801,3.19476,1.51764,434,249660,0.11611,0.26,1,42559,42125,434
241721,2.23895,0.303527,436,252580,0.103222,0.22,1,42561,42125,436
244401,7.64779,6.46071,437,255500,0.140644,0.34,1,42570,42133,437
247321,3.12956,10.0921,428,258420,0.116129,0.34,1,42572,42144,428
250241,2.22591,2.01843,430,261340,0.0712258,0.34,1,42574,42144,430
253161,2.04518,0.403686,432,264260,0.174245,0.34,1,42576,42144,432
256081,2.00904,0.0807371,434,267180,0.170849,0.34,1,42578,42144,434
259001,2.00181,0.0161474,436,270100,0.13817,0.34,1,42580,42144,436
261921,2.00036,0.00322948,438,273020,0.099634,0.34,1,42582,42144,438
263541,4.40007,0.000645897,443,275940,0.0839268,0.38,1,42587,42144,443
266461,2.48001,8.00013,435,277400,0.168785,0.38,1,42589,42154,435
269381,2.096,1.60003,437,280320,0.153757,0.38,1,42591,42154,437
271861,2.0192,0.320005,439,283240,0.126751,0.34,1,42593,42154,439
274781,2.00384,8.864,430,286160,0.0893503,0.34,1,42595,42165,430
277701,2.00077,1.7728,432,289080,0.0498701,0.34,1,42597,42165,432
280621,2.00015,0.35456,434,292000,0.00997401,0.34,1,42599,42165,434
283541,2.00003,0.070912,436,294920,0.0499948,0.34,1,42601,42165,436
286421,2.00001,0.0141824,438,297840,0.177999,0.3,1,42603,42165,438
289341,2,8.80284,429,300760,0.1796,0.3,1,42605,42176,429
292261,2,1.76057,431,303680,0.14792,0.3,1,42607,42176,431
295181,2,0.352113,433,306600,0.109584,0.3,1,42609,42176,433
298101,2,0.0704227,435,309520,0.221917,0.3,1,42611,42176,435
