#Ack,Last Router Ocupation Router Arrival(Packets),Last Router Ocupation Router Arrival_ewma(Packets),Network Situation Router Arrival,Measure Time
7301,0.09,0.0899991,1,70432
16061,0.07,0.0692,1,70857
26281,0.17,0.168879,1,70861
37961,0.38,0.379357,1,70865
42341,0.31,0.311195,1,71066
49641,0.27,0.250032,1,71286
52561,0.28,0.278801,1,71286
55481,0.31,0.303952,1,71288
73001,0.32,0.323987,1,71301
77381,0.33,0.329952,1,71301
116801,0.26,0.259119,1,71721
138701,0.39,0.387995,1,71731
183961,0.71,0.703974,2,71754
185421,0.72,0.716795,2,71754
186881,0.72,0.719359,2,71754
188341,0.72,0.719872,2,71754
189801,0.75,0.743974,2,71756
191261,0.76,0.756795,2,71756
192721,0.76,0.759359,2,71756
194181,0.76,0.759872,2,71756
195641,0.79,0.783974,2,71758
197101,0.8,0.796795,2,71758
198561,0.8,0.799359,2,71758
200021,0.8,0.799872,2,71758
201481,0.86,0.847974,2,71760
202941,0.87,0.865595,2,71760
204401,0.87,0.869119,2,71760
205861,0.87,0.869824,2,71760
207321,0.76,0.781965,2,71959
208781,0.77,0.772393,2,71959
210241,0.77,0.770479,2,71959
211701,0.77,0.770096,2,71959
213161,0.8,0.794019,2,71961
214621,0.81,0.806804,2,71961
216081,0.81,0.809361,2,71961
217541,0.81,0.809872,2,71961
270401,0.73,0.71,2,72177
271861,0.74,0.734,2,72177
273321,0.74,0.7388,2,72177
274781,0.74,0.73976,2,72177
276241,0.74,0.739952,2,72177
336341,0.75,0.7388,2,72241
337801,0.75,0.74776,2,72241
349441,0.73,0.704,2,72593
350901,0.74,0.7328,2,72593
352361,0.74,0.73856,2,72593
366081,0.75,0.73,2,72611
367541,0.76,0.754,2,72611
369001,0.76,0.7588,2,72611
370461,0.76,0.75976,2,72611
371921,0.76,0.759952,2,72611
373381,0.76,0.75999,2,72611
374841,0.76,0.759998,2,72611
375441,0.78,0.776,2,72622
376901,0.79,0.7872,2,72622
378361,0.79,0.78944,2,72622
379821,0.79,0.789888,2,72622
380641,0.79,0.789978,2,72625
382101,0.8,0.797996,2,72625
383561,0.8,0.799599,2,72625
383761,0.79,0.79192,2,72630
385221,0.8,0.798384,2,72630
386681,0.8,0.799677,2,72630
388141,0.8,0.799935,2,72630
389601,0.8,0.799987,2,72630
391061,0.8,0.799997,2,72630
392081,0.83,0.823999,2,72633
393541,0.84,0.8368,2,72633
395001,0.84,0.83936,2,72633
395201,0.74,0.759872,2,72639
396661,0.75,0.751974,2,72639
398121,0.75,0.750395,2,72639
399581,0.75,0.750079,2,72639
401041,0.75,0.750016,2,72639
402501,0.75,0.750003,2,72639
403521,0.77,0.766001,2,72643
404981,0.78,0.7772,2,72643
406441,0.78,0.77944,2,72643
407901,0.78,0.779888,2,72643
409361,0.78,0.779978,2,72643
410821,0.78,0.779996,2,72643
411841,0.81,0.803999,2,72646
413301,0.82,0.8168,2,72646
414761,0.82,0.81936,2,72646
414961,0.79,0.795872,2,72650
416421,0.8,0.799174,2,72650
417881,0.8,0.799835,2,72650
419341,0.8,0.799967,2,72650
440961,0.81,0.776,2,72674
442421,0.82,0.8112,2,72674
457601,0.75,0.736,2,72689
459061,0.76,0.7552,2,72689
460521,0.76,0.75904,2,72689
461981,0.76,0.759808,2,72689
463441,0.76,0.759962,2,72689
464901,0.76,0.759992,2,72689
465921,0.71,0.719998,2,72709
467381,0.72,0.72,2,72709
468001,0.7,0.704,2,72893
469461,0.71,0.7088,2,72893
470921,0.71,0.70976,2,72893
472381,0.71,0.709952,2,72893
473841,0.71,0.70999,2,72893
475301,0.71,0.709998,2,72893
476761,0.71,0.71,2,72893
478221,0.71,0.71,2,72893
478401,0.78,0.766,2,73061
479861,0.79,0.7852,2,73061
481321,0.79,0.78904,2,73061
482781,0.79,0.789808,2,73061
484241,0.79,0.789962,2,73061
485701,0.79,0.789992,2,73061
487161,0.79,0.789998,2,73061
488621,0.79,0.79,2,73061
488801,0.83,0.822,2,73067
490261,0.84,0.8364,2,73067
491721,0.84,0.83928,2,73067
493181,0.84,0.839856,2,73067
494641,0.84,0.839971,2,73067
496101,0.84,0.839994,2,73067
497121,0.82,0.823999,2,73078
498581,0.83,0.8288,2,73078
500041,0.83,0.82976,2,73078
501501,0.83,0.829952,2,73078
502961,0.83,0.82999,2,73078
504421,0.83,0.829998,2,73078
505441,0.86,0.854,2,73087
506901,0.87,0.8668,2,73087
508361,0.87,0.86936,2,73087
509821,0.87,0.869872,2,73087
511281,0.87,0.869974,2,73087
512741,0.87,0.869995,2,73087
514201,0.87,0.869999,2,73087
514801,0.81,0.822,2,73099
516261,0.82,0.8204,2,73099
517721,0.82,0.82008,2,73099
519181,0.82,0.820016,2,73099
520641,0.82,0.820003,2,73099
522101,0.82,0.820001,2,73099
523561,0.82,0.82,2,73099
525021,0.82,0.82,2,73099
526481,0.82,0.82,2,73099
527281,0.88,0.868,2,73105
528741,0.89,0.8856,2,73105
530201,0.89,0.88912,2,73105
531661,0.89,0.889824,2,73105
533121,0.89,0.889965,2,73105
534581,0.89,0.889993,2,73105
535601,0.76,0.785999,2,73116
537061,0.77,0.7732,2,73116
538521,0.77,0.77064,2,73116
539981,0.77,0.770128,2,73116
541441,0.77,0.770026,2,73116
542901,0.77,0.770005,2,73116
544361,0.77,0.770001,2,73116
545821,0.77,0.77,2,73116
547281,0.77,0.77,2,73116
548741,0.77,0.77,2,73116
550201,0.77,0.77,2,73116
551201,0.81,0.802,2,73126
552661,0.82,0.8164,2,73126
554121,0.82,0.81928,2,73126
555581,0.82,0.819856,2,73126
557041,0.82,0.819971,2,73126
558501,0.82,0.819994,2,73126
559961,0.82,0.819999,2,73126
561421,0.82,0.82,2,73126
562641,0.84,0.836,2,73132
564101,0.85,0.8472,2,73132
565561,0.85,0.84944,2,73132
567021,0.85,0.849888,2,73132
568481,0.85,0.849978,2,73132
569941,0.85,0.849996,2,73132
570961,0.8,0.809999,2,73146
572421,0.81,0.81,2,73146
573881,0.81,0.81,2,73146
575341,0.81,0.81,2,73146
576801,0.81,0.81,2,73146
578261,0.81,0.81,2,73146
579721,0.81,0.81,2,73146
581181,0.81,0.81,2,73146
581361,0.8,0.802,2,73154
582821,0.81,0.8084,2,73154
584281,0.81,0.80968,2,73154
585741,0.81,0.809936,2,73154
587201,0.81,0.809987,2,73154
588661,0.81,0.809997,2,73154
590121,0.81,0.81,2,73154
591581,0.81,0.81,2,73154
592801,0.74,0.754,2,73165
594261,0.75,0.7508,2,73165
595721,0.75,0.75016,2,73165
595921,0.87,0.846032,2,73172
597381,0.88,0.873206,2,73172
598001,0.68,0.718641,2,73363
628581,0.72,0.7148,2,73547
630041,0.72,0.71896,2,73547
631501,0.72,0.719792,2,73547
632961,0.72,0.719958,2,73547
634421,0.72,0.719992,2,73547
635441,0.78,0.767998,2,73553
636901,0.79,0.7856,2,73553
637521,0.78,0.78112,2,73558
638981,0.79,0.788224,2,73558
640441,0.79,0.789645,2,73558
641901,0.79,0.789929,2,73558
643361,0.79,0.789986,2,73558
643761,0.7,0.717997,2,73567
645221,0.71,0.711599,2,73567
646681,0.71,0.71032,2,73567
648141,0.71,0.710064,2,73567
649601,0.71,0.710013,2,73567
651041,0.72,0.718003,2,73571
652501,0.73,0.727601,2,73571
653961,0.73,0.72952,2,73571
655421,0.73,0.729904,2,73571
656881,0.73,0.729981,2,73571
682241,0.76,0.736,2,73593
683701,0.77,0.7632,2,73593
700341,0.72,0.7152,2,73615
701801,0.72,0.71904,2,73615
703261,0.72,0.719808,2,73615
704721,0.72,0.719962,2,73615
706181,0.72,0.719992,2,73615
725921,0.77,0.745984,2,73643
727381,0.78,0.773197,2,73643
728001,0.74,0.746639,2,73826
729461,0.75,0.749328,2,73826
730921,0.75,0.749866,2,73826
732381,0.75,0.749973,2,73826
733841,0.75,0.749995,2,73826
735301,0.75,0.749999,2,73826
736761,0.75,0.75,2,73826
738221,0.75,0.75,2,73826
758161,0.85,0.804,2,74007
759621,0.86,0.8488,2,74007
768561,0.76,0.740002,2,74029
770021,0.77,0.764,2,74029
771481,0.77,0.7688,2,74029
