#Ack,Last Router Ocupation Router Arrival(Packets),Last Router Ocupation Router Arrival_ewma(Packets),Network Situation Router Arrival,Measure Time
29201,0.06,0.0595161,1,40857
35041,0,0.0159032,1,41060
51101,0.07,0.067903,1,41279
70081,0,0.00558064,1,41482
78841,0.04,0.0368004,1,41697
91981,0.1,0.0975806,1,41703
102201,0.14,0.139516,1,41707
118261,0,0.00798064,1,41903
119721,0,0.00159613,1,41903
135781,0.13,0.127577,1,42121
154761,0.27,0.269513,1,42129
166441,0.34,0.337181,1,42135
176661,0.36,0.359676,1,42139
198561,0.04,0.0393868,1,42327
216081,0.13,0.129516,1,42547
233601,0.25,0.249836,1,42557
242361,0.3,0.299436,1,42561
316821,0.08,0.0795161,1,42752
328501,0.04,0.0368318,1,42971
345101,0.18,0.177581,1,42983
365701,0.12,0.12,1,42996
375441,0.15,0.17993,1,43010
409781,0.15,0.149997,1,43031
435981,0,0.000208,1,43180
447661,0,5.3248e-10,1,43180
451361,0,0.02464,1,43392
454281,0,0.0009856,1,43392
461761,0,0.00799233,1,43416
463221,0,0.00159847,1,43416
467601,0,1.27877e-05,1,43416
476741,0.15,0.1424,1,43419
497361,0.05,0.05,1,43434
521881,0.05,0.04952,1,43458
529181,0.05,0.0499998,1,43458
550201,0,2.86294e-09,1,43476
556401,0.26,0.208,1,43478
560981,0.1,0.105101,1,43489
562441,0.1,0.10102,1,43489
564101,0,0.00404081,1,43606
572221,0,2.58611e-07,1,43611
590101,0.06,0.06016,1,43827
605101,0,6.14727e-09,1,43852
626501,0.03,0.0292,1,43876
643141,0.11,0.1052,1,43884
648981,0.11,0.109992,1,43884
654821,0.11,0.11,1,43884
673301,0,0.00520128,1,43917
690821,0,2.13044e-11,1,43917
692641,0,8.52176e-13,1,44038
697021,0,6.81741e-15,1,44038
710321,0,0.013824,1,44244
723841,0,0.013993,1,44270
735301,0.03,0.0299955,1,44285
761921,0,9.60002e-06,1,44307
783761,0.03,0.0299872,1,44322
806221,0,7.67934e-08,1,44347
821201,0.07,0.0699648,1,44354
828061,0,0.000111989,1,44473
845121,0.09,0.0899584,1,44670
852801,0,0.0060064,1,44698
865921,0,9.29804e-06,1,44715
868401,0,3.71922e-07,1,44725
869861,0,7.43843e-08,1,44725
889841,0.01,0.009984,1,44736
915421,0.12,0.119967,1,44749
932881,0,0.0020009,1,44775
940181,0,6.40286e-07,1,44775
952861,0,4.79642e-05,1,44789
957641,0,7.67426e-08,1,44907
962021,0,6.13941e-10,1,44907
966401,0,4.91153e-12,1,44907
975121,0,3.14338e-16,1,45103
985521,0.03,0.0299986,1,45121
994041,0,0.00023744,1,45147
1023381,0.09,0.0899917,1,45167
1052281,0.21,0.208,1,45187
1063521,0.14,0.14001,1,45196
1069761,0,4.48031e-05,1,45210
1077441,0,2.86739e-09,1,45220
1122161,0.02,0.0380025,1,45571
1130081,0.03,0.0299877,1,45583
1135481,0,0.00023998,1,45593
1158561,0,0.00199997,1,45612
1181441,0.1,0.082,1,45623
1190601,0,0.000879641,1,45636
1194981,0,7.03713e-06,1,45636
1221181,0,3.68948e-19,1,45773
1228481,0,1.18063e-22,1,45773
1244681,0.09,0.08904,1,45990
1251961,0.03,0.0301597,1,45999
1261541,0,1.92204e-06,1,46018
1270681,0.05,0.04928,1,46026
1286501,0.01,0.01,1,46035
1311241,0.13,0.12864,1,46053
1328501,0.07,0.0684,1,46068
1334541,0,0.000111488,1,46080
1336001,0,2.22976e-05,1,46080
1348261,0,0.00359834,1,46209
1354101,0,5.75734e-06,1,46209
1357021,0,2.30293e-07,1,46209
1379061,0.12,0.11999,1,46420
1389661,0,0.000143974,1,46446
1397981,0.01,0.00992001,1,46452
1400901,0.01,0.0099968,1,46452
1421481,0,8.19189e-12,1,46476
1425861,0,6.55351e-14,1,46476
1449181,0,4.2949e-25,1,46487
1471421,0,5.62941e-37,1,46510
1473681,0.08,0.064,1,46515
1484101,0,5.69344e-06,1,46641
1490321,0.1,0.08,1,46816
1491781,0.11,0.104,1,46816
1508641,0.05,0.0499806,1,46858
1512581,0.04,0.0387998,1,46865
1535481,0,1.30915e-12,1,46887
1555441,0,2.87959e-05,1,46906
1574181,0,2.35896e-14,1,46917
1591641,0,1.40739e-06,1,46937
1624701,0.03,0.029888,1,47253
1652161,0,3.19918e-06,1,47307
1678181,0,3.07154e-09,1,47327
1703541,0.11,0.10999,1,47349
1722041,0,2.25279e-09,1,47378
1735761,0,2.30686e-16,1,47503
1750321,0.02,0.0259712,1,47683
1761561,0.05,0.04952,1,47694
1782361,0,3.76833e-07,1,47739
1797541,0,0.0027648,1,47757
1803381,0,4.42368e-06,1,47757
1808981,0.09,0.0848,1,47761
1827281,0,7.2876e-11,1,47791
1850161,0.16,0.165985,1,47801
1884701,0.08,0.0798868,1,48109
1891361,0.09,0.089984,1,48121
1910901,0,0.00199424,1,48171
1924041,0,1.02105e-09,1,48171
1938801,0,2.09111e-17,1,48195
1940261,0,4.18222e-18,1,48195
1953341,0,7.99908e-05,1,48214
1968121,0,1.63821e-12,1,48224
1987061,0,1.34202e-21,1,48237
2005561,0,1.09938e-30,1,48367
2035281,0.04,0.032,1,48590
2056541,0,2.0421e-10,1,48606
2061501,0,3.26736e-13,1,48627
2077101,0.07,0.069824,1,48635
2095821,0,0.00010688,1,48660
2116221,0,1.75112e-14,1,48675
2126801,0,0.019991,1,48804
2134101,0,6.39713e-06,1,48804
2150101,0.09,0.08936,1,48992
2158841,0.03,0.03016,1,49008
2167781,0.05,0.0464019,1,49022
2175901,0,7.97697e-05,1,49034
2203781,0.01,0.0099968,1,49060
2213541,0,0.000399488,1,49076
2226861,0,4.09075e-11,1,49089
2244341,0,6.144e-07,1,49107
2258261,0,0.00079616,1,49227
2294041,0.15,0.14848,1,49443
2299241,0.08,0.0802376,1,49452
2314661,0,8.19686e-09,1,49465
2323161,0,1.0492e-13,1,49482
2348961,0,1.59908e-05,1,49505
2372041,0.01,0.00983552,1,49534
2378281,0,7.99474e-05,1,49545
2386801,0,5.11663e-09,1,49655
2390341,0,4.0933e-11,1,49678
2393261,0,1.63732e-12,1,49678
2408641,0.02,0.0219998,1,49842
2413641,0.05,0.0495072,1,49863
2432981,0.1,0.0984006,1,49888
2456721,0,1.28976e-13,1,49912
2477081,0,4.22627e-24,1,49935
2488941,0,2.16385e-30,1,49946
2494341,0.01,0.008,1,49952
2503921,0.01,0.00998412,1,49961
2506401,0,0.00199936,1,49970
2511601,0,3.19898e-06,1,49977
2540541,0.11,0.11,1,50265
2556341,0.13,0.129989,1,50309
