#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
4381,2,0,429,16060,0.15,0.09,1,110854,110425,429
7301,2,0,431,17520,0.15,0.09,1,110856,110425,431
10221,2,0,433,18980,0.15,0.09,1,110858,110425,433
13141,2,0,435,20440,0.15,0.09,1,110860,110425,435
14601,161.2,0,636,21900,0.23,0.15,1,111061,110425,636
17521,208.24,341.6,429,23360,0.262,0.15,1,111281,110852,429
20441,43.248,69.92,429,24820,0.2684,0.15,1,111283,110854,429
23361,10.2496,13.984,431,26280,0.26968,0.15,1,111285,110854,431
26281,3.64992,4.3968,431,27740,0.269936,0.15,1,111287,110856,431
29201,2.32998,2.47936,431,29200,0.237987,0.15,1,111289,110858,431
32121,2.066,0.495872,433,30660,0.231597,0.15,1,111291,110858,433
35041,2.0132,1.69917,433,32120,0.246319,0.25,1,111293,110860,433
37961,163.603,161.14,436,33580,0.393264,0.27,1,111497,111061,436
40881,206.321,208.228,433,35040,0.534653,0.27,1,111714,111281,433
43801,42.8641,41.6456,435,36500,0.562931,0.27,1,111716,111281,435
46721,10.1728,9.92912,435,37960,0.568586,0.27,1,111718,111283,435
49641,3.63456,3.58582,435,39420,0.569717,0.27,1,111720,111285,435
52561,2.32691,0.717165,437,40880,0.569943,0.27,1,111722,111285,437
55481,2.06538,1.74343,437,42340,0.537989,0.23,1,111724,111287,437
58401,2.01308,1.94869,437,43800,0.547598,0.23,1,111726,111289,437
61321,2.00262,0.389737,439,45260,0.56552,0.23,1,111728,111289,439
64241,2.00052,1.67795,439,46720,0.585104,0.25,1,111730,111291,439
67161,2.8001,1.93559,440,48180,0.653021,0.25,1,111733,111293,440
68621,161.36,0.387118,641,49640,0.762604,0.43,2,111934,111293,641
71541,37.072,163.277,443,51100,0.784521,0.43,2,111940,111497,443
73001,168.214,32.6555,644,52560,0.852904,0.57,2,112141,111497,644
75921,50.4429,180.131,448,54020,0.882581,0.57,2,112162,111714,448
78841,11.6886,36.0262,450,55480,0.888516,0.57,2,112164,111714,450
81761,3.93771,8.80524,450,56940,0.889703,0.57,2,112166,111716,450
84681,2.38754,3.36105,450,58400,0.889941,0.57,2,112168,111718,450
87601,2.07751,0.67221,452,59860,0.889988,0.57,2,112170,111718,452
