#Ack,Last Router Ocupation Router Arrival(Packets),Last Router Ocupation Router Arrival_ewma(Packets),Network Situation Router Arrival,Measure Time
0,0.19,0.19,1,160010
13141,0.36,0.36,1,160439
207321,0.09,0.0905201,1,162915
214621,0.05,0.0461165,1,163196
217541,0.09,0.0882447,1,163247
242361,0.05,0.0476,1,163370
245281,0.05,0.049904,1,163399
268641,0.09,0.0916664,1,163762
271561,0.09,0.0916667,1,163764
281781,0.05,0.0495679,1,164069
294921,0.06,0.0575641,1,164180
309521,0.04,0.0391333,1,164217
322661,0.14,0.136637,1,164560
329961,0.13,0.131666,1,164605
335801,0.13,0.131667,1,164611
359161,0.15,0.147501,1,165008
407341,0.31,0.311667,1,165469
419021,0.35,0.351347,1,165529
459901,0.4,0.397907,1,166217
1045361,0.21,0.249936,1,172948
1055581,0.03,0.0295297,1,173077
1081861,0.07,0.0595323,1,173723
1095001,0.04,0.0375961,1,173902
1105221,0.1,0.0967741,1,174147
1122741,0.04,0.0384013,1,174502
1127121,0.05,0.0476672,1,174573
1131501,0.12,0.115901,1,174625
1175301,0.01,0.0117112,1,175420
1204501,0.04,0.0399675,1,175897
1222021,0.2,0.198269,1,176191
1227861,0.2,0.198333,1,176319
1262901,0.39,0.379901,1,176857
1540301,0.05,0.0483523,1,181213
1541761,0.06,0.0576705,1,181213
1554901,0.03,0.0313841,1,181371
1591401,0.05,0.0479744,1,181834
1600161,0.27,0.251321,1,181931
1603081,0.29,0.286853,1,181958
1616221,0.26,0.255935,1,182158
1622061,0.26,0.25833,1,182198
1827921,0.02,0.0176318,1,184779
1843981,0.37,0.379521,1,184954
1849821,0.39,0.395359,1,184995
1879021,0.15,0.155327,1,185368
1905301,0.04,0.0408396,1,185622
1952021,0.02,0.0183154,1,186140
1968081,0.07,0.0715064,1,186292
2017721,0.04,0.0375641,1,186775
2019181,0.03,0.0315128,1,186777
2046921,0.1,0.0983013,1,187093
2051301,0.09,0.0878264,1,187139
2061521,0.16,0.158268,1,187199
2064441,0.16,0.158331,1,187211
2070281,0.15,0.147965,1,187309
2073201,0.05,0.0715186,1,187351
2086341,0.06,0.0591308,1,187491
2095101,0.08,0.0783321,1,187564
2098021,0.12,0.116733,1,187593
2112621,0.06,0.0583653,1,187672
2121381,0.18,0.177558,1,187829
2130141,0.14,0.138336,1,187915
2204601,0.38,0.381531,1,188606
2217741,0.39,0.391673,1,188784
2220661,0.39,0.391667,1,188812
2530181,0.05,0.0490009,1,192163
2557921,0.01,0.019808,1,192642
2559381,0.02,0.0199616,1,192642
2614861,0.13,0.135167,1,193631
2629461,0.07,0.0676601,1,193907
2649901,0.06,0.0575447,1,194277
2668881,0.01,0.0238075,1,194583
2701001,0,0.00104929,1,195087
2706841,0.04,0.0382737,1,195156
2709761,0.02,0.0191309,1,195181
2712681,0.04,0.0375652,1,195228
2714141,0.03,0.031513,1,195230
2722901,0.07,0.0718075,1,195426
2741881,0.12,0.118236,1,195652
2757941,0.04,0.0379123,1,195968
2763781,0.08,0.0767327,1,196025
2772541,0.08,0.0775345,1,196150
2790061,0.02,0.0176933,1,196423
2817801,0.26,0.259002,1,196813
2833861,0.29,0.291187,1,197051
2855761,0.34,0.339133,1,197357
2857221,0.33,0.331827,1,197359
3159441,0,0.00156535,1,201588
3160901,0.01,0.00831307,1,201611
3171121,0.05,0.0558014,1,201710
3191561,0.07,0.07534,1,201973
3198861,0.02,0.0177265,1,202032
3207621,0.04,0.0368293,1,202097
3486481,0.08,0.0784404,1,205330
3489401,0.12,0.116738,1,205358
3499621,0,0.000479702,1,205434
3501081,0.05,0.0400959,1,205474
3525901,0.04,0.0391001,1,205736
3533201,0.01,0.0156669,1,205802
3544881,0.05,0.0436728,1,205898
3566781,0.24,0.240869,1,206139
3577001,0.13,0.13646,1,206224
3647081,0.24,0.237532,1,206924
3650001,0.24,0.238301,1,206940
3666061,0.27,0.271513,1,207086
4163921,0.01,0.0115539,1,212193
4207721,0.07,0.0639677,1,212971
4273421,0.01,0.0116677,1,214022
4290941,0.1,0.0951931,1,214306
4292401,0.03,0.0430386,1,214355
4317221,0.06,0.0576291,1,214731
4328901,0.08,0.0759642,1,214865
4334741,0.06,0.0575935,1,215010
4355181,0.05,0.0635,1,215289
4359561,0.08,0.077628,1,215339
4362481,0.04,0.0399051,1,215433
4394601,0.2,0.198331,1,215858
4401901,0.23,0.231347,1,216005
4410661,0.32,0.31598,1,216082
4673461,0.19,0.20034,1,219867
4677841,0.08,0.0832027,1,219906
4685141,0.06,0.0592266,1,220025
4686601,0.07,0.0678453,1,220054
4718721,0.27,0.224768,1,220449
4728941,0.14,0.139263,1,220577
4753761,0.25,0.251666,1,220883
4758141,0.24,0.239133,1,220910
4785881,0.32,0.318368,1,221193
4958161,0.12,0.129864,1,223315
4962541,0.05,0.0522389,1,223383
4969841,0,9.35164e-05,1,223442
4975681,0.07,0.0634496,1,223637
4977141,0.07,0.0686899,1,223661
4996121,0.14,0.133602,1,224085
5007801,0.06,0.059872,1,224304
5018021,0.05,0.0714688,1,224652
5028241,0.04,0.0391336,1,224827
5038461,0.12,0.117468,1,225075
5048681,0.07,0.0715074,1,225251
5050141,0.08,0.0783015,1,225251
5067661,0.06,0.0591345,1,225674
5092481,0.36,0.3583,1,226100
