#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
83221,88,90,463,48180,0.45,0.75,1,222624,222161,463
87601,60,63.6,459,48180,0.514,0.69,1,222677,222218,459
93441,51.2,55.12,455,48180,0.5588,0.61,1,222726,222271,455
99281,64.64,68.624,451,48180,0.69576,0.57,1,222794,222343,451
141621,24.928,27.3248,449,48180,0.755152,0.57,2,222809,222360,449
144541,24.9856,15.065,462,49640,0.81503,0.45,2,222834,222372,462
283241,87,108,437,43800,0.23,0.21,1,224534,224097,437
287621,68.6,79.2,429,43800,0.374,0.15,1,224598,224169,429
296381,42.52,45.44,428,43800,0.4988,0.07,1,224634,224206,428
299301,58.104,61.888,424,43800,0.69976,0.07,1,224696,224272,424
341641,22.0208,24.3776,422,43800,0.707952,0.05,1,224709,224287,422
344561,9.20416,8.07552,424,45260,0.70959,0,1,224715,224291,424
347481,3.44083,4.8151,422,46720,0.725918,0.03,1,224717,224295,422
350401,2.28817,2.56302,422,46720,0.729184,0.01,1,224719,224297,422
353321,34.8576,24.5126,435,46720,0.761837,0.05,2,224762,224327,435
356241,26.9715,23.3025,437,46720,0.912367,0.11,2,224787,224350,437
359161,12.5943,20.6605,426,48180,0.926473,0.03,2,224796,224370,426
560641,63,67,469,36500,0.89,1,2,226941,226472,469
563561,51,26.2,501,37960,0.89,0.88,2,226989,226488,501
811761,205,237,422,26280,0.57,0.05,1,230276,229854,422
814681,102.6,65.8,476,27740,0.81,0.07,2,230353,229877,476
817601,59.72,69.16,455,29200,0.842,0.07,2,230402,229947,455
905201,31,19,489,32120,0.43,1,1,231807,231318,489
908121,42.2,31.8,499,32120,0.27,1,1,231852,231353,499
911041,34.84,31.16,501,32120,0.222,1,1,231885,231384,501
913961,32.568,21.432,514,32120,0.2444,1,1,231917,231403,514
916881,26.5136,30.6864,506,32120,0.18488,1,1,231942,231436,506
919801,29.3027,33.3373,502,32120,0.140976,1,1,231972,231470,502
922721,32.2605,25.8675,511,32120,0.116195,1,1,232005,231494,511
925641,33.6521,36.3735,506,32120,0.063239,1,1,232039,231533,506
928561,29.9304,50.4747,481,32120,0.0526478,0.89,1,232068,231587,481
931481,70.7861,86.0949,467,32120,0.11453,0.61,1,232149,231682,467
934401,75.7572,92.419,450,32120,0.0629059,0.43,1,232226,231776,450
937321,31.9514,43.2838,440,32120,0.0525812,0.23,1,232247,231807,440
940241,37.5903,44.6568,434,32120,0.0185162,0.21,1,232286,231852,434
943161,29.9181,35.3314,429,32120,0.0597032,0.25,1,232314,231885,429
946081,30.7836,32.6663,428,32120,0.115941,0.17,1,232345,231917,428
949001,25.3567,26.5333,427,32120,0.207188,0.13,1,232369,231942,427
951921,29.0713,29.3067,427,32120,0.273438,0.11,1,232399,231972,427
954841,31.4143,32.2613,426,32120,0.366688,0.05,1,232431,232005,426
957761,32.6829,33.6523,425,32120,0.481338,0.05,1,232464,232039,425
960681,29.7366,29.9305,425,32120,0.536268,0.13,1,232493,232068,425
