#Ack,Last Router Ocupation Router Arrival(Packets),Last Router Ocupation Router Arrival_ewma(Packets),Network Situation Router Arrival,Measure Time
1,0.22,0.202,1,50437
10221,0.23,0.23,1,50437
16061,0.09,0.094,1,50868
37961,0.33,0.328479,1,50876
45261,0.05,0.0469275,1,51294
62781,0.31,0.306785,1,51300
102201,0,0.000166359,1,51717
134321,0.22,0.219361,1,51735
201481,0.72,0.713978,2,51765
202941,0.73,0.726796,2,51765
204401,0.73,0.729359,2,51765
205861,0.73,0.729872,2,51765
217541,0.06,0.0598419,1,51923
221921,0,0.000478735,1,52141
224841,0.01,0.00801915,1,52145
252721,0.21,0.194,1,52166
262081,0.21,0.212,1,52173
273321,0.09,0.09072,1,52186
279761,0.23,0.202,1,52193
293921,0.09,0.0900352,1,52207
304141,0.09,0.09,1,52207
330541,0.24,0.24,1,52222
349441,0,1.22873e-07,1,52571
352361,0.01,0.0096,1,52571
375041,0.05,0.0499712,1,52595
376501,0.05,0.0499942,1,52595
395621,0.09,0.0848,1,52615
407061,0,0.00359999,1,52629
412881,0.06,0.0480058,1,52639
439121,0.05,0.05,1,52650
440581,0.05,0.05,1,52650
453661,0.14,0.140079,1,52661
456581,0.14,0.140003,1,52661
462181,0.2,0.196,1,52666
469041,0,0.0399987,1,52788
490881,0,0.0138399,1,53013
510441,0.01,0.0107999,1,53036
537481,0,3.27688e-13,1,53061
541861,0,2.6215e-15,1,53061
545381,0.07,0.0656,1,53074
557061,0.07,0.07,1,53074
582401,0.17,0.158,1,53094
615901,0.09,0.089792,1,53433
627761,0,2.87999e-05,1,53447
634621,0.07,0.069824,1,53458
657721,0,3.84054e-07,1,53479
673721,0.08,0.0799967,1,53491
686421,0.05,0.0499942,1,53511
689341,0.05,0.0499998,1,53511
698061,0.07,0.069904,1,53519
718261,0.01,0.01,1,53530
734881,0,2.23979e-05,1,53655
757781,0.01,0.01,1,53879
774421,0.12,0.12,1,53893
783541,0.03,0.0331955,1,53913
808301,0,0.000175939,1,53932
809121,0,3.51877e-05,1,53945
830141,0.01,0.00992,1,53957
853661,0.11,0.11,1,53965
875681,0,0.0374528,1,54315
881521,0,5.99245e-05,1,54315
897521,0,0.0159923,1,54337
907741,0,2.04702e-07,1,54337
922921,0.03,0.0299991,1,54348
930221,0.03,0.03,1,54348
934961,0,0.03768,1,54365
939341,0,0.00030144,1,54365
954121,0,1.91611e-06,1,54383
982821,0.09,0.0899974,1,54405
989041,0,0.0279712,1,54421
1006721,0.07,0.0836685,1,54745
1018161,0.11,0.104,1,54755
1032321,0.01,0.0100224,1,54766
1060401,0.03,0.0299776,1,54788
1063321,0.03,0.0299991,1,54788
1069961,0.13,0.12888,1,54801
1095361,0,2.56013e-08,1,54824
1108441,0.11,0.110543,1,54839
1124041,0,0.000639872,1,54947
1139641,0.07,0.0698396,1,55179
1141101,0.07,0.0699679,1,55179
1145481,0.07,0.0699997,1,55179
1160261,0.01,0.01,1,55190
1171261,0,0.000287462,1,55212
