#Ack,Last Router Ocupation Router Arrival(Packets),Last Router Ocupation Router Arrival_ewma(Packets),Network Situation Router Arrival,Measure Time
8936321,0.72,0.711502,2,61834
8937781,0.72,0.7183,2,61836
8939241,0.74,0.73566,2,61838
8940701,0.79,0.779132,2,61840
8942161,0.81,0.803826,2,61842
8943621,0.83,0.824765,2,61844
8945081,0.85,0.844953,2,61846
8946541,0.89,0.880991,2,61848
8948001,0.91,0.904198,2,61850
8949461,0.93,0.92484,2,61852
8950921,0.95,0.944968,2,61854
12081681,0.73,0.719172,2,72336
12083141,0.74,0.735834,2,72338
12084601,0.77,0.763167,2,72340
12084801,0.8,0.792633,2,72389
12086261,0.78,0.782527,2,72391
12087721,0.76,0.764505,2,72393
12089181,0.75,0.752901,2,72395
12090641,0.77,0.76658,2,72397
12092081,0.79,0.785316,2,72399
12093541,0.8,0.797063,2,72401
12095001,0.81,0.807413,2,72403
12096461,0.78,0.785483,2,72405
12097921,0.77,0.773097,2,72407
12099381,0.79,0.786619,2,72409
12100401,0.84,0.829324,2,72410
12101861,0.86,0.853865,2,72412
12102481,0.82,0.826773,2,72423
12103941,0.83,0.829355,2,72425
12105401,0.83,0.829871,2,72427
12106861,0.82,0.821974,2,72429
12107681,0.81,0.812395,2,72432
12109141,0.79,0.794479,2,72434
12110601,0.81,0.806896,2,72436
12112061,0.79,0.793379,2,72438
12112881,0.8,0.798676,2,72443
12114341,0.79,0.791735,2,72445
12114961,0.75,0.758347,2,72456
12116421,0.78,0.775669,2,72458
12117881,0.8,0.795134,2,72460
12119341,0.82,0.815027,2,72462
12120801,0.84,0.835005,2,72464
12121201,0.87,0.863001,2,72470
12122661,0.89,0.8846,2,72472
12123281,0.89,0.88892,2,72476
12124741,0.87,0.873784,2,72478
12126201,0.87,0.870757,2,72480
12126401,0.85,0.854151,2,72485
12127861,0.9,0.89083,2,72487
12129321,0.92,0.914166,2,72489
12130781,0.92,0.918833,2,72491
12131601,0.94,0.935767,2,72497
12133061,0.94,0.939153,2,72499
12133681,0.85,0.867831,2,72506
12135141,0.84,0.845566,2,72508
12135761,0.8,0.809113,2,72517
12137221,0.85,0.841823,2,72519
12138681,0.85,0.848365,2,72521
12140141,0.83,0.833673,2,72523
12141601,0.8,0.806735,2,72525
12143061,0.84,0.833347,2,72527
12144521,0.85,0.846669,2,72529
12145121,0.84,0.841334,2,72530
12146581,0.83,0.832267,2,72532
12148041,0.85,0.846453,2,72534
12149501,0.87,0.865291,2,72536
12150321,0.87,0.869058,2,72539
12151781,0.87,0.869812,2,72541
12152401,0.91,0.901962,2,72545
12153861,0.89,0.892393,2,72547
12155321,0.92,0.914478,2,72549
12155521,0.92,0.918896,2,72551
12156981,0.93,0.927779,2,72553
12157601,0.85,0.865556,2,72560
12159061,0.89,0.885111,2,72562
12160521,0.9,0.897022,2,72564
12161981,0.9,0.899404,2,72566
