#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd_(Bytes),Last_Router_Ocupation_Ack_Arriaval(Packets),Last_Router_Ocupation_Packet_Sent(Packets),Network_Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Last_Router_Ocupation_Router_Arrival(Packets),Last_Router_Ocupation_Router_Arrival_ewma(Packets),Network_Situation_Router_Arrival,Measure_Time
4399421,0.029022254,0.1385429,0.8805668,0.026578073089700997,0.374952,0.45,1,87075,86640,435,0.28,0.279856,1,86650
48209001,0.29057112,0.32363808,0.8704453,0.025839793281653745,0.161655,0.21,1,235571,235141,430,0.18,0.179919,1,235151
26868401,0.03471554,0.033858635,0.90080965,0.02085640457733481,0.238881,0.34,1,163538,163093,445,0.4,0.394001,1,163108
39275201,0.12956563,0.12355087,0.8805668,0.02307124400147656,0.357452,0.32,1,205547,205112,435,0.25,0.25,1,205122
39483621,0.03912462,0.05294943,0.8704453,0.017718715393133997,0.229473,0.23,1,185788,185358,430,0.13,0.129996,1,185368
727081,0.03226842,0.05821194,0.87854254,0.009228497600590625,0.139592,0.25,1,66057,65623,434,0.21,0.209197,1,65636
54570681,0.10944086,0.13073012,0.8805668,0.026578073089700997,0.321698,0.32,1,257002,256567,435,0.26,0.25968,1,256577
43484281,0.08205502,0.141303,0.86842096,0.017718715393133997,0.346456,0.29,1,199390,198961,429,0.16,0.1596,1,198971
1561681,0.03659248,0.02771576,0.8906882,0.026578073089700997,0.277162,0.45,1,77420,76980,440,0.31,0.309974,1,76990
37437321,0.12937336,0.26621282,0.89271253,0.014211886304909561,0.327752,0.18,1,226064,225623,441,0.28,0.278349,1,225639
16211841,0.09134698,0.0627268,0.90080965,0.012181616832779624,0.326278,0.37,1,137361,136916,445,0.38,0.391028,1,136931
47892001,0.1579076,0.16443558,0.8805668,0.017534145441122185,0.23591,0.22,1,214200,213765,435,0.18,0.19736,1,213807
29696401,0.106757306,0.09515012,0.88461536,0.014027316352897749,0.29095,0.19,1,195725,195288,437,0.34,0.339629,1,195303
