#Ack,Last Router Ocupation Router Arrival(Packets),Last Router Ocupation Router Arrival_ewma(Packets),Network Situation Router Arrival,Measure Time
1,0,0,1,40430
10221,0,0,1,40430
29201,0.06,0.0595161,1,40857
36501,0,0.00318064,1,41060
37961,0,0.000636129,1,41273
51101,0.07,0.067903,1,41279
75921,0,8.92903e-06,1,41695
94901,0.11,0.107903,1,41705
109501,0.18,0.177581,1,41711
113881,0.2,0.197581,1,41713
116801,0,0.0399032,1,41903
128481,0,0.000314982,1,42117
135781,0.17,0.163175,1,42121
146001,0.21,0.209516,1,42125
154761,0.25,0.249516,1,42129
169361,0.33,0.327903,1,42137
195641,0.03,0.0246712,1,42327
213161,0.1,0.0979351,1,42546
227761,0.21,0.203181,1,42555
232141,0.23,0.227545,1,42557
239441,0.26,0.257903,1,42561
248201,0.3,0.297903,1,42565
256961,0.35,0.347887,1,42569
261341,0.37,0.367903,1,42571
315361,0.08,0.0775806,1,42752
318281,0.09,0.0879032,1,42754
328501,0.14,0.134803,1,42966
343641,0.07,0.0700008,1,42976
346561,0.07,0.07,1,42976
369021,0.1,0.1,1,42999
388581,0.07,0.07,1,43012
403341,0.13,0.13,1,43022
406261,0.13,0.13,1,43022
425201,0.09,0.09,1,43033
435981,0,0.000207959,1,43182
446201,0,2.66187e-09,1,43182
456561,0,0.0139648,1,43404
474661,0.19,0.188723,1,43409
491921,0,0.031776,1,43439
494841,0,0.00127104,1,43439
517321,0.05,0.0499988,1,43449
518781,0.05,0.0499998,1,43449
541021,0.11,0.109936,1,43466
551001,0.09,0.08984,1,43475
559761,0.09,0.09,1,43475
561601,0,0.018,1,43612
574741,0,9.21599e-09,1,43612
581361,0,0.00999424,1,43828
591141,0.05,0.0464001,1,43836
606961,0.05,0.0499872,1,43847
623801,0,0.000559846,1,43870
648961,0,0.006,1,43892
671441,0.07,0.0699648,1,43901
672901,0.07,0.069993,1,43901
690381,0.01,0.0100001,1,43914
710961,0,3.27681e-13,1,44058
715321,0,2.62145e-15,1,44259
719701,0,2.09716e-17,1,44259
729041,0,0.0158558,1,44277
746521,0.09,0.089831,1,44292
754841,0.14,0.13928,1,44295
767341,0,3.58031e-07,1,44308
770261,0,1.43212e-08,1,44308
783561,0.07,0.0699986,1,44318
789581,0,0.000112,1,44332
795421,0,1.79199e-07,1,44332
821421,0.1,0.1,1,44346
829941,0,6.40001e-06,1,44473
835781,0,1.024e-08,1,44473
850121,0,2.09715e-16,1,44689
871121,0.05,0.0499808,1,44709
890041,0.01,0.00967997,1,44738
895881,0.01,0.00999949,1,44738
897341,0.01,0.0099999,1,44738
915241,0,2.048e-10,1,44749
927481,0,7.99744e-05,1,44769
933321,0,1.27959e-07,1,44769
955981,0,6.40011e-06,1,44908
980121,0.01,0.00999936,1,45121
995701,0.07,0.0727983,1,45141
1000081,0.07,0.0700224,1,45141
1006101,0.07,0.0684,1,45148
1026921,0,5.72915e-11,1,45170
