#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd_(Bytes),Last_Router_Ocupation_Ack_Arriaval(Packets),Last_Router_Ocupation_Packet_Sent(Packets),Network_Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Last_Router_Ocupation_Router_Arrival(Packets),Last_Router_Ocupation_Router_Arrival_ewma(Packets),Network_Situation_Router_Arrival,Measure_Time
26469381,0.1413812,0.07566653,0.9473683,0.011443337024732374,0.630006,0.75,1,124017,123549,468,0.76,0.758333,2,123569
5293961,0.057072125,0.032937493,0.9372469,0.01199704688076781,0.71,0.77,1,133749,133286,463,0.78,0.778333,2,133300
4335761,0.03160187,0.00020184164,0.8704453,0.024178663713547436,0.180339,0.06,1,46405,45975,430,0.11,0.088,1,45990
7987221,0.046504315,0.08121919,0.8704453,0.02547065337763012,0.278912,0.27,1,78628,78198,430,0.11,0.109995,1,78208
14568361,0.031545244,0.0,0.8866396,0.010708217661068888,0.6348,0.19,1,119120,118682,438,0.17,0.17,1,118692
3261441,0.03415293,0.022791255,0.85829955,0.022702104097452935,6.63657e-08,0.1,1,42924,42500,424,0.0,1.02694e-26,1,42514
13483421,0.0488609,0.09042477,0.9352227,0.02547065337763012,0.856497,0.72,2,87607,87145,462,0.7,0.7,2,87155
5101001,0.029127458,0.07575894,0.8562753,0.02602436323366556,0.0323584,0.0,1,48966,48543,423,0.05,0.04928,1,48553
1847261,0.03659248,0.15165958,0.8562753,0.020671834625323,0.121603,0.15,1,38195,37772,423,0.0,0.000127999,1,37782
5729801,0.051734198,0.022832816,0.86234814,0.02676264304171281,0.000768115,0.0,1,51108,50682,426,0.0,3.84e-07,1,50692
1633741,0.03158357,0.03167819,0.9291498,0.009413067552602437,0.69,0.73,1,134604,134145,459,0.74,0.738333,2,134157
5953381,0.09572688,0.016529674,0.8704453,0.026393503137689185,0.00128003,0.0,1,51909,51479,430,0.0,2.51473e-15,1,51498
2460261,0.031787824,0.0014555465,0.86842096,0.021410114433370247,0.0834161,0.0,1,60357,59928,429,0.0,5.2412e-16,1,59938
8742241,0.02908219,0.07577075,0.8562753,0.02768549280177187,0.167071,0.13,1,71095,70672,423,0.0,0.00928,1,70687
4471981,0.031551868,0.031493206,0.9251012,0.009413067552602437,0.731282,0.71,1,142259,141802,457,0.71,0.711667,2,141814
12852381,0.10140313,0.25415975,0.93319833,0.007198228128460687,0.730319,0.73,1,138829,138368,461,0.74,0.738333,2,138382
