#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd_(Bytes),Last_Router_Ocupation_Ack_Arriaval(Packets),Last_Router_Ocupation_Packet_Sent(Packets),Network_Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Last_Router_Ocupation_Router_Arrival(Packets),Last_Router_Ocupation_Router_Arrival_ewma(Packets),Network_Situation_Router_Arrival,Measure_Time
5285501,0.056575608,0.11335189,0.9412955,0.36471022517534146,0.748332,0.78,1,80397,79932,465,0.86,0.85976,2,79942
6559081,0.031608492,0.08852077,0.93117404,0.4568106312292359,0.727938,0.72,1,74046,73586,460,0.74,0.73912,2,73596
7266941,0.03155502,0.00020879075,0.9473683,0.5070136581764488,0.818475,0.89,2,76618,76150,468,0.76,0.76,2,76160
18331381,0.083856404,0.040585745,0.8987854,0.009590431691419267,0.690057,0.35,1,123069,122625,444,0.36,0.358333,1,122641
13734781,0.032338604,0.03544603,0.8724696,0.007605040529538778,0.55,0.17,1,112468,112037,431,0.18,0.178333,1,112049
10448261,0.018927148,0.0009071035,0.9473683,0.7174234034699151,0.807932,0.9,2,77055,76587,468,0.73,0.7296,2,76607
8566261,0.49629974,0.49286434,0.8562753,0.013534287029030577,0.091417,0.03,1,132772,132349,423,0.03,0.0316603,1,132377
18719401,0.044083532,0.015819808,0.86234814,0.005809149612908772,0.00122559,0.95,1,104102,103676,426,0.93,0.747999,2,103768
9254981,0.24586205,0.23281029,0.86234814,0.01092224295473738,0.091344,0.09,1,180507,180081,426,0.11,0.107507,1,180101
17665621,0.052537974,0.05217722,0.93319833,0.0087575913874098,0.898168,0.79,2,118695,118234,461,0.79,0.791667,2,118254
294921,0.0315484,0.030470835,0.9251012,0.020487264673311186,0.587598,0.52,1,73072,72615,457,0.71,0.709516,2,72625
980721,0.47662812,0.44688132,0.9372469,0.06736803248431156,0.834895,0.7,2,75784,75321,463,0.72,0.721989,2,75335
5736781,0.088111855,0.13881336,0.92712545,0.010891397017551844,0.819825,0.79,2,119001,118543,458,0.75,0.746227,2,118585
402081,0.031545244,0.012626926,0.8825911,0.027500922849760058,0.170477,0.27,1,43435,42999,436,0.24,0.239968,1,43009
6954981,0.25991386,0.2594448,0.8663967,0.005668067375617551,0.162009,0.15,1,134326,133898,428,0.15,0.147667,1,133925
13475301,0.03872289,0.046932656,0.94331986,0.9258028792912514,0.732971,0.73,1,77022,76556,466,0.74,0.740001,2,76566
9099041,0.031626,0.031567197,0.9291498,0.01147430937969326,0.849912,0.75,2,100992,100533,459,0.75,0.751667,2,100545
3906461,0.05478273,0.22444588,0.93117404,0.268733850129199,0.742285,0.85,1,75330,74870,460,0.72,0.720125,2,74880
6130361,0.032247126,0.032110184,0.9291498,0.011438280313718352,0.940023,0.72,2,101142,100683,459,0.74,0.741667,2,100695
4725761,0.035227045,0.0040015993,0.8744939,0.3263196751568845,0.179242,0.1,1,67857,67425,432,0.0,0.016,1,67452
442841,0.23566031,0.2416958,0.9392713,0.030269472129937247,0.778176,0.82,2,73713,73249,464,0.82,0.81912,2,73259
10108421,0.033644423,0.07005845,0.9493927,0.008181758420688016,0.0380708,0.99,1,121795,121326,469,0.91,0.90952,2,121338
7483901,0.24434473,0.36228,0.88461536,0.008399449829841674,0.226318,0.07,1,165246,164809,437,0.1,0.0975035,1,164831
32700681,0.11483336,0.11413544,0.89271253,0.005691833917383455,0.495446,0.39,1,281484,281043,441,0.39,0.391666,1,281089
4996381,0.09762369,0.41378894,0.85829955,0.34256183093392395,0.185088,0.06,1,58634,58210,424,0.03,0.0300524,1,58220
14329881,0.23392849,0.24017185,0.85425097,0.005800300368634233,0.0803564,0.05,1,164568,164146,422,0.05,0.0436802,1,164205
20570681,0.13545969,0.15955989,0.93117404,0.008738628721107217,0.867246,0.8,2,118802,118342,460,0.76,0.760063,2,118360
5021961,0.16703995,0.16423564,0.86234814,0.012283762395262873,0.129467,0.09,1,132951,132525,426,0.09,0.0916603,1,132541
13461981,0.06435829,0.25195414,0.9352227,0.9248800295311923,0.694239,0.82,1,76981,76519,462,0.76,0.75984,2,76529
10713881,0.031541143,0.07573234,0.9291498,0.7356958287190846,0.719563,0.77,1,77989,77530,459,0.74,0.73936,2,77540
19297901,0.103468396,0.12589599,0.9473683,0.01068141709269457,0.9264,0.83,2,128721,128253,468,0.84,0.838301,2,128269
3331761,0.22455797,0.45199162,0.9493927,0.004540294401715236,0.825361,0.77,2,128461,127992,469,0.78,0.778251,2,128012
9894801,0.031545244,0.001311045,0.9392713,0.6797711332595053,0.740022,0.87,1,75156,74692,464,0.7,0.7,2,74702
627201,0.032652482,0.032592718,0.85425097,0.006612534575261559,0.0299906,0.01,1,86856,86434,422,0.01,0.0116667,1,86446
1232401,0.019999053,0.0020461718,0.88461536,0.08416389811738649,0.106191,0.45,1,96218,95781,437,0.25,0.242,1,95974
944141,0.03144351,0.0050499616,0.9453441,0.06459948320413436,0.739408,0.98,1,75402,74935,467,0.82,0.82,2,74945
5947981,0.11238072,0.05929051,0.8906882,0.005931016348346708,0.389916,0.23,1,152353,151913,440,0.24,0.238335,1,151931
29833881,0.23490639,0.24477519,0.86234814,0.008229544339770526,0.0712992,0.15,1,214893,214467,426,0.11,0.10782,1,214498
7281881,0.031464487,0.10249011,0.9352227,0.5081210778885198,0.858415,0.93,2,76634,76172,462,0.8,0.800479,2,76182
12477761,0.31930727,0.2684106,0.92105263,0.008855691581081833,0.349846,0.27,1,202228,201773,455,0.3,0.297532,1,201803
9938241,0.054257818,0.05038075,0.9291498,0.6827242524916943,0.644636,0.79,1,75197,74738,459,0.73,0.717984,2,74764
2241221,0.033059414,0.037820276,0.8603239,0.15337763012181616,0.179521,0.14,1,69564,69139,425,0.0,5.75999e-06,1,69149
