#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd_(Bytes),Last_Router_Ocupation_Ack_Arriaval(Packets),Last_Router_Ocupation_Packet_Sent(Packets),Network_Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Last_Router_Ocupation_Router_Arrival(Packets),Last_Router_Ocupation_Router_Arrival_ewma(Packets),Network_Situation_Router_Arrival,Measure_Time
13601121,0.019074777,0.032076497,0.9251012,0.014950166112956811,0.945983,0.75,2,105864,105407,457,0.74,0.739667,2,105418
7829961,0.08211858,0.17703179,0.9352227,0.991140642303433,0.673952,0.86,1,78126,77664,462,0.71,0.71048,2,77674
43530141,0.17072286,0.18912107,0.8987854,0.0070136581764488745,0.632048,0.31,1,380142,379698,444,0.29,0.298836,1,379724
15082361,0.05666109,0.06218586,0.8744939,0.015503875968992248,0.644814,0.21,1,238348,237916,432,0.22,0.219669,1,237926
29583461,0.031545244,0.0,0.8643725,0.01864156515319306,0.82,0.03,2,167947,167520,427,0.04,0.0399994,1,167530
16721241,0.09899339,0.36601114,0.85829955,0.005906238464377999,0.00194465,0.0,1,124836,124412,424,0.04,0.038331,1,124424
25943841,0.018927148,4.853721e-05,0.9068826,0.01698043558508675,0.609999,0.31,1,267028,266580,448,0.36,0.3824,1,266600
7631941,0.082021736,0.0012454302,0.9453441,0.9662236987818383,0.783796,0.7,2,77425,76958,467,0.77,0.7644,2,76976
61171161,0.32154065,0.28469074,0.8643725,0.010520487264673311,0.13809,0.05,1,391083,390656,427,0.03,0.0471926,1,390694
14015941,0.21206447,0.29950517,0.8805668,0.008121077888519748,0.209946,0.27,1,230892,230457,435,0.41,0.384388,1,230485
8131561,0.03210265,0.09120564,0.93117404,1.0293466223698782,0.737834,0.75,1,79256,78796,460,0.74,0.73936,2,78806
13025181,0.04925837,0.11340841,0.9352227,1.6480251015134737,0.582296,0.61,1,75129,74667,462,0.8,0.799632,2,74677
2069761,0.0315454,0.031446133,0.94331986,0.014211886304909561,0.809999,0.85,2,114775,114309,466,0.89,0.891666,2,114321
6935981,0.10725383,0.41642907,0.9412955,0.8781838316722038,0.73077,0.83,1,74899,74434,465,0.79,0.789872,2,74444
9902481,0.031552497,0.012643063,0.9372469,1.2532299741602067,0.842367,0.79,2,74771,74308,463,0.78,0.779974,2,74318
4203701,0.043954197,0.06986938,0.9372469,0.5328534514581026,0.721909,0.74,1,75951,75488,463,0.72,0.719997,2,75498
13866141,0.031545244,0.0050382484,0.9392713,1.7543373938722775,0.873907,0.7,2,77981,77517,464,0.75,0.75,2,77527
