#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
4381,2,0,428,16060,0.02,0.05,1,220849,220421,428
7301,2,0,430,18980,0.036,0.05,1,220851,220421,430
10221,2,0,432,21900,0.0232,0.05,1,220853,220421,432
13141,2,0,434,24820,0.04464,0.05,1,220855,220421,434
14601,161.2,0,635,27740,0.040928,0,1,221056,220421,635
17521,213.84,340.8,436,29200,0.0161856,0,1,221283,220847,436
20441,66.768,92.16,436,32120,0.0112371,0.01,1,221313,220877,436
23361,38.1536,42.432,437,35040,0.00224742,0.05,1,221344,220907,437
26281,30.8307,32.4864,436,37960,0.0404495,0.01,1,221373,220937,436
29201,30.9661,30.4973,437,40880,0.0320899,0.01,1,221404,220967,437
32121,30.1932,30.0995,437,43800,0.00641798,0.02,1,221434,220997,437
35041,30.8386,30.0199,438,46720,0.0092836,0.03,1,221465,221027,438
37961,28.5677,30.004,436,49640,0.0258567,0,1,221493,221057,436
40881,31.3135,30.0008,438,52560,0.0531713,0.05,1,221525,221087,438
43801,29.4627,30.0002,437,55480,0.0986343,0.01,1,221554,221117,437
46721,137.893,138.8,436,58400,0.0837269,0.01,1,221719,221283,436
49641,52.3785,51.76,437,61320,0.0407454,0.01,1,221750,221313,437
52561,35.2757,34.352,438,64240,0.0561491,0.05,1,221781,221343,438
55481,30.2551,30.8704,437,67160,0.11523,0.03,1,221810,221373,437
58401,29.251,30.1741,436,70080,0.023046,0.01,1,221839,221403,436
61321,28.2502,29.2348,435,73000,0.0286092,0.01,1,221867,221432,435
64241,25.65,26.647,434,75920,0.0137218,0.01,1,221892,221458,434
67161,21.13,22.9294,432,78840,0.0827444,0,1,221912,221480,432
70081,21.826,20.5859,434,81760,0.160549,0.05,1,221934,221500,434
73001,18.7652,20.1172,432,84680,0.20011,0.03,1,221952,221520,432
75921,22.153,20.0234,435,87600,0.288022,0.07,1,221975,221540,435
78841,18.0306,20.0047,432,90520,0.329604,0,1,221992,221560,432
81761,19.6061,20.0009,432,93440,0.337921,0,1,222012,221580,432
84681,22.3212,20.0002,435,96360,0.227584,0.05,1,222035,221600,435
87601,18.8642,20,433,99280,0.189517,0.02,1,222053,221620,433
90521,18.9728,20,432,102200,0.181903,0,1,222072,221640,432
93441,19.7946,20,432,105120,0.236381,0.01,1,222092,221660,432
96361,19.9589,20,432,108040,0.175276,0.03,1,222112,221680,432
99281,20.7918,20,433,110960,0.115055,0.05,1,222133,221700,433
102201,20.1584,20,433,113880,0.151011,0.04,1,222153,221720,433
105121,18.4317,20,431,116800,0.206202,0.02,1,222171,221740,431
108041,18.0863,18.4,431,119720,0.26524,0.05,1,222189,221758,431
110961,18.8173,16.48,434,122640,0.277048,0.1,1,222208,221774,434
113881,17.3635,16.096,435,125560,0.30341,0.15,1,222225,221790,435
116801,13.0727,16.0192,431,128480,0.332682,0.1,1,222237,221806,431
119721,13.8145,16.0038,429,131400,0.362536,0.01,1,222251,221822,429
122641,16.3629,16.0008,430,134320,0.352507,0.01,1,222268,221838,430
125561,16.0726,16.0002,430,137240,0.358501,0.01,1,222284,221854,430
128481,16.0145,16,430,140160,0.3357,0.02,1,222300,221870,430
131401,16.8029,16,431,143080,0.33114,0.04,1,222317,221886,431
134321,21.7606,16,438,146000,0.426228,0.17,1,222340,221902,438
137241,15.5521,16,436,148920,0.429246,0.2,1,222354,221918,436
140161,17.5104,16,438,151840,0.445849,0.21,1,222372,221934,438
143081,18.7021,14.4,443,154760,0.49717,0.27,1,222391,221948,443
146001,14.9404,14.08,443,157680,0.491434,0.32,1,222405,221962,443
148921,15.7881,14.016,445,160600,0.458287,0.32,1,222421,221976,445
151841,15.1576,14.0032,446,163520,0.451657,0.41,1,222436,221990,446
154761,11.8315,14.0006,443,166440,0.506332,0.32,1,222447,222004,443
157681,10.3663,14.0001,439,169360,0.509266,0.26,1,222457,222018,439
160601,9.27326,14,434,172280,0.485853,0.16,1,222466,222032,434
163521,17.0547,13.2,440,175200,0.417171,0.23,1,222485,222045,440
166441,11.4109,12.24,438,178120,0.435434,0.24,1,222495,222057,438
169361,11.0822,12.048,437,181040,0.455087,0.21,1,222506,222069,437
172281,12.6164,11.2096,439,183960,0.515017,0.24,1,222519,222080,439
175201,7.32329,10.2419,435,186880,0.551003,0.24,1,222525,222090,435
178121,7.86466,10.0484,433,189800,0.550201,0.2,1,222533,222100,433
181041,7.17293,10.0097,430,192720,0.56604,0.1,1,222540,222110,430
183961,9.43459,10.0019,430,195640,0.577208,0.16,1,222550,222120,430
186881,13.8869,10.0004,435,198560,0.555442,0.15,1,222565,222130,435
189801,10.7774,10.0001,435,201480,0.583088,0.18,1,222575,222140,435
192721,11.7555,10,437,204400,0.612618,0.25,1,222587,222150,437
195641,13.5511,10,441,207320,0.586524,0.25,1,222601,222160,441
198561,12.3102,10,443,210240,0.629305,0.33,1,222613,222170,443
201481,5.66204,9.2,438,213160,0.653861,0.3,1,222617,222179,438
204401,8.33241,8.24,439,216080,0.714772,0.26,1,222626,222187,439
207321,7.26648,8.048,438,219000,0.694954,0.31,1,222633,222195,438
210241,8.6533,8.0096,439,221920,0.642991,0.29,1,222642,222203,439
213161,8.93066,8.00192,440,224840,0.664598,0.32,1,222651,222211,440
216081,8.18613,8.00038,440,227760,0.66892,0.36,1,222659,222219,440
219001,12.0372,8.00008,445,230680,0.717784,0.36,1,222672,222227,445
221921,8.80745,8.00002,445,233600,0.695557,0.37,1,222680,222235,445
224841,7.36149,8,444,236520,0.691111,0.37,1,222687,222243,444
227761,7.0723,8,443,239440,0.738222,0.36,1,222694,222251,443
230681,7.01446,8,442,242360,0.763644,0.36,2,222701,222259,442
233601,7.00289,8,441,245280,0.784729,0.35,2,222708,222267,441
236521,7.80058,8,441,248200,0.812946,0.38,2,222716,222275,441
239441,8.76012,8,442,251120,0.746589,0.36,1,222725,222283,442
242361,5.75202,7.2,440,254040,0.749318,0.32,1,222730,222290,440
245281,6.7504,6.24,441,256960,0.749864,0.35,1,222737,222296,441
248201,6.15008,6.048,441,259880,0.733973,0.33,1,222743,222302,441
251121,6.03002,6.0096,441,262800,0.762795,0.38,2,222749,222308,441
254041,7.606,6.00192,443,265720,0.800559,0.35,2,222757,222314,443
256961,6.3212,6.00038,443,268640,0.776112,0.4,2,222763,222320,443
259881,8.46424,6.00008,446,271560,0.811222,0.41,2,222772,222326,446
262081,7.29285,6.00002,447,274480,0.786245,0.46,2,222779,222332,447
265001,17.4586,15.6,449,276680,0.829249,0.45,2,222799,222350,449
266661,9.09171,7.92,450,279600,0.91785,0.49,2,222806,222356,450
268741,16.2183,9.584,458,281260,0.90357,0.44,2,222824,222366,458
270401,7.24367,14.7168,447,283340,0.924714,0.51,2,222829,222382,447
273321,11.0487,12.5434,447,285000,0.928943,0.47,2,222841,222394,447
386061,5,10,464,355520,0.92,0.82,2,223233,222769,464
388981,5.8,5.2,466,355520,0.936,0.84,2,223239,222773,466
772521,88,84,486,4294967295,0.87,1,2,225215,224729,486
775441,28,20,495,4294967295,0.83,1,2,225228,224733,495
778361,16,7.2,504,4294967295,0.774,1,2,225241,224737,504
781281,11.2,4.64,510,4294967295,0.7548,1,2,225251,224741,510
784201,10.24,4.128,516,4294967295,0.76696,1,2,225261,224745,516
787121,9.248,4.0256,521,4294967295,0.745392,1,1,225270,224749,521
790041,9.8496,4.00512,527,4294967295,0.765078,1,2,225280,224753,527
792961,9.96992,4.00102,533,4294967295,0.697016,1,1,225290,224757,533
795881,5.19398,4.0002,533,4294967295,0.691403,1,1,225294,224761,533
798801,2.6388,4.00004,531,4294967295,0.674281,1,1,225296,224765,531
801721,2.92776,4.00001,530,4294967295,0.670856,1,1,225299,224769,530
804641,3.78555,4,530,4294967295,0.582171,1,1,225303,224773,530
807561,2.35711,4,528,4294967295,0.556434,1,1,225305,224777,528
