#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
4381,2,0,459,16060,0.82,0.61,2,90917,90458,459
7301,2,0,461,17520,0.844,0.61,2,90919,90458,461
10221,2,0,463,18980,0.8248,0.61,2,90921,90458,463
13141,2,0,465,20440,0.78896,0.61,2,90923,90458,465
14601,161.2,0,666,21900,0.869792,0.77,2,91124,90458,666
274481,5,6,479,45260,0.93,1,2,94283,93804,479
277401,8.2,7.6,480,45260,0.93,0.99,2,94292,93812,480
280321,10.44,7.92,483,45260,0.914,1,2,94303,93820,483
283241,6.088,6.384,482,45260,0.9508,1,2,94308,93826,482
286161,7.6176,6.8768,483,45260,0.95816,1,2,94316,93833,483
289081,9.52352,7.77536,485,45260,0.919632,1,2,94326,93841,485
363541,5,10,479,45260,0.89,1,2,95226,94747,479
366461,7.4,5.2,483,45260,0.938,0.94,2,95234,94751,483
369381,13.48,7.44,490,45260,0.8756,1,2,95249,94759,490
372301,7.496,12.688,482,45260,0.83112,0.98,2,95255,94773,482
375221,7.0992,7.3376,483,45260,0.902224,1,2,95262,94779,483
378141,11.0198,6.26752,489,45260,0.916445,1,2,95274,94785,489
381061,87.804,10.8535,584,45260,0.791289,0.99,2,95381,94797,584
383981,26.3608,92.5707,482,45260,0.822258,0.95,2,95392,94910,482
385441,166.072,26.5141,673,45260,0.804452,1,2,95593,94920,673
388361,59.6144,193.303,471,45260,0.93689,0.95,2,95626,95155,471
391281,27.9229,56.2606,469,45260,0.979378,0.92,2,95646,95177,469
426321,102,107,464,45260,0.94,0.83,2,95845,95381,464
474501,201,16,667,46720,0.8,0.97,2,96528,95861,667
477421,70.6,190.4,471,46720,0.848,0.99,2,96566,96095,471
480341,32.52,55.68,472,46720,0.8736,0.91,2,96589,96117,472
483261,10.504,18.336,468,46720,0.91872,0.96,2,96594,96126,468
503701,10,8,483,46720,0.83,0.96,2,96655,96172,483
506621,10,12,480,46720,0.83,0.92,2,96665,96185,480
509541,8.4,7.2,482,46720,0.838,1,2,96673,96191,482
512461,11.28,11.04,482,46720,0.8476,0.96,2,96685,96203,482
515381,83.056,11.808,571,46720,0.80952,0.84,2,96786,96215,571
518301,26.2112,85.5616,479,46720,0.817904,0.9,2,96798,96319,479
521221,163.642,23.5123,669,46720,0.859581,0.86,2,96996,96327,669
524141,60.7284,195.902,465,46720,0.899916,0.88,2,97031,96566,465
527061,33.7457,57.5805,469,46720,0.859983,0.93,2,97058,96589,469
529981,11.5491,15.5161,470,46720,0.915997,0.99,2,97064,96594,470
550421,10,10,465,46720,0.83,0.83,2,97120,96655,465
553341,10,10,465,46720,0.83,0.84,2,97130,96665,465
556261,10,8.4,467,46720,0.75,0.85,2,97140,96673,467
559181,11.6,11.28,467,46720,0.878,0.8,2,97152,96685,467
562101,81.52,83.056,465,46720,0.7676,0.82,2,97251,96786,465
565021,30.704,26.2112,471,46720,0.85752,0.87,2,97269,96798,471
567941,161.341,163.642,467,46720,0.891504,0.91,2,97463,96996,467
570861,61.8682,60.7284,469,46720,0.682301,0.85,1,97500,97031,469
573781,33.9736,33.7457,469,46720,0.79246,0.93,2,97527,97058,469
576701,9.99473,11.5491,467,46720,0.758492,1,2,97531,97064,467
579621,6.79895,8.70983,465,46720,0.807698,1,2,97537,97072,465
582541,6.95979,4.94197,468,46720,0.91354,1,2,97544,97076,468
585461,6.19196,7.38839,466,48180,0.886708,0.91,2,97550,97084,466
588381,7.63839,6.27768,468,48180,0.913342,0.93,2,97558,97090,468
591301,7.92768,7.65554,468,48180,0.918668,0.9,2,97566,97098,468
594221,11.1855,11.1311,468,48180,0.911734,0.83,2,97578,97110,468
597141,8.63711,10.2262,466,48180,0.822347,0.83,2,97586,97120,466
600061,6.52742,10.0452,462,48180,0.844469,0.73,2,97592,97130,462
602981,14.1055,10.009,468,48180,0.888894,0.91,2,97608,97140,468
605901,10.8211,11.6018,466,48180,0.825779,0.74,2,97618,97152,466
608821,81.3642,81.5204,466,48180,0.757156,0.88,2,97717,97251,466
611741,25.8728,30.7041,460,48180,0.823431,0.9,2,97729,97269,460
614661,161.975,161.341,462,48180,0.860686,0.63,2,97925,97463,462
617581,65.9949,61.8682,467,48180,0.764137,0.82,2,97967,97500,467
620501,32.399,33.9736,464,48180,0.760827,0.75,2,97991,97527,464
623421,12.8798,9.99473,468,48180,0.792165,0.82,2,97999,97531,468
626341,5.77596,6.79895,466,48180,0.838433,0.94,2,98003,97537,466
629261,5.95519,6.95979,465,49640,0.799687,0.94,2,98009,97544,465
632181,5.99104,1.39196,471,49640,0.879937,0.88,2,98015,97544,471
635101,7.59821,5.07839,473,49640,0.895987,0.92,2,98023,97550,473
638021,7.11964,7.41568,472,49640,0.867198,0.92,2,98030,97558,472
640941,7.02393,7.88314,471,49640,0.901439,0.91,2,98037,97566,471
643861,12.6048,11.1766,473,49640,0.852288,0.8,2,98051,97578,473
646781,7.32096,8.63533,471,49640,0.818458,0.85,2,98057,97586,471
649701,13.4642,6.52707,480,49640,0.835692,0.9,2,98072,97592,480
652621,11.4928,14.1054,475,49640,0.799138,0.81,2,98083,97608,475
