#Ack,Last Router Ocupation Router Arrival(Packets),Last Router Ocupation Router Arrival_ewma(Packets),Network Situation Router Arrival,Measure Time
65701,0.12,0.115975,1,332958
67161,0.05,0.063195,1,333270
461361,0.1,0.098277,1,344989
467201,0.14,0.137501,1,345277
470121,0.28,0.2727,1,345388
692041,0.3,0.306685,1,351371
706641,0.1,0.095104,1,351714
716861,0.04,0.0407672,1,351868
743141,0.26,0.257918,1,352339
750441,0.11,0.119699,1,352564
759201,0.29,0.286848,1,352723
769421,0.39,0.379869,1,352825
978201,0.29,0.318905,1,358300
998641,0.28,0.273468,1,358848
1001561,0.34,0.335739,1,358917
1004481,0.3,0.29983,1,358980
1116901,0,0.000230676,1,361941
1121281,0.01,0.0115218,1,362060
1132961,0,0.00381463,1,362321
1138801,0.05,0.0588861,1,362387
1157781,0.01,0.0132577,1,362789
1166541,0.13,0.11166,1,362973
1172381,0.37,0.346675,1,363074
1186981,0.34,0.338867,1,363326
1194281,0.35,0.33584,1,363513
1337361,0.33,0.374076,1,366248
1347581,0.08,0.0721988,1,366399
1363641,0.1,0.0990644,1,366639
1389921,0.32,0.317279,1,367064
1601621,0.3,0.295586,1,371080
1696521,0.06,0.0575312,1,373690
1703821,0.05,0.0598072,1,373900
1708201,0,0.00239846,1,373936
1711121,0.04,0.0368959,1,374073
1712581,0.07,0.0633792,1,374113
1718421,0.19,0.163813,1,374287
1737401,0.31,0.275481,1,374717
1738861,0.32,0.311096,1,374717
1743241,0.35,0.351289,1,374749
1884861,0.05,0.0475247,1,378387
1919901,0.39,0.367773,1,379659
1991441,0.27,0.368384,1,382043
2026481,0.08,0.0790436,1,383080
2041081,0.1,0.099191,1,383330
2074661,0.13,0.128706,1,384105
2471781,0.15,0.163814,1,393938
2473241,0.16,0.160763,1,393938
2479081,0.13,0.125697,1,394244
2514121,0.34,0.31566,1,395098
2927301,0.03,0.044561,1,403548
2944821,0.11,0.1112,1,404188
2950661,0.27,0.255026,1,404393
2956501,0.2,0.20156,1,404494
3079141,0.07,0.0710461,1,408053
3105421,0.04,0.0376004,1,408596
3131701,0.02,0.0193968,1,409161
3140461,0.1,0.0982054,1,409335
3157981,0.25,0.216466,1,409759
3369681,0.13,0.220144,1,415896
3385741,0.01,0.0158363,1,416324
3390121,0.06,0.0567667,1,416470
3414941,0.36,0.359814,1,417080
3544881,0.14,0.137502,1,420352
3762421,0.24,0.235158,1,427244
3763881,0.27,0.263032,1,427301
3766801,0.31,0.303321,1,427484
3771181,0.34,0.337467,1,427509
3904041,0.08,0.0768551,1,430975
3934701,0.08,0.0784279,1,431586
4082161,0.13,0.119661,1,435115
4089461,0.18,0.179673,1,435384
4092381,0.05,0.0535869,1,435524
4095301,0.04,0.0389435,1,435543
4188741,0.09,0.0811356,1,438968
4206261,0.16,0.165406,1,439393
4212101,0.2,0.195209,1,439498
4217941,0.14,0.138424,1,439599
4320141,0.38,0.383008,1,442212
4339121,0.08,0.0782402,1,442594
4495341,0.26,0.260325,1,445659
4501181,0.04,0.0417605,1,445736
4502641,0.05,0.0483521,1,445829
4514321,0.09,0.0958318,1,446018
4523081,0.11,0.0998333,1,446119
4549361,0.26,0.260506,1,446517
4553741,0.33,0.319524,1,446582
4561041,0.18,0.185497,1,446729
4563961,0.3,0.29382,1,446780
4566881,0.36,0.355753,1,446826
4747921,0.18,0.176684,1,450239
4858881,0.15,0.183427,1,453416
4898301,0.25,0.255149,1,454354
5032621,0.24,0.241758,1,457152
5051601,0.13,0.108779,1,457536
5076421,0.24,0.238268,1,457963
5077881,0.24,0.239654,1,457963
5082261,0.31,0.311037,1,458093
5248701,0.03,0.0353858,1,461526
5362581,0.34,0.335898,1,465007
5602021,0.36,0.350397,1,471145
