#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
68621,67,113,457,14175,0.01,0.03,1,232459,232002,457
71541,23,58.6,424,14325,0.026,0.01,1,232471,232047,424
74461,20.6,16.52,438,14473,0.0132,0,1,232491,232053,438
75921,180.12,32.104,622,14620,0.12264,0.09,1,232711,232089,622
78841,121.624,248.821,426,14765,0.112528,0.01,1,232818,232392,426
81761,75.5248,103.364,423,14909,0.0465056,0.03,1,232882,232459,423
84681,23.905,30.2728,422,15051,0.0333011,0.01,1,232893,232471,422
87601,23.981,22.0546,426,15192,0.0146602,0.01,1,232917,232491,426
89061,165.596,4.41091,627,15332,0.058932,0.15,1,233118,232491,627
91981,134.719,176.882,534,15471,0.155786,0.11,1,233245,232711,534
94901,73.3438,120.976,485,15608,0.183157,0.03,1,233303,232818,485
97821,23.4688,75.3953,432,15744,0.140631,0.03,1,233314,232882,432
100741,23.8938,23.8791,445,15879,0.0361263,0.01,1,233338,232893,445
102201,165.579,23.9758,622,16013,0.0632253,0.07,1,233539,232917,622
105121,141.116,165.595,556,16146,0.132645,0.18,1,233674,233118,556
108041,72.2231,134.719,484,16278,0.130529,0.19,1,233729,233245,484
110961,19.2446,73.3438,432,16408,0.130106,0.13,1,233735,233303,432
113881,23.8489,23.4688,446,16537,0.0980212,0.01,1,233760,233314,446
115341,165.57,23.8938,623,16665,0.0436042,0.07,1,233961,233338,623
118261,37.114,165.579,427,16792,0.0167208,0.15,1,233966,233539,427
121181,117.023,141.116,429,16918,0.171344,0.13,1,234103,233674,429
124101,66.6046,72.2231,428,17043,0.202269,0.13,1,234157,233729,428
127021,18.1209,19.2446,428,17168,0.208454,0.09,1,234163,233735,428
129941,22.0242,23.8489,426,17292,0.225691,0.03,1,234186,233760,426
132861,166.005,165.57,427,17415,0.181138,0.01,1,234388,233961,427
135781,148.401,37.114,566,17537,0.268228,0.21,1,234532,233966,566
138701,72.8802,117.023,483,17658,0.285646,0.21,1,234586,234103,483
141621,19.376,66.6046,435,17778,0.289129,0.21,1,234592,234157,435
144541,23.8752,18.1209,454,17897,0.305826,0.23,1,234617,234163,454
147461,163.175,22.0242,629,18016,0.341165,0.17,1,234815,234186,629
150381,34.235,166.005,429,18134,0.348233,0.29,1,234817,234388,429
153301,127.647,148.401,436,18251,0.461647,0.29,1,234968,234532,436
156221,68.7294,72.8802,436,18367,0.500329,0.29,1,235022,234586,436
159141,18.5459,19.376,436,18483,0.508066,0.31,1,235028,234592,436
162061,22.9092,23.8752,435,18598,0.509613,0.35,1,235052,234617,435
164981,166.182,163.175,439,18712,0.653923,0.35,1,235254,234815,439
167901,34.8364,34.235,439,18825,0.650785,0.49,1,235256,234817,439
170821,133.367,127.647,446,18938,0.698157,0.51,1,235414,234968,446
173741,70.6735,68.7294,447,19050,0.755631,0.51,2,235469,235022,447
176661,18.9347,18.5459,447,19161,0.735126,0.51,1,235475,235028,447
179581,22.9869,22.9092,447,19272,0.731025,0.69,1,235499,235052,447
182501,171.797,166.182,454,19382,0.730205,0.65,1,235708,235254,454
185421,35.9595,34.8364,454,19491,0.730041,0.71,1,235710,235256,454
188341,134.392,133.367,455,19600,0.762008,0.71,2,235869,235414,455
191261,72.4784,26.6735,512,19708,0.800402,0.77,2,235926,235414,512
194181,19.2957,49.3347,463,19816,0.82408,0.73,2,235932,235469,463
197101,23.0591,14.6669,481,19923,0.828816,0.73,2,235956,235475,481
292001,34,37,516,23178,0.15,1,1,238318,237802,516
294921,37.2,38.6,515,23269,0.086,1,1,238356,237841,515
297841,25.04,33.32,505,23360,0.0412,1,1,238378,237873,505
300761,123.408,30.664,623,23451,0.03224,0.95,1,238526,237903,623
303681,61.4816,128.533,516,23541,0.030448,0.93,1,238572,238056,516
306601,102.696,64.1066,581,23631,0.0300896,0.49,1,238685,238104,581
309521,46.9393,128.021,470,23721,0.0620179,0.29,1,238718,238248,470
312441,29.3879,54.4043,459,23810,0.0844036,0.15,1,238743,238284,459
315361,35.4776,38.0809,462,23899,0.0888807,0.07,1,238780,238318,462
318281,8.69551,38.0162,426,23988,0.0897761,0.03,1,238782,238356,426
321201,19.3391,25.2032,426,24076,0.105955,0.03,1,238804,238378,426
324121,119.868,123.441,423,24164,0.029191,0.03,1,238949,238526,423
327041,60.7736,61.4881,423,24252,0.00583821,0.03,1,238995,238572,423
329961,104.155,102.698,425,24339,0.0411676,0.07,1,239110,238685,425
332881,48.8309,46.9395,427,24426,0.0642335,0.09,1,239145,238718,427
335801,27.3662,29.3879,424,24513,0.116847,0.09,1,239167,238743,424
338721,37.4732,35.4776,427,24599,0.0953693,0.09,1,239207,238780,427
341641,9.09465,8.69552,427,24685,0.0910739,0.11,1,239209,238782,427
344561,20.2189,19.3391,428,24771,0.106215,0.01,1,239232,238804,428
347481,115.244,119.868,422,24857,0.021243,0,1,239371,238949,422
350401,59.8488,60.7736,422,24942,0.0282486,0.05,1,239417,238995,422
353321,105.57,104.155,424,25027,0.10965,0.07,1,239534,239110,424
356241,50.7139,48.8309,426,25112,0.14193,0.13,1,239571,239145,426
359161,27.7428,27.3662,426,25196,0.148386,0.09,1,239593,239167,426
362081,37.5486,37.4732,426,25280,0.181677,0.09,1,239633,239207,426
365001,9.10971,9.09465,426,25364,0.188335,0.11,1,239635,239209,426
367921,19.4219,20.2189,425,25448,0.205667,0.11,1,239657,239232,425
370841,111.884,4.04379,560,25531,0.0651334,0,1,239792,239232,560
373761,59.1769,112.009,467,25614,0.0530267,0.03,1,239838,239371,467
376681,108.635,59.2018,542,25697,0.0666053,0.13,1,239959,239417,542
379601,53.7271,105.44,465,25779,0.101321,0.15,1,239999,239534,465
382521,28.3454,50.6881,450,25861,0.124264,0.15,1,240021,239571,450
385441,38.4691,27.7376,469,25943,0.144853,0.19,1,240062,239593,469
388361,9.29382,37.5475,431,26025,0.148971,0.19,1,240064,239633,431
391281,19.4588,9.1095,451,26106,0.117794,0.21,1,240086,239635,451
394201,105.492,19.4219,556,26187,0.159559,0.03,1,240213,239657,556
397121,58.6984,111.884,468,26268,0.151912,0.05,1,240260,239792,468
400041,110.94,59.1769,546,26349,0.134382,0.07,1,240384,239838,546
402961,55.7879,108.635,467,26429,0.130876,0.11,1,240426,239959,467
405881,28.7576,53.7271,449,26509,0.258175,0.13,1,240448,239999,449
408801,37.7515,28.3454,467,26589,0.283635,0.15,1,240488,240021,467
411721,9.1503,38.4691,428,26669,0.288727,0.15,1,240490,240062,428
414641,19.4301,9.29382,448,26748,0.289745,0.11,1,240512,240064,448
417561,109.486,19.4588,558,26827,0.369949,0.17,1,240644,240086,558
420481,57.0972,105.492,475,26906,0.41799,0.15,1,240688,240213,475
423401,13.0194,58.6984,430,26985,0.427598,0.13,1,240690,240260,430
426321,100.204,110.94,428,27063,0.47752,0.13,1,240812,240384,428
429241,52.0408,55.7879,426,27141,0.503504,0.29,1,240852,240426,426
432161,36.0082,28.7576,436,27219,0.604701,0.29,1,240884,240448,436
435081,39.2016,37.7515,436,27297,0.59294,0.29,1,240924,240488,436
438001,9.44033,9.1503,436,27375,0.590588,0.29,1,240926,240490,436
440921,20.2881,19.4301,437,27452,0.638118,0.39,1,240949,240512,437
443841,112.858,109.486,441,27529,0.727624,0.43,1,241085,240644,441
446761,59.3715,57.0972,443,27606,0.825525,0.43,2,241131,240688,443
449681,13.4743,13.0194,443,27683,0.845105,0.49,2,241133,240690,443
452601,103.495,100.204,447,27760,0.849021,0.51,2,241259,240812,447
455521,52.699,52.0408,447,27836,0.817804,0.63,2,241299,240852,447
543121,32,48,480,30033,0.85,1,2,242803,242323,480
546041,32.8,28,490,30103,0.786,1,2,242836,242346,490
548961,28.16,30.4,486,30173,0.7092,1,1,242863,242377,486
551881,89.632,88.48,488,30243,0.37384,1,1,242968,242480,488
554801,68.3264,63.296,494,30313,0.130768,1,1,243031,242537,494
557721,42.4653,31.0592,507,30383,0.0501536,1,1,243067,242560,507
560641,84.4931,95.8118,490,30453,0.0820307,1,1,243162,242672,490
563561,37.6986,51.9624,475,30522,0.0404061,0.8,1,243188,242713,475
566481,26.7397,35.1925,468,30591,0.0160812,0.82,1,243212,242744,468
569401,27.7479,28.6385,469,30660,0.0112162,0.85,1,243240,242771,469
572321,25.5496,31.3277,462,30729,0.0422432,0.77,1,243265,242803,462
575241,25.9099,32.6655,455,30798,0.0484486,0.69,1,243291,242836,455
578161,25.182,28.1331,453,30867,0.0976897,0.29,1,243316,242863,453
581081,70.6364,89.6266,430,30936,0.139538,0.07,1,243398,242968,430
584001,59.7273,68.3253,424,31004,0.179908,0.03,1,243455,243031,424
586921,40.7455,42.4651,424,31072,0.123982,0.09,1,243491,243067,424
589841,84.1491,84.493,424,31140,0.0487963,0.03,1,243586,243162,424
592761,36.0298,37.6986,422,31208,0.0657593,0.01,1,243610,243188,422
595681,26.406,26.7397,422,31276,0.101152,0.01,1,243634,243212,422
598601,26.8812,5.34794,449,31344,0.0602304,0.01,1,243661,243212,449
601521,25.3762,23.4696,446,31412,0.116046,0.05,1,243686,243240,446
604441,27.4752,24.6939,449,31479,0.0792092,0.05,1,243714,243265,449
607361,27.095,25.7388,450,31546,0.0718418,0.11,1,243741,243291,450
610281,71.019,25.1478,507,31613,0.134368,0.15,1,243823,243316,507
613201,62.2038,70.6295,485,31680,0.210874,0.19,1,243883,243398,485
616121,38.8408,59.7259,461,31747,0.226175,0.11,1,243916,243455,461
619041,81.3681,40.7452,517,31814,0.181235,0.03,1,244008,243491,517
621961,37.0736,84.149,448,31881,0.172247,0.07,1,244034,243586,448
624881,24.2147,36.0298,445,31947,0.170449,0.11,1,244055,243610,445
627801,28.0429,26.406,450,32013,0.17009,0.05,1,244084,243634,450
630721,28.0086,26.8812,451,32079,0.170018,0.13,1,244112,243661,451
633641,27.2017,25.3762,453,32145,0.202004,0.07,1,244139,243686,453
636561,27.8403,27.4752,453,32211,0.224401,0.07,1,244167,243714,453
639481,74.3681,27.095,512,32277,0.26088,0.15,1,244253,243741,512
642401,62.8736,71.019,490,32343,0.236176,0.23,1,244313,243823,490
645321,38.9747,62.2038,463,32408,0.247235,0.23,1,244346,243883,463
648241,80.5949,38.8408,521,32473,0.297447,0.17,1,244437,243916,521
651161,36.919,81.3681,455,32538,0.371489,0.17,1,244463,244008,455
654081,24.1838,37.0736,450,32603,0.370298,0.17,1,244484,244034,450
657001,28.0368,24.2147,458,32668,0.35406,0.17,1,244513,244055,458
659921,28.0074,28.0429,457,32733,0.350812,0.17,1,244541,244084,457
662841,7.20147,28.0086,431,32798,0.350162,0.21,1,244543,244112,431
665761,23.8403,27.2017,432,32862,0.398032,0.23,1,244571,244139,432
668681,27.9681,27.8403,433,32926,0.439606,0.27,1,244600,244167,433
671601,75.9936,74.3681,435,32990,0.431921,0.23,1,244688,244253,435
674521,61.5987,62.8736,433,33054,0.430384,0.25,1,244746,244313,433
677441,40.3197,38.9747,435,33118,0.494077,0.31,1,244781,244346,435
680361,84.0639,80.5949,439,33182,0.538815,0.39,1,244876,244437,439
683281,39.2128,36.919,441,33246,0.579763,0.37,1,244904,244463,441
686201,23.8426,24.1838,440,33310,0.619953,0.35,1,244924,244484,440
689121,27.1685,28.0368,439,33373,0.595991,0.35,1,244952,244513,439
692041,27.8337,28.0074,439,33436,0.623198,0.35,1,244980,244541,439
694961,7.16674,7.20147,439,33499,0.62864,0.41,1,244982,244543,439
697881,25.4333,23.8403,441,33562,0.613728,0.45,1,245012,244571,441
700801,29.0867,27.9681,442,33625,0.626746,0.43,1,245042,244600,442
703721,75.4173,75.9936,441,33688,0.645349,0.43,1,245129,244688,441
706641,63.0835,61.5987,443,33751,0.64907,0.51,1,245189,244746,443
709561,43.8167,40.3197,447,33814,0.697814,0.55,1,245228,244781,447
712481,86.3633,84.0639,449,33877,0.723563,0.59,1,245325,244876,449
715401,41.2727,39.2128,451,33939,0.776713,0.63,2,245355,244904,451
718321,24.2545,23.8426,451,34001,0.819342,0.59,2,245375,244924,451
