#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
7301,10,0,502,18980,0.36,1,1,90927,90425,502
10221,10,0,512,21900,0.4,1,1,90937,90425,512
13141,10,0,522,24820,0.44,1,1,90947,90425,522
14601,166,0,727,27740,0.088,0.29,1,91152,90425,727
17521,190.8,386.4,441,29200,0.1216,0.35,1,91349,90908,441
20441,44.56,84.48,440,32120,0.04832,0.35,1,91357,90917,440
23361,10.512,16.896,442,35040,0.033664,0.36,1,91359,90917,442
26281,10.1024,11.3792,442,37960,0.0467328,0.36,1,91369,90927,442
29201,3.62048,2.27584,444,40880,0.0813466,0.41,1,91371,90927,444
32121,8.7241,8.45517,444,43800,0.0562693,0.41,1,91381,90937,444
35041,3.34482,1.69103,446,46720,0.0992539,0.45,1,91383,90937,446
37961,9.46896,8.33821,447,49640,0.251851,0.45,1,91394,90947,447
40881,3.49379,1.66764,449,52560,0.28237,0,1,91396,90947,449
52561,5,8,422,64240,0.51,0.03,1,91779,91357,422
55481,2.6,1.6,424,67160,0.51,0.03,1,91781,91357,424
58401,2.12,1.92,424,70080,0.558,0.03,1,91783,91359,424
61321,2.024,0.384,426,73000,0.6156,0.05,1,91785,91359,426
64241,5.2048,8.0768,422,75920,0.64312,0.05,1,91791,91369,422
67161,2.64096,1.61536,424,78840,0.696624,0.09,1,91793,91369,424
70081,2.12819,1.92307,424,81760,0.755325,0.09,2,91795,91371,424
73001,2.02564,0.384614,426,84680,0.847065,0.05,2,91797,91371,426
75921,12.4051,8.07692,431,87600,0.913413,0.05,2,91812,91381,431
78841,4.08103,1.61538,433,90520,0.894683,0.11,2,91814,91381,433
81761,2.41621,1.92308,433,93440,0.858937,0.11,2,91816,91383,433
84681,2.08324,0.384615,435,96360,0.819787,0.29,2,91818,91383,435
87601,5.21665,8.87692,430,99280,0.899957,0.29,2,91824,91394,430
90521,2.64333,1.77538,432,102200,0.947991,0.29,2,91826,91394,432
105121,137,197,454,116800,0.48,0.58,1,92226,91772,454
108041,29,39.4,456,119720,0.448,0.56,1,92228,91772,456
110961,7.4,9.48,456,122640,0.4176,0.56,1,92230,91774,456
113881,3.08,1.896,458,125560,0.37952,0.51,1,92232,91774,458
116801,2.216,4.3792,455,128480,0.371904,0.51,1,92234,91779,455
119721,2.0432,0.87584,457,131400,0.346381,0.51,1,92236,91779,457
122641,2.00864,1.77517,457,134320,0.525276,0.51,1,92238,91781,457
125561,2.00173,0.355034,459,137240,0.593055,0.57,1,92240,91781,459
128481,2.00035,1.67101,459,140160,0.606611,0.57,1,92242,91783,459
131401,2.00007,0.334201,461,143080,0.577322,0.63,1,92244,91783,461
134321,2.00001,1.66684,461,146000,0.699464,0.63,1,92246,91785,461
