#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd_(Bytes),Last_Router_Ocupation_Ack_Arriaval(Packets),Last_Router_Ocupation_Packet_Sent(Packets),Network_Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Last_Router_Ocupation_Router_Arrival(Packets),Last_Router_Ocupation_Router_Arrival_ewma(Packets),Network_Situation_Router_Arrival,Measure_Time
3230461,0.07118641552155354,0.08880730336539498,0.8582995717371399,542.9602106372973,0.00973159,0.04,1,84801,84377,424,0.03,0.0279091,1,84391
27863901,0.12567624922744575,0.11335173166107256,0.8623481546226925,0.03406023554159903,0.000400002,0.01,1,229722,229296,426,0.01,0.010752,1,229314
3589041,0.065005440553274,0.08788159755682956,0.9433198123337433,542.9602106372973,0.131619,0.86,1,147172,146706,466,0.74,0.762094,2,146725
5171301,0.20724593930082155,0.11335173166107256,0.8846153604932314,0.03371031113942869,0.0220018,0.09,1,247896,247459,437,0.06,0.0660733,1,247485
6604421,0.0698790229138147,0.08224801649327425,0.955465560990401,542.9602106372973,0.859158,0.91,2,96100,95628,472,0.79,0.79601,2,95648
16011021,0.12341918707076309,0.1952168711940694,0.9493926866620721,0.030358343826008688,0.673888,0.96,1,308743,308274,469,0.94,0.9376,2,308294
8572161,0.15253938977359588,0.12594636851230284,0.9372469380054147,0.022517534145441123,0.885485,0.77,2,146081,145618,463,0.76,0.756933,2,145636
30522961,0.1090022222607296,0.1839871781115912,0.8684210289510214,0.034061373301577186,0.487218,0.16,1,239451,239022,429,0.15,0.139589,1,239040
18819161,0.1549948715105096,0.15743296064037857,0.8927125262643365,0.03201201474536932,0.197061,0.35,1,324163,323722,441,0.34,0.334101,1,323742
3148941,0.08206794719098312,0.06751386570694122,0.8643724460654688,542.9602106372973,0.516393,0.05,1,145580,145153,427,0.11,0.106629,1,145167
