#Ack,Last Router Ocupation Router Arrival(Packets),Last Router Ocupation Router Arrival_ewma(Packets),Network Situation Router Arrival,Measure Time
0,0.7,0.7,2,110010
14601,0.77,0.754,2,110920
16061,0.78,0.7748,2,110920
17521,0.77,0.77096,2,110922
18981,0.78,0.778192,2,110922
20441,0.78,0.779638,2,110922
21901,0.8,0.795928,2,110924
23361,0.81,0.807186,2,110924
24821,0.81,0.809437,2,110924
26281,0.89,0.873887,2,110926
27741,0.9,0.894777,2,110926
29201,0.9,0.898955,2,110926
30661,0.91,0.907791,2,110928
32121,0.92,0.917558,2,110928
33581,0.92,0.919512,2,110928
35041,0.86,0.871902,2,111129
36501,0.87,0.87038,2,111129
37961,0.91,0.902076,2,111382
39421,0.92,0.916415,2,111382
40881,0.92,0.919283,2,111382
42341,0.93,0.927857,2,111384
43801,0.94,0.937571,2,111384
45261,0.94,0.939514,2,111384
46721,0.95,0.947903,2,111386
55481,0.92,0.92,2,111394
56941,0.93,0.928,2,111394
58401,0.93,0.9296,2,111394
59861,0.94,0.93792,2,111396
61321,0.95,0.947584,2,111396
62781,0.95,0.949517,2,111396
64241,0.95,0.949903,2,111398
73001,0.89,0.89,2,111851
74461,0.9,0.898,2,111851
75921,0.9,0.8996,2,111851
392741,0.89,0.89,2,114180
394201,0.85,0.858,2,114214
395661,0.86,0.8596,2,114214
397121,0.79,0.80392,2,114229
398581,0.8,0.800784,2,114229
400041,0.74,0.752157,2,114245
401501,0.75,0.750431,2,114245
402961,0.8,0.790086,2,114256
404421,0.81,0.806017,2,114256
405881,0.74,0.753203,2,114267
407341,0.75,0.750641,2,114267
408801,0.77,0.766128,2,114274
410261,0.78,0.777226,2,114274
411721,0.79,0.787445,2,114280
413181,0.8,0.797489,2,114280
414641,0.77,0.775498,2,114287
416101,0.78,0.7791,2,114287
417561,0.75,0.75582,2,114293
419021,0.76,0.759164,2,114293
420481,0.72,0.727833,2,114299
421941,0.73,0.729567,2,114299
423401,0.75,0.745913,2,114306
424861,0.76,0.757183,2,114306
426321,0.77,0.767437,2,114316
427781,0.78,0.777487,2,114316
429241,0.79,0.787497,2,114321
430701,0.8,0.797499,2,114321
432161,0.78,0.7835,2,114325
433621,0.79,0.7887,2,114325
435081,0.78,0.78174,2,114334
436541,0.79,0.788348,2,114334
438001,0.74,0.74967,2,114340
439461,0.81,0.797934,2,114347
369381,0.76,0.767587,2,114353
440921,0.75,0.753517,2,114360
442381,0.76,0.758703,2,114365
443841,0.75,0.751741,2,114370
445301,0.75,0.750348,2,114375
446761,0.75,0.75007,2,114379
448221,0.77,0.766014,2,114382
449681,0.73,0.737203,2,114386
451141,0.71,0.715441,2,114390
458441,0.29,0.354034,1,114645
461361,0.25,0.254161,1,114678
468661,0.21,0.210321,1,114717
478881,0.17,0.170833,1,114742
497861,0.11,0.114163,1,114785
501701,0.04,0.0397485,1,114819
560101,0.87,0.87,2,115208
561561,0.88,0.878,2,115208
563021,0.8,0.8156,2,115211
564481,0.81,0.81112,2,115211
565941,0.77,0.778224,2,115220
567401,0.77,0.771645,2,115242
568861,0.78,0.778329,2,115242
570321,0.77,0.771666,2,115244
571781,0.78,0.778333,2,115244
573241,0.78,0.779667,2,115244
574701,0.85,0.835933,2,115250
576161,0.86,0.855187,2,115250
577621,0.84,0.843037,2,115257
579081,0.85,0.848607,2,115257
580541,0.85,0.849721,2,115263
582001,0.86,0.857944,2,115263
583461,0.83,0.835589,2,115268
584921,0.84,0.839118,2,115268
663761,0.72,0.712797,2,116051
665221,0.71,0.710559,2,116063
666681,0.72,0.718112,2,116063
668141,0.71,0.711622,2,116077
669601,0.72,0.718324,2,116077
671061,0.71,0.711665,2,116085
672521,0.72,0.718333,2,116085
673981,0.71,0.711667,2,116093
675441,0.72,0.718333,2,116093
676901,0.71,0.711667,2,116099
678361,0.72,0.718333,2,116099
679821,0.71,0.711667,2,116103
681281,0.72,0.718333,2,116103
682741,0.71,0.711667,2,116107
684201,0.72,0.718333,2,116107
685661,0.71,0.711667,2,116111
687121,0.72,0.718333,2,116111
688581,0.71,0.711667,2,116117
690041,0.72,0.718333,2,116117
691501,0.71,0.711667,2,116123
692961,0.72,0.718333,2,116123
694421,0.71,0.711667,2,116127
695881,0.72,0.718333,2,116127
697341,0.71,0.711667,2,116131
698801,0.72,0.718333,2,116131
700261,0.71,0.711667,2,116133
701721,0.72,0.718333,2,116133
703181,0.71,0.711667,2,116155
704641,0.72,0.718333,2,116155
706101,0.71,0.711667,2,116157
707561,0.72,0.718333,2,116157
709021,0.71,0.711667,2,116159
710481,0.72,0.718333,2,116159
711941,0.71,0.711667,2,116161
713401,0.72,0.718333,2,116161
714861,0.71,0.711667,2,116167
716321,0.72,0.718333,2,116167
717781,0.71,0.711667,2,116173
719241,0.72,0.718333,2,116173
720701,0.71,0.711667,2,116179
722161,0.72,0.718333,2,116179
723621,0.71,0.711667,2,116183
725081,0.72,0.718333,2,116183
726541,0.71,0.711667,2,116219
728001,0.72,0.718333,2,116219
729461,0.71,0.711667,2,116229
730921,0.72,0.718333,2,116229
732381,0.71,0.711667,2,116508
733841,0.72,0.718333,2,116508
735301,0.71,0.711667,2,116520
736761,0.72,0.718333,2,116520
738221,0.71,0.711667,2,116534
739681,0.72,0.718333,2,116534
741141,0.71,0.711667,2,116542
742601,0.72,0.718333,2,116542
744061,0.71,0.711667,2,116550
745521,0.72,0.718333,2,116550
746981,0.71,0.711667,2,116556
748441,0.72,0.718333,2,116556
749901,0.71,0.711667,2,116560
751361,0.72,0.718333,2,116560
752821,0.71,0.711667,2,116564
754281,0.72,0.718333,2,116564
755741,0.71,0.711667,2,116568
757201,0.72,0.718333,2,116568
758661,0.71,0.711667,2,116574
760121,0.72,0.718333,2,116574
761581,0.71,0.711667,2,116580
763041,0.72,0.718333,2,116580
764501,0.71,0.711667,2,116584
765961,0.72,0.718333,2,116584
767421,0.71,0.711667,2,116588
768881,0.72,0.718333,2,116588
770341,0.71,0.711667,2,116590
771801,0.72,0.718333,2,116590
773261,0.71,0.711667,2,116612
774721,0.72,0.718333,2,116612
776181,0.72,0.719667,2,116614
777641,0.73,0.727933,2,116614
779101,0.72,0.721587,2,116616
780561,0.73,0.728317,2,116616
782021,0.72,0.721663,2,116618
783481,0.73,0.728333,2,116618
784941,0.72,0.721667,2,116624
786401,0.73,0.728333,2,116624
787861,0.72,0.721667,2,116630
789321,0.73,0.728333,2,116630
790781,0.72,0.721667,2,116636
792241,0.73,0.728333,2,116636
793701,0.72,0.721667,2,116640
795161,0.73,0.728333,2,116640
796621,0.73,0.729667,2,116676
798081,0.74,0.737933,2,116676
799541,0.73,0.731587,2,116686
801001,0.74,0.738317,2,116686
1132421,0.39,0.395667,1,118877
1135341,0.39,0.391827,1,118883
1141181,0.39,0.391667,1,118895
1147021,0.39,0.391667,1,118935
1348501,0.39,0.395667,1,120217
