#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
3566781,55,44,530,33945,0.55,1,1,222551,222021,530
3569701,41.4,58.4,506,33945,0.518,1,1,222589,222083,506
3572621,45.08,42.08,514,33945,0.4316,0.97,1,222635,222121,514
3575541,33.016,38.016,507,33945,0.36632,1,1,222665,222158,507
3578461,37.0032,35.6032,510,33945,0.289264,1,1,222703,222193,510
3581381,40.2006,37.5206,513,33945,0.161853,1,1,222744,222231,513
3584301,31.2401,37.9041,504,33945,0.168371,0.97,1,222773,222269,504
3587221,31.848,30.7808,507,33945,0.105674,1,1,222805,222298,507
3590141,39.9696,36.5562,511,33945,0.141135,0.97,1,222847,222336,511
3593061,51.9939,43.3112,521,33945,0.132227,0.79,1,222902,222381,521
3595981,47.1988,57.4622,506,33945,0.178445,0.73,1,222948,222442,506
3598901,48.6398,54.6924,501,33945,0.203689,0.55,1,222997,222496,501
3601821,39.328,54.9385,483,33945,0.224738,0.51,1,223034,222551,483
3604741,39.0656,41.3877,484,33945,0.212948,0.41,1,223073,222589,484
3607661,29.4131,45.0775,465,33945,0.22659,0.35,1,223100,222635,465
3610581,33.0826,33.0155,469,33945,0.197318,0.27,1,223134,222665,469
3613501,34.6165,37.0031,466,33945,0.175464,0.13,1,223169,222703,466
3616421,34.1233,40.2006,459,33945,0.171093,0.17,1,223203,222744,459
3619341,34.0247,31.2401,464,33945,0.170219,0.09,1,223237,222773,464
3622261,35.6049,31.848,468,33945,0.186044,0.15,1,223273,222805,468
3625181,53.521,39.9696,484,33945,0.205209,0.13,1,223331,222847,484
3628101,46.7042,51.9939,474,33945,0.337042,0.19,1,223376,222902,474
3631021,50.9408,47.1988,480,33945,0.395408,0.21,1,223428,222948,480
3633941,40.5882,48.6398,469,33945,0.423082,0.23,1,223466,222997,469
3636861,36.9176,39.328,468,33945,0.476616,0.21,1,223502,223034,468
3639781,29.7835,39.0656,457,35040,0.519323,0.23,1,223530,223073,457
3642701,33.1567,29.4131,464,35040,0.543865,0.19,1,223564,223100,464
3645621,33.8313,33.0826,464,35040,0.548773,0.17,1,223598,223134,464
